date,open,high,low,close,adj_close,volume
2025-03-03,4954.7998,5145,4890,5088.2998,4968.7256,558162
2025-03-04,5000,5212,5000,5191.3999,5069.4028,506485
2025-03-05,5100,5356,5100,5312.2998,5187.4609,445752
2025-03-06,5342,5432,5283.6001,5370,5243.8062,532908
2025-03-07,5370,5370.0498,5280,5326.5498,5201.3765,482112
2025-03-10,5328,5410.75,5139.6499,5160.2998,5039.0332,342786
2025-03-11,5100,5182,5080,5129.2998,5008.7622,549888
2025-03-12,5154.3501,5178.6001,5035,5139.7002,5018.918,222937
2025-03-13,5152,5304.7002,5111,5118.5498,4998.2646,367022
2025-03-17,5160,5218.4502,5101,5187.6499,5065.7412,276511
2025-03-18,5187.6499,5187.6499,5187.6499,5187.6499,5065.7412,0
2025-03-19,5432.6001,5512.7998,5346.75,5475.6001,5346.9243,580679
2025-03-20,5500,5505.6001,5340.6499,5460.7002,5332.3745,442929
2025-03-21,5469.9502,5572.6499,5433.3999,5457.5,5329.2495,685475
2025-03-24,5471.1499,5598,5471.1499,5532.2002,5402.1943,310148
2025-03-25,5593,5594.9502,5397.5,5414.1499,5286.918,265207
2025-03-26,5454.2002,5622.8501,5407.5498,5523.7002,5393.894,729146
2025-03-27,5485,5578.4502,5445.0498,5540.3501,5410.1528,403518
2025-03-28,5559.9502,5625,5503.75,5546.25,5415.9136,420034
2025-04-01,5539.5,5548,5373,5399.1499,5272.271,380081
2025-04-02,5425.2002,5431.8999,5211.1001,5313.1499,5188.2915,682715
2025-04-03,5250,5354.1499,5242.7002,5327.2998,5202.1089,224578
2025-04-04,5325,5331.0498,5075.7002,5095.8999,4976.147,457097
2025-04-07,4684.4502,5022.3501,4684.4502,4963.5498,4846.9072,765239
2025-04-08,5041.0498,5119.9502,4970,5064.3999,4945.3872,304029
2025-04-09,5074,5090.8999,4970,5036.2002,4917.8506,353532
2025-04-11,5149.5,5173.9502,5052.0498,5143.2998,5022.4326,416323
2025-04-15,5220,5288.5,5158.5,5246.5,5123.208,334196
2025-04-16,5280,5457.5,5252.5,5379.5,5253.0825,566818
2025-04-17,5422.5,5645,5294.5,5571.5,5440.5703,1143784
2025-04-21,5678.5,5699,5519,5629,5496.7192,684672
2025-04-22,5649,5704,5591.5,5682.5,5548.9619,325345
2025-04-23,5715,5792,5609,5713,5578.7456,376059
2025-04-24,5720,5733,5621.5,5688.5,5554.8213,374809
2025-04-25,5698,5708.5,5385,5499,5369.7739,638225
2025-04-28,5499,5558.5,5459,5536,5405.9043,205197
2025-04-29,5582,5625,5560,5583.5,5452.2886,224766
2025-04-30,5590,5604,5469,5522.5,5392.7222,316444
2025-05-02,5505,5531,5420,5441,5345.5645,203903
2025-05-05,5499,5504.5,5415.5,5487.5,5391.248,241475
2025-05-06,5500,5500,5310,5334,5240.4404,400370
2025-05-07,5270.5,5445,5270,5397.5,5302.8271,270305
2025-05-08,5402,5439.5,5210,5287.5,5194.7563,345691
2025-05-09,5190,5468,5190,5440.5,5345.0728,321841
2025-05-12,5515,5715,5472.5,5587,5489.0029,669665
2025-05-13,5590,5699,5528,5636.5,5537.6348,638165
2025-05-14,5620,5745,5591.5,5635,5536.1611,400038
2025-05-15,5640,5747.5,5608,5735,5634.4072,356216
2025-05-16,5745,5866,5701,5820,5717.916,418266
2025-05-19,5869.5,5913,5824,5838,5735.6006,181786
2025-05-20,5897.5,5898,5710,5738.5,5637.8457,444180
2025-05-21,5750,5899.5,5722,5886.5,5783.25,266662
2025-05-22,5893.5,5959,5826.5,5924,5820.0918,286074
2025-05-23,5950,5989.5,5875,5961,5856.4429,208138
2025-05-26,5965,6048,5965,5996.5,5891.3198,219984
2025-05-27,6000,6050,5958,6014.5,5909.0044,244514
2025-05-28,6014.5,6062,5981,6015,5909.4956,160963
2025-05-29,6015,6070,5986.5,6043.5,5937.4961,160875
2025-05-30,6080,6118,5945.5,5971,5866.2676,296253
2025-06-02,5960,5990.5,5891,5974.5,5869.7061,159034
2025-06-03,5974.5,6080,5966,5995,5889.8467,197089
2025-06-04,6009,6050,5970,6041.5,5935.5308,171316
2025-06-05,6041,6080,6010,6031.5,5925.7061,135626
2025-06-06,6069.5,6175.5,6026.5,6051.5,5945.356,336263
2025-06-09,6093.5,6240.5,6071,6215,6105.9878,270782
2025-06-10,6260,6260,6160,6168,6059.8125,207893
2025-06-11,6190,6195,6034,6077,5970.4082,294907
2025-06-12,6079,6099,5975,6021,5915.3911,369396
2025-06-13,5890,6017.5,5885,5999,5893.7769,220342
2025-06-16,6001,6045,5941,6014,5908.5132,133245
2025-06-17,6040,6084,6014,6034.5,5928.6543,101944
2025-06-18,6001,6089.5,6000,6044,5937.9868,165662
2025-06-19,6044,6068.5,5850,5869,5766.0571,130952
2025-06-20,5897,5991,5853.5,5968.5,5863.812,241725
2025-06-23,5900,5959,5880,5923.5,5819.6006,88496
2025-06-24,5975,6067,5940.5,6003.5,5898.1978,228616
2025-06-25,6051,6065,5941,5966.5,5861.8462,138938
2025-06-26,5985,6025,5953,6012.5,5907.04,110098
2025-06-27,6060,6175,6030,6069.5,5963.04,241168
