date,open,high,low,close,adj_close,volume
2025-03-03,652.55,664.05,639.45,654.05,654.05,1160382
2025-03-04,649.45,660.6,641.15,646.65,646.65,1074477
2025-03-05,647,731.5,646,709.45,709.45,6265335
2025-03-06,719,746.6,707.6,733.25,733.25,4897354
2025-03-07,730,753.9,724,747.6,747.6,2622387
2025-03-10,747,790,738,759.1,759.1,6861685
2025-03-11,745,768,742,761.05,761.05,2785862
2025-03-12,765,784.9,744.05,781.75,781.75,2734197
2025-03-13,783.8,795.95,776.85,783.2,783.2,2201144
2025-03-17,779.8,801.15,776.8,795.05,795.05,1850753
2025-03-18,795.05,795.05,795.05,795.05,795.05,0
2025-03-19,801.1,820.65,799.15,813.9,813.9,1417575
2025-03-20,820,823,800.9,815.1,815.1,1286932
2025-03-21,815,846.95,811.85,831.7,831.7,2711820
2025-03-24,838.75,844.7,817.55,820.25,820.25,1808999
2025-03-25,822,838.9,812.35,816.55,816.55,2713855
2025-03-26,817.05,832.6,800.5,803,803,2042407
2025-03-27,803,882.45,796.05,872.85,872.85,8208182
2025-03-28,872.85,894.9,864,872,872,3727492
2025-04-01,857.4,884.9,856.1,866.35,866.35,1899810
2025-04-02,864.7,871,839.3,867.9,867.9,1554834
2025-04-03,855,901,855,884.35,884.35,2165750
2025-04-04,881.1,884.7,852.1,859.4,859.4,1475762
2025-04-07,780.5,822.2,780.5,815.05,815.05,2669587
2025-04-08,835,847.85,826.85,841.15,841.15,1707784
2025-04-09,835.35,845,827.6,837.4,837.4,1026681
2025-04-11,860.7,863.35,833.75,844.8,844.8,1878535
2025-04-15,855.65,889.6,851.45,887.4,887.4,2537147
2025-04-16,884.9,903,881.05,895.15,895.15,2669664
2025-04-17,896.05,937,891.65,914.15,914.15,3849304
2025-04-21,924,949,915.45,937.5,937.5,2153406
2025-04-22,941.9,942.75,926,929.6,929.6,1654173
2025-04-23,935.7,942.15,901.6,938.8,938.8,2500136
2025-04-24,940,971.7,935,961.7,961.7,3695638
2025-04-25,978,981,905.9,914.35,914.35,5736784
2025-04-28,914,941.6,904,925.3,925.3,2404027
2025-04-29,929.9,939.85,912.05,917.65,917.65,1466481
2025-04-30,919.7,919.7,892,899.65,899.65,1191673
2025-05-02,900.05,929.85,900.05,905.7,905.7,1720419
2025-05-05,911,980.85,909.95,937.2,937.2,5711254
2025-05-06,939,941.5,901.1,907.4,907.4,2569364
2025-05-07,878,907,865.1,871.6,871.6,5712060
