date,open,high,low,close,adj_close,volume
2025-03-03,2109,2127.25,2026.55,2117.1001,2115.1052,1592611
2025-03-04,2085.1001,2154,2080,2144.8,2142.7793,852978
2025-03-05,2153.95,2258.3999,2148.05,2245.8501,2243.7341,1370106
2025-03-06,2260,2268.8999,2226.1499,2252.8501,2250.7275,890270
2025-03-07,2249.95,2267.6499,2227,2247.5,2245.3826,818806
2025-03-10,2245,2288,2220,2228.3,2226.2007,940113
2025-03-11,2223.1499,2267.8501,2208.3,2250.6001,2248.4795,947079
2025-03-12,2270,2280,2180.95,2241.8,2239.6877,1049076
2025-03-13,2249,2273,2215.6001,2221.1001,2219.0073,750310
2025-03-17,2200,2286.8999,2198,2252.7,2250.5774,927737
2025-03-18,2252.7,2252.7,2252.7,2252.7,2250.5774,0
2025-03-19,2319.95,2342,2311.05,2318.6499,2316.4653,1030345
2025-03-20,2348,2348,2299,2339.3,2337.0959,2587050
2025-03-21,2343.8,2389.55,2338,2362.8,2360.574,1101418
2025-03-24,2370,2395,2361.1001,2368.7,2366.4683,1010184
2025-03-25,2385,2387.6499,2315.1001,2320.3501,2318.1641,763065
2025-03-26,2324.8999,2359.8501,2308.05,2312.6001,2310.4211,1078870
2025-03-27,2310,2373.8999,2291.6001,2363.3501,2361.1233,1696042
2025-03-28,2376,2386.95,2293.7,2315.8,2313.6182,1838836
2025-04-01,2312,2358.95,2301,2335.25,2333.0498,501942
2025-04-02,2339.75,2378.8501,2314.55,2369.3999,2367.1675,573928
2025-04-03,2339.75,2429.8999,2339.7,2410.8,2408.5286,1023200
2025-04-04,2394.95,2410.05,2315.5,2334.6499,2332.4502,1219733
2025-04-07,2150.05,2239,2145,2212.7,2210.6152,1567177
2025-04-08,2270,2301,2225,2285.7,2283.5464,1224337
2025-04-09,2265.7,2279.55,2215.2,2236.8999,2234.7922,1001633
2025-04-11,2303.05,2343.5,2281,2321.3999,2319.2129,981463
2025-04-15,2375,2440,2359,2418.2,2415.9216,1145125
2025-04-16,2400,2428,2382.8999,2415.6001,2413.324,889949
2025-04-17,2418,2448.6001,2392,2418.1001,2415.8218,1054797
2025-04-21,2426.1001,2464.8999,2395.5,2442.7,2440.3984,782559
2025-04-22,2458.8999,2483.3999,2441,2445.5,2443.196,766567
2025-04-23,2460,2473.8,2421.2,2453.6001,2451.2883,672262
2025-04-24,2450,2461.3999,2425.1001,2442.5,2440.1987,596626
2025-04-25,2450.1001,2459.5,2323.5,2354.3,2352.0818,1414809
2025-04-28,2346,2402,2337.6001,2369.8,2367.5671,681421
2025-04-29,2392,2400,2325.6001,2330.6001,2328.4043,670730
2025-04-30,2331.3999,2340,2285,2301.3,2299.1316,837464
2025-05-02,2349.8999,2372.3999,2290,2299.1001,2296.9338,1695797
2025-05-05,2312.6001,2497,2297.8,2455.5,2453.1863,4227194
2025-05-06,2454,2463.2,2343.5,2354,2351.782,1524692
2025-05-07,2315,2379.5,2315,2353.1001,2350.8831,1012640
2025-05-08,2362,2367.8,2260,2285.3,2283.147,1380069
2025-05-09,2240,2273.1001,2233,2251,2248.8792,1006000
2025-05-12,2350,2433.3,2315,2425.3,2423.0151,2147039
2025-05-13,2425,2454.8999,2405,2441.2,2438.8997,1815174
2025-05-14,2444.8999,2481.8999,2430.1001,2461.8999,2459.5803,774441
2025-05-15,2463.3999,2526.8,2450.7,2520,2517.6257,1554800
2025-05-16,2529,2584.2,2516.2,2555,2552.5928,1641135
2025-05-19,2571.3,2578.8,2536,2540.6001,2538.2065,680957
2025-05-20,2545,2564.8,2492.5,2501.6001,2499.2432,628023
2025-05-21,2509.7,2524.5,2483.7,2500.3999,2498.0439,529234
2025-05-22,2500.3999,2521.8999,2465.3,2487.6001,2485.2563,906909
2025-05-23,2499,2548.1001,2490.5,2540,2537.6069,968415
2025-05-26,2549.1001,2568.8999,2541.3,2547.7,2545.2996,552912
2025-05-27,2545.8999,2569.1001,2526.1001,2540.3,2537.9065,514936
2025-05-28,2559,2559,2510,2515,2512.6304,575989
2025-05-29,2536.7,2559,2511,2540.8,2538.406,802317
2025-05-30,2550,2564,2513.8,2519.8999,2517.5256,684592
2025-06-02,2527,2564,2514.8999,2518.8,2516.4268,1008716
2025-06-03,2511,2512.5,2452,2470.8999,2468.5718,962656
2025-06-04,2480,2503,2441.1001,2489.3999,2487.0544,552667
2025-06-05,2495,2530.1001,2487.5,2504.3999,2502.0403,673209
2025-06-06,2514.8999,2553.3,2504,2534.2,2531.8123,640680
2025-06-09,2545,2604.1001,2524.5,2582.1001,2579.6675,1711167
2025-06-10,2600,2663.2,2577.7,2613.1001,2610.6382,2084054
2025-06-11,2630,2630.8999,2563.1001,2581.2,2578.7678,745432
2025-06-12,2591.5,2601.8,2530,2543.7,2541.3032,955097
2025-06-13,2498,2516,2460,2507.8999,2506.7791,695869
2025-06-16,2500,2563.3,2462,2544,2542.863,956459
2025-06-17,2535,2539.6001,2479,2488.5,2487.3879,703343
2025-06-18,2491.8999,2495.8999,2445.3999,2459.1001,2458.001,667044
2025-06-19,2466.3,2468.8999,2405.1001,2420.6001,2419.5183,688209
2025-06-20,2428,2461.3,2415,2448.3999,2447.3057,3002549
2025-06-23,2438,2492.6001,2421,2472,2470.8953,790533
2025-06-24,2504,2544.6001,2500.2,2505.6001,2504.4802,996372
2025-06-25,2519.8999,2541.6001,2512.1001,2527.2,2526.0706,921346
2025-06-26,2535,2593.6001,2522.2,2586.2,2585.0442,1339627
2025-06-27,2587.7,2681.6001,2582,2646.3,2645.1174,4049316
2025-06-30,2650,2653.8999,2605.8999,2619.3999,2618.2292,694814
2025-07-01,2624.8999,2645,2603,2621.8,2620.6284,729197
2025-07-02,2634,2646,2613.6001,2630.2,2629.0244,621409
2025-07-03,2634,2644,2605.1001,2611.2,2610.033,502724
2025-07-04,2617,2617,2582.2,2599.1001,2597.9385,370305
2025-07-07,2602,2605.3999,2572,2576.1001,2574.9487,412159
2025-07-08,2586,2600,2573,2591.3,2590.1418,357686
2025-07-09,2599,2609.8999,2570,2583,2581.8457,396880
2025-07-10,2591,2604,2575,2581,2579.8464,306565
2025-07-11,2575,2591.8999,2551.8999,2558.7,2557.5564,390645
2025-07-14,2555,2604.8,2543.5,2581.3,2580.1465,536585
2025-07-15,2588,2606.8999,2576,2598.2,2597.0388,379425
2025-07-16,2602.5,2619.5,2595.5,2608.5,2607.3342,686644
2025-07-17,2612,2654.5,2605.3,2616.6001,2615.4307,785771
2025-07-18,2612,2626.7,2584.2,2596.1001,2594.9399,479942
2025-07-21,2596.3,2624.8999,2585,2619.5,2618.3293,369782
2025-07-22,2626,2630,2581.6001,2587.8,2586.6436,387055
2025-07-23,2600.7,2625.8999,2593.5,2614.5,2613.3315,316424
2025-07-24,2615.3999,2624.2,2595,2608.3999,2607.2341,253782
