date,open,high,low,close,adj_close,volume
2025-03-03,1074.95,1081,1040.6,1053.05,1043.5536,2274285
2025-03-04,1047.95,1063,1036.5,1057.95,1048.4093,1788886
2025-03-05,1056.8,1118.65,1055,1112.7,1102.6655,3785743
2025-03-06,1118.2,1148.75,1101.85,1136.2,1125.9536,4020627
2025-03-07,1136.2,1156.95,1134.1,1144.5,1134.1788,2211623
2025-03-10,1146,1168.65,1136.95,1142.9,1132.5933,2430740
2025-03-11,1137.3,1145.9,1124.4,1135,1124.7645,2399428
2025-03-12,1139,1155.15,1105,1128.3,1118.125,2842848
2025-03-13,1135,1139.45,1115.05,1119.2,1109.1069,1358839
2025-03-17,1114.8,1148.55,1111.2,1137.15,1126.8951,1489537
2025-03-18,1137.15,1137.15,1137.15,1137.15,1126.8951,0
2025-03-19,1160,1184.5,1158.8,1173.5,1162.9174,2416781
2025-03-20,1185,1186.95,1161.2,1177.45,1166.8315,1919013
2025-03-21,1182,1202.55,1172.05,1188.8,1178.0793,3127446
2025-03-24,1196,1210.85,1186.05,1200.8,1189.9712,2135192
2025-03-25,1205,1209.1,1174.55,1182.45,1171.7865,2090037
2025-03-26,1183,1202.2,1173.05,1181.6,1170.9442,1676081
2025-03-27,1182,1212,1175,1196.75,1185.9576,2004036
2025-03-28,1197.7,1205,1175.2,1182.95,1172.282,1670913
2025-04-01,1179,1202,1168.05,1174.75,1164.156,1584541
2025-04-02,1182.4,1198.95,1167.35,1195.45,1184.6693,1232853
2025-04-03,1170.25,1205.8,1170.25,1199.9,1189.0792,1300511
2025-04-04,1196,1200.1,1143,1148.35,1137.994,1785093
2025-04-07,1049.95,1119,1041.5,1110.65,1100.6342,2192949
2025-04-08,1135,1155.65,1111.05,1131.35,1121.1475,2423486
2025-04-09,1133.85,1135.6,1112,1131.8,1121.5934,1537177
2025-04-11,1163,1170.3,1148,1164.55,1154.0481,3536245
2025-04-15,1200,1225.9,1179,1210.8,1199.881,3176522
2025-04-16,1210,1235.5,1201.6,1232.9,1221.7816,1909731
2025-04-17,1232.9,1282.5,1218.6,1259.4,1248.0427,4280765
2025-04-21,1259.4,1260,1209.4,1243.1,1231.8895,6049182
2025-04-22,1249.6,1255.6,1227,1233.2,1222.0789,2932537
