date,open,high,low,close,adj_close,volume
2025-03-03,465,474.1,455,471.8,467.7638,2019207
2025-03-04,469.9,480.85,465.65,475,470.9364,1247846
2025-03-05,474.05,493,474,491.1,486.8987,2223913
2025-03-06,491.15,500.65,487,498.5,494.2354,3280234
2025-03-07,497.5,505.4,491.95,499.8,495.5243,1851476
2025-03-10,498,508,486.9,489.6,485.4116,1626327
2025-03-11,485,497.05,480.1,495.55,491.3106,1903051
2025-03-12,495.55,501.95,485.4,489.2,485.015,2004582
2025-03-13,491.9,493.6,484.4,485.8,481.644,1626551
2025-03-17,488,494.75,486.1,490.55,486.3534,2759538
2025-03-18,490.55,490.55,490.55,490.55,486.3534,0
2025-03-19,498,508.75,498,507.05,502.7122,1284144
2025-03-20,508,512.45,503.4,504.7,500.3824,1239801
2025-03-21,505,517,505,514.5,510.0985,4271244
2025-03-24,516.9,522,510.55,519.3,514.8575,2892707
2025-03-25,530,538.65,518.15,520.55,516.0967,6690237
2025-03-26,522,537.7,519.55,532.45,527.895,4409160
2025-03-27,530.05,545.3,526.2,542.8,538.1564,3250046
2025-03-28,544.9,552,536.3,538.35,533.7444,1557007
2025-04-01,538,542.85,529.2,529.9,525.3668,953159
2025-04-02,527.6,536.55,524.35,534.05,529.4813,1395075
2025-04-03,530.65,544.2,530.5,540.7,536.0744,857218
2025-04-04,540.6,543.95,525.6,528.2,523.6813,1254580
2025-04-07,495,532,480.35,525.2,520.707,3055609
2025-04-08,535,539.1,527.45,536.8,532.2078,1899103
2025-04-09,536.8,552.3,531.15,547.8,543.1136,4262270
2025-04-11,553.75,556.8,544,548.65,543.9564,3541770
2025-04-15,555,559.2,550.25,558.05,553.2759,2937116
2025-04-16,559.95,566.5,552.4,565.75,560.9101,3073452
2025-04-17,565.75,571.1,562.15,569.8,564.9254,2468247
2025-04-21,572.3,582.3,567.85,578.9,573.9476,3429479
2025-04-22,580,584.8,575.1,577.9,572.9562,4202944
2025-04-23,582.65,582.9,569.3,574.35,569.4365,2666108
2025-04-24,574.35,580,568.4,572,567.1066,4092552
2025-04-25,572,574.2,544,548.7,544.006,3491060
2025-04-28,548.85,552.85,541,544.95,540.288,2686840
2025-04-29,549,552.1,530.1,533.95,529.3821,7512372
2025-04-30,540,546.2,533.05,539.7,535.0829,5851731
2025-05-02,537.55,542.6,527.25,528.45,523.9292,2360666
2025-05-05,535.8,549.65,529.6,541.4,536.7684,8102588
2025-05-06,542,543.7,532.15,535.15,530.5719,3127458
2025-05-07,532.8,538.35,526.3,535.2,530.6215,4047668
2025-05-08,536,538.95,520.05,524.4,519.9139,3213287
2025-05-09,516,529.3,512.25,527.45,522.9377,1880094
2025-05-12,540,544.1,536,541.65,537.0163,1225930
2025-05-13,542.2,542.9,534.3,536.9,532.3069,3438632
2025-05-14,540,545,536.05,543.6,538.9496,2627027
2025-05-15,543.9,549,539.2,547.55,542.8658,3683829
2025-05-16,548.2,565.9,547.15,563.5,558.6793,3560785
2025-05-19,566,569.55,559.35,565.55,560.7118,2203178
2025-05-20,565.6,571.65,560.4,562.05,557.2417,1767473
2025-05-21,562.1,570.4,561,567.8,562.9426,1295557
2025-05-22,567.45,569.25,561.6,567.75,562.893,1559623
2025-05-23,567.75,576,566.25,570.9,566.0161,1332383
2025-05-26,571.35,576.35,564.4,567.15,562.2981,1001361
2025-05-27,567.15,568.9,558.8,562.7,557.8862,1515100
2025-05-28,562.7,567,558.65,561.65,556.8452,1014166
2025-05-29,561.95,563.8,555.7,561.45,556.6469,1409636
2025-05-30,561.45,563.25,551.3,553.5,548.7649,2313117
2025-06-02,553.55,559.55,549.15,555.55,550.7974,1040982
2025-06-03,553.8,557.5,548.1,552.4,547.6743,1762419
2025-06-04,550.6,554.8,547.5,552.45,547.7239,3448423
2025-06-05,552.5,556.5,549,550.15,545.4435,1079232
2025-06-06,551.25,557.2,549.3,555.15,550.4008,2821698
2025-06-09,563,563,554.15,560,555.2093,3268930
2025-06-10,564,566.5,558.5,561.1,556.2999,3239799
2025-06-11,562.55,567,556.5,561.25,556.4486,2553077
2025-06-12,563,563.6,545.1,548.35,543.6589,1837409
2025-06-13,541,546.7,536.05,542.5,539.8279,1348657
2025-06-16,543.95,552.9,537.3,550.15,547.4402,1253497
2025-06-17,551,556.6,546.8,550.9,548.1866,1406479
2025-06-18,552.65,553.15,543.7,545.05,542.3654,568472
2025-06-19,545.05,546.45,531,532.8,530.1757,1961693
2025-06-20,532.75,535.65,528.45,533.45,530.8225,2656096
2025-06-23,530,539.5,528.45,535.55,532.9122,1012046
2025-06-24,539,562.8,539,554.2,551.4703,5718874
2025-06-25,556.9,560.7,551.3,559.4,556.6447,2448107
2025-06-26,562,569.4,558.95,566.75,563.9585,3048051
2025-06-27,569.5,579.75,565.1,574.95,572.1181,3563465
2025-06-30,575.05,579.05,572.2,577.45,574.6058,2003082
2025-07-01,582,587.8,578.6,580.25,577.392,2877528
2025-07-02,582,597.6,581.55,594.2,591.2733,3821770
2025-07-03,596.45,597.2,585.35,588.75,585.8501,1598094
2025-07-04,588.75,601.75,588.75,595.75,592.8156,2859715
2025-07-07,596,596.85,585.3,592,589.0841,2012239
2025-07-08,591.8,592.95,580,591.55,588.6363,2642993
2025-07-09,591,595.95,589,590.35,587.4422,1963293
2025-07-10,594,594.85,580.1,585.4,582.5167,3219282
2025-07-11,585.1,591.9,583.25,587.15,584.258,1938933
2025-07-14,586.75,591.4,584.5,590.15,587.2432,1926899
2025-07-15,591.65,594.8,588.35,593.1,590.1786,1498073
2025-07-16,593,597.25,586.05,595.5,592.5669,1804740
2025-07-17,595.4,595.85,589.5,594.6,591.6713,1461633
2025-07-18,595,599.75,591,596.7,593.761,2212883
2025-07-21,599.35,614.9,597.15,613.25,610.2294,4226198
2025-07-22,615,624.95,613.8,620.55,617.4935,5876411
2025-07-23,623,623.7,613.5,620.4,617.3442,1165692
2025-07-24,620.4,623.35,616,620.4,617.3442,1389419
2025-07-25,617.4,619,609,613.1,610.0801,2413503
2025-07-28,611.9,619.95,606.2,611.05,608.0403,1834138
2025-07-29,610,612.4,602.65,610.05,607.0452,3278602
2025-07-30,612.95,620.75,609,617.85,614.8068,2616022
2025-07-31,613,624.8,589.9,592.7,589.7807,5782494
2025-08-01,594.85,615.35,588.75,607.95,604.9556,4599912
2025-08-04,609.75,615,603.7,605.25,602.2689,1664433
2025-08-05,606,607.95,598.7,602.7,599.7314,795422
2025-08-06,605,606.85,588.15,589.9,586.9945,1895039
2025-08-07,588,594.15,580.2,592.35,589.4324,1936155
2025-08-08,592,595.85,578,580,577.1432,1252179
2025-08-11,580.15,591.3,580.05,588.85,585.9496,839347
2025-08-12,591.65,591.65,585.55,587.15,584.258,1053756
2025-08-13,587.5,589.25,574.25,580.85,577.989,2109517
2025-08-14,580.85,584.5,571.55,578.05,575.2028,1974038
2025-08-18,595,605.45,589.2,590.05,587.1437,4190190
2025-08-19,593,595.55,587.3,592.4,589.4822,1898159
2025-08-20,593.45,594.1,589.25,591.9,588.9846,1086467
2025-08-21,593.25,593.3,585.05,588.75,585.8501,1540533
2025-08-22,588.8,590,576,577.15,574.3073,1671189
2025-08-25,581,582,577.85,581,578.1383,1458400
2025-08-26,580,581,571.75,572.8,569.9786,1527366
2025-08-28,569.55,569.95,559.6,561.8,559.0328,1815158
2025-08-29,563,569.2,560,563.2,560.426,1166207
2025-09-01,565.2,569.9,563.45,567.1,564.3067,1366250
2025-09-02,568.1,573,564.3,567.25,564.456,801958
2025-09-03,570,576.95,569.05,573.75,570.924,2203149
2025-09-04,590,596.3,566.05,567.7,564.9038,6090485
2025-09-05,572,572.7,562.5,566.7,563.9088,923506
2025-09-08,570,577.35,565.05,570.3,567.491,938525
2025-09-09,573,576,566.5,567.6,564.8043,1107979
2025-09-10,570,572.6,566.4,566.85,564.058,1629387
2025-09-11,566.8,566.8,549,560.4,557.6398,39018032
2025-09-12,563.1,568,559.8,560.55,557.789,3773680
2025-09-15,562.65,571.5,561,568.75,565.9486,1812617
2025-09-16,575.75,578.45,570.5,573.65,570.8245,2635252
2025-09-17,577.85,583.5,575.7,582.05,579.1831,5524985
2025-09-18,583.9,584.25,576.5,581,578.1383,2063929
2025-09-19,588,588.5,578.2,582.45,579.5812,3482230
2025-09-22,585,600.8,581.2,590.3,587.3925,4982920
2025-09-23,591.95,594.65,579.15,591.6,588.686,2989117
2025-09-24,589,598.35,581.65,582.65,579.7802,2053504
2025-09-25,585,588.8,577.8,579.4,576.5462,1932523
2025-09-26,580.75,581.8,564.05,565.2,562.4161,1858418
2025-09-29,570.8,571.45,561.2,562.15,559.3812,1344417
2025-09-30,562.75,573.2,562.75,569.95,567.1427,1873402
2025-10-01,572,574.4,565.5,571.1,568.287,1195512
2025-10-03,573.9,579.95,570.3,576.15,573.3122,2062648
2025-10-06,576.15,577.8,571,573.8,570.9738,898456
2025-10-07,573,575.9,568.1,569.95,567.1427,1122712
2025-10-08,569.95,571.7,556.3,566.3,563.5107,1866324
2025-10-09,566.4,569.15,562.05,565.9,563.1127,816362
2025-10-10,565.8,573,564.5,569.25,566.4462,891468
2025-10-13,565.2,567.95,563,566.75,563.9585,1134328
2025-10-14,567.9,568.1,557.55,563.6,560.824,975792
2025-10-15,563.35,569,563.35,567,564.2073,1377329
2025-10-16,569.5,573.45,566.55,569.7,566.894,1111183
2025-10-17,569.7,569.7,562.3,563.6,560.824,931716
2025-10-20,570,570,560.6,565.5,562.7147,950800
2025-10-21,569,569.2,565.7,567.5,564.7048,166817
2025-10-23,570.4,574.5,563,564.35,561.5703,2700038
2025-10-24,565,566.6,552.85,555,552.2664,1704636
2025-10-27,557.1,561.9,552.25,560.25,557.4905,2124784
2025-10-28,563,563.25,553,554.9,552.1669,1487028
2025-10-29,555,575,555,571.75,568.9338,3787089
2025-10-30,574,574.25,565,567.9,565.1028,928349
2025-10-31,567.9,571.25,563.25,565.4,562.6152,1161448
2025-11-03,568.35,582.75,566.7,577.2,574.357,6022756
2025-11-04,582.8,588.75,565.9,567.4,564.6053,4438364
2025-11-06,567.55,569.35,557.1,558.4,555.6497,1388630
2025-11-07,558.5,563.95,550.55,558.8,556.0476,1593499
2025-11-10,558.95,563,555.05,556.1,553.3609,916236
2025-11-11,558,561.1,552.15,557.55,554.8038,1177397
2025-11-12,560,570.05,557.15,562.55,559.7792,1748539
2025-11-13,564.5,566.2,558.5,559.35,556.5949,685786
2025-11-14,562.5,564.8,558.7,563.2,560.426,1082167
2025-11-17,564.7,565.4,559.25,560.3,557.5402,618154
2025-11-18,568,568,556.75,557.8,555.0526,904843
2025-11-19,557.4,561,554.5,555.3,552.5649,847533
2025-11-20,562,562,555,555.75,553.0126,1248817
2025-11-21,555.75,556.05,545,547.55,544.853,1961101
2025-11-24,548.85,549.5,542.05,544.6,541.9175,2247682
2025-11-25,547.1,548.35,543.6,545.85,543.1614,693469
2025-11-26,546.5,552,544.55,550,547.291,948636
2025-11-27,552.45,553.3,547,548.7,545.9974,481061
2025-11-28,549.3,551.85,546.15,550.2,547.49,602009
2025-12-01,551.4,551.8,542.9,543.35,540.6737,766104
2025-12-02,544.95,547,541,543,540.3254,1754719
2025-12-03,546.9,546.9,533.65,535.35,532.7131,2219149
2025-12-04,535.6,543.5,527.6,536.9,534.2556,2474836
2025-12-05,536.9,537.5,531.8,533.8,531.1708,1243514
2025-12-08,534.7,540.55,526.55,528.95,526.3447,1893815
2025-12-09,528.1,534.5,523.4,533.05,530.4244,2139922
2025-12-10,533.05,536.5,528.65,529.7,527.091,904955
2025-12-11,529.65,537.35,525.45,536.1,533.4594,2781951
2025-12-12,536.9,549.95,536.9,548.15,545.4501,2488693
2025-12-15,547.75,556.3,542.95,553.45,550.724,1239318
2025-12-16,553,554.8,544.2,548.7,545.9974,1901877
2025-12-17,547,549.9,539.5,541.3,538.6339,518141
2025-12-18,540,542.3,534.65,535.8,533.1609,834090
2025-12-19,538,540.9,535.1,539.65,536.992,836741
2025-12-22,542,545.2,538.65,539.95,537.2905,872083
2025-12-23,563,563.5,544.25,546.9,544.2063,9559898
2025-12-24,550,553.4,547.6,548.1,545.4003,2136787
2025-12-26,549.9,555,548.2,554.65,551.9181,1919198
2025-12-29,556.9,556.9,549.65,552.1,549.3806,1228806
2025-12-30,553.9,553.9,548.95,550,547.291,2305901
2025-12-31,551.9,556.9,550.05,556.35,553.6097,1063795
2026-01-01,556.9,561,555.1,559.65,556.8935,1568506
2026-01-02,560,566.5,558.15,565.4,562.6152,1371653
2026-01-05,568.7,573.1,567.05,571.25,568.4363,2369536
2026-01-06,572,572,561.35,563.55,560.7742,1015560
2026-01-07,563.95,565.8,560.65,562,559.2319,3920663
2026-01-08,562,562,545.15,546.7,544.0073,1330617
2026-01-09,546.7,548.5,535.65,536.95,534.3053,1242111
2026-01-12,536.95,540.2,528.6,538.7,536.0466,2484225
2026-01-13,540,545.2,533.55,537.65,535.0018,1093928
2026-01-14,537.65,551.35,533.5,549.55,546.8432,1736723
2026-01-15,549.55,549.55,549.55,549.55,546.8432,0
2026-01-16,551.5,558.45,545.7,553.75,551.0225,2077235
2026-01-19,551.3,555.4,546.95,552.15,549.4304,1523060
2026-01-20,552.15,554.35,534.9,536.3,533.6584,1184287
2026-01-21,534,545,531.2,538.65,535.9969,1735277
2026-01-22,543.8,548.5,541.15,546.6,543.9077,1903090
2026-01-23,546.65,548.5,511.1,518.6,516.0456,6489381
2026-01-27,526.65,535.9,524.05,532.25,529.6284,2374373
2026-01-28,533.95,539.1,531.05,533.95,531.3201,1738702
2026-01-29,535,538.35,528.8,536.05,533.4097,2837060
2026-01-30,536.05,536.05,507.9,510.15,507.6373,6130082
2026-02-02,499.85,513.45,493.35,510.5,507.9855,2967802
2026-02-03,533,540.5,519.5,528.25,525.6481,3149032
2026-02-04,530.9,538,522.55,536.95,534.3053,977308
2026-02-05,536,536.95,528.2,533.05,530.4244,1363472
2026-02-06,530,531.55,524,529.45,526.8422,554714
2026-02-09,533.85,544.85,530.35,542.45,539.7782,1236310
2026-02-10,547,547,533,538.5,535.8476,1575847
2026-02-11,540.8,542.25,535,541.25,538.5841,1085688
2026-02-12,541,541,529,532.85,530.2254,953137
2026-02-13,526.85,530.5,517.25,519.45,516.8915,1297366
2026-02-16,520,526.4,513.2,524.7,522.1156,705071
2026-02-17,523.7,528.5,520.85,522,519.4289,2242675
2026-02-18,522,525.85,520.05,523,520.424,1773473
2026-02-19,522,526.35,510.8,512.15,509.6274,2535330
2026-02-20,512.15,517.8,508.65,512,509.4781,2376908
2026-02-23,512,518.65,510.75,515.3,512.7619,926117
2026-02-24,514.95,516.95,506.95,514.5,511.9659,1586025
2026-02-25,514.75,518.5,507.4,511.1,508.5826,1574610
2026-02-26,513,515.8,510,512.15,509.6274,1099252
