date,open,high,low,close,adj_close,volume
2025-03-03,6025.6001,6195,6001,6170.6001,6147.3853,373515
2025-03-04,6133,6220.5,6112.2998,6188.1499,6164.8687,445246
2025-03-05,6200,6235.0498,6130.6499,6214.3999,6191.02,345922
2025-03-06,6255,6292,6217.0498,6274.1001,6250.4956,284475
2025-03-07,6292.25,6314.75,6197.2998,6216.1001,6192.7139,299433
2025-03-10,6206.3999,6212,6133.8999,6149.6001,6126.4639,266043
2025-03-11,6130,6155.7002,6040,6134.7998,6111.7192,526709
2025-03-12,6134.1001,6157.9502,6063.75,6143.75,6120.6362,250139
2025-03-13,6155.1001,6200,6082.1001,6105.6499,6082.6787,247628
2025-03-17,6002,6204.2002,6002,6156.6499,6133.4873,287639
2025-03-18,6156.6499,6156.6499,6156.6499,6156.6499,6133.4873,0
2025-03-19,6275.25,6434.8999,6227.1001,6427.5498,6403.3682,579880
2025-03-20,6465,6484.6499,6363.75,6474.3501,6449.9917,457285
2025-03-21,6494,6634.1001,6470.0498,6611.5498,6586.6758,496635
2025-03-24,6649.3999,6699.9502,6600.4502,6615.7998,6590.9097,389998
2025-03-25,6596.5,6667.1499,6562.0498,6644.7002,6619.7012,223668
2025-03-26,6653.7998,6680,6491.0498,6519.7998,6495.271,281646
2025-03-27,6500.0498,6559.9502,6430.25,6492.0498,6467.625,728926
2025-03-28,6492.0498,6649.75,6432.9502,6616.2002,6591.3086,413873
2025-04-01,6599,6661.8999,6545.6499,6632.2998,6607.3472,319668
2025-04-02,6632.2998,6746.3999,6632.2998,6732.1499,6706.8218,292940
2025-04-03,6675.0498,6774.9502,6660.0498,6671.3501,6646.251,312519
2025-04-04,6672,6735,6582,6714.5498,6689.2881,279891
2025-04-07,6565,6725.7002,6490.8501,6683.2998,6658.1558,744140
2025-04-08,6725,6790,6716.25,6755.6001,6730.1836,578124
2025-04-09,6665,6851.4502,6665,6834.1001,6808.3887,680834
2025-04-11,6822.7002,6870.9502,6765.5,6780.9502,6755.4385,651996
2025-04-15,6965,6965,6835,6905,6879.022,778401
2025-04-16,6870,7034.5,6865,7005.5,6979.144,621996
2025-04-17,7038,7092,7000,7073.5,7046.8877,533349
2025-04-21,7150,7189,7058,7142.5,7115.6279,244570
2025-04-22,7141.5,7172.5,7070,7088.5,7061.8315,305540
2025-04-23,7088.5,7169,7071.5,7142,7115.1304,287593
2025-04-24,7141.5,7184.5,7093.5,7159.5,7132.5645,277769
2025-04-25,7169.5,7243,6898,6953,6926.8413,550158
2025-04-28,6954.5,7056,6954.5,7045,7018.4946,379519
2025-04-29,7049,7090,6976,6992.5,6966.1929,174253
2025-04-30,6992,7035.5,6920,6977,6950.751,499567
2025-05-02,6922,7098,6918,6928,6901.9351,207912
2025-05-05,6960,7031,6950,6974,6947.7622,259097
2025-05-06,6999.5,7074,6950,7009,6982.6304,292595
2025-05-07,6970,7056,6950,6983,6956.728,338311
2025-05-08,6950,6979,6806,6851.5,6825.7231,383274
2025-05-09,6735.5,6844,6677.5,6722,6696.7104,428193
2025-05-12,6800,6940.5,6758.5,6926,6899.9429,237009
2025-05-13,6908,7013,6900,6917.5,6891.4751,323598
2025-05-14,6930,6993,6862.5,6916.5,6890.478,324593
2025-05-15,6942,7096.5,6870,7072.5,7045.8916,656146
2025-05-16,7080,7105,6993,7015,6988.6079,270772
2025-05-19,6985,7061,6965.5,6974.5,6948.2607,307173
2025-05-20,6985.5,7007,6891,6912,6885.9956,365507
2025-05-21,6928.5,7043,6928.5,6984,6957.7246,449740
2025-05-22,6984,7001,6915,6954.5,6928.3354,229993
2025-05-23,6987.5,7088,6930,7064.5,7037.9219,321466
2025-05-26,7095,7120,7080,7096.5,7069.8018,228090
2025-05-27,7118.5,7124.5,7029.5,7073.5,7046.8877,218088
2025-05-28,7100,7101,6932.5,6956.5,6930.3281,278102
2025-05-29,6965.5,6981,6886.5,6923,6896.9541,308885
2025-05-30,6950,6993,6853.5,6880.5,6854.6138,911209
2025-06-02,6944,7090,6883.5,6915.5,6889.4824,1217905
2025-06-03,6950,6950.5,6799.5,6812.5,6786.8696,489548
2025-06-04,6812.5,6868,6772,6855,6829.2095,629518
2025-06-05,6868.5,6919.5,6842,6876,6850.1304,488647
2025-06-06,6867,6955,6808,6942.5,6916.3809,269399
2025-06-09,6976.5,6976.5,6886,6932,6905.9199,239444
2025-06-10,6951.5,6992.5,6911,6918.5,6892.4712,559472
2025-06-11,6918,6947,6863,6927.5,6901.4375,526939
2025-06-12,6932,7055,6930,6996.5,6970.1772,552007
2025-06-13,6979,7037.5,6923,6994.5,6968.1851,367775
2025-06-16,7010.5,7138,6982,7114,7087.2354,589027
2025-06-17,7120,7134.5,6999.5,7006.5,6980.1401,264117
2025-06-18,7006.5,7030,6917,6933.5,6907.4146,394355
2025-06-19,6937,7035,6912,7009.5,6983.1284,462080
2025-06-20,7005,7077,6974.5,7063.5,7036.9253,378436
2025-06-23,7000,7049.5,6995.5,7007.5,6981.1357,137379
2025-06-24,7034.5,7076,6993.5,7006,6979.6416,238243
2025-06-25,6995,7061,6995,7042,7015.5063,378904
2025-06-26,7054.5,7122.5,7020.5,7101.5,7074.7827,426516
2025-06-27,7130,7324,7117.5,7308.5,7281.0034,523582
2025-06-30,7336.5,7336.5,7203.5,7242,7214.7539,353888
2025-07-01,7475,7584.5,7404.5,7496,7467.7983,1872535
2025-07-02,7470,7532,7416.5,7441,7413.0054,910865
2025-07-03,7474,7600.5,7440,7565,7536.5391,894597
2025-07-04,7593,7593,7525,7553.5,7525.082,349076
2025-07-07,7562.5,7625.5,7535.5,7616,7587.3467,449086
2025-07-08,7605,7635,7554,7565,7536.5391,481581
2025-07-09,7545,7568.5,7448.5,7469,7440.8999,266815
2025-07-10,7455,7455,7348,7359,7331.3135,384661
2025-07-11,7355,7384,7159,7189.5,7162.4517,578061
2025-07-14,7200,7256.5,7173,7220,7192.8364,670246
2025-07-15,7260.5,7374,7227.5,7360.5,7332.8081,517978
2025-07-16,7374.5,7410,7310,7352.5,7324.8384,527782
2025-07-17,7361,7408.5,7331.5,7350.5,7322.8457,378666
2025-07-18,7384.5,7384.5,7255,7303.5,7276.0225,192649
2025-07-21,7303.5,7322.5,7246,7254.5,7227.207,217270
2025-07-22,7270,7291.5,7216.5,7246.5,7219.2368,300768
2025-07-23,7251,7390,7244,7373.5,7345.7588,508883
2025-07-24,7373,7485.5,7349.5,7363.5,7335.7974,454916
2025-07-25,7365,7483.5,7343.5,7468.5,7440.4019,434232
2025-07-28,7480,7502,7323,7356.5,7328.8232,240740
2025-07-29,7356.5,7469,7310.5,7456,7427.9487,336770
2025-07-30,7460,7474.5,7400,7450,7421.9712,266922
2025-07-31,7378,7525,7355,7498,7469.7905,342605
2025-08-01,7538,7538,7331.5,7351.5,7323.8418,215243
2025-08-04,7387,7388,7295,7308,7280.5054,260996
2025-08-05,7312,7342,7235.5,7274,7246.6338,282791
2025-08-06,7270,7279,7164.5,7189.5,7162.4517,296623
2025-08-07,7164,7197.5,7053.5,7170,7143.0249,407857
2025-08-08,7170,7198.5,7066,7084.5,7057.8462,327102
2025-08-11,7101,7320,7020.5,7259,7231.6899,498598
2025-08-12,7259,7285,7205,7236.5,7209.2744,342006
2025-08-13,7403,7840,7389,7808.5,7779.1226,2291645
2025-08-14,7830,7859.5,7749,7821.5,7792.0737,673142
2025-08-18,7850,7917.5,7806,7822.5,7793.0698,633876
2025-08-19,7830.5,7864.5,7800,7823.5,7804.0425,384598
2025-08-20,7830,7918,7812.5,7883,7863.3945,452843
2025-08-21,7893,7947,7853,7926.5,7906.7861,482016
2025-08-22,7895,7980,7852,7922.5,7902.7964,843648
2025-08-25,7926,7950,7838.5,7851,7831.4741,402979
