date,open,high,low,close,adj_close,volume
2025-03-03,1017.05,1019.4,992,1007.25,1005.6143,6763184
2025-03-04,1001.1,1011.1,998.6,1001.8,1000.1732,5786420
2025-03-05,1003,1017.4,1002.55,1014.45,1012.8027,5133873
2025-03-06,1022.6,1039.5,1015.15,1034.1,1032.4207,7861120
2025-03-07,1033.7,1050.35,1030.7,1037.65,1035.9651,7597321
2025-03-10,1036,1050.5,1032.35,1035.85,1034.1678,5995655
2025-03-11,1030.4,1036.8,1021.1,1025.65,1023.9844,4771085
2025-03-12,1025.2,1029.8,999.2,1011.2,1009.558,7504702
2025-03-13,1015,1016,1005.1,1010.2,1008.5596,4004140
2025-03-17,1011.1,1039,1011.1,1034.15,1032.4707,5938668
2025-03-18,1034.15,1034.15,1034.15,1034.15,1032.4707,0
2025-03-19,1047.8,1058.55,1043.5,1052.05,1050.3417,4822365
2025-03-20,1056.25,1058.9,1046.9,1054.35,1052.6379,3742644
2025-03-21,1054.35,1075.55,1050.55,1070.15,1068.4122,6848565
2025-03-24,1082,1104.95,1073.7,1097.85,1096.0671,8284863
2025-03-25,1109.95,1123.5,1096.35,1118.55,1116.7338,11720528
2025-03-26,1115,1118.85,1089.05,1096.25,1094.4698,7127060
2025-03-27,1092,1108,1088.1,1098.35,1096.5664,8508917
2025-03-28,1098.4,1107,1086.5,1102,1100.2104,4921190
2025-04-01,1093.2,1101.25,1070,1085.6,1083.837,6638140
2025-04-02,1091.7,1095.6,1080.75,1084.45,1082.689,4065344
2025-04-03,1078.9,1091.95,1075.3,1089.85,1088.0802,5345660
2025-04-04,1081.5,1101.9,1075.45,1091.3,1089.528,6059991
2025-04-07,1035,1069,1032.35,1047.95,1046.2482,9720457
2025-04-08,1061,1084.95,1060.3,1077.85,1076.0996,8723357
2025-04-09,1073.1,1081.85,1058,1061.65,1059.9261,6690201
2025-04-11,1063.3,1072.7,1057.55,1068.95,1067.2141,8144072
2025-04-15,1090,1117,1083,1112.8,1110.993,9320299
2025-04-16,1122.7,1163.5,1112.6,1161.3,1159.4143,12836428
2025-04-17,1155.6,1199.2,1153.6,1190.8,1188.8663,13446336
2025-04-21,1202,1238.7,1198.1,1223,1221.014,15166580
