date,open,high,low,close,adj_close,volume
2025-03-03,1884.7,1884.7,1818.7,1838.55,1836.088,1046987
2025-03-04,1829.75,1833.5,1785.25,1790.3,1787.9026,1443339
2025-03-05,1787,1808.8,1733,1801.8,1799.3872,2143253
2025-03-06,1818.8,1853,1784.1,1845.45,1842.9786,2176883
2025-03-07,1845.15,1865.55,1836.5,1845.3,1842.829,1332323
2025-03-10,1844.75,1888.75,1835,1840.35,1837.8855,1703046
2025-03-11,1830,1836.85,1788.25,1805.4,1802.9824,2298735
2025-03-12,1814,1824.35,1800,1819.45,1817.0134,1196955
2025-03-13,1828,1840,1803.15,1807.45,1805.0295,1333932
2025-03-17,1820,1880.9,1797.15,1871.6,1869.0936,6994837
2025-03-18,1871.6,1871.6,1871.6,1871.6,1869.0936,0
2025-03-19,1855,1864.4,1840,1842.25,1839.783,2411880
2025-03-20,1842.25,1855,1814.1,1851.85,1849.37,2306910
2025-03-21,1878,1880,1825,1847.25,1844.7762,3537391
2025-03-24,1855.35,1898.7,1845.5,1894.15,1891.6135,1864839
2025-03-25,1905,1954.4,1894.9,1945.05,1942.4454,3512725
2025-03-26,1951,1978,1935,1943.4,1940.7975,2779682
2025-03-27,1940,2011.5,1932.6,2005.75,2003.0641,4506778
2025-03-28,1995.75,2022,1994.2,2007.35,2004.6619,1907116
2025-04-01,1998,2002,1932.5,1937.1,1934.5059,2125921
2025-04-02,1946.3,1963.5,1920.95,1930.95,1928.3641,1057344
2025-04-03,1915,1950,1904.95,1920.45,1917.8782,1598430
2025-04-04,1912,1929.95,1897,1912.3,1909.7391,2120708
2025-04-07,1835,1894,1823.5,1852.65,1850.1691,2594074
2025-04-08,1890,1934,1873.7,1903.2,1900.6514,3182018
2025-04-09,1899,1918.3,1878,1895.7,1893.1614,1394829
2025-04-11,1909.45,1966,1906.55,1946.3,1943.6937,1880510
2025-04-15,1984,1984,1960.8,1968,1965.3645,1250872
2025-04-16,1961,1975.7,1949.6,1969.2,1966.5629,1033717
2025-04-17,1961.5,2039.7,1955,2035.3,2032.5746,2104540
2025-04-21,2037.1,2118.7,2035.7,2103.5,2100.6831,2642028
2025-04-22,2104,2110,2070,2077,2074.2185,1447675
2025-04-23,2094,2117.8,2057.3999,2100.8,2097.9868,1483177
2025-04-24,2121.8,2135,2085.3999,2105,2102.1812,1465968
2025-04-25,2105,2125,2023.1,2045.5,2042.7607,1960343
2025-04-28,2040,2094.8,2040,2049.7,2046.9552,6311008
2025-04-29,2061,2082,2028.8,2066.8999,2064.1321,2119823
2025-04-30,2018.2,2020,1926.5,1951.6,1948.9866,4684518
2025-05-02,1955,1986.6,1917.2,1966.7,1964.0663,1949238
2025-05-05,1964.9,2036.6,1959.1,2026.2,2023.4866,2072898
2025-05-06,2028.9,2045,2008.1,2035.8,2033.0739,1698230
2025-05-07,2011.3,2045.5,2009.7,2030.3,2027.5813,1078158
2025-05-08,2032,2050,1992.9,2006,2003.3137,1697652
2025-05-09,1970,1999,1963,1970,1967.3618,1207361
2025-05-12,2024.9,2057.6001,2011.8,2050.3999,2047.6541,1057561
2025-05-13,2046.9,2061.3999,2010.6,2018.2,2015.4973,2217985
2025-05-14,2028.9,2042,2010,2020.4,2017.6945,1670853
2025-05-15,2015.1,2050.3999,1996.7,2041.9,2039.1656,2640223
2025-05-16,2054,2071,2022,2033.6,2030.8766,1568556
2025-05-19,2038.9,2053,2035,2038.3,2035.5706,1379603
2025-05-20,2047,2047,1995,2005.1,2002.4148,2170575
2025-05-21,2011.5,2047,1998.2,2037.3,2034.5719,1291354
2025-05-22,2037.3,2041.8,1992,2001,1998.3203,1178160
2025-05-23,2005.9,2048.7,2003.2,2036.5,2033.7728,1085026
2025-05-26,2044,2070,2040.2,2052.6001,2049.8513,714431
2025-05-27,2050,2058,2014.5,2029.9,2027.1816,1175928
2025-05-28,2044.9,2044.9,2018,2022.4,2019.6918,415312
2025-05-29,2031.4,2032.9,2000.1,2010.9,2008.2072,874950
2025-05-30,2010.9,2031.7,2010.9,2017.4,2014.6985,2144136
2025-06-02,2017.4,2035.7,1995.1,2029,2026.283,1339043
2025-06-03,2039.1,2044.8,1980,1991.9,1989.2327,1522876
2025-06-04,2000,2007.8,1944.1,1956.1,1953.4806,1169875
2025-06-05,1961,1965.9,1929.1,1944,1941.3967,1808602
2025-06-06,1968,2018.7,1921,1990,1987.3351,6970191
2025-06-09,2001,2057.7,1991,2017.4,2014.6985,4221378
2025-06-10,2022.1,2028.3,1988.1,1998.1,1995.4242,3306765
2025-06-11,2004,2029,1982.9,2012.9,2010.2045,2245988
2025-06-12,2016,2059.7,2012.2,2028.8,2026.0833,3783347
2025-06-13,2000,2016.9,1980,2011,2008.307,1418715
2025-06-16,2005,2040,1998,2028.2,2025.4839,1645983
2025-06-17,2030,2033.9,1996.2,2003.3,2000.6173,1220096
2025-06-18,2002,2018,1975.8,1981.4,1978.7467,1401356
2025-06-19,1982,1996.2,1957.4,1967.6,1964.9651,745887
2025-06-20,1974.8,1998.9,1965,1986.2,1983.5402,1931248
2025-06-23,1976.3,2008.4,1950.7,1997.6,1994.9249,1125629
2025-06-24,2019,2032.4,1999.2,2009.2,2006.5094,1717823
2025-06-25,2028,2028,2004,2011.8,2009.106,998245
2025-06-26,2018,2058,2011.8,2053.6001,2050.8501,1828277
2025-06-27,2060,2065,2005,2044,2042.2573,6315182
2025-06-30,2040,2064,2028,2056,2054.2471,1363779
2025-07-01,2055.1001,2068.5,2042.6,2053.8,2052.0491,1002015
2025-07-02,2054,2057.5,1996.6,2007.9,2006.1881,1204931
