date,open,high,low,close,adj_close,volume
2025-03-03,853.6,865.08,843.81,862.785,852.2548,8749960
2025-03-04,852.22,861.93,851.365,858.595,848.1159,7655060
2025-03-05,845.5,850,822.1,829.87,819.7416,16300920
2025-03-06,836.5,845.98,827.555,841.085,830.8197,8814220
2025-03-07,840.99,847,836.645,840.45,830.1924,4729460
2025-03-10,843.775,863.79,832.605,834.26,824.0779,10164530
2025-03-11,830.5,837.5,821.125,834.045,823.8656,8135670
2025-03-12,834.11,852.45,827.255,848.445,838.0898,20882230
2025-03-13,850,856,839.3,842.045,831.7679,12173510
2025-03-17,839.92,862.995,838.6,858.035,847.5628,11020850
2025-03-18,858.035,858.035,858.035,858.035,847.5628,0
2025-03-19,870,887.9,868.26,873.16,862.5032,12898200
2025-03-20,872.5,876.805,854.115,867.965,857.3716,7924330
2025-03-21,903.995,908.9,883.1,891.61,880.728,27448010
2025-03-24,909.595,911.5,892.7,909.005,897.9107,14332170
2025-03-25,912.5,926.005,897.705,906.725,895.6585,17482600
2025-03-26,910.205,912.69,884.995,886.605,875.7841,8862110
2025-03-27,886.1,905.54,882.225,900.385,889.3959,20920440
2025-03-28,899.76,902.89,886.1,894.56,883.642,9770990
2025-04-01,878.33,892.5,867.1,869.82,859.204,11834240
2025-04-02,873,875.985,861.2,866.925,856.3443,6464950
2025-04-03,865,876.5,846.02,859.46,848.9704,13966330
2025-04-04,865.6,879.7,858.38,871.885,861.2438,18496580
2025-04-07,834,860.05,830.715,856.8,846.3429,13981240
2025-04-08,865,887.3,865,882.225,871.4575,14775630
2025-04-09,881.5,884.2,862.5,873.58,862.9181,10487740
2025-04-11,882.505,897.35,881.07,892.11,881.2219,10097220
2025-04-15,925.55,929,907.55,914.1,902.9435,12633610
2025-04-16,914.95,917.15,896.4,905.65,894.5967,7198220
2025-04-17,904,919,895.2,916.25,905.0673,11415130
2025-04-21,917,931.5,914.15,927.35,916.0318,7824150
2025-04-22,929.5,939.3,923,926.05,914.7477,11293580
2025-04-23,928.2,934.85,915,932.3,920.9214,10818710
2025-04-24,962,966,927.3,930.1,918.7482,18496710
2025-04-25,931.05,934.45,899,911.2,900.079,10893540
2025-04-28,908,912.5,900.05,909.3,898.2021,9946560
2025-04-29,913,914.6,896,909.3,898.2021,11768180
2025-04-30,884,888.8,855.6,863.45,852.9117,39690570
2025-05-02,857.55,891.5,856.6,886.85,876.0261,18933030
2025-05-05,887.75,903.3,886.6,893.2,882.2986,8930610
2025-05-06,891.1,897.4,875,879.75,869.0128,12040870
2025-05-07,875,899.75,872.3,898.65,887.6821,11635570
2025-05-08,897.7,907.45,877.5,883.25,872.47,12018090
2025-05-09,865,878.1,860.5,864.1,854.715,12151340
2025-05-12,884.9,903,882.55,901.85,892.055,10638220
2025-05-13,900.4,916.35,899.1,904.2,894.3795,13363000
2025-05-14,904.5,911.05,901.2,908.1,898.2371,7594000
2025-05-15,909.95,921.5,902.8,918.85,908.8704,10385000
2025-05-16,918.85,928.6,913.35,916.7,906.7437,6251920
2025-05-19,916.7,928.95,916.7,925.55,915.4976,7162740
2025-05-20,929.8,931,906.9,907.9,898.0393,8106160
2025-05-21,910,928,902.85,919.75,909.7606,7321500
2025-05-22,919.75,919.9,907.05,913.9,903.9741,6159740
2025-05-23,913.9,928.65,911.1,924.35,914.3106,4251690
2025-05-26,925.5,933.65,925,926.95,916.8824,5476790
2025-05-27,927,929,914.3,917.1,907.1394,7150000
2025-05-28,924.5,929.45,914.1,926.75,916.6846,6507400
2025-05-29,925,927.95,916,920.4,910.4036,7081750
2025-05-30,917,920.35,912.1,918.05,912.441,15041740
2025-06-02,913,916.5,904,911.85,906.2789,6619630
2025-06-03,910.6,912.8,897,897.9,892.4142,9080270
2025-06-04,897.5,903.95,896.45,898.7,893.2093,5544930
2025-06-05,898.7,898.7,886.95,893.4,887.9417,7853320
2025-06-06,894.5,943.4,887.6,937.15,931.4244,19783860
2025-06-09,955,978.8,940.3,960.75,954.8801,23496010
2025-06-10,970,970,948.55,949.75,943.9473,9044040
2025-06-11,949,957,940.4,942.5,936.7416,11860810
2025-06-12,944.9,953.3,935.5,936.85,931.1262,12388330
2025-06-13,915,936.55,914.7,933.1,927.399,10182020
2025-06-16,956,956,925,938,932.2692,7016290
2025-06-17,941.5,943.5,917.5,923,917.3608,6110175
2025-06-18,927,932.5,915,919,913.3853,5002923
2025-06-19,919,922.5,894,900.5,894.9982,6585940
2025-06-20,897,907.5,886,905,899.4708,14320241
2025-06-23,899,918,890.5,915.5,909.9066,5870597
2025-06-24,920,936,914.5,916.5,910.9005,11555634
2025-06-25,918,930,916,928,922.3303,6623799
2025-06-26,930,953.5,928.5,951.5,945.6866,11677790
2025-06-27,950,959.5,936,947,941.2142,21637194
2025-06-30,956,956,934,936.5,930.7783,6086081
2025-07-01,932.5,941.8,928,936.65,930.9274,5381327
2025-07-02,933,939.85,914,923,917.3608,9394493
2025-07-03,922,924.5,905.2,910.15,904.5893,7606558
2025-07-04,922,940.7,919,925.3,919.6467,10613046
2025-07-07,925,929.3,918.1,924.65,919.0007,3383973
2025-07-08,918.8,929.5,918.8,927.65,921.9824,3851432
2025-07-09,926.5,946,924,940.6,934.8532,5341529
2025-07-10,943,951.7,942.25,947.65,941.8602,5409906
2025-07-11,938.7,947.15,931.55,933.5,927.7966,4278038
2025-07-14,932,932,911.3,918.85,913.2361,6657978
2025-07-15,919,930.6,918,928.4,922.7278,3892075
2025-07-16,924,927,919.4,921.75,916.1184,3952491
2025-07-17,925.95,926.25,916,923.3,917.6589,4583882
2025-07-18,920.5,944.9,920,942,936.2447,7893820
2025-07-21,938.9,951,937.35,948.45,942.6553,4660232
2025-07-22,955,962,940,952.55,946.7302,6237382
2025-07-23,954,970.95,953.65,968.3,962.384,9694991
2025-07-24,970,970,954,958.95,953.0912,5189112
2025-07-25,906.4,924.9,898,913.75,908.1673,24415481
2025-07-28,909.25,913.75,879,880.5,875.1204,14011284
2025-07-29,875.05,894,873.5,886.55,881.1335,11323854
2025-07-30,890.95,892.6,875,884.85,879.4438,5054496
2025-07-31,872,887.85,868,881.2,875.8162,6999179
2025-08-01,884.8,895.85,873,875.6,870.2504,5300299
2025-08-04,874,886.75,873.7,885.3,879.8911,3969985
2025-08-05,889,893.6,882.4,891.9,886.4508,4446791
2025-08-06,888,895.5,874.6,876.65,871.294,4212648
2025-08-07,871,882,867.25,879.1,873.729,5998002
2025-08-08,877,888.3,876,877.15,871.791,3736916
2025-08-11,877.15,888.3,872.75,877.8,872.437,5367926
2025-08-12,877.2,884.9,851.5,853,847.7885,8257312
2025-08-13,854.55,864,849,860,854.7457,10117225
2025-08-14,860,866.9,855.45,861.45,856.1868,5379250
2025-08-18,875,919.65,875,905.2,899.6696,16277779
2025-08-19,905.95,909.9,890.5,902.3,896.7872,5764382
2025-08-20,900.55,902,886.05,887.8,882.3759,5561646
2025-08-21,888,901.3,884,895.6,890.1282,6697533
2025-08-22,895,903.9,892,894.5,889.0349,6424895
2025-08-25,902.1,908,898.15,900.8,895.2964,5837876
2025-08-26,899.95,901.9,873.5,876.25,870.8964,6712926
2025-08-28,870.2,884.5,869.7,876.85,871.4927,8349342
2025-08-29,870.85,888,870.85,877.85,872.4866,5672446
2025-09-01,877.85,894.8,877.85,889.35,883.9164,4101526
2025-09-02,895,899.55,886.15,890.1,884.6617,6103185
2025-09-03,892.7,898.85,880.05,896.3,890.8239,5493809
2025-09-04,915,948,912.25,934.75,929.039,21738706
2025-09-05,942,942.35,932,937.6,931.8716,5467260
2025-09-08,937.6,949.65,935.65,944.3,938.5306,5657331
2025-09-09,944,949.4,940,948.4,942.6057,5417393
2025-09-10,951.05,969.65,947.7,967.95,962.0362,6836239
2025-09-11,968,975.9,965.6,970.25,964.3221,5982627
2025-09-12,972.25,1004.6,970.85,1003.25,997.1205,11412561
2025-09-15,999,1025.7,998.1,1009.85,1003.6801,9989753
2025-09-16,1005.85,1015.3,1000,1003.25,997.1205,7602155
2025-09-17,1010,1011.8,1000.35,1007.5,1001.3445,6995023
2025-09-18,1007,1009.8,990,996.5,990.4117,9738376
2025-09-19,991,996,988.6,992.45,986.3865,6736440
2025-09-22,989.95,1010.9,989,1006.5,1000.3506,4250045
