date,open,high,low,close,adj_close,volume
2025-03-03,247.5,258.9,244.36,257.39,253.9525,24644079
2025-03-04,253.89,266.5,252.5,264.71,261.1747,24998454
2025-03-05,265,275.8,263.33,274.92,271.2484,28499877
2025-03-06,276.21,281,271.83,272.95,269.3047,22586087
2025-03-07,275.8,279.73,274,276.99,273.2907,25542382
2025-03-10,278.6,283.47,271.55,272.33,268.693,20986855
2025-03-11,271.95,278.5,269.05,277.18,274.9929,20980143
2025-03-12,278.78,280.4,274.12,276.83,274.6456,15308721
2025-03-13,283,285.8,279.42,280.07,277.8601,38015489
2025-03-17,281,283.38,276.72,279.93,277.7212,13883681
2025-03-18,279.93,279.93,279.93,279.93,277.7212,0
2025-03-19,286,292.99,284.76,290,287.7117,21095205
2025-03-20,294.81,297.78,291.1,297.05,294.7061,27889890
2025-03-21,301,301,292.75,295.74,293.4064,41751586
2025-03-24,296.9,304.9,296.35,302.1,299.7162,29935092
2025-03-25,304,304.5,298.65,300.03,297.6626,19364944
2025-03-26,301.07,305.5,298.49,299.54,297.1764,23869923
2025-03-27,297,302,296.63,300.65,298.2776,14453677
2025-03-28,304,306.58,299.07,301.32,298.9424,20850848
2025-04-01,302,305.8,290,292,289.6959,33171384
2025-04-02,289.9,290.75,274.45,282.4,280.1717,52653587
2025-04-03,283,288.25,282.6,287.5,285.2314,20968721
2025-04-04,287.1,288,278.3,280,277.7906,19699594
2025-04-07,257,274.5,256.2,272.1,269.9529,24954083
2025-04-08,282.45,288,276.6,281.45,279.2292,26787606
2025-04-09,281,282.8,276.6,280.15,277.9394,11389916
2025-04-11,283,287,282.65,285,282.7512,13883110
2025-04-15,289.9,294.15,287.55,293.7,291.3825,19512440
2025-04-16,293.5,295.35,291.3,293.6,291.2833,12479078
2025-04-17,293,296.6,291.15,295.15,292.821,13609937
2025-04-21,297.5,301.6,295.15,299.95,297.5832,14064356
2025-04-22,301,304.75,299.75,303.35,300.9564,11962358
2025-04-23,305.6,310.3,301.8,305.85,303.4366,21918666
2025-04-24,305,308.6,303.45,305.7,303.2878,17241517
2025-04-25,306.8,307.8,293.7,297.6,295.2517,20307004
2025-04-28,296,307.85,295.85,305.05,302.6429,29913417
2025-04-29,306.55,319.45,305.8,317.1,314.5979,57882724
2025-04-30,319,320.45,312.6,314.1,311.6216,24863436
2025-05-02,310.8,317.75,310.6,311.15,308.6948,15451259
2025-05-05,313.95,316.9,313.2,315.3,312.8121,10955241
2025-05-06,315.65,319.3,309.2,310.5,308.05,17029890
2025-05-07,305,315.2,305,309.95,307.5043,19274367
2025-05-08,310.5,313.7,304.8,307.15,304.7264,17110997
2025-05-09,305,321.8,305,315.85,313.3577,44244945
2025-05-12,325,325,316.2,322.8,320.2529,39927141
2025-05-13,323.7,337.75,322.8,335.75,333.1007,57985762
2025-05-14,339,346,334.5,344.35,341.6329,43684324
2025-05-15,346.5,351,340.8,350.4,347.6351,35959338
2025-05-16,351.6,371.15,349.6,363.9,361.0286,68855818
2025-05-19,372.9,373.5,362.55,363.75,360.8798,52003735
2025-05-20,369.4,371,358.5,363.8,360.9294,67088831
2025-05-21,366.9,383.9,364,383,379.9779,88688170
2025-05-22,383,386.75,379,383.4,380.3747,43486783
2025-05-23,389.15,389.9,381.1,383.8,380.7715,37666187
2025-05-26,384.9,385.8,378.5,384.55,381.5156,26722908
2025-05-27,384.5,388.8,383.45,385.4,382.3589,16859142
