date,open,high,low,close,adj_close,volume
2025-03-03,1579,1602.75,1572.75,1595.8,1562.9005,6993525
2025-03-04,1589,1590.5,1568,1575.35,1542.8721,5219668
2025-03-05,1578,1626.1,1577.1,1618.25,1584.8876,6295425
2025-03-06,1618,1631.75,1590.45,1626.9,1593.3593,5174009
2025-03-07,1629,1642.4,1615.6,1630.7,1597.0809,3035558
2025-03-10,1640,1654.9,1626.6,1630.95,1597.3257,3778450
2025-03-11,1630,1676.4,1624.05,1662.95,1628.6659,6078564
2025-03-12,1690,1716.65,1634,1642.85,1608.9803,9907628
2025-03-13,1650.8,1656.9,1629.6,1632.5,1598.8438,8317331
2025-03-17,1612.2,1648.4,1612.2,1639.15,1605.3567,6405522
2025-03-18,1639.15,1639.15,1639.15,1639.15,1605.3567,0
2025-03-19,1635,1642.05,1627.5,1637.15,1603.3978,6283464
2025-03-20,1660,1709.65,1646.1,1705.25,1670.0939,12074465
2025-03-21,1709.65,1731.4,1692,1725.8,1690.2203,14715349
2025-03-24,1740,1740,1714.85,1718.8,1683.3646,4120999
2025-03-25,1725,1740.5,1706.1,1730.5,1694.8234,4857399
2025-03-26,1739.15,1765,1726.15,1738.55,1702.7075,7142394
2025-03-27,1739.95,1746.4,1713.25,1724.7,1689.1428,6222339
2025-03-28,1733.3,1745.75,1660,1733.4,1697.6637,4133264
2025-04-01,1715,1765,1708.45,1724.15,1688.6044,6773056
2025-04-02,1720,1760.4,1716.95,1754.6,1718.4265,6431226
2025-04-03,1748,1754.95,1735.45,1746,1710.0039,2341989
2025-04-04,1754.5,1770.8,1740,1743.45,1707.5063,7817334
2025-04-07,1730,1774.75,1669.4,1686.65,1651.8774,14870388
2025-04-08,1720.7,1742.3,1706.8,1720.4,1684.9315,7206935
2025-04-09,1719.65,1726.85,1711.6,1715.55,1680.1816,5600666
2025-04-11,1760,1767,1732.35,1756.6,1720.3853,8340002
2025-04-15,1808.2,1820,1781.1,1798.8,1761.7153,10313411
2025-04-16,1802.4,1826.5,1794.1,1822.6,1785.0245,6180958
2025-04-17,1834,1897.7,1825.7,1889.1,1850.1536,10894325
2025-04-21,1898.4,1904.3,1868.6,1883.4,1844.5712,3501123
2025-04-22,1888,1888,1836.8,1852.2,1814.0143,6155127
2025-04-23,1867,1885.9,1836.1,1881.6,1842.8082,6855027
2025-04-24,1874.5,1877.8,1839.5,1845.6,1807.5504,5180688
2025-04-25,1846.7,1861.7,1806,1817.2,1779.7358,4570083
2025-04-28,1836,1838.9,1813.4,1821.8,1784.2412,3301891
2025-04-29,1823.7,1847.8,1817.6,1823.8,1786.2,4684155
2025-04-30,1837,1876.9,1827,1864.5,1826.0608,9139821
2025-05-02,1852,1883.6,1832.1,1848.2,1810.0968,3866806
2025-05-05,1868,1873.5,1849.2,1866,1827.5299,3548839
2025-05-06,1888.3,1912,1882.6,1901,1861.8083,8597920
2025-05-07,1901,1917,1885.5,1896.8,1857.6949,5554616
2025-05-08,1897,1905.8,1862.4,1874.9,1836.2463,5500724
2025-05-09,1855,1871.1,1836.5,1848.4,1810.2927,3686209
2025-05-12,1868.9,1883.4,1854,1870.8,1832.231,3936019
2025-05-13,1870,1883.7,1816.6,1820.6,1783.0658,8817763
2025-05-14,1830,1870.7,1820.2,1834.2,1796.3855,7401614
2025-05-15,1849.9,1869.9,1825,1867.2,1828.7051,8788351
2025-05-16,1834,1834,1810.1,1814,1776.6018,100662047
2025-05-19,1822,1828.7,1809,1818.3,1780.8132,5799804
2025-05-20,1809.8,1824.9,1799.5,1808.9,1771.6071,12512596
2025-05-21,1813,1826.5,1805.3,1822.5,1784.9266,6849562
2025-05-22,1819.9,1836.7,1816.3,1831.4,1793.6432,6496923
2025-05-23,1825,1841.8,1821.5,1831.7,1793.9369,3460945
2025-05-26,1834,1850,1830.9,1847.4,1809.3134,3254715
2025-05-27,1844,1857.6,1833.7,1843.8,1805.7876,5847725
2025-05-28,1848,1867,1845.1,1856.1,1817.8339,3713699
2025-05-29,1858,1867,1850.5,1863.6,1825.1793,5786774
2025-05-30,1854,1867,1843,1856.2,1817.9318,16712960
2025-06-02,1844,1859,1831.5,1854.1,1815.8751,3199499
2025-06-03,1867,1869.5,1832,1841.3,1803.3391,5596977
2025-06-04,1855,1884.6,1850,1875.4,1836.7361,5892170
2025-06-05,1884,1889,1868.6,1878.8,1840.0659,8999675
