date,open,high,low,close,adj_close,volume
2025-03-03,26544,27029.9004,26264,26691.5508,26161.9668,17747
2025-03-04,26504.3496,26647.75,26066.5996,26259.6992,25738.6836,31707
2025-03-05,26005,27121.5508,26005,27073.4492,26536.2871,37194
2025-03-06,27299,27311.9492,26850,27070.0508,26532.957,31682
2025-03-07,27070.0508,27391.9004,26850,27033.4004,26497.0332,18774
2025-03-10,27005,27250,26610.1504,26799.3496,26267.627,17291
2025-03-11,26650,27030.1504,26400,26982.5508,26447.1934,18143
2025-03-12,26900,27125,26540,26807.0996,26275.2227,17579
2025-03-13,26750,26807.0996,26282.4492,26378.3496,25854.9785,8806
2025-03-17,26379.0508,26759.6504,26210.9492,26345.8496,25823.123,16075
2025-03-18,26345.8496,26345.8496,26345.8496,26345.8496,25823.123,0
2025-03-19,27337,27671.8496,27310,27557.3008,27010.5391,20377
2025-03-20,27560.0508,27875,27503.0508,27623.8496,27075.7676,17337
2025-03-21,27675,27839.9492,27358.9492,27432.25,26887.9707,76189
2025-03-24,27528.3496,28356.9492,27528.3496,28276.8008,27715.7637,18555
2025-03-25,28500,28500,27366.5508,27448.0996,26903.5039,31106
2025-03-26,27629,28180,27390.3008,28072.0508,27515.0762,35123
2025-03-27,27999,28459.9004,27600,28355.5,27792.9023,45542
2025-03-28,28170,28560,28116,28358.4492,27795.791,21915
2025-04-01,28100.1504,28349.9492,27650.5996,27884.0996,27330.8535,46358
2025-04-02,27884.0996,28205.9492,27738,28024.0996,27468.0762,18267
2025-04-03,27588,28098.8496,27588,28013.9004,27458.0801,15941
2025-04-04,27750,27780.5508,27124.5996,27289.0996,26747.6582,21549
2025-04-07,26409.5,26800,25921.5996,26588.25,26060.7148,40276
2025-04-08,26800,27089.9492,26350,26516.3008,25990.1934,11659
2025-04-09,26500,26596.4492,26077.3496,26182.6992,25663.2109,10681
2025-04-11,26684.1992,26849.8008,26300,26359.25,25836.2578,21080
2025-04-15,27090,27165,26580,27090,26552.5098,18573
2025-04-16,27090,27485,27030,27370,26826.9531,13059
2025-04-17,27485,27580,27025,27505,26959.2754,10197
2025-04-21,27600,27930,27515,27800,27248.4219,13857
2025-04-22,27900,28350,27655,28020,27464.0586,20011
2025-04-23,28200,28600,27915,28415,27851.2207,18101
2025-04-24,28415,28600,28200,28430,27865.9238,19139
2025-04-25,28355,28625,27850,27995,27439.5527,29555
2025-04-28,27860,28395,27860,28315,27753.2031,12875
2025-04-29,28465,29250,28395,29165,28586.3398,34323
2025-04-30,29195,29685,29065,29455,28870.5859,30652
2025-05-02,29595,29940,29340,29445,28860.7852,10630
2025-05-05,29750,30570,29595,30365,29762.5293,21026
2025-05-06,30475,30600,29800,29915,29321.4609,15039
2025-05-07,29585,30850,29425,30475,29870.3477,26296
2025-05-08,30510,30755,29780,30010,29414.5742,17004
2025-05-09,29865,30235,29560,30000,29404.7734,19095
2025-05-12,30680,31085,30420,31005,30389.832,14375
2025-05-13,31115,31325,31005,31145,30527.0566,18815
2025-05-14,31045,31755,31045,31420,30796.5977,19016
2025-05-15,31590,31820,31305,31730,31100.4492,24393
2025-05-16,31730,31885,31470,31655,31026.9355,18391
2025-05-19,31635,32080,31450,31560,30933.8203,19249
2025-05-20,31800,32000,31455,31515,30889.7148,25442
2025-05-21,31515,31850,31250,31655,31026.9355,14371
2025-05-22,31655,31895,31305,31740,31110.25,10408
2025-05-23,31845,32195,31610,32130,31492.5117,10400
2025-05-26,32130,32705,31870,32485,31840.4668,22230
2025-05-27,32510,32610,32315,32485,31840.4668,21918
2025-05-28,32440,32440,31200,31630,31002.4316,79649
2025-05-29,31640,31885,31165,31255,30634.8711,17502
2025-05-30,31450,32015,31010,31415,30791.6973,51998
2025-06-02,31450,31520,31080,31230,30610.3691,14075
2025-06-03,31360,31560,31195,31355,30732.8887,10737
2025-06-04,31550,31840,31300,31415,30791.6973,55704
2025-06-05,31680,31680,31250,31455,30830.9043,62802
2025-06-06,31625,31730,31320,31595,30968.125,29686
2025-06-09,31605,31880,31605,31690,31061.2422,18145
2025-06-10,31690,31970,31450,31545,30919.1191,21674
2025-06-11,31550,31945,31520,31895,31262.1738,9731
2025-06-12,31800,31940,31440,31520,30894.6133,9072
2025-06-13,31100,31730,30945,31585,30958.3242,12905
2025-06-16,31695,32375,31405,32280,31639.5352,21513
2025-06-17,32370,32395,32000,32215,31575.8242,10902
2025-06-18,32105,32585,32105,32390,31747.3535,15987
2025-06-19,32480,32795,32205,32375,31732.6504,20928
2025-06-20,32375,32620,32150,32290,31649.3359,23579
2025-06-23,32250,32290,31480,31575,30948.5234,13460
2025-06-24,32000,32000,31435,31500,30875.0117,15696
2025-06-25,31705,32085,31470,31755,31124.9512,28913
2025-06-26,31895,32400,31525,32215,31575.8242,40409
2025-06-27,32490,32495,32020,32260,31619.9316,83020
2025-06-30,32660,32895,32440,32680,32031.5977,32831
2025-07-01,32660,32670,32120,32315,31673.8418,13798
2025-07-02,32400,32545,32215,32445,31801.2617,18343
2025-07-03,32545,34875,32450,34405,33722.3711,120903
2025-07-04,34380,36020,34330,35930,35217.1133,173114
2025-07-07,35760,36340,35375,36045,35329.832,90278
2025-07-08,35990,36335,35380,35490,34785.8477,83073
2025-07-09,35500,36095,35265,35800,35089.6953,40693
2025-07-10,35725,36300,35620,36195,35476.8594,40853
2025-07-11,36200,37410,36155,36525,35800.3125,81825
2025-07-14,36785,37985,36525,37845,37094.1211,75464
2025-07-15,37990,38850,37885,38320,37559.6953,69592
2025-07-16,38570,38570,37845,38475,37711.6211,42632
2025-07-17,38600,38855,38275,38645,37878.2461,40326
2025-07-18,38645,39055,38150,38250,37491.082,32786
2025-07-21,38495,38565,38010,38320,37559.6953,24276
2025-07-22,38500,38515,37425,37755,37005.9063,26390
2025-07-23,37800,38060,37515,37980,37226.4414,20844
2025-07-24,37980,38350,37825,37910,37157.832,19341
2025-07-25,38115,38115,37610,37830,37079.418,17581
2025-07-28,38140,38530,37810,38235,37476.3828,37336
2025-07-29,37700,40120,37615,39915,39654.0547,89125
2025-07-30,40000,40415,39125,40060,39798.1055,100405
2025-07-31,39500,40490,39325,40385,40120.9805,46071
2025-08-01,40375,40730,40105,40390,40125.9492,59925
2025-08-04,40150,41280,40035,41115,40846.207,66056
2025-08-05,41145,41290,39445,40595,40329.6094,114355
2025-08-06,40500,40555,38150,38255,38004.9063,103119
2025-08-07,38225,38750,37900,38570,38317.8477,54977
2025-08-08,38570,39150,38220,38325,38074.4492,32516
2025-08-11,38540,39080,38320,38710,38456.9297,31256
2025-08-12,39000,39010,38540,38610,38357.5859,20383
2025-08-13,38795,38910,38510,38660,38407.2578,13806
2025-08-14,38880,38950,38430,38585,38332.75,23267
2025-08-18,39000,39895,38870,39335,39077.8438,28210
2025-08-19,39495,40245,39365,39860,39599.4141,25516
2025-08-20,39920,40280,39830,39935,39673.9219,18625
2025-08-21,40075,40105,39360,39475,39216.9297,21473
2025-08-22,39725,39780,39165,39325,39067.9102,14967
2025-08-25,39325,39535,38950,39085,38829.4805,33832
2025-08-26,39200,39655,38800,39510,39251.6992,32640
2025-08-28,39700,39960,39070,39225,38968.5625,33810
2025-08-29,39455,40350,39060,39960,39698.7578,46252
2025-09-01,40220,40950,40010,40785,40518.3672,45616
2025-09-02,40900,41575,40675,41315,41044.9023,38339
2025-09-03,41500,41835,41000,41100,40831.3047,31045
2025-09-04,41660,41660,40540,40740,40473.6602,27591
2025-09-05,41075,41095,40755,40910,40642.5469,16404
2025-09-08,41100,41760,41000,41355,41084.6406,16171
2025-09-09,41450,41640,41095,41495,41223.7227,25999
2025-09-10,41700,41945,40955,41005,40736.9258,29476
2025-09-11,41190,41200,40400,40655,40389.2148,24790
2025-09-12,40780,40890,39790,39885,39624.25,24810
2025-09-15,40040,40040,39260,39445,39187.125,21503
2025-09-16,39605,40050,39595,39920,39659.0195,34458
2025-09-17,39995,40190,39725,39775,39514.9688,29814
2025-09-18,40000,40060,39780,39885,39624.25,19976
2025-09-19,39985,40130,39400,39790,39529.8711,31662
2025-09-22,39790,40050,39400,39570,39311.3086,32201
2025-09-23,39570,40055,39300,39390,39132.4844,30113
2025-09-24,39520,39595,38665,38760,38506.6055,22613
2025-09-25,38890,39000,38365,38525,38273.1406,34109
2025-09-26,38430,38720,38050,38150,37900.5938,28075
2025-09-29,38165,38600,37635,38345,38094.3164,67770
