date,open,high,low,close,adj_close,volume
2025-03-03,239,243.64,234.01,242.41,227.5279,6864635
2025-03-04,241,250.94,236.1,249.92,234.5768,7201075
2025-03-05,249.9,256.93,249.9,255.84,240.1334,7802519
2025-03-06,260,265.95,259,265.04,248.7686,12828381
2025-03-07,264.96,265.79,260,261.26,245.2207,7057204
2025-03-10,261.26,265.96,256.06,256.93,241.1565,8487911
2025-03-11,255.99,264.97,254.35,264.58,248.3368,12306539
2025-03-12,266.5,272,263.4,266.32,249.97,10648004
2025-03-13,266.32,266.67,262.01,264.41,248.1772,4545159
2025-03-17,261.11,263.69,258.31,261.42,245.3708,6482574
2025-03-18,261.42,261.42,261.42,261.42,245.3708,0
2025-03-19,263.51,266.49,263.01,265.26,248.9751,4955027
2025-03-20,266.6,272.93,264.75,272.13,255.4233,10789615
2025-03-21,272.2,285.85,271.06,279.66,262.491,26173451
2025-03-24,282,285.3,280,280.44,263.2231,11376607
2025-03-25,280.57,283.96,277.18,279.11,261.9748,12143699
2025-03-26,278,283.33,272.13,273.01,256.2493,9475308
2025-03-27,273.39,279.85,272.18,276.06,259.112,107524873
2025-03-28,276.99,284.33,276.3,278.47,261.3741,12687883
2025-04-01,275,287,275,284.6,267.1277,20780255
2025-04-02,283.05,288.05,277.7,286.8,269.1927,12058406
2025-04-03,283,291.4,283,286.8,269.1927,6663148
2025-04-04,292.15,295.7,277.05,279.45,262.2939,18852567
2025-04-07,262,279.1,262,273.7,256.8969,15010047
2025-04-08,279.5,287.5,275.1,285.9,268.3479,18994276
2025-04-09,288.7,290.65,279.6,287.95,270.2721,14519066
2025-04-11,296.45,296.45,286.5,293.2,275.1998,14955235
2025-04-15,296.8,296.8,291.1,294.4,276.3261,8516322
2025-04-16,294,300.55,292.55,298.75,280.4091,9064723
2025-04-17,298,301.75,295.45,298.35,280.0336,7510897
2025-04-21,299.85,305.55,298,304.05,285.3836,6455955
2025-04-22,305,308.5,302.65,306.1,287.3078,7096150
2025-04-23,306.1,306.65,298.3,300.45,282.0047,7400827
2025-04-24,302.95,305.5,300.3,302,283.4595,5773985
2025-04-25,302.35,304.95,293.3,295.7,277.5463,7773037
2025-04-28,293.1,310.95,293.1,310,290.9684,14414879
2025-04-29,311.55,315.6,309.8,311.7,292.564,9522966
2025-04-30,319,322.45,309,310.05,291.0153,21424437
2025-05-02,310.55,317.5,309.9,311.4,292.2824,6850147
2025-05-05,317,325.85,316,321.05,301.34,16037327
2025-05-06,321.1,322.2,310.55,311.45,292.3293,5444873
2025-05-07,307,317.5,307,316.9,297.4448,7970668
2025-05-08,315.5,320.2,305.7,307.95,289.0443,5918739
2025-05-09,302.55,307.35,301.35,306.85,288.0117,4955934
2025-05-12,315,315.95,307.15,309.05,290.0767,6844271
2025-05-13,309.05,310.6,304.5,306.9,288.0587,7241358
2025-05-14,308.7,313.55,308.4,312.5,293.3149,7733320
2025-05-15,314,320.2,313.5,317,297.5386,7055032
2025-05-16,316,321,315.8,320.1,300.4483,6861786
2025-05-19,318.55,319.55,316.15,317.2,297.7264,2956007
2025-05-20,317,319.65,311.75,312.9,293.6903,5016433
2025-05-21,312.3,316.75,309.35,315.85,296.4592,5232094
2025-05-22,314.9,318.9,308.7,313.05,293.8311,4876801
2025-05-23,312,320,312,318.9,299.322,4257721
2025-05-26,319,323.95,319,322.95,303.1234,5050848
2025-05-27,322.9,322.9,315.5,317,297.5386,4716473
2025-05-28,317,322.6,313.75,321.7,301.9501,7112876
2025-05-29,321.2,322.55,317.6,319.15,299.5566,4000772
2025-05-30,317.55,322.4,317,318.4,298.8527,9148638
2025-06-02,318.4,319.5,315.65,316.6,297.1632,3086437
2025-06-03,315.05,320.95,309,309.75,290.7337,7853488
2025-06-04,309.75,312.65,308.6,311.55,292.4232,5925942
2025-06-05,311.1,315.4,308.25,309.8,290.7806,5900170
2025-06-06,309,317.85,309,316.7,297.257,5825337
