date,open,high,low,close,adj_close,volume
2025-03-03,4595.4502,4672,4548.1499,4596.6001,4462.8154,412033
2025-03-04,4530.0498,4581,4506,4575.2002,4442.0386,321501
2025-03-05,4579.8999,4735.2002,4560,4722.1499,4584.7109,350741
2025-03-06,4725,4799.8999,4654.6499,4702.5498,4565.6812,460852
2025-03-07,4690,4765,4660,4748.25,4610.0513,191644
2025-03-10,4749,4823.9502,4710.0498,4737.7002,4599.8086,290019
2025-03-11,4720,4795,4711.5498,4762.0498,4623.4497,147357
2025-03-12,4769.8999,4801.5,4712.3999,4792.0498,4652.5762,223033
2025-03-13,4790,4838,4712.7998,4728.25,4590.6333,284758
2025-03-17,4600,4743.0498,4600,4674.8999,4538.8364,322411
2025-03-18,4674.8999,4674.8999,4674.8999,4674.8999,4538.8364,0
2025-03-19,4797,4797,4673.2998,4707.1001,4570.0991,469240
2025-03-20,4741.8999,4840,4715,4831.1001,4690.4897,265168
2025-03-21,4840,4853.1499,4786.5498,4814,4673.8877,304441
2025-03-24,4816.3999,4832.7998,4770.25,4796.8501,4657.2368,173845
2025-03-25,4792,4865,4738.6001,4845.2002,4704.1797,422209
2025-03-26,4846.8999,4876.6001,4794.0498,4849.7002,4708.5488,453242
2025-03-27,4830,4925.3999,4780.0498,4841.2002,4700.2959,6750074
2025-03-28,4861.9502,5028.6499,4861.9502,4936.8999,4793.2104,415586
2025-04-01,4890.1001,4965,4882.5498,4900.7998,4758.1611,557968
2025-04-02,4905.7998,5055,4900.7998,5037.3999,4890.7856,459267
2025-04-03,4990.0498,5090,4982,5073.4502,4925.7866,339959
2025-04-04,5033.4502,5150,4977.8501,5023.3999,4877.1929,722283
2025-04-07,4622,5072,4605.0498,5055.8501,4908.6987,841464
2025-04-08,5062.4502,5188.1001,5038.6499,5179.3501,5028.6045,303185
2025-04-09,5149.5,5352.1001,5149.5,5339.4502,5184.0444,549745
2025-04-11,5400.75,5400.75,5306.5,5350.2002,5194.4819,304650
2025-04-15,5428.8999,5432,5309,5391.2998,5234.3853,446075
2025-04-16,5350.5,5442,5350.5,5416.2002,5258.561,215423
2025-04-17,5420,5469.2998,5396.7998,5454.6001,5295.8428,186873
2025-04-21,5480.5,5480.5,5370,5393.2002,5236.23,201975
