date,open,high,low,close,adj_close,volume
2025-03-03,81.25,82,78.6,81.42,76.0935,30406353
2025-03-04,80.45,82.99,79.7,81.94,76.5795,25682844
2025-03-05,82.35,85.15,82.14,85.02,79.458,17408359
2025-03-06,86,86.77,85.11,85.35,79.7664,19427907
2025-03-07,85.5,85.95,84.45,85.02,79.458,12988687
2025-03-10,85,85.43,82.21,82.49,77.0935,14634696
2025-03-11,81.4,83.65,81.4,83.28,77.8318,21742642
2025-03-12,83.3,84.1,81.55,82.46,77.0655,14726763
2025-03-13,82.72,83.48,82.16,82.9,77.4767,25685980
2025-03-17,83.3,83.46,82.17,82.49,77.0935,13115634
2025-03-18,82.49,82.49,82.49,82.49,77.0935,0
2025-03-19,84.02,85.85,84.02,85.57,79.972,22116696
2025-03-20,85.99,86.68,85.35,85.84,80.2244,17359824
2025-03-21,86,88.25,85.5,87.54,81.8131,26691971
2025-03-24,88.5,91.6,88.2,91.32,85.3459,36771697
2025-03-25,92.2,92.25,88.05,88.46,82.673,23478508
2025-03-26,88.3,89.32,87,87.24,81.5328,21455219
2025-03-27,87.1,90,86.8,89.65,83.7851,58399584
2025-03-28,89.65,91.18,88.66,89,83.1776,30188247
2025-04-01,88.53,90.68,88.1,90,84.1122,14596862
2025-04-02,90.5,91.33,88.5,91.1,85.1403,18479410
2025-04-03,90,95.19,89.75,94.38,88.2057,38514763
2025-04-04,94.41,94.8,89.7,90.39,84.4767,33552098
2025-04-07,83.7,87.92,83.7,87.1,81.4019,29326338
2025-04-08,89,89.84,87.6,89.43,83.5795,21516232
2025-04-09,89.66,90.2,87.15,88.42,82.6356,21829542
2025-04-11,89.95,91.4,88.86,90.54,84.6169,22091340
2025-04-15,92.83,92.94,91.28,92.69,86.6262,31990152
2025-04-16,92.97,94.94,92.5,94.7,88.5047,27215945
2025-04-17,94.98,96.6,94.6,96.02,89.7384,31763625
2025-04-21,96.8,99.49,96.5,99,92.5234,27799862
2025-04-22,100.11,102.63,99.3,100.66,94.0748,49276193
2025-04-23,101.15,101.3,97.54,99.45,92.944,41477808
2025-04-24,99.5,100.3,99,99.39,92.8879,27747894
2025-04-25,99.4,99.71,96.02,96.53,90.215,41413435
2025-04-28,96.26,99,95.87,98.45,92.0094,28301422
2025-04-29,99.25,101.39,98.8,99.33,92.8318,47026479
2025-04-30,99,99,96.95,97.45,91.0748,23757351
2025-05-02,97.5,98.97,96.45,96.66,90.3365,12615367
2025-05-05,97,97.74,96.65,97.16,90.8038,13789187
2025-05-06,97.5,97.94,91.89,92.38,86.3365,27373024
2025-05-07,91,94.33,90.95,93.67,87.5421,25189656
2025-05-08,94.39,98.17,92.93,95.37,89.1309,78481304
2025-05-09,94.01,98.44,93.87,97.64,91.2524,41029403
2025-05-12,100.5,101.45,99.85,100.86,94.2618,49391352
2025-05-13,101.2,105.57,100.82,104.78,97.9253,59518073
2025-05-14,105.6,106.57,104.54,105.67,98.7571,46744208
2025-05-15,106.1,106.25,104.42,105.16,98.2804,22577353
2025-05-16,105.5,108.59,105.5,107.76,100.7104,33164805
2025-05-19,108.7,109.5,107.76,107.96,100.8973,26144154
2025-05-20,108.88,109.05,106.57,107.04,100.0375,24579486
2025-05-21,107,108,106.01,107.84,100.7851,20965817
2025-05-22,107.5,108.48,105.82,106.84,99.8505,18266891
2025-05-23,107.15,107.99,106.41,107.21,100.1963,16155459
2025-05-26,107.4,108.19,106.61,107.48,100.4487,17383646
2025-05-27,107.38,108.59,106.6,108.43,101.3365,19199151
2025-05-28,108.52,111.48,108.48,110.94,103.6823,29822557
2025-05-29,111.9,112.01,109.92,110.73,103.4861,29174369
2025-05-30,111.12,115.32,109.3,114.76,107.2524,70759040
2025-06-02,114.76,117.4,114.3,116.84,109.1963,47869167
2025-06-03,117.99,117.99,114.93,115.91,108.3272,29821086
2025-06-04,116.25,117.74,114.83,117.32,109.6449,20540175
2025-06-05,117,117.65,116.05,116.38,108.7664,13566294
2025-06-06,116.88,118.1,114.05,115.71,108.1403,49884802
2025-06-09,116.9,119.3,116.55,117.69,109.9907,34703106
2025-06-10,118.4,118.45,117.15,117.76,110.0562,32755500
2025-06-11,119,119,115.8,117.09,109.43,41718080
2025-06-12,117.7,117.79,115.1,115.64,108.0749,33242141
2025-06-13,108.49,111.77,107.52,111.46,107.9006,32522564
2025-06-16,110.45,111.75,109.5,111.24,107.6876,24551800
2025-06-17,111.3,112.1,109,109.23,105.7418,14822292
2025-06-18,109.23,109.85,107.94,108.22,104.7641,11798762
