date,open,high,low,close,adj_close,volume
2025-03-03,570.1,589.75,548.15,586.7,584.2454,8035267
2025-03-04,578,607.3,569.1,603.3,600.7759,3140173
2025-03-05,598.3,615.85,598.3,612.9,610.3357,2801610
2025-03-06,617.65,631.5,615.95,628.1,625.4721,2970429
2025-03-07,628.2,632.75,620.1,630.05,627.414,2350526
2025-03-10,635,645,590,596.8,594.303,3889248
2025-03-11,590,613,583.05,608.15,605.6057,2092189
2025-03-12,612.5,620.5,594.55,608.4,605.8546,2390745
2025-03-13,610.1,614.95,595,599.1,596.5934,1390950
2025-03-17,601,618.15,594.1,610.1,607.5474,3660246
2025-03-18,610.1,610.1,610.1,610.1,607.5474,0
2025-03-19,639.45,666.25,633.3,663.3,660.5248,3345438
2025-03-20,669,669.8,647.65,654.6,651.8612,2309340
2025-03-21,658.95,658.95,631.65,641.25,639.8378,3885409
2025-03-24,644.05,653,631.2,632.9,631.5062,4241713
2025-03-25,640,652.55,625.05,626.9,625.5194,3652822
2025-03-26,626.9,648,626.05,635.8,634.3998,4273715
2025-03-27,636,642.7,627.2,637.15,635.7468,14138019
2025-03-28,634,648,630.05,638.5,637.0939,2705597
2025-04-01,636.65,646,610.25,615,613.6456,3111743
2025-04-02,610,628.05,606.75,623.6,622.2266,2398461
2025-04-03,618,626.4,607.75,615.95,614.5935,2331069
2025-04-04,612.55,619.15,570.75,575.2,573.9333,4572903
2025-04-07,520,555.4,517.7,540.5,539.3097,4729481
2025-04-08,556,562.5,538.2,549.4,548.1901,2806157
2025-04-09,550,555,537.6,551,549.7866,2178868
2025-04-11,555.05,575,550.2,572.4,571.1395,3044863
2025-04-15,589.9,591,580,589.25,587.9523,2132994
2025-04-16,593,599.9,587,598.75,597.4314,1731321
2025-04-17,598,622.95,596.15,619.85,618.4849,3434021
2025-04-21,628.45,652.55,624.55,650.6,649.1672,3396337
2025-04-22,652,653.85,636,645.3,643.8788,2100885
2025-04-23,649.05,662,644.5,660.15,658.6962,2495549
2025-04-24,660.5,663.15,641.95,646,644.5773,1828242
2025-04-25,649,649.35,617.7,633.1,631.7057,3224438
2025-04-28,626,641,625.15,633.6,632.2046,1823889
2025-04-29,635.1,645,634.4,638.45,637.0439,1110433
2025-04-30,638,638.45,614.95,626.8,625.4196,3427523
2025-05-02,622,627.6,615.15,620.6,619.2332,1467495
2025-05-05,622.05,636.75,618.05,635.1,633.7013,1582498
2025-05-06,638,649,583.5,598.45,597.1321,6469893
2025-05-07,578,627.75,578,609.4,608.058,5943433
2025-05-08,614.4,634,597.7,610.25,608.9061,5821580
2025-05-09,595,614.35,587.4,609.6,608.2574,2595859
2025-05-12,629.9,650,624.5,645.8,644.3777,2930671
2025-05-13,645.8,657.4,642.2,652.15,650.7138,1986578
2025-05-14,654,675.75,648.05,673,671.5179,3540920
2025-05-15,680,682,663.7,678.2,676.7064,3293508
2025-05-16,684,703.7,676,696.45,694.9163,3577381
2025-05-19,702,704.35,692.45,696.65,695.1158,1989685
2025-05-20,702.25,702.25,673,691,689.4782,3686708
2025-05-21,687.6,704,685.2,694,692.4716,2264408
2025-05-22,694,706.55,689.9,696.45,694.9163,2300146
2025-05-23,699.9,701,692.05,696.45,694.9163,943219
2025-05-26,698,708.9,696.8,697.75,696.2134,1467009
2025-05-27,697.8,701,690.05,694.7,693.1701,1226613
2025-05-28,694.7,700,685.1,687.75,686.2354,1549925
2025-05-29,688,701,682.05,697.05,695.5149,2397733
2025-05-30,698,699.9,679.2,686.7,685.1877,3519189
2025-06-02,686.75,689.25,675.5,679.1,677.6044,2342623
2025-06-03,679,691,676.85,678.35,676.8561,1854132
2025-06-04,678.35,691.2,676,689.95,688.4305,1328436
2025-06-05,693.9,703.45,684.35,696.5,694.9661,1731844
2025-06-06,680,690,678,681.6,680.0989,3459747
2025-06-09,682.5,699,681.8,694.65,693.1202,2725376
2025-06-10,698.2,700.45,688,690.55,689.0292,1349738
2025-06-11,690.5,697,683,695.75,694.2178,4138741
2025-06-12,700,700,673,675.9,674.4115,1798265
2025-06-13,650,675,650,672.2,670.7197,1753065
2025-06-16,672.45,685.35,664.2,682.2,680.6976,1561914
2025-06-17,685.45,698.1,677.75,694.1,692.5714,3110284
2025-06-18,695,697,679.1,683.95,682.4438,1946520
2025-06-19,685,694.4,665.1,666.7,665.2318,1951336
2025-06-20,668,691.65,666.55,688.25,686.7343,4222770
2025-06-23,681.75,688,677.25,683.3,681.7952,1364842
2025-06-24,689.9,689.9,680.55,682.45,680.9471,1058774
2025-06-25,682,687.8,671.1,676.6,675.1099,1551411
2025-06-26,678,682,669.45,674.75,673.264,1494248
2025-06-27,675,689.9,670,672.2,670.7197,4398286
2025-06-30,674.4,686.6,670,682.15,680.6478,1960902
2025-07-01,689.15,693.7,673.1,683.05,681.5457,5976739
2025-07-02,682,683.5,661.5,666.1,664.6331,3828798
2025-07-03,668.6,676.8,664.05,667.45,665.9801,1750812
2025-07-04,671.5,679.9,669.25,676.6,675.1099,2011272
2025-07-07,676.6,682,668,680.45,678.9515,1795469
2025-07-08,678,679.35,665.05,675.8,674.3117,3581235
2025-07-09,675.8,676.95,668.3,672.05,670.5699,2188340
2025-07-10,672.05,681.5,669,677.3,675.8084,3251214
2025-07-11,677.3,678.3,666.45,667.75,666.2794,2899030
2025-07-14,667.75,680,666.2,674.8,673.3139,3086468
2025-07-15,674,683.5,671.5,677.45,675.9581,1536346
2025-07-16,676.5,679,672,675.35,673.8627,1449968
2025-07-17,678.2,693.95,676.7,689.35,687.8318,4643649
2025-07-18,695,695.5,666.1,667.6,666.1298,5168081
2025-07-21,669,682.5,663.9,680.65,679.1511,2549549
2025-07-22,682,688.9,676.1,683.8,682.2941,2741733
2025-07-23,684.15,687.5,680.5,682.95,681.446,1701009
2025-07-24,683.1,687,653.6,680.35,678.8517,7370754
2025-07-25,681.05,692.65,660,662.55,661.0909,3749364
2025-07-28,663,669.8,654,658.95,657.4988,1927712
2025-07-29,657,661.55,645.5,659.05,657.5986,2466461
2025-07-30,659.05,669.8,657.4,660.35,658.8957,2373174
2025-07-31,655,668.9,651,661.7,660.2428,1943822
2025-08-01,662.05,665.9,649.55,651.3,649.8657,2579602
2025-08-04,655.05,664.9,646,662.25,660.7916,2097533
2025-08-05,665.5,681.65,660.25,680.25,678.7519,4324035
2025-08-06,682,685.5,673.65,680.55,679.0512,2314824
2025-08-07,675,685.5,672.05,681.55,680.049,2399600
2025-08-08,683,683,664,666.4,664.9324,1735599
2025-08-11,666,668.8,655.5,664.9,663.4357,2048345
2025-08-12,664.95,665.55,655.5,658.55,657.0997,2337168
2025-08-13,660.4,674.8,659.2,670.45,668.9735,2104254
2025-08-14,676,676,664,665.95,664.4834,1517335
2025-08-18,676.2,677.6,667.5,669.15,667.6764,2063230
2025-08-19,672.5,678.2,668,676.8,675.3095,1354001
2025-08-20,679.6,681.4,673.1,674.25,672.7651,1374929
2025-08-21,675,679.8,675,677.55,676.0579,940798
2025-08-22,678.45,687.6,673.4,679.85,678.3528,3733247
2025-08-25,682,685.5,675,677.2,675.7086,2087411
2025-08-26,677.9,684.25,668.5,671.3,669.8216,10450851
2025-08-28,674.4,677.3,658.8,664,662.5377,1945654
2025-08-29,676.95,699.75,668.25,694.3,692.7709,14580868
2025-09-01,710,726.2,703.5,717.2,715.6205,13378545
2025-09-02,723.05,742.75,718.3,739.65,738.0211,10341642
2025-09-03,748,756.95,731.2,733.3,731.6851,8977994
2025-09-04,744,751,735,740.2,738.5699,5488085
