date,open,high,low,close,adj_close,volume
2025-03-03,1408,1427.95,1400,1419.75,1417.494,1551965
2025-03-04,1414.8,1454.25,1387.3,1449.6,1447.2965,1971854
2025-03-05,1458,1461.9,1394.05,1446.9,1444.601,2724065
2025-03-06,1469,1500,1450,1458.6,1456.2822,1086379
2025-03-07,1467.55,1474,1449.65,1457.35,1455.0343,1722090
2025-03-10,1460,1476.35,1411,1419.55,1417.2944,1482590
2025-03-11,1417,1455,1408.75,1448.75,1446.448,1204847
2025-03-12,1457,1457,1425.55,1451.5,1449.1936,1194307
2025-03-13,1456.55,1466.95,1437,1444.7,1442.4043,754263
2025-03-17,1438.1,1466,1433.1,1455.6,1453.2871,849819
2025-03-18,1455.6,1455.6,1455.6,1455.6,1453.2871,0
2025-03-19,1520,1530.4,1497.25,1513.25,1510.8456,1564937
2025-03-20,1517,1538,1476.2,1493.2,1490.8273,3216107
2025-03-21,1502,1550,1500.8,1538.5,1536.0554,1902342
2025-03-24,1554.85,1580,1522,1529.3,1526.87,5381367
2025-03-25,1560,1560,1508.1,1529.05,1526.6204,2103349
2025-03-26,1534.7,1551,1510,1522.25,1519.8312,1863135
2025-03-27,1515,1536,1507.2,1531.7,1529.2661,1773298
2025-03-28,1536,1536,1511,1519.95,1517.5348,975450
2025-04-01,1523,1523.9,1460,1468.25,1465.9169,1585585
2025-04-02,1471,1479.6,1452.6,1460.25,1457.9297,1356661
2025-04-03,1454,1472.6,1426.25,1445.45,1443.1532,1029616
2025-04-04,1445,1462.65,1433.05,1453.3,1450.9908,1303321
2025-04-07,1445,1445,1358.65,1386.1,1383.8975,2219214
2025-04-08,1414,1470,1412.05,1463.3,1460.975,2682517
2025-04-09,1475,1475,1390,1430.6,1428.3268,2837371
2025-04-11,1473,1498.6,1457.05,1475.7,1473.3551,1785510
2025-04-15,1520,1579,1487.9,1560.3,1557.8208,2497699
2025-04-16,1570,1629.9,1543,1611.9,1609.3387,2052940
2025-04-17,1605,1609.8,1561.9,1587.3,1584.778,1816329
2025-04-21,1609.3,1682,1595,1659.8,1657.1627,3338149
2025-04-22,1648.9,1649,1557.4,1566.4,1563.9111,4574218
2025-04-23,1595,1620,1559.2,1566.8,1564.3104,3560465
2025-04-24,1567,1570.9,1536.7,1547.9,1545.4404,3030697
2025-04-25,1562,1579.9,1517.7,1543.5,1541.0475,1777628
2025-04-28,1522.1,1563,1485.1,1525.8,1523.3755,2705277
2025-04-29,1529.8,1534.9,1480,1484.5,1482.1412,2398360
2025-04-30,1480,1503.3,1465.6,1492.2,1489.8289,2525455
2025-05-02,1480.1,1505.1,1475.9,1492.1,1489.7291,1150273
2025-05-05,1494,1559.3,1487.4,1551.5,1549.0348,1794084
2025-05-06,1557,1572.9,1524.8,1530.6,1528.168,1385877
2025-05-07,1505,1590.9,1505,1574.5,1571.9982,2446093
2025-05-08,1575,1590.7,1518.3,1531.5,1529.0664,1490280
2025-05-09,1495.5,1530.5,1492.5,1513.6,1511.1949,2126114
2025-05-12,1550,1582,1543.9,1579.2,1576.6907,825674
2025-05-13,1579.2,1593.5,1569,1578.8,1576.2914,1222774
2025-05-14,1555,1606,1555,1596.6,1594.063,1240552
2025-05-15,1584.6,1614,1574.9,1609.2,1606.6431,801332
2025-05-16,1616.2,1630,1602.7,1619.3,1616.7271,652281
2025-05-19,1620,1639.5,1618.9,1634.4,1631.8031,893304
2025-05-20,1634.6,1635,1600.4,1609.3,1606.7429,1110122
2025-05-21,1609.9,1661,1603.2,1656,1653.3687,2599619
2025-05-22,1652.5,1656.9,1616.8,1626.9,1624.3149,1163741
2025-05-23,1622,1634.8,1604,1628,1625.4132,648628
2025-05-26,1628,1648.5,1619.7,1644.8,1642.1865,537043
2025-05-27,1645.2,1670,1638.4,1665.2,1662.5541,1146178
2025-05-28,1670,1684.4,1642.7,1647,1644.3829,982297
2025-05-29,1649.9,1653.8,1601.5,1607.8,1605.2452,1535436
2025-05-30,1608,1615.3,1593,1601,1598.4561,1453818
2025-06-02,1570,1590,1548.1,1581,1578.4878,2123000
2025-06-03,1588,1603.2,1562.1,1566.3,1563.8112,860899
2025-06-04,1554.7,1554.7,1494.4,1512.7,1510.2964,4168598
2025-06-05,1522,1524.7,1502,1511.6,1509.1981,2623833
2025-06-06,1519,1623.7,1497.2,1593.2,1590.6685,6915310
2025-06-09,1620,1653,1604,1644.6,1641.9868,2938014
2025-06-10,1660,1660,1612.4,1637.7,1635.0977,1392757
2025-06-11,1629,1642.3,1594.4,1608.2,1605.6447,1851871
2025-06-12,1608.3,1634.9,1578,1581.7,1579.1866,1483626
2025-06-13,1551,1569.2,1540.5,1553.8,1551.3311,3191325
2025-06-16,1555,1573,1549,1566.6,1564.1106,1213574
2025-06-17,1571,1576.4,1542,1555.2,1552.7288,1189553
2025-06-18,1552,1590,1550.5,1586.8,1584.2787,1561533
2025-06-19,1584.8,1599.8,1535.3,1544.4,1541.946,1062384
2025-06-20,1544.4,1565,1538,1557.5,1555.0253,2149247
2025-06-23,1549.8,1587.9,1543.2,1583.6,1581.0836,838061
2025-06-24,1602,1614.5,1591.6,1598.5,1595.96,1464575
2025-06-25,1605,1613.3,1588.1,1608.8,1606.2437,1252727
2025-06-26,1616,1630.9,1596.3,1627,1624.4147,1809115
2025-06-27,1627.1,1666.6,1594.3,1654.1,1651.4717,5837341
2025-06-30,1656,1658.2,1615,1628,1625.4132,1489109
2025-07-01,1621,1627.9,1578,1599.8,1597.2581,2353507
2025-07-02,1580,1605.4,1540,1554.6,1552.1298,2875195
2025-07-03,1555,1567.9,1524.1,1527.1,1524.6735,4522465
2025-07-04,1532.1,1545.5,1515,1526.7,1524.2742,1751430
2025-07-07,1526.7,1535.2,1508.1,1514.3,1511.8939,2553187
2025-07-08,1517,1526,1506.5,1521.7,1519.282,2437495
2025-07-09,1527,1570,1518,1563.1,1560.6163,2507920
2025-07-10,1569,1576,1542.7,1546.8,1544.3423,1072022
2025-07-11,1542,1546.6,1524.5,1532.5,1530.0649,1178845
2025-07-14,1533,1547.7,1520.5,1528.4,1525.9714,1189763
2025-07-15,1542.7,1561,1519,1557,1554.5259,2169391
2025-07-16,1539.4,1568,1489.6,1559,1556.5228,3694875
2025-07-17,1563,1570.6,1550,1564.3,1561.8145,912552
2025-07-18,1563,1571.4,1550,1554.6,1552.1298,1194869
2025-07-21,1554,1578.6,1518.1,1573.8,1571.2992,1632384
2025-07-22,1585,1587.8,1556.1,1565.4,1562.9126,731619
2025-07-23,1550,1565.9,1546.1,1556.1,1553.6274,790498
2025-07-24,1558,1564.1,1544.1,1551.4,1549.632,2287825
2025-07-25,1520,1520,1465.7,1503.8,1502.0863,4161435
2025-07-28,1488,1506.4,1485.8,1490.3,1488.6016,1228097
2025-07-29,1478,1502.8,1464,1484.8,1483.1079,1288099
2025-07-30,1498.5,1499,1472,1478.1,1476.4155,738799
2025-07-31,1465,1469,1426.7,1443.2,1441.5553,6484530
2025-08-01,1442.5,1481.9,1404,1422.5,1420.8788,4717925
2025-08-04,1422.8,1477,1422.8,1472.1,1470.4224,1765076
2025-08-05,1475.4,1481.6,1456.5,1472.1,1470.4224,1537683
2025-08-06,1472,1480.7,1438.9,1454.9,1453.2419,2136451
2025-08-07,1440,1491,1440,1488,1486.3042,1097782
2025-08-08,1493.9,1499.8,1450,1451.1,1449.4462,840293
2025-08-11,1452,1493.6,1448,1483,1481.3099,842409
2025-08-12,1485,1485,1445.5,1450.7,1449.0468,755391
2025-08-13,1457,1474.7,1454.6,1460.5,1458.8356,672021
2025-08-14,1459.1,1474.8,1449.2,1461.5,1459.8345,1612053
2025-08-18,1500,1533.4,1495.8,1522.6,1520.8649,1354862
2025-08-19,1522.6,1529.9,1503,1527.9,1526.1587,953552
2025-08-20,1527.8,1536.3,1508.5,1522.9,1521.1646,1272429
2025-08-21,1525.9,1527.7,1513.7,1518.3,1516.5697,728673
2025-08-22,1515,1527,1511.3,1524.1,1522.363,559123
2025-08-25,1524.9,1530,1504.2,1509.4,1507.6798,701737
2025-08-26,1510.6,1518.3,1470.1,1476.2,1474.5177,2035044
2025-08-28,1464.2,1468.5,1435.9,1439.8,1438.1592,1548977
2025-08-29,1439,1452.3,1418,1420.7,1419.0808,871127
2025-09-01,1419.4,1455.4,1412.3,1453.8,1452.1433,909205
2025-09-02,1454.9,1458.5,1428.7,1431.4,1429.7688,1087452
2025-09-03,1432.9,1445,1424.2,1439.8,1438.1592,989265
2025-09-04,1475,1486.7,1447.5,1461.2,1459.5347,1738436
2025-09-05,1471.9,1495.7,1457,1490.9,1489.2009,1103269
2025-09-08,1498.8,1514,1481.7,1494,1492.2974,869279
2025-09-09,1499.9,1524.7,1495.6,1507.1,1505.3823,854933
2025-09-10,1507.1,1528.4,1507,1522.4,1520.665,847153
2025-09-11,1522,1530.2,1490.5,1495.7,1493.9954,1286327
2025-09-12,1505,1520,1491.2,1512.3,1510.5767,466301
2025-09-15,1510.7,1522,1505.1,1517.7,1515.9703,844483
2025-09-16,1520.7,1588.2,1515.6,1583.1,1581.2958,3343241
2025-09-17,1575.3,1589.9,1569.2,1573.4,1571.6069,1113217
2025-09-18,1575,1592.9,1568.1,1586.6,1584.7919,1022359
2025-09-19,1568.5,1601.3,1563.3,1590.9,1589.0869,2436924
2025-09-22,1586.5,1644.2,1586.5,1630,1628.1423,2983892
2025-09-23,1629.9,1643.7,1610.1,1623.8,1621.9495,1724892
2025-09-24,1611,1640,1611,1630.2,1628.3422,1640747
2025-09-25,1627,1634.2,1586.7,1592.8,1590.9849,1350066
2025-09-26,1595,1595,1562,1569.9,1568.1108,1273246
2025-09-29,1574,1597.9,1566.7,1591.7,1589.886,1415978
2025-09-30,1576.3,1624,1576.3,1610.8,1608.9644,2707464
2025-10-01,1597.1,1619.5,1577.6,1605.3,1603.4706,2199531
2025-10-03,1607.8,1607.8,1557.8,1570.9,1569.1097,1515769
2025-10-06,1571.1,1665,1570.5,1634.1,1632.2377,1859040
2025-10-07,1634.1,1640,1609,1631.6,1629.7405,1722326
2025-10-08,1620,1629.9,1602.2,1607.3,1605.4683,885008
2025-10-09,1607.5,1625,1596.4,1621.4,1619.5522,1404177
2025-10-10,1623.9,1630.9,1609.7,1614.2,1612.3604,451903
2025-10-13,1614,1652.6,1609.1,1647.2,1645.3228,1392973
2025-10-14,1652.1,1673,1639,1645.7,1643.8245,1887000
2025-10-15,1649,1708,1648.1,1698.4,1696.4645,2004535
2025-10-16,1698,1700.1,1653.2,1668.1,1666.199,3202080
2025-10-17,1666.9,1677.5,1652,1654.3,1652.4147,654858
2025-10-20,1661,1675.5,1654,1673.3,1671.3931,715202
2025-10-21,1685.2,1686.8,1665,1670.3,1668.3965,132071
2025-10-23,1676.6,1695.1,1672.9,1684.7,1682.78,1348437
2025-10-24,1685,1752.7,1678.1,1733.6,1731.6243,2128154
2025-10-27,1747.2,1782,1722.6,1732.4,1730.4257,2981176
2025-10-28,1732.4,1743.6,1711,1723.2,1721.2361,2017814
2025-10-29,1720,1725.8,1686.1,1710.4,1708.4508,2012855
2025-10-30,1719.9,1723.8,1700,1711.8,1709.8491,654163
2025-10-31,1717.1,1725.2,1692.2,1696.8,1694.8663,1093387
2025-11-03,1697.9,1747.4,1697.9,1718.5,1716.5415,1170459
2025-11-04,1720,1777,1718,1745.9,1743.9103,1886397
2025-11-06,1744.1,1751.2,1653.4,1683.4,1681.4816,2300974
2025-11-07,1665.5,1715,1644.6,1703.9,1701.9583,2353603
2025-11-10,1716.8,1759,1691.9,1754.4,1752.4006,1647003
2025-11-11,1749.4,1750,1711,1741.8,1739.8151,1659318
2025-11-12,1743.7,1757,1710.7,1718.8,1716.8412,1343153
2025-11-13,1702.5,1719.5,1701.2,1710.6,1708.6505,831622
2025-11-14,1710.6,1726.9,1705.1,1714.6,1712.6459,912397
2025-11-17,1724,1724,1695.8,1699.7,1697.7628,888281
2025-11-18,1709,1709,1678.6,1695.3,1693.3679,1069184
2025-11-19,1699.6,1699.6,1670,1678.1,1676.1876,1108061
2025-11-20,1687.3,1709,1670.2,1703.2,1701.2589,880665
2025-11-21,1682.3,1705.4,1655,1659.7,1657.8085,1888141
2025-11-24,1658.9,1698.7,1647.2,1651.7,1649.8176,2099027
2025-11-25,1651.7,1689.5,1651.7,1685.4,1683.4792,1092627
2025-11-26,1688,1725.8,1686,1712.9,1710.948,908178
2025-11-27,1712.9,1749.8,1710.6,1724.6,1722.6345,1544531
2025-11-28,1722,1749.8,1714.2,1736,1734.0216,963424
2025-12-01,1748,1749,1717.4,1724.9,1722.9342,1110164
2025-12-02,1715,1739.5,1704.5,1711.6,1709.6493,638234
2025-12-03,1701,1710.9,1662.3,1668.9,1666.998,898959
2025-12-04,1666,1678.8,1651,1675.7,1673.7902,1291711
2025-12-05,1675.7,1734.8,1671,1730.4,1728.428,1344984
2025-12-08,1730,1759.8,1708.9,1724.4,1722.4348,1060177
2025-12-09,1710,1735.2,1690,1731.2,1729.2269,1381604
2025-12-10,1725,1757.4,1721.6,1744,1742.0125,1194602
2025-12-11,1744.9,1745.9,1716.3,1719.4,1717.4406,1613630
2025-12-12,1719.4,1740.4,1703.8,1735.6,1733.6221,2309890
2025-12-15,1734,1740.1,1710,1733.7,1731.7241,1622531
2025-12-16,1739,1739.4,1703,1715.4,1713.4451,504325
2025-12-17,1710,1731.8,1667.1,1673.5,1671.5929,1133450
2025-12-18,1678.8,1690.4,1661.1,1679,1677.0865,744184
2025-12-19,1684.8,1694.3,1614.2,1648.1,1646.2217,2356435
2025-12-22,1648,1648.1,1554.7,1584.9,1583.0938,5780153
2025-12-23,1605,1713.4,1595.8,1678.5,1676.587,7716481
2025-12-24,1678.5,1708.1,1669.4,1697.8,1695.8651,1861216
2025-12-26,1697.8,1712.4,1694.8,1698,1696.0649,1309836
2025-12-29,1697,1700.7,1680.5,1698.8,1696.864,1016727
2025-12-30,1686,1715.9,1679,1701.5,1699.5609,3270983
2025-12-31,1702,1712.8,1688.5,1702.2,1700.26,707240
2026-01-01,1707.1,1727.5,1698.7,1724,1722.0353,390859
2026-01-02,1728.5,1789.1,1718.7,1781.1,1779.0702,1793036
2026-01-05,1782,1785,1761.4,1772.4,1770.3801,716553
2026-01-06,1775,1831.5,1775,1805.4,1803.3425,1783196
2026-01-07,1809.8,1809.8,1778.1,1786.5,1784.464,656441
2026-01-08,1790,1790,1735.5,1754,1752.0011,1408255
2026-01-09,1754,1763.3,1709.9,1717.1,1715.1431,1493038
2026-01-12,1715,1730.9,1693.3,1710.8,1708.8503,2424388
2026-01-13,1716,1726.7,1691,1701.1,1699.1614,1914112
2026-01-14,1690.1,1714.7,1681,1689.5,1687.5746,2111292
2026-01-15,1689.5,1689.5,1689.5,1689.5,1687.5746,0
2026-01-16,1689.5,1707.9,1676.9,1699.2,1697.2634,2796464
2026-01-19,1698,1726.2,1691,1700.4,1698.4622,1233939
2026-01-20,1700.2,1702.3,1644.2,1649.9,1648.0197,1974356
2026-01-21,1640,1660.5,1617.7,1627.8,1625.9448,1024168
2026-01-22,1631.1,1669.6,1628.9,1664,1662.1036,1241584
2026-01-23,1664,1667,1638.3,1643.2,1641.3273,1068908
2026-01-27,1648.7,1666.4,1623.8,1639.7,1637.8313,1673143
2026-01-28,1650.9,1653,1630.1,1636.8,1634.9346,1066301
2026-01-29,1629,1658.8,1607.4,1648.9,1647.0209,2289696
2026-01-30,1650,1669.5,1617.9,1631.6,1629.7405,1716319
2026-02-02,1570.9,1598.2,1527,1594.3,1592.4832,2789681
2026-02-03,1689.8,1740,1674.4,1694.4,1692.469,2972692
2026-02-04,1694.4,1742.9,1666.7,1739.5,1737.5176,2366864
2026-02-05,1740,1745,1717.1,1722.3,1721.6239,391219
2026-02-06,1711.2,1748,1701.8,1742.2,1741.516,1197294
2026-02-09,1760,1776.7,1750.3,1770.2,1769.5049,1602785
2026-02-10,1775,1776.7,1721.6,1726.2,1725.5222,1161279
2026-02-11,1732,1736.2,1714.6,1723,1722.3235,321552
2026-02-12,1718,1741,1699,1731.8,1731.1201,1316309
2026-02-13,1727.3,1731,1703,1709.4,1708.7289,1544271
2026-02-16,1692,1721.4,1683.8,1714.8,1714.1268,900028
2026-02-17,1713,1737.6,1695,1732.1,1731.4199,324355
2026-02-18,1730,1732.1,1709.6,1717,1716.3259,1254525
2026-02-19,1725.2,1728.9,1671.7,1676.6,1675.9418,947586
2026-02-20,1670.6,1686,1662,1669.6,1668.9445,643936
2026-02-23,1677.5,1706.8,1672.7,1689.8,1689.1366,731931
2026-02-24,1686.3,1740,1663.4,1735.1,1734.4187,2032442
2026-02-25,1746,1757,1727.6,1754.5,1753.8112,779164
2026-02-26,1754.9,1774.6,1628,1748.1,1747.4137,9382761
2026-02-27,1740,1752.5,1722.4,1730.8,1730.1205,1844360
2026-03-02,1661,1722.1,1661,1703.7,1703.031,985503
2026-03-04,1695.9,1695.9,1628.1,1653.6,1652.9508,1509341
2026-03-05,1655,1690.4,1639.6,1669,1668.3447,2076383
2026-03-06,1664,1674.6,1620,1626.3,1625.6615,1022219
2026-03-09,1575,1589.4,1465,1583,1582.3785,1756873
2026-03-10,1606,1632.9,1593,1621.9,1621.2632,1062910
2026-03-11,1620.1,1622.3,1553.1,1557.4,1556.7886,1499792
2026-03-12,1548,1552.3,1510,1526.1,1525.5009,2352076
2026-03-13,1515.9,1531.8,1500,1514,1513.4056,1452053
2026-03-16,1514,1542.3,1485,1527.1,1526.5004,2959644
