date,open,high,low,close,adj_close,volume
2025-03-03,22551.6504,22635.3008,22327.9492,22514.1992,22514.1992,7028000
2025-03-04,22357.75,22535.4492,22324.0508,22504.9004,22504.9004,6328400
2025-03-05,22495.25,22861.4492,22493.9492,22818.8008,22818.8008,6581100
2025-03-06,22982.5508,23053.9492,22775.3496,23038.8008,23038.8008,6939900
2025-03-07,23008.3496,23127.3008,22956.3496,23027.6992,23027.6992,5775200
2025-03-10,23005.0996,23155.25,22861.6504,22890.75,22890.75,6104100
2025-03-11,22752.5996,22973.5996,22714.8008,22942.6992,22942.6992,7044600
2025-03-12,22990.5,23039,22755.75,22919.9004,22919.9004,6803300
2025-03-13,23002.6504,23030.4492,22817,22837.8496,22837.8496,5706800
2025-03-17,22806.1504,23029.3496,22806.1504,22960.8008,22960.8008,4962600
2025-03-18,23116.1504,23365.0508,23055.9492,23340.4004,23340.4004,5919400
2025-03-19,23390.4004,23503.25,23321.5508,23468.3496,23468.3496,6374400
2025-03-20,23605.3008,23758.1992,23509.8496,23730.6992,23730.6992,6126700
2025-03-21,23712.5,23958.5508,23681.75,23902.0996,23902.0996,10640600
2025-03-24,24075.9004,24266.9492,23989.8008,24214.1992,24214.1992,6801900
2025-03-25,24326,24409.75,24097.1504,24159.9004,24159.9004,7028000
2025-03-26,24188.3008,24246,23958.9492,23990.4004,23990.4004,6679700
2025-03-27,23934.9004,24194.75,23919.4004,24145.0508,24145.0508,16483400
2025-03-28,24154.1504,24220.75,23992.8008,24057.3496,24057.3496,7313600
2025-04-01,23902.3008,24110.5996,23684.3008,23713.8008,23713.8008,6005800
2025-04-02,23742.75,23919.5996,23683.9004,23901.8496,23901.8496,5337700
2025-04-03,23715.9492,23874.6504,23709.8496,23833.3008,23833.3008,5334500
2025-04-04,23781.75,23801.4492,23375.25,23433.25,23433.25,7725700
2025-04-07,22186.25,22767.1992,22177.3496,22677.9004,22677.9004,9983300
2025-04-08,22992.8008,23225.9492,22794.1992,23077.6504,23077.6504,7191500
2025-04-09,23011.8008,23012.4004,22879,22952.4492,22952.4492,5897600
2025-04-11,23280.4492,23468.9492,23257.75,23369.25,23369.25,6183100
2025-04-15,23917.5996,23946.5,23745.5508,23917.4004,23917.4004,6787400
2025-04-16,23935.8496,24052.4004,23865,24037.25,24037.25,6122300
2025-04-17,24005.5,24444.1992,23906.1504,24418.3496,24418.3496,7496100
2025-04-21,24533.4004,24777.4492,24475,24725.8008,24725.8008,6700
2025-04-22,24792.4492,24855.9492,24663.8008,24770.4492,24770.4492,7067400
2025-04-23,24950.1504,24958.5,24700.25,24937,24937,6941000
2025-04-24,24899.9004,24968.1504,24824.0996,24860.9004,24860.9004,6411800
2025-04-25,24906.0996,24986.8496,24383.1504,24581.3008,24581.3008,7203100
2025-04-28,24596,24903.75,24590.0996,24874,24874,5484900
2025-04-29,24929.8008,25016.5,24834.3496,24870.4004,24870.4004,6073200
2025-04-30,24880.3496,24940.8008,24710.3008,24843.8008,24843.8008,7071000
2025-05-02,24822.4492,25098.4004,24740.3008,24849.1992,24849.1992,6596200
2025-05-05,24931.8008,25056.0996,24915.3496,25010.1992,25010.1992,5882600
2025-05-06,25050.5996,25056.4004,24791.3008,24837.4492,24837.4492,5847300
2025-05-07,24650.5508,24919.0508,24644.8008,24887.1992,24887.1992,6741300
2025-05-08,24910.4004,24932.25,24548.9004,24678,24678,7753800
2025-05-09,24303.5508,24559.1992,24303.5508,24437.5508,24437.5508,6332000
2025-05-12,24907.1992,25401.25,24880.9492,25381.4004,25381.4004,6847000
2025-05-13,25333.25,25438.1992,25059.5,25087.0996,25087.0996,7875700
2025-05-14,25126.0996,25289.25,25059.25,25193.3008,25193.3008,6599100
2025-05-15,25228.5,25617.8496,25049.5,25573.0508,25573.0508,7528300
2025-05-16,25584.25,25619.4492,25511.3496,25593.0996,25593.0996,7822900
2025-05-19,25594.0996,25663.3496,25524.5,25551.5,25551.5,5486000
2025-05-20,25612.8496,25627.5,25231.3496,25248.6504,25248.6504,6991900
2025-05-21,25307.9004,25514.9492,25252.9004,25409.0996,25409.0996,5577400
2025-05-22,25334.8008,25340.1992,25073.6504,25221.9004,25221.9004,5951900
2025-05-23,25255.0508,25497.5996,25225.1504,25453,25453,4452500
2025-05-26,25527.4492,25677.5508,25514.5508,25596.5,25596.5,4725500
2025-05-27,25561.6992,25645.8008,25319.3008,25436.3496,25436.3496,7505500
2025-05-28,25450.9492,25483.0996,25346.0996,25361.0996,25361.0996,8815000
2025-05-29,25439.75,25491.4492,25296.8496,25436.3008,25436.3008,5803300
2025-05-30,25421.3008,25471.8496,25308.1992,25344.25,25344.25,12750100
2025-06-02,25277.0508,25368.0508,25158.8008,25333.6504,25333.6504,5903900
2025-06-03,25405.1504,25461.5508,25133.4004,25162.0508,25162.0508,6128000
2025-06-04,25183.25,25263.1992,25128.4492,25240.6504,25240.6504,5975400
2025-06-05,25314.5996,25507.75,25242.3496,25369.75,25369.75,6388000
2025-06-06,25376.3008,25654.75,25303.0508,25638.8008,25638.8008,6805600
2025-06-09,25795.3496,25800.25,25721.4004,25779.4492,25779.4492,5391200
2025-06-10,25876.5996,25878.8008,25727.0996,25785.5,25785.5,5637600
2025-06-11,25815.4492,25892.9004,25760.9492,25807.0996,25807.0996,6155200
2025-06-12,25834,25852.5508,25459.5,25511.5508,25511.5508,6017400
2025-06-13,25070.5996,25361,25070.25,25331.3496,25331.3496,5547200
