date,open,high,low,close,adj_close,volume
2025-03-03,370,371,352.4,360.35,328.0888,12675744
2025-03-04,356.1,366.5,352.6,363.85,331.2754,5535218
2025-03-05,362.05,368.9,362.05,368.25,335.2815,5730797
2025-03-06,370.05,384.15,368.1,382.6,348.3468,11247215
2025-03-07,382.6,389.6,379.4,380.65,346.5714,8321771
2025-03-10,380.7,386.6,374.05,375.15,341.5638,5541001
2025-03-11,371,380,368,379.05,345.1146,5340552
2025-03-12,379.55,382.85,373.8,380.7,346.6169,3951912
2025-03-13,381.5,383,377.35,378.3,344.4317,3918004
2025-03-17,380.2,387.05,379.05,385.75,351.2148,5456361
2025-03-18,385.75,385.75,385.75,385.75,351.2148,0
2025-03-19,390.05,398.05,388.8,395.85,360.4106,5827114
2025-03-20,397.7,398.1,392.05,396.4,360.9113,7025398
2025-03-21,396.4,411.1,395.1,405.4,369.1055,16564019
2025-03-24,407.95,411.8,405.05,406,369.6518,5260300
2025-03-25,408,408.25,397.1,398.3,362.6412,5636291
2025-03-26,398.5,402.45,393.15,394.8,359.4545,5025274
2025-03-27,393.25,399.65,392.05,396.85,361.321,7697174
2025-03-28,397,401.9,393.5,398.2,362.5502,6923988
2025-04-01,397.8,402.55,395.05,397.65,362.0493,4332950
2025-04-02,401.6,401.6,391.5,397.5,361.9128,4197123
2025-04-03,395,400,393.2,397.05,361.5031,4970602
2025-04-04,396,396,382.6,385.05,350.5774,6718760
2025-04-07,358.85,379.4,356,377.5,343.7034,10202400
2025-04-08,385,385.5,376.65,382.85,348.5744,3577328
2025-04-09,382.3,382.7,373.1,374.6,341.063,5781453
2025-04-11,389.95,392.8,382.15,392.1,356.9963,6185984
2025-04-15,399,399,393.5,395.25,359.8642,4371156
2025-04-16,395.25,400.1,392.5,399.25,363.5061,4992290
2025-04-17,396.9,399.55,388.3,398.85,363.142,8364450
2025-04-21,399.25,406,395.65,400.5,364.6442,8987570
2025-04-22,403.5,405.8,394.3,398.6,362.9143,7558174
2025-04-23,400,401.6,394,398.95,363.233,7429142
2025-04-24,398.9,401.3,396.85,399.85,364.0524,5762303
2025-04-25,400.3,404,389.65,393.15,357.9522,7337588
2025-04-28,393.15,398.8,391.55,397.15,361.5941,3458518
2025-04-29,397.15,400.35,388.45,389.1,354.2649,6274213
2025-04-30,389.1,390.35,383.1,385.3,350.805,4559122
2025-05-02,385.5,390.95,381.4,383.5,349.1662,5045851
2025-05-05,385.95,387.9,381.75,385.6,351.0782,6395704
2025-05-06,386.5,387.65,377.4,378.25,344.3862,5982166
