date,open,high,low,close,adj_close,volume
2025-03-03,2724.95,2836.6001,2693.05,2824.8,2762.8193,697974
2025-03-04,2782,2876.1499,2758.1499,2861.1001,2798.323,614448
2025-03-05,2861.1001,2910,2822.8501,2903.95,2840.2327,541007
2025-03-06,2922,3050,2912.6499,2973.1001,2907.8655,1201264
2025-03-07,2983.7,2990.3,2891.6001,2899.05,2835.4404,280406
2025-03-10,2893,2934.95,2842.55,2864.45,2801.5991,434718
2025-03-11,2842,2890,2808.95,2875.25,2812.1626,344048
2025-03-12,2875.25,2892.1499,2781,2818.75,2756.9023,301503
2025-03-13,2819.75,2890.5,2808.95,2835.25,2773.0403,382212
2025-03-17,2831,2872.45,2817.1001,2862.1001,2799.301,205971
2025-03-18,2862.1001,2862.1001,2862.1001,2862.1001,2799.301,0
2025-03-19,2939.05,3014.1001,2930.3,3002.2,2936.3269,256853
2025-03-20,3025.2,3028.95,2948,2990.6001,2924.9817,249139
2025-03-21,2990,3029.8999,2924,2937.75,2873.291,764045
2025-03-24,2945,3078.95,2945,3056.25,2989.1909,630555
2025-03-25,3080,3085,2946.55,2962.5,2897.4978,349961
2025-03-26,2974,3070,2950.55,3004.95,2939.0166,620642
2025-03-27,3004.95,3056,2976.8,3004.3501,2938.4299,731950
2025-03-28,3019,3079,3001.1499,3051.8501,2984.8877,444898
2025-04-01,3052.6001,3078,2993.5,3010.1001,2944.054,209326
2025-04-02,3011.7,3059.3501,2966,3051.55,2984.594,393120
2025-04-03,3006.25,3037,2965.25,3032.75,2966.2068,221736
2025-04-04,3020,3029.95,2832,2844.95,2782.5271,541390
2025-04-07,2580,2739.55,2580,2711.25,2651.761,670595
2025-04-08,2833.2,2833.2,2738.05,2746,2685.7483,668259
2025-04-09,2738,2789.6499,2690,2781.45,2720.4204,320068
2025-04-11,2800,2852,2752.1001,2814.95,2753.1855,678895
2025-04-15,2900,2939.3999,2851,2920.7,2856.615,508807
2025-04-16,2935,2948,2887,2895.5,2831.968,184784
2025-04-17,2890,2919,2831.6001,2891.2,2827.7625,468043
2025-04-21,2891.2,2946,2891.2,2914.6001,2850.6492,322569
2025-04-22,2915,2938,2871.5,2896.5,2832.946,229160
2025-04-23,2900,2972.6001,2860,2965.8999,2900.8232,379894
2025-04-24,2965.8999,2965.8999,2891.5,2935.8999,2871.4814,557806
2025-04-25,2938,2955,2798.1001,2861.1001,2798.323,524622
2025-04-28,2850,2938.1001,2850,2920.6001,2856.5176,267267
2025-04-29,2901.2,2957.8999,2885,2899.8999,2836.2715,314864
2025-04-30,2899.8999,2928.8,2870.8999,2895.3999,2831.8701,306927
2025-05-02,2899,2961.7,2881,2884.3999,2821.1113,239237
2025-05-05,2899.8999,2963.8,2890.1001,2940.2,2875.6873,443632
2025-05-06,2820,2820,2711,2790.3,2729.0764,2160557
2025-05-07,2760,2862.5,2759.8,2843.5,2781.1094,681942
2025-05-08,2850.1001,2850.1001,2752.8,2770.7,2709.9065,581634
2025-05-09,2712,2765,2706,2736.3,2676.2612,630999
2025-05-12,2778.5,2884,2778.5,2862.8999,2800.0835,583411
2025-05-13,2862.8999,2909.3999,2850,2879.3999,2816.2214,356527
2025-05-14,2880.5,2920,2856.5,2872,2808.9839,362951
2025-05-15,2895,2954.3999,2876.1001,2949.2,2884.4897,669873
2025-05-16,2951.8,3043,2937.7,3035.6001,2968.9941,514592
2025-05-19,3030,3063.6001,2981.3,2994.1001,2928.4045,758624
2025-05-20,3015,3024.3,2937.1001,2949.7,2884.979,794742
2025-05-21,2975,3008,2946.6001,2980.8999,2915.4941,622452
2025-05-22,2984,3018.8999,2956,2977.5,2912.1689,562965
2025-05-23,2990,3009.2,2926.2,2940.3999,2875.8828,504260
2025-05-26,2961,2973.2,2915.6001,2944.6001,2879.9907,338056
2025-05-27,2961.5,2985.6001,2921.1001,2973.8999,2908.6479,500719
2025-05-28,2989,3023.3999,2959.3,2976.1001,2910.7996,691220
2025-05-29,3000.1001,3207.7,3000.1001,3169.3999,3099.8584,4080348
2025-05-30,3189,3289.1001,3185.2,3268.1001,3196.3928,2900183
2025-06-02,3267,3325,3222.6001,3319.3,3246.4695,1201170
2025-06-03,3324,3359.3999,3297.2,3318.6001,3245.7849,824615
2025-06-04,3321,3377,3319,3346.8999,3273.4636,1022651
2025-06-05,3355,3380,3325,3349.2,3275.7131,483101
2025-06-06,3370,3408.3,3349.5,3384.1001,3309.8477,563840
2025-06-09,3400,3419.5,3385,3411.8,3336.9397,165645
2025-06-10,3419,3419,3377.7,3388.7,3314.3467,258372
2025-06-11,3390,3403.3,3361,3373.3,3299.2844,297427
2025-06-12,3386,3390,3312,3322.5,3249.5989,385374
2025-06-13,3255,3323,3248.1001,3310,3237.3733,359883
2025-06-16,3314.8999,3347.8999,3275,3307.6001,3235.0261,433939
2025-06-17,3320,3339.3999,3293.5,3316.5,3243.731,667500
2025-06-18,3294.5,3312.3,3258.8,3277.8,3205.8799,402785
2025-06-19,3273.8,3312,3224.3999,3237.3,3166.2683,409828
2025-06-20,3237.3,3306.8999,3212.2,3271.5,3199.718,619032
2025-06-23,3235.3999,3272.8999,3218.6001,3260.8999,3189.3506,220281
2025-06-24,3290,3339,3280.3,3311.8,3239.134,391095
2025-06-25,3335,3338,3278.5,3318.8999,3246.0779,265673
2025-06-26,3319.8999,3393,3315.2,3364.6001,3290.7754,835384
2025-06-27,3380,3430,3325.5,3337.2,3263.9766,1274146
2025-06-30,3377.3999,3419.8,3360.2,3399.3999,3324.8118,421940
2025-07-01,3428,3450.8,3338.8,3348.3,3274.833,429888
2025-07-02,3358,3367.8,3312.3999,3338,3264.7588,211985
2025-07-03,3343,3383,3318.3,3332.8999,3259.771,287404
2025-07-04,3332.8999,3368.8,3317.6001,3342,3268.6711,230777
2025-07-07,3350.3999,3442.5,3330.3,3436.1001,3360.7065,626858
2025-07-08,3455,3483,3414,3478,3401.687,690654
2025-07-09,3495,3555,3478.8999,3523.8999,3446.5798,948964
2025-07-10,3545,3545,3503.2,3518.8999,3441.6895,364230
2025-07-11,3519,3569,3496,3546.3999,3468.5864,791838
2025-07-14,3567,3567,3465,3523.8,3446.4824,405403
2025-07-15,3532,3584,3501,3576.5,3498.0259,860744
2025-07-16,3590,3599,3552.2,3567.6001,3489.3213,389532
2025-07-17,3579.8999,3605,3547.6001,3584.8,3506.1438,494777
2025-07-18,3559,3569.2,3511,3536,3491.0383,391491
2025-07-21,3536.1001,3632,3515,3617.8999,3571.8967,426607
2025-07-22,3628,3628,3555.6001,3587.3999,3541.7847,352113
2025-07-23,3588.3999,3625.1001,3548.1001,3616.3999,3570.4158,630663
2025-07-24,3616.3999,3633,3555,3563.7,3518.386,433746
2025-07-25,3563.1001,3579.1001,3520,3535.1001,3490.1499,395036
2025-07-28,3535.8999,3574,3481.5,3529.3999,3484.522,370703
2025-07-29,3514.7,3568.7,3514.7,3535.2,3490.2485,561592
2025-07-30,3539,3590,3488.3,3581.8999,3536.3545,479098
2025-07-31,3525,3596.8999,3502,3555.5,3510.2903,610344
2025-08-01,3559.8999,3617.2,3539.5,3568.7,3523.3225,459708
2025-08-04,3568.7,3580,3510.1001,3566.8,3521.4468,507506
2025-08-05,3566,3604.2,3494.2,3591.5,3545.8325,634486
2025-08-06,3638,3672.6001,3599.8,3635.7,3589.4705,899245
2025-08-07,3634.2,3715,3572.8999,3674,3627.2834,545750
2025-08-08,3780,3900.1001,3658,3806.8999,3758.4937,3620871
2025-08-11,3806.8999,3822.3999,3760,3792.3,3744.0793,658493
2025-08-12,3794.5,3808.5,3750.3,3759.8999,3712.0913,566377
2025-08-13,3765.8999,3824,3761,3792.1001,3743.8821,557455
2025-08-14,3807.7,3823,3771,3784.5,3736.3787,373609
2025-08-18,3818.3,3850.7,3777.8,3783.3999,3735.2925,442925
2025-08-19,3797,3797,3733.5,3752,3704.2917,433016
2025-08-20,3756.5,3836,3729.5,3818.3999,3769.8474,559993
2025-08-21,3838.3999,3900,3814,3886.3,3836.884,702208
2025-08-22,3904,3932,3875,3916,3866.2063,558580
2025-08-25,3930.8,3930.8,3870.2,3880.5,3831.158,307872
2025-08-26,3880,3881.1001,3815,3836.5,3787.7173,464841
2025-08-28,3836.6001,3857,3777.3,3835.2,3786.4336,678197
2025-08-29,3855,3903.8999,3819.8,3826.2,3777.5481,430848
2025-09-01,3826,3907.1001,3814.6001,3880.1001,3830.7629,322056
