date,open,high,low,close,adj_close,volume
2025-03-03,639.95,651,622,647.3,634.632,3527932
2025-03-04,636,649.75,629.75,643.3,630.7103,2270848
2025-03-05,640,663.85,639.35,661.35,648.407,2310187
2025-03-06,668,670.6,662.4,665.3,652.2797,2348012
2025-03-07,672,679.3,661.7,667.05,653.9955,5371744
2025-03-10,666.85,671,643,647.1,634.4359,2379990
2025-03-11,641,674.95,636.05,674.1,660.9075,3958044
2025-03-12,678.95,683,659.15,668.7,655.6132,4082620
2025-03-13,670.95,675.05,656.7,658.1,645.2206,2911477
2025-03-17,661.8,662.3,651.95,655.55,642.7205,1805199
2025-03-18,655.55,655.55,655.55,655.55,642.7205,0
2025-03-19,677,698.7,675.8,697.55,683.8986,3398422
2025-03-20,698,706.5,689.05,694.3,680.7122,4635864
2025-03-21,694.9,717.5,694.3,695.9,682.2809,7145524
2025-03-24,710.05,714,691.4,706,692.1832,6247058
2025-03-25,710.05,713.7,691.6,695.2,681.5946,2989679
2025-03-26,695.55,703.8,678.25,680.45,667.1333,5591317
2025-03-27,680,692.55,672,688.5,675.0257,2634496
2025-03-28,693.1,695,678.15,680.5,667.1823,2797361
2025-04-01,678.35,678.85,653.35,663.1,650.1228,3528179
2025-04-02,662.5,685,658.05,683.15,669.7804,3607433
2025-04-03,677.05,691.7,675.55,680.05,666.741,1979635
2025-04-04,678,679.7,648.75,653.95,641.1519,2860941
2025-04-07,615,627.45,601.2,608.05,596.1501,4377794
2025-04-08,621.05,632.9,611.25,621.55,609.3859,3688073
2025-04-09,620,624.35,607.05,612.85,600.8562,2405075
2025-04-11,625,632.5,618,623.6,611.3958,2743770
2025-04-15,635,663.8,630.4,662.8,649.8287,5255187
2025-04-16,662.8,665.65,652,656.25,643.4069,2166202
2025-04-17,660,673.2,656.5,669.4,656.2995,3423114
2025-04-21,690,690,667.05,675.9,662.6723,3481313
2025-04-22,678,693,668.2,685,671.5942,3717001
2025-04-23,690,695.9,679.3,687.7,674.2414,3113518
2025-04-24,689,689.55,678.25,680.5,667.1823,1968312
2025-04-25,681,685.9,648.95,653.55,640.7597,4496994
2025-04-28,655,665,653,663.9,650.9072,2545802
2025-04-29,667.2,670.9,655.35,658.85,645.9559,3145915
2025-04-30,658.85,684.9,655.7,674.3,661.1036,7339914
2025-05-02,675.95,692.5,672,685.3,671.8884,3039236
2025-05-05,692.7,699,683.5,693.75,680.1729,2634868
2025-05-06,693.75,698.6,672,677.15,663.8978,3346141
2025-05-07,668.7,681.4,665.55,679.25,665.9567,2855850
2025-05-08,679.25,687.25,647.5,655.05,642.2303,2824149
2025-05-09,644.95,651,617.9,631.7,619.3373,9789600
2025-05-12,658,682.4,655,680.5,667.1823,4980754
2025-05-13,677.05,684.9,675,677.85,664.5841,2028681
2025-05-14,681.15,699.2,677.3,688.7,675.2218,4041177
2025-05-15,690,711.95,686.55,709.05,695.1735,3545961
2025-05-16,711,723.2,705.05,715.9,701.8895,4044539
2025-05-19,719,739,713.25,737.65,723.2139,5036812
2025-05-20,770,782.9,742.85,753.5,738.7536,22921338
2025-05-21,764.6,778.6,748.45,775.15,759.9799,8436181
2025-05-22,772.6,779.4,765.65,775.8,760.6172,3524173
2025-05-23,776,779,770.15,776.5,761.3035,2652923
2025-05-26,780,790.5,775,777.8,762.5781,3757056
2025-05-27,778,783,770.25,774.05,758.9014,4213811
2025-05-28,774.05,780.7,767.7,772,756.8915,2474259
2025-05-29,780,799.45,777.2,793.75,778.2159,5339086
2025-05-30,794.9,802.75,790,797.85,782.2357,6655557
2025-06-02,797,814.6,789.65,810.7,794.8342,3575806
2025-06-03,813.95,816.75,801,804.55,788.8046,3447783
2025-06-04,809,809.8,795.7,803.4,787.6771,2205496
2025-06-05,807,830.3,805.2,825.7,809.5407,5496684
2025-06-06,826,884.45,822.15,880.35,863.1211,13717251
2025-06-09,886.45,886.8,874.55,878.6,861.4053,3012214
2025-06-10,879,882.7,864.9,868,851.0128,2393636
2025-06-11,868,879.7,863,868.55,851.5521,2499361
2025-06-12,869.9,869.9,845.6,847.85,831.2571,2751252
2025-06-13,826.5,856.8,826,851.25,834.5906,3951233
2025-06-16,852.25,863,844,859,842.189,2204028
2025-06-17,860.25,882.45,849.65,851.45,834.7867,5285974
2025-06-18,864.1,867.25,841.7,844.8,828.2668,4708094
2025-06-19,845,850,833.85,839.9,823.4628,4347684
2025-06-20,840.85,858,837.3,854.25,837.5319,4388235
2025-06-23,847.7,861.45,844.65,852.45,835.7672,2520182
2025-06-24,863,868.7,847.5,849.5,832.8749,3345722
2025-06-25,852.5,855.6,845.15,854.35,837.6299,2739707
2025-06-26,853.7,855,834.45,847.1,830.5219,5014664
2025-06-27,850.2,859.95,841.5,845.8,829.2473,3690392
2025-06-30,849,851.35,836.1,837.8,821.4038,2198839
2025-07-01,845,851.4,836.55,843.45,826.9433,3414388
2025-07-02,850,850.65,824.5,831.9,815.6193,3762205
2025-07-03,831.9,838.8,828,829.7,813.4624,1521725
2025-07-04,830,840,826,836,819.639,1218416
