date,open,high,low,close,adj_close,volume
2025-03-03,3425,3472,3340,3453.2,3453.2,807297
2025-03-04,3429.7,3460,3400,3408.3999,3408.3999,637407
2025-03-05,3408.3999,3505,3408.3999,3474.5,3474.5,417930
2025-03-06,3505,3552,3475,3540.5,3540.5,797590
2025-03-07,3568,3636.3,3549.95,3593.6001,3593.6001,681832
2025-03-10,3600,3624.95,3548.2,3603.75,3603.75,327825
2025-03-11,3586.95,3639.8999,3551.55,3631.6499,3631.6499,255758
2025-03-12,3655.25,3685,3622.45,3674.2,3674.2,265757
2025-03-13,3681,3877.05,3670,3797.1001,3797.1001,2325270
2025-03-17,3797.1001,3832.3501,3788.1001,3825.3,3825.3,425089
2025-03-18,3825.3,3825.3,3825.3,3825.3,3825.3,0
2025-03-19,3850,3860,3795,3845.2,3845.2,285707
2025-03-20,3864.3999,3904.75,3831.1499,3884.3999,3884.3999,267764
2025-03-21,3890,3948.8,3871.8501,3892.2,3892.2,431562
2025-03-24,3900,3948.95,3890,3905.1001,3905.1001,209015
2025-03-25,3935,4033.95,3883.95,3998.8,3998.8,704455
2025-03-26,4010,4018.1001,3917.3,3945.7,3945.7,384630
2025-03-27,3940,4085,3932.45,4065,4065,735787
2025-03-28,4065,4190,4055.05,4083.2,4083.2,886798
2025-04-01,4109.75,4163.3999,3994.6001,4003.6001,4003.6001,401323
2025-04-02,4045,4131.7002,3996,4121.4502,4121.4502,390709
2025-04-03,4121.4502,4195.5,4077.05,4157.7998,4157.7998,426311
2025-04-04,4155,4155,3943,4039.8999,4039.8999,818952
2025-04-07,3761.2,4037.1001,3761.2,4023.1499,4023.1499,472568
2025-04-08,4079,4100,4020,4053.8501,4053.8501,552578
2025-04-09,4053.8501,4151.8501,4014,4139.2998,4139.2998,663300
2025-04-11,4157,4192,4113.0498,4131.5,4131.5,570955
2025-04-15,4200,4227,4088,4212.7002,4212.7002,569335
2025-04-16,4240,4265,4200.2002,4221.5,4221.5,331624
2025-04-17,4221,4397,4192.2002,4357.1001,4357.1001,1020665
2025-04-21,4357,4429,4321.6001,4342.2998,4342.2998,561592
2025-04-22,4363,4497,4315,4435.6001,4435.6001,998024
2025-04-23,4455.5,4533.7998,4434,4508.1001,4508.1001,1223678
2025-04-24,4509.7998,4557.7002,4452,4498.7998,4498.7998,1698949
2025-04-25,4501.8999,4520.7002,4350,4375.2002,4375.2002,540513
2025-04-28,4375.2002,4462.2998,4351.2002,4366.7998,4366.7998,676462
