date,open,high,low,close,adj_close,volume
2025-03-03,4827,4928,4827,4906.6001,4793.5952,503560
2025-03-04,4887,4887,4788.2998,4815.1001,4704.2026,638281
2025-03-05,4808,5004,4780.8999,4988.2998,4873.4131,551830
2025-03-06,4995.6001,5107.1001,4995.6001,5094.3999,4977.0693,648307
2025-03-07,5094.3999,5131.3999,5073,5100.7002,4983.2246,590548
2025-03-10,5123,5130,4970.6499,4990.5498,4875.6113,316750
2025-03-11,4950,5010,4912.0498,4985.5498,4870.7261,228128
2025-03-12,4985,5039.8999,4960.5,5017.4502,4901.8921,235018
2025-03-13,5030.5,5047.5,4965.0498,5015.25,4899.7427,265867
2025-03-17,4935,5076.9502,4935,5050.25,4933.9365,287729
2025-03-18,5050.25,5050.25,5050.25,5050.25,4933.9365,0
2025-03-19,5131,5139.6001,5054.6001,5100.8999,4983.4199,417978
2025-03-20,5129,5258.9502,5113.2998,5229.3501,5108.9116,491655
2025-03-21,5249.1499,5327.9502,5230.3501,5305.9502,5183.7476,414691
2025-03-24,5325.5,5456,5312.8999,5424.2002,5299.2739,316612
2025-03-25,5460,5499.8501,5401.2002,5431.25,5306.1611,324007
2025-03-26,5433.8999,5495,5390,5403.2998,5278.855,384678
2025-03-27,5329.4502,5405,5300,5345.75,5222.6304,603145
2025-03-28,5363,5408.3501,5322.4502,5347.7002,5224.5361,286609
2025-04-01,5365.5498,5525,5266.1001,5307.2002,5184.9688,562006
2025-04-02,5361.7002,5393.9502,5311.25,5355.5,5232.1558,365908
2025-04-03,5265,5408.2998,5265,5379.1499,5255.2612,224286
2025-04-04,5350.9502,5355.1001,5230,5247.8999,5127.0342,261887
2025-04-07,5000,5167.3999,4999.9502,5065.25,4948.5913,519173
2025-04-08,5165.5498,5269,5109.7998,5231.3501,5110.8652,355195
2025-04-09,5270.5498,5324,5182.3501,5258.2998,5137.1943,472302
2025-04-11,5290,5409,5290,5350.8999,5227.6621,500528
2025-04-15,5464,5557,5399,5529,5401.6602,542322
2025-04-16,5549,5630,5539,5615.5,5486.168,734279
2025-04-17,5615.5,5715.5,5576,5678.5,5547.7173,564357
2025-04-21,5695.5,5857.5,5643.5,5810.5,5676.6768,551547
2025-04-22,5811,5906.5,5766.5,5784,5650.7876,459537
2025-04-23,5789,5816.5,5605.5,5740,5607.8008,582611
2025-04-24,5736,5774.5,5620,5650.5,5520.3618,503663
2025-04-25,5662.5,5668,5517.5,5575.5,5447.0894,457510
2025-04-28,5580.5,5658,5550.5,5622,5492.5181,403569
2025-04-29,5626.5,5691.5,5508,5579,5450.5088,309552
2025-04-30,5605,5605,5505.5,5567,5438.7847,509786
2025-05-02,5560,5560,5376,5440,5314.71,634482
2025-05-05,5469.5,5480,5411,5460.5,5334.7378,320466
2025-05-06,5460.5,5597,5440.5,5515,5387.9824,514699
2025-05-07,5460.5,5571,5452.5,5489,5362.5815,349955
2025-05-08,5463.5,5488.5,5339.5,5372.5,5248.7642,609858
2025-05-09,5295,5340.5,5260.5,5324,5201.3818,412056
2025-05-12,5505,5541,5414,5520,5392.8677,327631
2025-05-13,5506.5,5553.5,5392.5,5419,5294.1934,416275
2025-05-14,5430,5477.5,5360,5446.5,5321.0605,315866
2025-05-15,5500,5548,5360,5466,5340.1113,1930277
2025-05-16,5504,5585.5,5491,5509.5,5382.6094,638327
2025-05-19,5510,5628,5509.5,5530,5402.6372,654074
2025-05-20,5550,5557.5,5380,5387.5,5263.4189,402780
2025-05-21,5410,5477.5,5385,5409,5284.4238,300888
2025-05-22,5382,5410,5320,5387,5262.9307,461736
2025-05-23,5390,5437.5,5376,5400,5275.6313,282287
2025-05-26,5403,5473,5400.5,5427.5,5302.498,337099
2025-05-27,5420,5445,5376,5389.5,5265.373,452769
2025-05-28,5405,5409.5,5314,5326.5,5203.8242,380066
2025-05-29,5328.5,5396.5,5287,5379,5255.1147,704795
2025-05-30,5378,5403,5319.5,5333.5,5210.6626,915804
2025-06-02,5340,5385,5316.5,5361,5237.5293,475698
2025-06-03,5414,5414,5296,5354,5230.6904,479572
2025-06-04,5340,5385.5,5296.5,5319.5,5196.9849,321913
2025-06-05,5331.5,5338,5284,5308.5,5186.2388,459910
2025-06-06,5290.5,5405,5261.5,5394,5269.7695,538092
2025-06-09,5422,5444,5377.5,5391,5266.8384,270949
2025-06-10,5426,5426,5370.5,5377.5,5253.6494,330659
2025-06-11,5370,5434.5,5342.5,5352,5228.7368,366787
2025-06-12,5351,5375,5302,5315.5,5193.0771,337217
2025-06-13,5280,5333.5,5219.5,5319,5196.4966,414671
