date,open,high,low,close,adj_close,volume
2025-06-19,2840,2982,2698,2735,2730.5913,4080416
2025-06-20,2635,2869,2610,2640.8,2636.5432,10030400
2025-06-23,2508.8,2721,2508.8,2615.8,2611.5835,3288612
2025-06-24,2611,2744,2526.2,2706.3999,2702.0374,2439573
2025-06-25,2670,2835.8999,2670,2802.1001,2797.5833,1348714
2025-06-26,2753,2889,2753,2827.6001,2823.0422,3328114
2025-06-27,2860,2934,2840,2901.2,2896.5234,663663
2025-06-30,2924.8999,2994,2892.2,2975.8999,2971.103,601274
2025-07-01,3000,3024,2916,2971.5,2966.7102,536577
2025-07-02,2960,2971.5,2876.7,2951.1001,2946.343,568584
2025-07-03,2948,2971.7,2881,2922.3,2917.5894,650654
2025-07-04,2935,2978.8,2880,2894,2889.335,654426
2025-07-07,2908,3068.7,2892.3,3000.1001,2995.2642,1958335
2025-07-08,3030,3106.5,3022.1001,3046.8999,3041.9885,1519432
2025-07-09,3068.7,3160,3055.6001,3126.5,3121.4602,1519442
2025-07-10,3145,3230,3099.8,3140.3,3135.238,821004
2025-07-11,3144.7,3197,3099,3176.7,3171.5793,1046411
2025-07-14,3176.7,3183,3043.5,3076.1001,3071.1416,894477
2025-07-15,3072,3073.1001,2966.1001,3053.7,3048.7776,884299
2025-07-16,3051.8999,3130,3005,3086.3,3081.3252,767166
2025-07-17,3130,3184,3030.3999,3054.2,3049.2769,758679
2025-07-18,3060.3999,3082.8,2990,3037.5,3032.6038,505495
2025-07-21,3034,3088,2995.6001,3057.8999,3052.9707,364458
2025-07-22,3064,3131.8999,3030,3042.3999,3037.4956,401792
2025-07-23,3045,3074.1001,2976,3010.6001,3005.7471,461601
2025-07-24,3012,3030,2980,3005.3,3000.4556,485288
2025-07-25,3003,3015.5,2958,2977.5,2972.7004,343613
2025-07-28,2976.8,3050,2930,3017.2,3012.3364,753781
2025-07-29,2991,3045,2962,3034.5,3029.6086,623985
2025-07-30,3036.8999,3275,3036.8999,3226.8999,3221.6982,1303514
2025-07-31,3193,3277.1001,3180,3237.8999,3232.6807,566282
2025-08-01,3232,3247.8999,3145,3168.8,3163.6921,439298
2025-08-04,3170,3249.8,3116.6001,3233.6001,3228.3877,861099
2025-08-05,3370,3419,3240.1001,3259.8999,3254.645,1643505
2025-08-06,3275,3289,3141,3161.8,3156.7034,628232
2025-08-07,3161.8,3199,3117.5,3175.3,3170.1816,576167
2025-08-08,3200,3209.5,3074.7,3083.8999,3078.9287,569835
2025-08-11,3090,3164.8999,3040.8,3112.6001,3107.5828,1120311
2025-08-12,3124,3218.1001,3116,3147.1001,3142.0271,676128
2025-08-13,3190,3203.1001,3145.5,3162.3999,3157.3022,435126
2025-08-14,3173.8999,3207,3155.8,3173.3,3168.1848,291868
2025-08-18,3151,3258,3142.5,3168.1001,3162.9932,1013198
2025-08-19,3175,3209.1001,3156,3195.2,3190.0496,316378
2025-08-20,3205,3330.7,3190,3295,3289.6887,824347
2025-08-21,3305,3388,3280,3297.5,3292.1846,618164
2025-08-22,3305.5,3394,3304.1001,3374,3368.5613,572409
2025-08-25,3399,3415.5,3356.7,3382.7,3377.2473,417287
2025-08-26,3378.8999,3409.3999,3325,3337,3331.6208,323462
2025-08-28,3339.8999,3437.8999,3321.1001,3379,3373.5532,736641
2025-08-29,3439.8999,3439.8999,3356.5,3374.8999,3369.4597,265904
2025-09-01,3375,3580,3375,3492.3,3486.6707,720880
2025-09-02,3510,3595.5,3510,3525.5,3519.8171,446967
2025-09-03,3531,3588,3425,3437.1001,3431.5596,319732
2025-09-04,3470,3470.8999,3361.2,3389.3,3383.8367,314128
2025-09-05,3399,3475.8999,3385.3,3425.8,3420.2778,194795
2025-09-08,3425.8,3529,3418,3501.8999,3496.2551,220861
2025-09-09,3499.1001,3517,3430,3458.2,3452.6255,284896
2025-09-10,3470,3482.5,3335,3383.1001,3377.6467,706150
2025-09-11,3391.7,3464.5,3340.6001,3358.1001,3352.687,418414
2025-09-12,3375,3429,3352.1001,3386.3999,3380.9412,381267
2025-09-15,3400,3449,3393,3402.3999,3396.9155,440197
2025-09-16,3415,3483.8999,3414.8999,3460.8999,3455.321,294625
2025-09-17,3462.8999,3526,3425,3499.6001,3493.959,551483
2025-09-18,3509.8999,3540,3468.7,3474.8,3469.1987,435534
2025-09-19,3470,3475.1001,3411,3435.6001,3430.062,584304
2025-09-22,3433,3566.5,3432.8999,3528.6001,3522.9121,792460
2025-09-23,3566,3625,3515.8999,3606.5,3600.6865,839211
2025-09-24,3610,3610.1001,3469.8999,3510.2,3504.5417,698304
2025-09-25,3499.1001,3557,3472,3527.8,3522.1135,487362
2025-09-26,3516,3608.1001,3476,3516.2,3510.532,616010
2025-09-29,3515.5,3573.7,3460.8,3510.6001,3504.9412,2644655
2025-09-30,3485.1001,3514.8,3403,3432.8,3427.2666,432263
