date,open,high,low,close,adj_close,volume
2025-03-03,222.05,225.58,215.25,222.14,222.14,33262928
2025-03-04,220.6,229.66,218.7,227.61,227.61,40794122
2025-03-05,229,231.75,225.36,227.02,227.02,33095222
2025-03-06,231.44,231.44,224.5,225.43,225.43,31864115
2025-03-07,223.89,224.65,216,216.83,216.83,43864788
2025-03-10,217.41,219.09,210.55,211.28,211.28,62786821
2025-03-11,205.01,210.42,199.8,208.07,208.07,122391053
2025-03-12,209.09,212.5,201.2,205.46,205.46,80010768
2025-03-13,208.2,208.6,200.2,201.43,201.43,60780855
2025-03-17,200,207.2,199.17,203.69,203.69,48729369
2025-03-18,203.69,203.69,203.69,203.69,203.69,0
2025-03-19,218.5,227.5,218.5,223.53,223.53,65519150
2025-03-20,226,228,221.87,224.47,224.47,61376776
2025-03-21,220,228.85,220,227.52,227.52,113328549
2025-03-24,228.8,230.2,222.2,222.8,222.8,41920679
2025-03-25,223.8,225.1,209,209.81,209.81,84184995
2025-03-26,202.35,206.9,199.92,203.29,203.29,114342130
2025-03-27,204.47,208.75,200.37,206.28,206.28,400414753
2025-03-28,204.24,209.9,200.5,201.7,201.7,74842762
2025-04-01,201.7,205,198.85,202.01,202.01,63369467
2025-04-02,203.5,212.6,202,212.03,212.03,59441448
2025-04-03,208.15,214,208,210.9,210.9,44447473
2025-04-04,211.84,212.58,205.67,210.53,210.53,48296676
2025-04-07,196,211,194.8,209.63,209.63,64932923
2025-04-08,213.19,219.19,210.81,215.19,215.19,62002510
2025-04-09,216,216,209.86,211.39,211.39,25358876
2025-04-11,211.39,211.39,211.39,211.39,211.39,0
2025-04-15,211.39,211.39,211.39,211.39,211.39,0
2025-04-16,220.51,222.64,218.4,222.08,222.08,26155875
2025-04-17,220.6,236.14,220.38,231.6,231.6,70125937
2025-04-21,229,235.3,227.1,234.24,234.24,66028533
2025-04-22,236,243.45,235,237.47,237.47,59667380
2025-04-23,237.48,240.25,233.05,239.24,239.24,42294685
2025-04-24,237,241.37,235,236.38,236.38,46103369
2025-04-25,235.9,239,227.31,228.81,228.81,32437650
2025-04-28,226,231.99,225.06,227.21,227.21,29327020
2025-04-29,228.37,234.24,226.6,231.11,231.11,32761971
2025-04-30,232,234.75,226.1,232.52,232.52,45831746
2025-05-02,220.05,239.5,220.05,234.1,234.1,91420800
2025-05-05,234.5,240.97,232.93,239.9,239.9,37948115
2025-05-06,240,241.5,231.85,232.64,232.64,25327712
2025-05-07,228.6,237.67,228.6,236.9,236.9,31614852
2025-05-08,235.25,236.45,226.6,229.81,229.81,49888442
2025-05-09,222,229,222,227.14,227.14,24415321
2025-05-12,232,240,232,239.5,239.5,31757003
2025-05-13,238,239.47,231.05,231.65,231.65,44837486
2025-05-14,232,237.44,232,236.86,236.86,23158211
2025-05-15,236.2,245.3,233.75,242.59,242.59,40335990
2025-05-16,242.6,246.94,242,245.76,245.76,30854384
2025-05-19,245.84,246.59,237.43,238.03,238.03,21817610
2025-05-20,240,240,227.88,228.28,228.28,45891392
2025-05-21,227,230.3,224.18,229.97,229.97,47166136
2025-05-22,228.97,230.88,227.03,229.02,229.02,28795944
2025-05-23,229.12,240.7,228.87,237.55,237.55,42180098
2025-05-26,232.8,232.8,225.65,226.8,226.8,89147299
2025-05-27,226.4,227.47,221.1,224.79,224.79,224659198
2025-05-28,225.9,225.9,223.2,224.18,224.18,43525027
2025-05-29,224.5,229.35,224.03,228.37,228.37,54574822
2025-05-30,226.56,243,226.56,238.31,238.31,467574032
2025-06-02,237.31,243,236.11,241.2,241.2,55690205
2025-06-03,245,245.83,236.75,237.7,237.7,91875218
2025-06-04,237.1,248,237.1,245.68,245.68,70626622
2025-06-05,248,260.22,247.99,256.56,256.56,127795264
2025-06-06,256.56,264,256.01,261.86,261.86,66234457
2025-06-09,261.9,262.98,255.35,256.84,256.84,33660854
2025-06-10,256.8,256.8,252.35,255.68,255.68,36662941
2025-06-11,255.68,260.19,255.3,257.07,257.07,40554764
2025-06-12,257.07,257.1,250.35,251.56,251.56,24298795
2025-06-13,243.26,250.24,243.26,249.08,249.08,30512913
2025-06-16,249,253.52,248.71,252.15,252.15,26481959
2025-06-17,251.3,252,246.85,247.25,247.25,20651969
2025-06-18,247.3,250.21,247.16,248.41,248.41,17297196
2025-06-19,247.99,254.8,247.21,249.42,249.42,32347921
2025-06-20,249.01,254.15,249.01,253.33,253.33,50201710
2025-06-23,250.15,255.8,250.05,254.64,254.64,21523144
2025-06-24,257,260,254.22,255.07,255.07,35638629
2025-06-25,256.11,259.42,255.1,258.86,258.86,26412599
2025-06-26,259.42,266.25,258.95,265.18,265.18,47100081
2025-06-27,266.49,266.49,261,261.86,261.86,61545458
2025-06-30,262,265.19,262,264.15,264.15,21588949
2025-07-01,264.75,264.85,259.6,261,261,17220730
2025-07-02,260.5,261.85,257.6,259.75,259.75,14940247
2025-07-03,260.1,264.3,260,260.85,260.85,19402947
2025-07-04,262.1,263.7,259.65,261.4,261.4,13076740
2025-07-07,261.4,261.55,256.2,258.55,258.55,25446186
2025-07-08,259.65,264.2,259.5,263.5,263.5,18312891
2025-07-09,263.65,265.45,261.8,264.55,264.55,18477582
2025-07-10,265.1,267.25,262.25,262.85,262.85,17136740
2025-07-11,260,264.95,260,263.35,263.35,16528109
2025-07-14,264.95,277.75,262.3,270.6,270.6,50184664
2025-07-15,271.9,272.4,265.15,266.45,266.45,35090527
2025-07-16,263.15,266.95,261.25,262.35,262.35,17828906
2025-07-17,263,263.7,258.6,259.65,259.65,17544857
2025-07-18,259.95,260.2,256.75,257.2,257.2,13584890
2025-07-21,257,277,256.65,271.7,271.7,67508530
2025-07-22,293,311.25,289.65,299.8,299.8,269332774
2025-07-23,298,303.55,296.3,302.05,302.05,68915203
2025-07-24,302.25,314.45,302,313.15,313.15,120603751
2025-07-25,309.95,314.15,306.3,310.55,310.55,50941177
2025-07-28,310,312.25,306.6,307.3,307.3,24882879
2025-07-29,305,307.2,300,306.55,306.55,23521231
2025-07-30,306.55,308.15,301.8,303.45,303.45,21677387
2025-07-31,300,311.15,299.3,307.8,307.8,32474675
2025-08-01,309.8,310.45,303.95,304.75,304.75,16415906
2025-08-04,303,307,300.45,305.25,305.25,21862121
2025-08-05,306.9,307.6,301.7,302.15,302.15,14820256
2025-08-06,302,302.5,295.45,298.85,298.85,22012280
2025-08-07,291.55,303.2,288.4,301.75,301.75,391548871
2025-08-08,300.35,302.4,298.1,300.9,300.9,28458176
2025-08-11,300.9,310.4,299.5,309.4,309.4,44948318
2025-08-12,309.4,310,304.55,305.9,305.9,20834370
2025-08-13,305.9,314,305.55,312.35,312.35,28119116
2025-08-14,313,319.8,310.65,318.4,318.4,45892250
2025-08-18,318.4,323.7,313.65,314.9,314.9,42357084
2025-08-19,316.5,321.9,311.7,321.45,321.45,36592945
2025-08-20,322.4,331.35,320.35,326.55,326.55,55734714
2025-08-21,324.6,325.9,321,321.8,321.8,22056606
2025-08-22,321.8,324,318.25,319.1,319.1,22869858
2025-08-25,320,323.8,316.55,319.25,319.25,20880241
2025-08-26,317.3,321.5,315.05,317.9,317.9,438503024
2025-08-28,321.2,323.1,313.25,315.5,315.5,44020764
2025-08-29,315.55,316.75,307.75,313.95,313.95,62441100
2025-09-01,313.95,322.5,313.95,321.1,321.1,47888390
2025-09-02,322.85,327.4,320.45,322.4,322.4,48878436
2025-09-03,325.1,328.75,322,326.1,326.1,46674039
2025-09-04,328,329,322.8,326.25,326.25,43285629
2025-09-05,327.55,334.4,326.3,329.15,329.15,31645035
2025-09-08,331,332.2,328.2,329.65,329.65,17188065
2025-09-09,329,329.65,323.75,325.7,325.7,19658627
2025-09-10,328.95,328.95,322.8,324.4,324.4,18981939
2025-09-11,325,331.35,324.7,328.1,328.1,22336999
2025-09-12,327.1,327.9,320.7,321.4,321.4,19923948
2025-09-15,322.95,325.6,321.5,323.3,323.3,16287174
2025-09-16,323,327.8,322,327.3,327.3,19198538
2025-09-17,327.3,330,325.3,328.25,328.25,14901358
2025-09-18,328.8,338.5,328.3,337.85,337.85,36575258
2025-09-19,337,340,334.55,336.55,336.55,29146789
2025-09-22,340,343.9,336.7,341.85,341.85,28626249
2025-09-23,340.95,341.3,336.7,338.35,338.35,15144828
2025-09-24,336.2,338,335.35,335.8,335.8,12073297
2025-09-25,334,335.8,331.2,332.25,332.25,16653312
2025-09-26,331,332.9,320,321,321,26840537
2025-09-29,326.95,328.8,324.25,324.85,324.85,21653802
2025-09-30,325.1,328.05,323.5,325.5,325.5,18841393
2025-10-01,323.1,330.25,320.8,329,329,18366563
2025-10-03,326.2,334.8,324,328.45,328.45,25648590
2025-10-06,326.5,336.3,326.5,335.1,335.1,13705095
2025-10-07,335.5,341.6,333.2,337.85,337.85,19836347
2025-10-08,337.65,342.9,336.05,341.65,341.65,16799915
2025-10-09,345,347.5,342.9,345.5,345.5,23497999
2025-10-10,342.55,349.9,341.6,348.3,348.3,15972103
2025-10-13,347.5,351.3,345.4,348.35,348.35,14458590
2025-10-14,352,352,343,347.75,347.75,25161480
2025-10-15,347.75,355.9,347.35,354.35,354.35,30840496
2025-10-16,356,368.45,338,347.85,347.85,91194459
2025-10-17,340,347.75,333.75,342.65,342.65,77995576
2025-10-20,345,346.5,336.25,338.15,338.15,25481979
2025-10-21,340.1,340.8,337.2,338.1,338.1,3818958
2025-10-23,343,343,327,328.35,328.35,54284157
2025-10-24,328,329.85,324.35,326.6,326.6,35567993
2025-10-27,326.2,334.9,324.6,333.7,333.7,27703118
2025-10-28,332.75,336.2,332.15,334.6,334.6,28723423
2025-10-29,333.55,335.5,328.75,330.45,330.45,19679008
2025-10-30,328,332.25,325.5,329.35,329.35,19800315
2025-10-31,329.95,330.3,316.65,317.75,317.75,34241754
2025-11-03,316.45,323.6,313.25,322.6,322.6,33549131
2025-11-04,321.05,321.95,312.3,313.5,313.5,35402202
2025-11-06,308.5,311.65,303.55,305.65,305.65,44725332
2025-11-07,305.95,309.1,301.45,306.1,306.1,26911856
2025-11-10,304.25,308.55,300.8,301.45,301.45,33919179
2025-11-11,302.95,307.75,300.15,305.8,305.8,35824473
2025-11-12,308,312.95,307.35,308.8,308.8,43774443
