date,open,high,low,close,adj_close,volume
2025-03-03,156.04,159,153.31,154.05,148.1067,21947511
2025-03-04,153,153.9,150.52,153.17,147.2606,11758879
2025-03-05,153.5,159.25,153.35,158.95,152.8176,11875941
2025-03-06,160.7,162.62,159.01,161.46,155.2308,9112943
2025-03-07,161.41,161.94,157.4,158.14,152.0389,12554271
2025-03-10,158,160.25,154.2,155.14,149.1546,12901373
2025-03-11,154.45,157.3,153,156.78,150.7313,8510794
2025-03-12,157.4,161.65,157.3,159.2,153.058,12855790
2025-03-13,159.46,161.3,157.71,157.96,151.8658,9241718
2025-03-17,157.89,159.2,156.41,156.58,150.5391,9745451
2025-03-18,156.58,156.58,156.58,156.58,150.5391,0
2025-03-19,163,166.62,162.62,165.96,159.5572,11002564
2025-03-20,167.07,169.38,164.65,168.46,161.9607,10268944
2025-03-21,168.45,177.33,168.4,175.05,168.2965,33864565
2025-03-24,178.76,186.4,178.2,181.28,174.2861,33972530
2025-03-25,183,183.31,177,177.7,170.8442,15135251
2025-03-26,177,179.5,173.42,174.07,167.3543,15788440
2025-03-27,172.9,182.25,172.2,181.56,174.5553,23986738
2025-03-28,181.99,184.95,180.81,183.04,175.9782,22871476
2025-04-01,181.59,186.95,179.67,186.32,179.1317,16373953
2025-04-02,184.05,186.9,183.1,184.06,176.9589,13488498
2025-04-03,182.06,185.5,180.57,183.63,176.5455,10999215
2025-04-04,183.2,184.9,175,176.61,169.7963,12870074
2025-04-07,159.8,171.7,159.61,169.03,162.5087,14675014
2025-04-08,174.42,177.43,169.69,172.57,165.9122,11262619
2025-04-09,172.8,173.57,167.42,168.86,162.3453,8093175
2025-04-11,173.02,173.37,169.31,171.71,165.0853,11757223
2025-04-15,176.69,180.76,174.88,178.99,172.0845,15842566
2025-04-16,178,185,176.31,184.7,177.5742,20404245
2025-04-17,184.7,188.7,183.81,186.99,179.7758,19477011
2025-04-21,190.5,197,188.59,195.32,187.7844,31364829
2025-04-22,196.11,196.7,192.79,193.24,185.7847,15312211
2025-04-23,194.29,194.8,189.9,193.5,186.0347,8545702
2025-04-24,192.21,194.28,191.9,193.24,185.7847,12332917
2025-04-25,193,194.67,184.88,186.74,179.5355,9791154
2025-04-28,185.99,191.1,185.84,189.32,182.0159,8332481
2025-04-29,189.37,193.19,188.9,189.6,182.2851,6147630
2025-04-30,189.15,192.3,187.41,189.09,181.7948,11049144
2025-05-02,190,192.6,187.73,188.42,181.1507,6381498
2025-05-05,189.54,193.1,187.27,191.19,183.8138,11170518
2025-05-06,192,192.12,184.89,186.41,179.2182,6179703
2025-05-07,183,190.3,183,189.23,181.9294,7734600
2025-05-08,188.52,191.38,182.48,184.27,177.1608,10327093
2025-05-09,178.76,182.9,178.6,181.6,174.5938,13961118
2025-05-12,187.34,189.13,186.04,187.8,180.5546,12160088
2025-05-13,188.73,189.52,183.1,183.83,176.7377,18769044
2025-05-14,185,187.84,183.01,185.93,178.7567,13578551
2025-05-15,186.5,186.5,182.85,185.02,177.8818,14364503
2025-05-16,184.95,187.5,184.38,186.28,179.0932,17089599
2025-05-19,187.39,190.95,186.3,189.48,182.1698,14465387
2025-05-20,190.39,194,188.9,191.1,183.7273,21788836
2025-05-21,191.4,191.5,187.5,190.64,183.285,10013046
2025-05-22,189.75,193,189.21,192.61,185.179,10157103
2025-05-23,192.91,193.99,190.07,191.28,183.9003,9709796
2025-05-26,192,194.66,191.96,193.15,185.6982,7364228
2025-05-27,193,194.3,190.61,193.98,186.4962,9676557
2025-05-28,194,197.28,193.11,194.34,186.8423,11799541
2025-05-29,193.75,194.57,190.86,191.75,184.3522,15154707
2025-05-30,192,193,188.96,189.8,182.4774,26351115
2025-06-02,189.8,192.25,188.31,191.71,184.3137,8101618
2025-06-03,191.75,194.87,191.27,191.91,184.506,10598180
2025-06-04,191.9,193,186.3,189.52,182.2082,17603834
2025-06-05,190.69,192.87,189.5,190.62,183.2658,7467344
2025-06-06,190.62,191.88,189.72,191.15,183.7753,6637216
2025-06-09,191.5,194.8,191.39,193.64,186.1693,7485555
2025-06-10,195,197.5,192.75,195.67,188.1209,11402867
2025-06-11,197.01,200.6,196.3,200.09,192.3704,24303718
2025-06-12,202.4,202.79,191.76,192.18,184.7656,27331751
2025-06-13,190,192.53,185.17,191.34,183.958,15290087
2025-06-16,192.5,192.65,188.5,191.63,184.2368,7728599
2025-06-17,191.63,192.5,188.8,190.47,183.1216,8847687
2025-06-18,188.61,190.4,185.2,185.72,178.5548,11903224
2025-06-19,185.5,186.46,179.5,180.41,173.4497,18702293
2025-06-20,180.15,182.62,179.42,181.85,174.8341,18520686
2025-06-23,180,185.16,179.85,184.76,177.6319,11308631
2025-06-24,186.06,187.89,185.11,185.49,178.3337,7404157
2025-06-25,187.39,187.39,183.61,183.98,176.8819,8112854
2025-06-26,184.62,187.2,183.84,186.79,179.5835,12858332
2025-06-27,187.7,191.61,187.11,191.02,183.6503,13050123
2025-06-30,192,192.45,189.25,190.84,183.4773,9866638
