date,open,high,low,close,adj_close,volume
2025-03-03,1006,1014.75,990,998.35,971.5255,693968
2025-03-04,990,997.1,979.5,990.25,963.643,935737
2025-03-05,990.25,1005.9,986.65,991.35,964.7134,1621637
2025-03-06,998,1037.75,998,1030.3,1002.617,1863854
2025-03-07,1020.1,1053.4,1017.2,1045.3,1017.2139,607186
2025-03-10,1042,1063.2,1036.9,1044,1015.9487,793821
2025-03-11,1025,1050,1025,1039.15,1011.2292,721342
2025-03-12,1039.25,1046.9,1028.85,1043.4,1015.3649,436216
2025-03-13,1045,1045,1020.35,1025.8,998.2379,631099
2025-03-17,1025.1,1061.4,1024.65,1052.3,1024.0259,1266046
2025-03-18,1052.3,1052.3,1052.3,1052.3,1024.0259,0
2025-03-19,1085.1,1087,1064.35,1074.3,1045.4348,1274199
2025-03-20,1074.95,1104.7,1074.95,1101.5,1071.9039,1422712
2025-03-21,1105.5,1120.55,1094,1111.95,1082.0729,1775108
2025-03-24,1116,1120.1,1098.5,1106.3,1076.575,880326
2025-03-25,1111.85,1134.9,1097.6,1129.85,1099.4922,2339818
2025-03-26,1129.95,1138.85,1103.25,1130.3,1099.9299,2080701
2025-03-27,1133.95,1150,1115.55,1144.55,1113.7972,3571049
2025-03-28,1054.05,1169.65,1054.05,1159.25,1128.1021,1494348
2025-04-01,1150.7,1163.6,1141.5,1143.6,1112.8727,637877
2025-04-02,1149.35,1164.2,1136,1162.65,1131.4106,728473
2025-04-03,1148.95,1176.7,1138.95,1162.05,1130.8269,927323
2025-04-04,1169.5,1173.45,1142.95,1156.6,1125.5234,893054
2025-04-07,1158,1177.6,1125.05,1160.1,1128.9293,5114215
2025-04-08,1178.5,1204.5,1173.1,1197.25,1165.0812,2006049
2025-04-09,1197.25,1249,1196.25,1242.35,1208.9694,3686650
2025-04-11,1285.3,1286,1207.7,1223.6,1190.723,1327101
2025-04-15,1234.7,1239,1203.4,1216.3,1183.6193,1563410
2025-04-16,1218.8,1246.8,1211.6,1244.6,1211.1589,779550
