date,open,high,low,close,adj_close,volume
2025-03-03,2328.5,2382.8999,2317.8999,2377.45,2361.4761,790068
2025-03-04,2356,2404.2,2351.6001,2394.6499,2378.5603,521061
2025-03-05,2404,2408.95,2376.3501,2391.6499,2375.5806,755361
2025-03-06,2401.6499,2415,2353.5,2393.6499,2377.5671,754593
2025-03-07,2380,2415,2380,2407.25,2391.0759,317388
2025-03-10,2407.25,2425,2373.3,2383.95,2367.9324,650796
2025-03-11,2372,2425,2363.95,2413.55,2397.3337,445250
2025-03-12,2413.55,2438.8999,2367.6001,2398.8999,2382.7817,561893
2025-03-13,2402,2411.8,2363.3,2370.2,2354.2747,479648
2025-03-17,2381.75,2404.5,2370.8501,2399.3501,2383.229,646714
2025-03-18,2399.3501,2399.3501,2399.3501,2399.3501,2383.229,0
2025-03-19,2426,2464.6001,2426,2458.2,2441.6836,415476
2025-03-20,2464.8,2477.2,2448.1001,2468.1499,2451.5667,317002
2025-03-21,2479.8999,2514.75,2459.45,2469.3999,2452.8081,1372022
2025-03-24,2478.6499,2544,2475,2513.2,2496.314,594207
2025-03-25,2529.75,2595.8999,2520,2569.45,2552.1858,993289
2025-03-26,2582.95,2602.8999,2560,2581.6001,2564.2544,555486
2025-03-27,2584,2628.95,2575,2618.7,2601.105,1246219
2025-03-28,2614.95,2637.6499,2599.3501,2611.1499,2593.6057,435022
2025-04-01,2611.3999,2632,2596.2,2619,2601.4031,317974
2025-04-02,2619,2633.3999,2601.05,2616.5,2598.9199,413523
2025-04-03,2595.1001,2664,2595.1001,2651.8999,2634.082,298330
2025-04-04,2635.1001,2651.8999,2610.1001,2616.8999,2599.3171,290533
2025-04-07,2550,2560,2465.5,2509.1001,2492.2415,974267
2025-04-08,2550,2600,2534.1499,2590.05,2572.6475,1296141
2025-04-09,2562.5,2586.75,2529.45,2557.75,2540.5645,494024
2025-04-11,2650,2660,2612.8,2651.25,2633.4365,669041
2025-04-15,2675,2726.2,2670,2718.6001,2700.334,815058
2025-04-16,2690,2722,2682.2,2702.8,2684.6401,462016
2025-04-17,2701,2772,2686.8999,2760.7,2742.1511,1061496
2025-04-21,2755,2787.3,2735,2756.8999,2738.3765,322964
2025-04-22,2750.3,2772.1001,2737.7,2749.3999,2730.9268,211167
2025-04-23,2750.1001,2763.8999,2675.1001,2685.6001,2667.5557,603774
2025-04-24,2690,2736.3,2673,2729.2,2710.8625,562050
2025-04-25,2726,2739.8999,2675.2,2734.8,2716.425,649356
2025-04-28,2735,2773.7,2723.3,2753.3999,2734.8999,416635
2025-04-29,2753.1001,2755.6001,2719,2745.7,2727.2517,890929
2025-04-30,2735,2750.8999,2718.8999,2737.5,2719.1069,662477
2025-05-02,2725.6001,2771.8,2695.8,2724,2705.6975,798849
2025-05-05,2730,2773,2718.3,2755.1001,2736.5889,661587
2025-05-06,2754,2764.5,2718,2728.7,2710.366,288396
2025-05-07,2699,2727.3,2682.3999,2699.8999,2681.7595,417883
2025-05-08,2685,2709.6001,2676.5,2698.7,2680.5674,966461
2025-05-09,2676.8999,2684,2626.6001,2634.8,2617.0969,444671
2025-05-12,2671.1001,2761.8999,2671.1001,2742.8,2724.3713,498304
2025-05-13,2741,2748,2702.7,2708.7,2690.5002,313964
2025-05-14,2719.8999,2747,2705.3,2737.2,2718.8091,330652
2025-05-15,2734.3,2829.5,2720,2824.8,2805.8203,1353535
2025-05-16,2845,2845,2775.1001,2804.2,2785.3586,700214
2025-05-19,2820,2820.1001,2721,2727,2708.6775,575525
2025-05-20,2754,2754,2710.2,2720.8,2702.519,520661
2025-05-21,2717,2749.8999,2692.2,2706.8999,2688.7124,304264
2025-05-22,2700,2702.3,2648.3,2674.6001,2656.6296,541069
2025-05-23,2675,2746.8999,2651,2659.3999,2641.5315,990691
2025-05-26,2672.5,2696.6001,2640.1001,2656.3999,2638.5515,435977
2025-05-27,2656,2658.3999,2595,2614.2,2596.6353,874537
2025-05-28,2620.8,2620.8,2570.1001,2577.6001,2560.2815,849149
2025-05-29,2577.6001,2593.8999,2552.2,2573.6001,2556.3083,616258
2025-05-30,2575,2604.8999,2536,2545.8,2528.6948,1203864
2025-06-02,2546,2549.6001,2511,2524.1001,2507.1406,1209305
2025-06-03,2543,2563,2512.1001,2552.3999,2535.2505,1493898
2025-06-04,2556.3,2573.1001,2541.8,2549.7,2532.5688,529006
2025-06-05,2555.1001,2599,2538.8999,2554.3999,2537.2371,950620
2025-06-06,2559.8,2578.1001,2536.1001,2574.3999,2557.1025,414844
2025-06-09,2585.8999,2614.8999,2574.7,2608.5,2590.9736,552351
2025-06-10,2710,2742,2666.6001,2708,2689.8052,2885229
2025-06-11,2708.1001,2733.8999,2678.2,2722.2,2703.9097,812149
2025-06-12,2718.1001,2729,2676,2689.1001,2671.032,545570
2025-06-13,2652.1001,2687.7,2635.8,2663.8,2645.9021,538879
2025-06-16,2665,2714,2652.1001,2704.8999,2686.7258,494993
2025-06-17,2704.8999,2706.3,2665,2671.3999,2653.4509,241142
2025-06-18,2671.3999,2696.3,2667.3,2675.3999,2657.4241,342289
2025-06-19,2680,2712,2670,2693.2,2675.1045,609547
2025-06-20,2683,2732.8999,2683,2712.6001,2694.3743,1232377
2025-06-23,2700,2737.5,2678.1001,2723.7,2705.3994,728851
2025-06-24,2746,2801.8,2737.3,2780.8999,2762.2153,1562447
2025-06-25,2791.8999,2843,2786.5,2831.8,2812.7732,948185
2025-06-26,2840,2894.8999,2832,2883.3,2863.9272,1392932
2025-06-27,2896,2896,2844.3999,2861.1001,2841.8765,678859
2025-06-30,2863.3,2890,2836.7,2844.5,2825.3879,447868
2025-07-01,2842.5,2870,2842.5,2848.1001,2828.9639,535639
2025-07-02,2870,2878.8999,2835,2849.8,2830.6523,917118
2025-07-03,2848.3999,2849.8999,2810.8,2817.6001,2798.6689,393434
2025-07-04,2817.6001,2820,2785.7,2805.8999,2787.0474,286779
2025-07-07,2810,2819.8999,2775,2779.1001,2760.4275,278677
2025-07-08,2780,2841.3,2778.2,2820.8,2801.8472,846061
2025-07-09,2813,2830,2793.6001,2797.8999,2779.1008,659109
2025-07-10,2797.8999,2809.8,2769,2775.1001,2756.4543,780215
2025-07-11,2775.1001,2807.5,2756.3999,2762,2743.4421,476850
2025-07-14,2774,2809,2755.1001,2784.3999,2765.6917,2913912
2025-07-15,2789,2812.1001,2762.8,2778.6001,2759.9309,450965
2025-07-16,2784,2784,2758,2762.3999,2743.8396,372782
2025-07-17,2762,2777.7,2742.3,2766.3,2747.7134,720281
2025-07-18,2771,2774,2716.5,2728.5,2710.1672,797380
2025-07-21,2728,2751.5,2713.2,2741.8999,2723.4773,616378
2025-07-22,2752.8999,2759,2717.5,2722.7,2704.4063,664321
2025-07-23,2735.6001,2736,2701.5,2709.1001,2690.8977,373864
2025-07-24,2709.1001,2743.3,2667.3,2735.8999,2717.5176,997645
2025-07-25,2735,2735.8999,2694.2,2708.6001,2690.4011,360857
2025-07-28,2704.1001,2754.5,2697,2727.2,2708.8762,547126
2025-07-29,2727.2,2750,2705,2743,2724.5701,743512
2025-07-30,2740,2794,2733.1001,2758.6001,2740.0652,772901
2025-07-31,2735,2771.8,2727.7,2746.3999,2727.947,581498
2025-08-01,2748,2766.5,2716,2722.2,2703.9097,329586
2025-08-04,2730,2792.3,2720.8,2787.8,2769.0691,570201
2025-08-05,2799,2824.8999,2784.7,2797.2,2778.4058,782631
2025-08-06,2800,2800,2758,2765.8,2747.2168,393906
2025-08-07,2764,2772.7,2718.8,2743.7,2725.2651,591589
2025-08-08,2743.7,2748.8999,2672.6001,2691.6001,2673.5154,1162918
2025-08-11,2726,2795,2720,2758.8999,2740.363,1236332
2025-08-12,2757,2761.8999,2705.1001,2740.3999,2731.8894,553341
2025-08-13,2760,2766,2725.5,2745.8999,2737.3723,479944
2025-08-14,2745.8999,2770,2731.1001,2764.8999,2756.3132,618912
2025-08-18,2795,2865.3999,2776.5,2845.8999,2837.0618,1279195
2025-08-19,2845.8999,2854,2803.2,2828.3,2819.5166,372899
2025-08-20,2828.3,2883.6001,2807.3999,2864.8999,2856.0027,930944
2025-08-21,2880,2898.3999,2855,2881.2,2872.2522,1138327
2025-08-22,2881.1001,2881.1001,2801.3999,2813.8,2805.0615,671902
2025-08-25,2825.7,2832.7,2791.6001,2811.3999,2802.6689,591824
2025-08-26,2803.6001,2818.5,2780.3999,2796.2,2787.5161,425619
2025-08-28,2775,2806,2772.2,2784.3,2775.6531,528080
2025-08-29,2784.3,2797.8,2762.7,2775.6001,2766.9802,542362
2025-09-01,2778,2816.8,2773.3999,2803.8999,2795.1921,499161
2025-09-02,2815,2820,2773.7,2779.8,2771.1672,468533
2025-09-03,2789,2809.2,2770.5,2781.3999,2772.762,500510
2025-09-04,2801,2865.2,2801,2809.8,2801.074,1177036
2025-09-05,2810,2837.5,2786.1001,2804,2795.292,495200
