date,open,high,low,close,adj_close,volume
2025-03-03,1817.725,1866.475,1811.4,1856.325,1783.1292,736396
2025-03-04,1840.35,1875,1826.8,1847.5,1774.6522,741638
2025-03-05,1840.025,1940.425,1835,1932.15,1855.9645,997838
2025-03-06,1941.95,1956.225,1906.525,1921.025,1845.2782,862932
2025-03-07,1921.025,1953.55,1910.275,1917.1,1841.5078,712230
2025-03-10,1913.075,1928.6,1866.1,1875.05,1801.1161,887760
2025-03-11,1861,1897,1839.5,1889.65,1815.1403,527654
2025-03-12,1885,1907.5,1834.15,1883.825,1809.5448,599140
2025-03-13,1880.1,1886.25,1830,1862.55,1789.1089,859344
2025-03-17,1863.05,1896.975,1859.2,1873.325,1799.4589,484400
2025-03-18,1873.325,1873.325,1873.325,1873.325,1799.4589,0
2025-03-19,1900,1992.55,1900,1987.875,1909.4922,813080
2025-03-20,1997.8,2021.625,1972.575,1983.9,1905.674,836320
2025-03-21,1977.7,2037,1970.1,1997.275,1918.5216,1709870
2025-03-24,2005,2064.95,1996.25,2050.2251,1969.3838,593836
2025-03-25,2065,2070,2026.125,2056.1499,1975.075,1233648
2025-03-26,2057.5,2094.2,2030,2035.675,1955.4075,1112578
2025-03-27,2035.675,2069.425,2027.85,2036.65,1956.344,1924882
2025-03-28,2047.475,2063,1997.2,2006.95,1927.8151,524930
2025-04-01,2006.95,2035,1961.05,1988.275,1909.8765,622060
2025-04-02,1995,2045.475,1972.025,2037.675,1957.3286,605100
2025-04-03,2018.2,2044,2008.15,2021.75,1942.0315,876714
2025-04-04,2022.4,2029,1940,1953.15,1876.1365,836150
2025-04-07,1825,1882.525,1783.425,1866.05,1792.4709,1869488
2025-04-08,1890.025,1940.225,1887.75,1918.175,1842.5405,1292042
2025-04-09,1918.175,1925,1890.7,1899.975,1825.0581,964922
2025-04-11,1887.875,2015.5,1887.5,1993.625,1915.0154,1333996
2025-04-15,2014.5,2070.45,2003,2066.55,1985.0651,1014002
2025-04-16,2066.5,2069.3,2038,2065,1983.5762,811810
2025-04-17,2065,2126.45,2030.55,2109,2025.8412,1570204
2025-04-21,2117.5,2248.55,2102.5,2229.8999,2141.9739,2154574
2025-04-22,2227.05,2264.7,2217.6499,2254.8,2165.8923,1129072
2025-04-23,2254.5,2312.5,2245.5,2279.75,2189.8586,1645778
2025-04-24,2276,2300,2255.55,2273.7,2184.0469,1124494
2025-04-25,2277.05,2300.5,2183.55,2191.25,2104.8479,1451192
2025-04-28,2190,2221.8501,2171.05,2214.6499,2127.3254,849918
2025-04-29,2221.95,2247.1001,2195.5,2208,2120.9375,536718
2025-04-30,2198,2230,2179.6499,2187.2,2100.9578,569200
2025-05-02,2188.5,2247.5,2188.5,2195.6001,2109.0266,850824
2025-05-05,2201.55,2239.45,2182.6499,2232.5,2144.4717,478010
2025-05-06,2232.5,2239,2155.5,2169,2083.4753,690696
2025-05-07,2151,2219.8999,2150,2214.7,2127.3733,667894
2025-05-08,2212.5,2225,2125.75,2143.8999,2059.365,842560
2025-05-09,2116,2142.05,2087.5,2135.8,2051.5845,566858
