date,open,high,low,close,adj_close,volume
2025-03-03,869.9,871.525,847.05,850.775,825.7708,21205364
2025-03-04,849,857.15,846.625,855,829.8715,19920958
2025-03-05,850.975,855.4,844.125,845,820.1654,21583872
2025-03-06,843.5,849.95,836.125,845.6,820.7477,32966088
2025-03-07,841,850.575,838.8,844.625,819.8015,13372914
2025-03-10,844.5,849.95,841.525,843.75,818.9521,15604050
2025-03-11,841.2,847,835.025,842.75,817.9815,19898430
2025-03-12,845.775,859.25,845.775,855.575,830.4296,18784106
2025-03-13,858.025,860.4,850.025,853.3,828.2214,15736264
2025-03-17,852.5,862,852.5,855.2,830.0656,18950652
2025-03-18,855.2,855.2,855.2,855.2,830.0656,0
2025-03-19,867.5,875.5,866.1,872.05,846.4204,15221406
2025-03-20,877,887,874.65,884.375,858.3832,17833978
2025-03-21,877.775,887.05,877.775,885.175,859.1597,33508264
2025-03-24,889.5,902.2,886.825,900,873.549,17393736
2025-03-25,902.45,921.85,900.75,910.725,883.9587,39101416
2025-03-26,912.5,913.75,901,903.275,876.7277,24478442
2025-03-27,900,920.5,899.05,912.675,885.8514,41658100
2025-03-28,914.5,918,902.925,914.1,887.2346,28773648
2025-04-01,901,904.95,882.675,883.925,857.9464,28511006
2025-04-02,885.35,899.6,885.35,898.45,872.0445,11573564
2025-04-03,890.55,902,888.5,897.425,871.0496,11250038
2025-04-04,906.5,920.975,905.55,908.65,881.9448,33540454
2025-04-07,881.4,889.925,869.1,878.85,853.0205,37995450
2025-04-08,882.5,891,875.15,884.575,858.5773,35563872
2025-04-09,882.5,887.5,876.75,882.5,856.5633,22454608
2025-04-11,887.375,909.7,887.375,903.375,876.8248,32775766
2025-04-15,932.5,938.4,927.5,932.45,905.0453,49298344
2025-04-16,941.9,941.9,930.25,939,911.4027,19136820
2025-04-17,941,959.85,938.35,953.35,925.331,35703084
2025-04-21,962,975.35,955,963.55,935.2312,34247298
2025-04-22,967.5,985.3,967.5,980.85,952.0228,45961750
2025-04-23,989.45,989.45,960.25,961.95,933.6782,30570642
2025-04-24,955,961.95,952.55,958.4,930.2325,25931754
2025-04-25,962.4,966.5,945.9,955.6,927.5148,18500878
2025-04-28,955.6,964.85,954.2,960.1,931.8826,13920492
2025-04-29,959.4,964.4,950.1,954.4,926.3502,18918308
2025-04-30,956.5,968.45,955.15,962.5,934.212,31936870
2025-05-02,964.9,970.95,960,960.95,932.7077,17840404
2025-05-05,969.5,976,966.15,968.4,939.9387,15068024
2025-05-06,965,970.05,962.15,965.85,937.4636,17490156
2025-05-07,967,974.35,961.2,972.8,944.2094,21420778
2025-05-08,977.4,977.4,959.55,964.25,935.9106,34803430
2025-05-09,955.05,959.5,943.4,944.85,917.0808,17188796
2025-05-12,958.8,979.95,956.15,978.6,949.8389,18618972
2025-05-13,975,980.85,960,961.3,933.0474,24242102
2025-05-14,961.05,965.1,951.5,955.3,927.2237,15445308
2025-05-15,956.75,972.4,948.5,966.9,938.4828,32241458
2025-05-16,966.9,971.9,964.2,967.35,938.9195,15868010
2025-05-19,968.5,972.5,965.5,969.35,940.8607,10202964
2025-05-20,964.05,967.3,956.5,957.45,929.3105,23879090
2025-05-21,963.5,973.45,960.55,963.4,935.0857,15132040
2025-05-22,957.6,962.1,952.6,959.95,931.7371,21306670
2025-05-23,960.05,968.5,957.25,966.8,938.3857,9566072
2025-05-26,967.5,974.95,963.45,970.1,941.5886,10802860
2025-05-27,965.8,974,958.15,963.15,934.843,26162148
2025-05-28,960.1,967.25,958.85,961.75,933.4841,18157594
2025-05-29,964,970.4,953.65,963.75,935.4254,28917794
2025-05-30,965.95,974.4,962.7,972.45,943.8696,28748078
2025-06-02,965.05,968,954,966.05,937.6577,14668822
2025-06-03,969,976,960,962.3,934.0179,24377584
2025-06-04,960.5,971.65,960.45,970.6,942.074,12961542
2025-06-05,974,979.45,970.1,974.8,946.1505,22255418
2025-06-06,972,998.15,971.35,989.35,960.2729,30127008
2025-06-09,997.5,997.5,987.95,989.45,960.3701,13202588
2025-06-10,991.4,991.4,980.55,982.65,953.7699,15533126
2025-06-11,983.8,983.8,973.5,975.2,946.5389,11096394
2025-06-12,975,980.5,967.65,971.7,943.1417,16349130
