date,open,high,low,close,adj_close,volume
2025-03-03,634.45,643.5,620.7,636.55,628.6364,5368388
2025-03-04,628,643.85,624.1,641.65,633.673,4430660
2025-03-05,638,662.5,638,657.35,649.1778,7876653
2025-03-06,664.95,687.6,661.85,681.95,673.472,10993614
2025-03-07,678.6,694.6,678.6,691.35,682.7551,8142832
2025-03-10,689.8,709.3,686.5,689.15,680.5825,10707412
2025-03-11,684,699,676.8,695.5,686.8536,5262297
2025-03-12,700,702,683.8,689.85,681.2738,5219333
2025-03-13,690.2,692.95,673.25,677.35,668.9291,4877884
2025-03-17,678.25,687.5,677.85,680.75,672.2869,4033068
2025-03-18,680.75,680.75,680.75,680.75,672.2869,0
2025-03-19,703,703,690.5,698.55,689.8657,5462686
2025-03-20,702.5,709.85,697.6,705.95,697.1736,4670064
2025-03-21,715,715,694.2,695.35,686.7054,7595841
2025-03-24,704.85,705.75,695.1,701.5,692.779,4296847
2025-03-25,700.45,704.35,683.25,693.45,684.829,4552278
2025-03-26,695,702.4,690.5,691.3,682.7058,3646226
2025-03-27,690.95,697.9,689.2,693.35,684.7302,5002247
2025-03-28,690.5,697.45,679.3,682.45,673.9658,4362212
2025-04-01,672,683.1,661.95,663.75,655.4983,5131883
2025-04-02,668.7,669,652.75,661.2,652.98,8357384
2025-04-03,658,658,647.6,652.65,644.5363,5646497
2025-04-04,645,645,596.55,599.95,592.4915,9393865
2025-04-07,559,570,546.45,561.8,554.8157,13117998
2025-04-08,575,584.35,555.95,568.35,561.2843,8831753
2025-04-09,567.75,567.75,552.2,564,556.9884,7009318
2025-04-11,585,607.95,576.1,600.3,592.8371,12562852
2025-04-15,613,619.3,606.35,617.6,609.9219,4871858
2025-04-16,618.15,619.35,602,609.9,602.3177,4447732
2025-04-17,608.9,616,604,609.5,601.9227,4518317
2025-04-21,611.5,624.9,607.05,622,614.2673,2655716
2025-04-22,625,631.05,619.05,620.1,612.3909,4970919
2025-04-23,628.75,633,620.7,629.1,621.2791,4674766
2025-04-24,630,632.55,626.1,628.35,620.5383,3367773
2025-04-25,632.4,634.3,612.95,622.1,614.3661,3925971
2025-04-28,622.45,631.5,622.4,628.65,620.8347,3965901
2025-04-29,631.05,634.25,621.65,622.55,614.8105,4528870
2025-04-30,622.55,632.55,615,624.65,616.8843,5905186
2025-05-02,624,650.1,621.8,630.5,622.6617,5494275
2025-05-05,635.25,641.6,629.55,633.4,625.5256,2552160
2025-05-06,638.95,642.7,627.45,630.05,622.2172,2778131
2025-05-07,633,638.7,629.35,636.3,628.3895,3587997
2025-05-08,635.8,636.3,615.05,620.2,612.4897,5791783
2025-05-09,609.1,630.3,603.75,627.15,619.3533,3870212
2025-05-12,640.15,654.25,638.05,651.95,643.845,5474816
2025-05-13,645,646.35,632,634.75,626.8588,6025310
2025-05-14,635.5,652.95,634,650.55,642.4623,4819584
2025-05-15,649.5,663.65,646.3,661.35,653.1281,7133226
2025-05-16,659.5,662.95,654.35,657.55,649.3753,2701320
2025-05-19,655,661.75,652,658.35,650.1654,3320756
2025-05-20,668,671,655.55,662.75,654.5107,7950974
2025-05-21,667.1,671,654.6,663,654.7576,8623519
