date,open,high,low,close,adj_close,volume
2025-03-03,2199,2199,2158.5,2176.8501,2115.8726,1306470
2025-03-04,2179.95,2180,2136,2157.3501,2096.9187,1800330
2025-03-05,2152,2191.8999,2150,2170.45,2109.6514,1145673
2025-03-06,2175,2229.8,2163.75,2218.95,2156.793,1856868
2025-03-07,2226.7,2226.7,2189.2,2204.55,2142.7964,1738356
2025-03-10,2208,2267.1499,2194.6499,2247.75,2184.7861,1242387
2025-03-11,2240,2262.45,2211.25,2216.95,2154.8489,1325891
2025-03-12,2217.3501,2229.95,2185,2192.8999,2131.4727,1526212
2025-03-13,2185,2209.95,2164.45,2174.8,2113.8799,1845629
2025-03-17,2161,2195.45,2156.5,2171.25,2110.4292,1111886
2025-03-18,2171.25,2171.25,2171.25,2171.25,2110.4292,0
2025-03-19,2207,2212.8501,2193.45,2200.05,2138.4226,1341405
2025-03-20,2203.8999,2248.8999,2188.45,2242.3999,2179.5862,1426689
2025-03-21,2245,2255.2,2225.8,2246.2,2183.2798,2152415
2025-03-24,2250.25,2266,2241,2256.2,2192.9995,1454404
2025-03-25,2250.75,2292,2243.3501,2271.3,2207.6768,2229340
2025-03-26,2272,2279.8999,2237.8,2245.95,2183.0366,1416907
2025-03-27,2244.2,2260.8999,2200,2244.6499,2181.7732,3752627
2025-03-28,2247,2296,2240.3,2258.8501,2195.5752,2280152
2025-04-01,2259,2284.6499,2220,2233.8501,2171.2759,2495962
2025-04-02,2243.7,2243.7,2190.05,2237.8999,2175.2122,1351493
2025-04-03,2225.45,2252.8999,2220.6001,2244.55,2181.676,1310088
2025-04-04,2230,2267.05,2222,2244.55,2181.676,1120226
2025-04-07,2150,2261.6001,2150,2249.3999,2186.3899,3435185
2025-04-08,2268.3,2306.2,2252.3501,2289.25,2225.1235,2774874
2025-04-09,2293.95,2354.1499,2289.5,2350,2284.1721,2989089
2025-04-11,2394.6001,2394.8501,2344.3501,2366.1499,2299.8696,3836083
2025-04-15,2400,2400,2345.2,2361.5,2295.3501,3042779
2025-04-16,2351,2376,2351,2366.6001,2300.3071,1131979
2025-04-17,2357.1001,2379.8999,2343.1001,2375,2308.4717,1962402
2025-04-21,2368.1001,2372.3999,2348.8,2351,2285.144,1478430
2025-04-22,2370,2406,2355.1001,2398.7,2331.5078,2352346
2025-04-23,2410,2438,2393.3999,2423.8,2355.9048,2226066
2025-04-24,2423.8,2487.3999,2317.1001,2325.3,2260.1643,7065430
2025-04-25,2331.8999,2341.8999,2294.3999,2332.2,2266.8706,2859858
2025-04-28,2345,2349,2315,2318.6001,2253.6516,1555660
2025-04-29,2328,2332.5,2312.6001,2321.7,2256.6646,1896387
2025-04-30,2320,2352.5,2316,2342.1001,2276.4934,2083807
2025-05-02,2334.1001,2345,2310,2318.6001,2253.6516,1424284
2025-05-05,2324.1001,2354.8999,2319.1001,2348.6001,2282.8115,2074103
2025-05-06,2340.2,2390.1001,2340.2,2381.8,2315.0813,1888125
2025-05-07,2369,2386.8999,2355.3,2370.8,2304.3894,1610400
2025-05-08,2361.7,2371.8999,2341,2354.8999,2288.9348,2323073
2025-05-09,2330,2342.7,2302.3,2332.8999,2267.551,1805685
2025-05-12,2360,2387,2346.1001,2382.5,2315.7617,1274873
2025-05-13,2375.6001,2398,2352.8,2360,2293.8921,1929665
2025-05-14,2370,2370,2338.5,2350.5,2284.6582,1568111
2025-05-15,2351.6001,2369.8999,2340,2355.2,2289.2263,3236681
2025-05-16,2360,2387,2349,2381.3999,2314.6926,1473000
2025-05-19,2375,2405,2375,2382.7,2315.9561,936655
2025-05-20,2394.6001,2394.6001,2338.5,2341.1001,2275.5215,1617408
2025-05-21,2346,2375.7,2345,2363.8999,2297.6824,1570754
2025-05-22,2355,2363.1001,2313.1001,2330.7,2265.4128,2423653
2025-05-23,2336.8999,2364.5,2329.6001,2359.2,2293.1145,844118
2025-05-26,2368,2397.3,2364.1001,2394.1001,2327.0366,892618
2025-05-27,2394.1001,2409.5,2360.3,2380.2,2313.5261,1865258
2025-05-28,2388,2388,2352,2362,2295.8357,897517
2025-05-29,2369,2376,2355.5,2366.7,2300.4043,1111275
2025-05-30,2360,2374.8999,2343.5,2348.3,2282.5195,3288892
2025-06-02,2347.8999,2384,2343.6001,2371.6001,2305.1672,1178205
2025-06-03,2365.1001,2379.5,2342.6001,2352.3,2286.4077,1643913
2025-06-04,2359.5,2367.6001,2342.1001,2364.5,2298.2659,3287896
2025-06-05,2364.5,2380,2348.8999,2376.3999,2309.8325,1787978
2025-06-06,2373.3,2396.5,2370.1001,2389.8,2322.8572,997488
2025-06-09,2394,2399,2378.3,2393.2,2326.1621,1293622
2025-06-10,2393.3999,2400.2,2378.3999,2395.2,2328.106,1778782
2025-06-11,2395.2,2402.8999,2371.3,2376.3999,2309.8325,1977707
2025-06-12,2386.8999,2388,2324.1001,2332.7,2267.3567,3339584
2025-06-13,2305,2324.8999,2302,2319,2254.0405,1740682
2025-06-16,2320,2336.6001,2313.1001,2327.3999,2262.2048,1105297
