date,open,high,low,close,adj_close,volume
2025-03-03,392,395.3,378.15,387.45,373.0801,2004706
2025-03-04,384.9,398.7,381.45,395.45,380.7834,1558931
2025-03-05,395.45,412.8,395.45,411.25,395.9974,1925095
2025-03-06,418,429.35,416.25,426.1,410.2967,2634281
2025-03-07,430.05,437.95,428.2,429.35,413.4261,2097278
2025-03-10,429.05,434.05,425,426.45,410.6337,1448034
2025-03-11,422,431.7,420.3,427.4,411.5484,2153628
2025-03-12,429,432.65,425.75,427.65,411.7892,1225552
2025-03-13,430,436.9,428,430,414.052,1372791
2025-03-17,430.55,442,430.55,435.35,419.2036,1569517
2025-03-18,435.35,435.35,435.35,435.35,419.2036,0
2025-03-19,441.5,477.8,440.25,454.25,437.4026,7177341
2025-03-20,458,464,445.6,456.35,439.4247,2796560
2025-03-21,458.25,458.6,442,446.4,429.8438,3772285
2025-03-24,448.65,457.85,448.4,453.3,436.4878,1406526
2025-03-25,456.05,457.05,443,444.45,427.9661,1269831
2025-03-26,446.25,453.8,441.15,442.2,425.7996,1445183
2025-03-27,443,449.9,440.1,447.9,431.2881,1972572
2025-03-28,452,475,451.25,461.9,444.7689,5676960
2025-04-01,462.55,467,452,453.75,436.9212,1437487
2025-04-02,453.1,463.7,446.6,460.8,443.7097,1214886
2025-04-03,457.85,468.45,452.6,459.15,442.1209,1882318
2025-04-04,457.75,457.75,424,426.95,411.1151,3061033
2025-04-07,390.2,410.6,388.55,406.75,391.6643,2436376
2025-04-08,418.95,419.9,403.35,412.05,396.7678,1514564
2025-04-09,408,408.05,397.15,400.6,385.7424,1432174
2025-04-11,415,415.65,407.1,411.05,395.8048,1561497
2025-04-15,419.5,435.65,418.3,433.9,417.8074,1872997
2025-04-16,432.9,439,426.5,438,421.7553,1675647
2025-04-17,438,444.9,430.15,439.7,423.3922,2032014
2025-04-21,440,457.85,440,452.45,435.6694,1888265
2025-04-22,453,460.75,444,445.75,429.2179,2048339
2025-04-23,448.2,451.05,437.5,449.05,432.3955,1607303
2025-04-24,449,464.6,446.8,459.35,442.3135,2639584
2025-04-25,462.5,467.9,439,445,428.4957,4251762
2025-04-28,452,459.5,445.5,452.5,435.7175,3587317
2025-04-29,452,455.5,443.9,445.45,428.929,1568483
2025-04-30,442.5,446.5,438,439.2,422.9108,1278436
2025-05-02,439.2,443.25,427.2,428.6,412.7039,1644950
2025-05-05,430.45,432.95,426.5,428.25,412.3669,850003
2025-05-06,430,430.95,411.55,413.45,398.1158,1985510
