date,open,high,low,close,adj_close,volume
2025-03-03,1681,1729.2,1661.1,1695.25,1663.106,936736
2025-03-04,1695,1729.95,1688.05,1712.85,1680.3723,756354
2025-03-05,1712.85,1732.25,1704.3,1718.1,1685.5227,506644
2025-03-06,1720.95,1726.7,1690.1,1717.6,1685.0322,729380
2025-03-07,1703,1723.1,1703,1715.4,1682.8739,302079
2025-03-10,1709,1712,1660,1674.5,1642.7494,769044
2025-03-11,1654.05,1685.95,1654.05,1663,1631.4674,279335
2025-03-12,1678.95,1684.6,1642.6,1653.45,1622.0985,340034
2025-03-13,1654,1676.4,1637,1644.45,1613.2692,738740
2025-03-17,1644.95,1649.7,1592,1598.35,1568.0432,944360
2025-03-18,1598.35,1598.35,1598.35,1598.35,1568.0432,0
2025-03-19,1585,1626.4,1585,1615.3,1584.6719,860058
2025-03-20,1648,1653.95,1605.15,1630.55,1599.6328,1180718
2025-03-21,1630.55,1708.4,1625.9,1697.6,1665.4114,1894623
2025-03-24,1701.6,1765.7,1700,1759,1725.6472,1076346
2025-03-25,1770.25,1771,1708,1740.55,1707.5471,531717
2025-03-26,1748,1761,1686.7,1708.7,1676.3009,1019723
2025-03-27,1691,1819,1680.05,1758.15,1724.8134,3241595
2025-03-28,1735,1749.9,1701,1707.65,1675.2709,693170
2025-04-01,1706.8,1733.55,1700.05,1703.25,1670.9542,527047
2025-04-02,1720,1722.35,1666.15,1680.4,1648.5376,649728
2025-04-03,1664.55,1669.8,1639.05,1652.4,1621.0685,893654
2025-04-04,1658.95,1670.95,1625,1639,1607.9225,699970
2025-04-07,1567.55,1590,1541.7,1583.2,1553.1805,1366060
2025-04-08,1592,1605.7,1581.1,1592.15,1561.9609,374427
2025-04-09,1592.15,1605.75,1582.55,1592.55,1562.3533,269169
2025-04-11,1625,1639.9,1600.5,1629.8,1598.8971,997584
2025-04-15,1641.3,1659,1640,1653.9,1622.54,1173977
2025-04-16,1653.9,1659.9,1631.3,1636.3,1605.2738,877329
2025-04-17,1639.5,1699.9,1639.5,1661.7,1630.192,1440046
2025-04-21,1650,1698.5,1647.1,1690.2,1658.1517,292970
2025-04-22,1695,1709,1684,1703.7,1671.3958,463480
2025-04-23,1707.7,1726.4,1682,1721.4,1688.7601,2346661
2025-04-24,1722,1730.3,1713,1719.1,1686.5038,481511
2025-04-25,1719,1723,1655.9,1667.7,1636.0784,1690538
2025-04-28,1651,1667.7,1635.8,1661.3,1629.7998,397009
2025-04-29,1662,1690,1662,1676.6,1644.8096,597827
2025-04-30,1683.4,1715.4,1681.7,1707.6,1675.2218,1236921
2025-05-02,1703.5,1714.3,1690,1710.6,1678.1649,823350
2025-05-05,1719,1733.4,1710.1,1728.2,1695.4312,509733
2025-05-06,1728,1755,1711.4,1740.7,1707.6941,518493
2025-05-07,1700,1780,1700,1775.5,1741.8344,578328
2025-05-08,1762,1784.4,1720.5,1733.1,1700.2382,321599
2025-05-09,1697.5,1742,1690,1734.1,1701.2194,560109
2025-05-12,1750.4,1770.2,1742.3,1755.9,1722.6061,410715
2025-05-13,1770,1779.6,1751.1,1768.5,1734.9672,532232
2025-05-14,1772,1808.5,1771.1,1799.9,1765.7717,677698
2025-05-15,1799.1,1839,1792,1836,1801.1871,637712
2025-05-16,1839.9,1874,1806.7,1855.6,1820.4155,971924
2025-05-19,1865,1908,1830,1894.5,1858.5779,1240164
2025-05-20,1885,1902.7,1868.2,1883.3,1847.5903,556842
2025-05-21,1872.7,1916.9,1869.6,1910,1873.7841,613356
2025-05-22,1890,1906.1,1847,1854.3,1819.1403,985749
2025-05-23,1860,1888.8,1851.1,1882.1,1846.4131,685769
2025-05-26,1891,1912.5,1881.9,1889.3,1853.4766,888713
2025-05-27,1887,1891.2,1853.4,1883.2,1847.4921,740200
2025-05-28,1883.2,1902,1873.4,1883,1847.296,553816
2025-05-29,1887.7,1899.9,1858.9,1870.3,1834.8369,836458
2025-05-30,1880,1888.1,1803.7,1847.2,1812.1747,2406721
2025-06-02,1847.2,1868.6,1832.7,1852.7,1817.5704,852214
2025-06-03,1859.8,1859.8,1820,1822.3,1787.7469,1203045
2025-06-04,1827.6,1846.6,1815.2,1829.4,1794.7124,1037176
2025-06-05,1828,1841.9,1807.1,1835.2,1800.4022,1578859
2025-06-06,1835.1,1866.6,1812.9,1861.1,1825.8113,614731
2025-06-09,1900,1984.8,1898.4,1952.2,1915.1838,2612912
2025-06-10,1950,1958.7,1928.6,1948.2,1911.2596,484124
2025-06-11,1943,1958.3,1930,1937.1,1900.3702,529537
2025-06-12,1940.9,1971.7,1940,1956.4,1919.3043,945269
2025-06-13,1915.1,1948,1912.2,1941.4,1904.5887,398072
2025-06-16,1951.9,1982.4,1927,1939.4,1902.6266,1061499
2025-06-17,1965,1971,1940.1,1945.6,1908.709,1318784
2025-06-18,1940,1949.2,1920.5,1930.8,1894.1897,436280
2025-06-19,1924,1936,1895,1908,1871.8219,537242
2025-06-20,1897.5,2048.1001,1897.5,2006.2,1968.1599,12251901
2025-06-23,1982,2030,1980,1999.6,1961.6851,874137
2025-06-24,2009.2,2084,2002.8,2071.3999,2032.1237,1942920
2025-06-25,2079.8999,2144.8999,2073.6001,2125.8999,2085.5901,1861892
