date,open,high,low,close,adj_close,volume
2025-03-03,1210.5,1217,1204.15,1206.2,1186.9574,8158881
2025-03-04,1207.15,1216.65,1206.25,1210.4,1191.0905,9574490
2025-03-05,1217,1225.95,1211.3,1215.7,1196.3059,9052846
2025-03-06,1227.95,1227.95,1209,1218.05,1198.6185,11949475
2025-03-07,1211.1,1217.85,1206.3,1214.55,1195.1743,6620284
2025-03-10,1208,1225.8,1208,1214.85,1195.4695,7363437
2025-03-11,1217.2,1248,1217.2,1245.4,1225.5321,10927950
2025-03-12,1246.95,1251.95,1235.3,1243.95,1224.1052,11548372
2025-03-13,1251.05,1255.6,1245.3,1250.05,1230.1079,8132940
2025-03-17,1257.05,1273.95,1254.75,1269,1248.7557,11164812
2025-03-18,1269,1269,1269,1269,1248.7557,0
2025-03-19,1305.6,1318.3,1302.15,1313.1,1292.152,11278014
2025-03-20,1320,1324.25,1311.05,1321.7,1300.6149,10886735
2025-03-21,1316,1349,1311.6,1343.1,1321.6736,60494318
2025-03-24,1355.95,1373,1345.05,1358.15,1336.4835,9352280
2025-03-25,1359,1363.8,1330.05,1343.7,1322.2639,16419207
2025-03-26,1344.05,1358,1331.5,1335.9,1314.5884,10859639
2025-03-27,1333.15,1351.5,1333.15,1336.65,1315.3264,15109614
2025-03-28,1336,1357.95,1327.2,1348.35,1326.8397,8266544
2025-04-01,1340,1352.35,1315.4,1318.45,1297.4167,14288024
2025-04-02,1322.15,1337.95,1322.15,1331.25,1310.0126,8042214
2025-04-03,1321.95,1333,1321.25,1329.55,1308.3397,4591008
2025-04-04,1329.55,1338.55,1322.1,1335.3,1313.998,8648542
2025-04-07,1295.25,1325,1265,1287.55,1267.0098,19185012
2025-04-08,1299.85,1310.05,1287.35,1299.9,1279.1627,13085762
2025-04-09,1304.95,1305.1,1284.5,1300.8,1280.0483,13005622
2025-04-11,1305.1,1325,1305.1,1311.65,1290.7252,13064247
2025-04-15,1351,1354.3,1336.2,1350.2,1328.6602,15202603
2025-04-16,1357,1359.7,1342.9,1356.4,1334.7614,14039073
2025-04-17,1362,1408.9,1360.1,1406.7,1384.2588,17490424
2025-04-21,1436,1436,1404.7,1409.8,1387.3096,16882426
2025-04-22,1412.8,1418.8,1398.9,1416.5,1393.9026,16135274
2025-04-23,1429,1429.9,1411.3,1424.4,1401.6765,13990764
2025-04-24,1416.3,1421.2,1398.8,1402.7,1380.3226,15678099
2025-04-25,1410,1414.8,1388.4,1404.8,1382.3892,11705093
2025-04-28,1405.6,1435,1403.8,1428.8,1406.0063,10948561
2025-04-29,1428.8,1438.3,1422.6,1429.8,1406.9904,10786910
2025-04-30,1433,1433.7,1400,1427,1404.2351,14192027
2025-05-02,1426.9,1446.6,1424.6,1430.1,1407.2855,8842434
2025-05-05,1440,1446.8,1426,1429.4,1406.5968,4565705
2025-05-06,1429,1433.7,1420.4,1431.6,1408.7616,6301690
2025-05-07,1425,1442,1421,1435.4,1412.5011,10480453
2025-05-08,1438.6,1448.9,1426.1,1435.5,1412.5995,15306490
2025-05-09,1415.2,1419.9,1387,1388.9,1366.7429,13491197
2025-05-12,1409.4,1453,1404,1448.5,1425.3921,9925445
2025-05-13,1440.1,1447.9,1427.4,1430.6,1407.7776,12475424
2025-05-14,1429.9,1440.7,1417.3,1426.2,1403.4478,8026837
2025-05-15,1425.9,1456.5,1415.5,1450.8,1427.6554,18209264
2025-05-16,1453.3,1458.7,1447,1454,1430.8043,6439208
2025-05-19,1446.5,1459.7,1443.8,1449,1425.8842,6005334
2025-05-20,1450.2,1459,1435.5,1438.2,1415.2563,11352383
2025-05-21,1442.9,1451.3,1438.5,1444.7,1421.6527,5510460
2025-05-22,1441.1,1445.3,1427.8,1442.1,1419.0941,7245933
2025-05-23,1442.2,1451.8,1434.4,1449.8,1426.6714,5203706
2025-05-26,1458,1471.6,1455,1460.6,1437.299,5608725
2025-05-27,1452.5,1463,1435.7,1446.4,1423.3256,14842959
2025-05-28,1447.6,1458,1442.5,1453.8,1430.6075,8618343
2025-05-29,1456.6,1462.9,1445,1456.5,1433.2644,15545514
2025-05-30,1459.9,1460.9,1444.3,1445.8,1422.7352,11803975
2025-06-02,1442,1460,1432.8,1450.5,1427.3602,9458990
2025-06-03,1454.9,1455,1432,1437.9,1414.9612,11167345
2025-06-04,1437.4,1440.1,1426.4,1431,1408.1713,8025388
2025-06-05,1430.9,1459,1427.3,1454.8,1431.5916,11385668
2025-06-06,1448.6,1461.4,1442.1,1459.7,1436.4133,11580994
2025-06-09,1465,1466.8,1433.4,1434.8,1411.9108,11022031
2025-06-10,1439,1441.7,1416.5,1422.9,1400.2004,12905272
