date,open,high,low,close,adj_close,volume
2025-03-03,716.5,732.75,711,726.75,721.4064,2801208
2025-03-04,714.15,728.15,708.25,716.9,711.6288,4045349
2025-03-05,718.8,758.45,718.05,757.2,751.6325,3266569
2025-03-06,763,763.55,745,749.15,743.6417,2390595
2025-03-07,754,756.05,737.95,744.3,738.8273,1815446
2025-03-10,745,756.5,737.15,741,735.5516,2531433
2025-03-11,735,751.45,728.4,749.05,743.5424,1969774
2025-03-12,748,758.5,743.8,749.35,743.8402,1433765
2025-03-13,760,765,749,750.45,744.9321,2525352
2025-03-17,752.5,758.95,740.25,753.3,747.7612,2732584
2025-03-18,753.3,753.3,753.3,753.3,747.7612,0
2025-03-19,787.9,824.7,785.3,810.6,804.6398,5540032
2025-03-20,821.8,822,802.65,816.1,810.0994,2288339
2025-03-21,817.25,831.85,810.35,824.7,818.6362,4943628
2025-03-24,829.75,847,827.1,842.1,835.9082,3298938
2025-03-25,850.05,858,824,828.55,822.4578,4138908
2025-03-26,832,838,803.4,808.2,802.2575,2774470
2025-03-27,800.1,816.5,786.1,790.55,784.7373,25416536
2025-03-28,793.55,803,783.35,787.55,781.7593,3391846
2025-04-01,794.05,809,781.95,805.75,799.8255,2351502
2025-04-02,810,834,806.35,830.15,824.0461,5345446
2025-04-03,825,837.9,820.5,831.05,824.9395,1678841
2025-04-04,831.05,834.8,796,799.35,793.4725,3294067
2025-04-07,744,773,735,751.95,746.4211,5939742
2025-04-08,765,779,761.8,773.6,767.9119,4622541
2025-04-09,778,778,754.25,768.2,762.5516,2430488
2025-04-11,793.75,799.95,778.35,788.6,782.8016,5182207
2025-04-15,823,838.05,802.85,836.35,830.2005,6038389
2025-04-16,845,846.7,826.45,842.05,835.8586,4096789
2025-04-17,845,845.65,837.2,841.2,835.0148,1753598
2025-04-21,842,843,826.9,836.05,829.9027,3805748
2025-04-22,837.3,844.95,825.8,833.9,827.7686,3002855
2025-04-23,834,853.35,814.3,822.9,816.8495,6313767
2025-04-24,823,823.05,808.1,819.1,813.0773,3174040
2025-04-25,819,829.85,770,786.35,780.5682,6232065
2025-04-28,781.1,808.8,781.1,800.45,794.5645,2309177
2025-04-29,809.9,818.75,788.4,790.15,784.3403,3828285
2025-04-30,781,793.3,780.1,787.7,781.9083,4022508
2025-05-02,789.55,811.5,788.45,801.4,795.5075,3619723
2025-05-05,809.9,821.65,795.65,801.8,795.9045,4304551
2025-05-06,805,814.2,748,753.25,747.7115,13918040
2025-05-07,750,770.5,726.7,765.65,760.0203,8544243
2025-05-08,763.05,776,738.55,750,744.4854,3896699
2025-05-09,727,734.95,699,718.75,713.4651,13614894
2025-05-12,762,779,748.05,769.15,763.4946,11194626
2025-05-13,768.25,774.25,759.7,761.1,755.5038,4799356
2025-05-14,763,777.6,761.1,770.2,764.5369,3191820
2025-05-15,773,774,757.15,764.35,758.7299,3859883
2025-05-16,764.4,770.8,758.1,766.35,760.7152,3423355
2025-05-19,770,781.75,765,771.95,766.274,3132809
2025-05-20,775.2,778.8,750.5,752.75,747.2152,4575471
2025-05-21,750,774.65,744.5,773.1,767.4155,6013853
2025-05-22,771,776.6,765.05,769.55,763.8917,3611197
2025-05-23,773,775.95,767.15,770.45,764.7851,2067257
2025-05-26,771,781.4,767.15,774.8,769.1031,2505649
2025-05-27,774,774,761.5,771.05,765.3806,1715621
2025-05-28,769,772.85,758.65,761.2,755.6031,1808244
2025-05-29,761.2,764.75,759.05,762.35,756.7446,1292428
2025-05-30,764.9,775.7,759.05,769.85,764.1895,7244574
2025-06-02,772,787.5,765.45,783.6,777.8384,3050204
2025-06-03,790,791.45,759.05,760.95,755.3549,8544663
2025-06-04,763,773.2,760.65,770.75,765.0829,2807346
2025-06-05,769,778.3,769,771.75,766.0755,1732249
2025-06-06,775,779,769,776.85,771.138,1744097
2025-06-09,779.7,782.65,771.2,780.05,774.3145,2352874
2025-06-10,783,785.9,777.05,779.65,773.9174,1695123
2025-06-11,779,783.6,759.35,765.8,760.1693,3087516
2025-06-12,769.6,770,742.05,744.8,739.3237,5153734
2025-06-13,738,743.5,726.95,735.15,729.7446,2437398
2025-06-16,742,756.75,735.1,754.9,749.3494,3361335
2025-06-17,757,766.8,752,756.65,751.0865,3519248
2025-06-18,756.05,769.25,750.55,763.3,757.6876,1782302
2025-06-19,762,762.85,744,747.3,741.8052,2263163
2025-06-20,747.3,768,742.05,765.65,760.0203,4337475
2025-06-23,758,765,756.05,760.1,754.5112,1881126
2025-06-24,764.9,775.9,761.05,764.1,758.4818,1873914
2025-06-25,780.85,786.9,771,781.9,776.1509,4846877
2025-06-26,783.9,785.3,770.8,782.95,777.1932,3298383
2025-06-27,777,782.95,764.25,767.4,761.7575,11586684
2025-06-30,768.9,769.85,754.9,760.3,756.929,4840438
2025-07-01,759,764.4,752,762.05,758.6712,3663817
2025-07-02,756.9,765.65,752.4,756,752.648,3926796
2025-07-03,755.05,757.4,745.25,748.25,744.9324,3314364
2025-07-04,748.25,753,742.05,747.55,744.2355,2437653
2025-07-07,747.55,748.7,735.55,737.15,733.8817,3012196
2025-07-08,737.9,743.85,737.2,739.3,736.0221,2730314
2025-07-09,739,753.9,737.35,750.15,746.824,3335023
2025-07-10,750.15,750.95,739.65,743.35,740.0541,1841758
2025-07-11,741,745.95,734,735.2,731.9402,1464641
2025-07-14,735,741.5,724.75,729.15,725.9171,2476312
2025-07-15,727.5,746.95,727.5,744.05,740.751,3597983
2025-07-16,744.05,753,736.2,751.2,747.8693,2931470
2025-07-17,753.5,760.85,749.9,753.95,750.6071,2596528
2025-07-18,761,769.2,751.2,766.2,762.8029,8263373
2025-07-21,766.2,776.5,764.75,771.7,768.2784,3112101
2025-07-22,777,777.4,755.1,756.3,752.9467,2667397
2025-07-23,756.6,758.2,746.3,754.4,751.0552,2528008
2025-07-24,754.4,758,750.6,754,750.6569,1333762
2025-07-25,750.55,752.8,739.35,746.15,742.8417,2755973
2025-07-28,743,754.25,740.1,744.8,741.4977,2368005
2025-07-29,744.8,751,740.55,748.2,744.8826,2019113
2025-07-30,751.2,755.5,744,744.9,741.5973,1798426
2025-07-31,738.05,745.55,736.1,740.75,737.4656,2395448
2025-08-01,741.5,750.15,738.3,741.15,737.8639,2426975
2025-08-04,742.3,752.7,735.15,748.8,745.48,2240074
2025-08-05,749.8,752.5,741.55,751.05,747.72,1553257
2025-08-06,751.05,755.45,739.5,746.6,743.2897,2431229
2025-08-07,741,746.4,734,742.3,739.0088,2317202
2025-08-08,742.25,746.45,732.8,735.75,732.4879,1778482
2025-08-11,736,748.45,735.1,746.75,743.439,1346920
2025-08-12,751,758.9,745.6,747.45,744.136,1747197
2025-08-13,751.1,771.3,750,769.8,766.3868,2637612
2025-08-14,769,776.9,763.2,774.35,770.9166,2975752
2025-08-18,780,785.2,773.15,775.5,772.0616,2310844
2025-08-19,773.2,777.95,766.05,775.15,771.7131,2697307
2025-08-20,775.65,811.5,775.5,806.8,803.2228,9310646
2025-08-21,810,811.95,791.2,795.65,792.1223,3074385
2025-08-22,798.35,800.65,787.55,788.85,785.3524,1780524
2025-08-25,791,795.65,784.25,785.55,782.067,1374337
2025-08-26,785,788.1,765.1,769.05,765.6401,2691124
2025-08-28,781.2,781.2,763.5,765.15,761.7575,1693942
