date,open,high,low,close,adj_close,volume
2025-03-03,4478.9502,4492.5498,4267.5498,4464.7002,4457.168,802730
2025-03-04,4434.6499,4611,4417.6499,4598.7002,4590.9419,825683
2025-03-05,4620,4722.1001,4608.1001,4698.1001,4690.1743,1344602
2025-03-06,4750.6499,4782.4502,4659.0498,4762.3999,4754.3657,1390376
2025-03-07,4796,4815.6499,4645.9502,4657.5498,4649.6924,843155
2025-03-10,4666,4706.7002,4605,4627.5498,4619.7427,534997
2025-03-11,4602.2998,4675,4567.7998,4651.4502,4643.603,812720
2025-03-12,4669.9502,4743.1499,4639.7002,4729.2002,4721.2217,1122703
2025-03-13,4740,4744.5498,4670.8501,4700.8501,4692.9194,553796
2025-03-17,4710,4794.9502,4710,4780.4502,4772.3853,1030205
2025-03-18,4780.4502,4780.4502,4780.4502,4780.4502,4772.3853,0
2025-03-19,4811,5052.75,4790,4980.5498,4972.1475,2103310
2025-03-20,5040,5190.3501,5005.4502,5086.75,5078.1685,1825431
2025-03-21,5072,5114.7998,5018.5498,5044.0498,5035.54,897795
2025-03-24,5055.2998,5077.4502,4956.2998,4970.3501,4961.9648,766222
2025-03-25,5011,5032.1499,4958.0498,5006.7002,4998.2534,818364
2025-03-26,5020,5075,4975,5025.1499,5016.6724,736014
2025-03-27,4975,5149,4975,5127.7998,5119.1489,940051
2025-03-28,5149.8999,5176.7998,5051.7998,5115.3501,5106.7202,951945
2025-04-01,5100,5132.9502,4991.6499,5028,5019.5176,793792
2025-04-02,5028,5082.75,5000,5068.25,5059.6997,418272
2025-04-03,4999.5,5085,4966.8999,5003.6001,4995.1587,950156
2025-04-04,5055.9502,5150,5045,5098.8999,5090.2979,1413600
2025-04-07,4750,5016.1499,4634.6001,4988.7002,4980.2842,1786910
2025-04-08,5108,5201,5026.2998,5157.0498,5148.3496,1232399
2025-04-09,5145.5,5265,5145.5,5193.75,5184.9878,1128920
2025-04-11,5214.8999,5234.3501,5115,5151.1001,5142.4102,1131912
2025-04-15,5320,5347,5201,5256,5247.1328,1567359
2025-04-16,5260,5285,5200.5,5244.5,5235.6523,1012248
2025-04-17,5244,5400,5178.5,5366,5356.9473,1172355
2025-04-21,5394,5517.5,5351,5496.5,5487.2271,844886
2025-04-22,5502,5649,5451,5534,5524.6641,1045582
2025-04-23,5540,5570,5485,5558.5,5549.1226,1454342
2025-04-24,5560,5575,5470.5,5520.5,5511.1865,852761
2025-04-25,5480.5,5522,5193,5313.5,5304.5356,1913262
2025-04-28,5254,5379,5220,5341,5331.9893,1162878
2025-04-29,5380,5446.5,5215.5,5264,5255.1191,761297
2025-04-30,5262,5320.5,5206.5,5249.5,5240.644,881119
2025-05-02,5230,5386.5,5218,5321.5,5312.5225,560286
2025-05-05,5420,5592,5412.5,5531.5,5522.168,1049781
2025-05-06,5555.5,5569.5,5299,5322,5313.0215,872819
2025-05-07,5206,5361.5,5157,5296.5,5287.5645,1565403
2025-05-08,5310,5368,5075,5146,5137.3184,1756653
2025-05-09,4972,5123.5,4891.5,5101,5092.3945,2112896
2025-05-12,5421.5,5597,5413,5476.5,5467.2607,2240163
2025-05-13,5501,5545,5468,5521,5511.686,1117587
2025-05-14,5525,5535,5420,5451.5,5442.3032,933189
2025-05-15,5421,5595,5410,5589,5579.5713,701995
2025-05-16,5599,5633,5544.5,5562.5,5553.1157,433634
2025-05-19,5560,5665.5,5544,5574.5,5565.0957,953693
2025-05-20,5591,5608,5432,5442,5432.8188,666863
2025-05-21,5461,5482.5,5390,5461.5,5452.2861,597496
2025-05-22,5465,5565,5329.5,5503,5493.7163,2271953
2025-05-23,5520,5545,5435.5,5521,5511.686,544144
2025-05-26,5530,5562,5410.5,5420,5410.856,556606
2025-05-27,5270,5328,5230.5,5313.5,5304.5356,28753330
2025-05-28,5336,5355,5294,5330.5,5321.5073,1090832
2025-05-29,5330.5,5344,5271.5,5322,5313.0215,1713578
2025-05-30,5306,5393.5,5306,5330,5321.0078,1743945
2025-06-02,5350,5370,5280,5333,5324.0029,1172879
2025-06-03,5359,5458.5,5344.5,5383.5,5374.418,1239471
2025-06-04,5383.5,5428,5361.5,5416,5406.8628,932116
2025-06-05,5464,5506,5421.5,5482,5472.7515,1119642
2025-06-06,5480,5492,5445,5480.5,5471.2539,447731
2025-06-09,5510,5709,5510,5695,5685.3921,1386071
2025-06-10,5705,5729,5571,5599,5589.5542,1124088
2025-06-11,5606.5,5652.5,5581,5631,5621.5,1217882
2025-06-12,5598,5626,5418,5476.5,5467.2607,1444586
2025-06-13,5200,5318,5176,5262,5253.1226,3340182
2025-06-16,5280,5404.5,5244,5382.5,5373.4194,1208296
2025-06-17,5380,5388.5,5281,5310.5,5301.541,821905
2025-06-18,5308,5334.5,5258.5,5273,5264.104,603006
2025-06-19,5281.5,5328,5233,5271,5262.1074,621641
2025-06-20,5255.5,5408,5241.5,5390,5380.9067,1218340
2025-06-23,5319,5484.5,5315,5467,5457.7769,922620
2025-06-24,5631.5,5700.5,5570,5606.5,5597.0415,1450372
2025-06-25,5674.5,5690,5563,5639,5629.4868,962393
2025-06-26,5692,5722,5642.5,5691.5,5681.8979,1374904
2025-06-27,5690,5843.5,5675,5816,5806.188,2751255
2025-06-30,5840,5997,5820,5976.5,5966.4175,2392470
2025-07-01,5962.5,6018,5928,5965,5954.9365,1289620
2025-07-02,5901,5991.5,5886.5,5956,5945.9521,1388532
2025-07-03,5956,5967.5,5750,5766,5756.2725,1144838
2025-07-04,5789.5,5825,5737.5,5753,5743.2944,345735
2025-07-07,5756.5,5792,5731,5748,5738.3027,385469
2025-07-08,5749.5,5808,5739.5,5802,5792.2119,512178
2025-07-09,5815,5864,5791,5852,5842.1274,1655274
2025-07-10,5925,5936,5831.5,5840,5830.1475,716153
2025-07-11,5866,5939,5839,5917.5,5907.5171,1332425
2025-07-14,5917,5960,5887.5,5940.5,5930.478,979832
2025-07-15,5950,5964.5,5907.5,5930.5,5920.4951,787926
2025-07-16,5919.5,5958.5,5865.5,5950,5939.9619,842097
2025-07-17,5931,5958,5770,5796.5,5786.7212,1351389
2025-07-18,5818,5869,5790,5861,5851.1123,789730
2025-07-21,5900,5910,5820,5878,5868.0835,491974
2025-07-22,5900,5959.5,5871,5948,5937.9653,514262
2025-07-23,5925,5957,5815,5897,5887.0513,585120
2025-07-24,5840,5933,5825.5,5844,5834.1411,343255
2025-07-25,5815,5857,5760.5,5803,5793.21,877612
2025-07-28,5771,5870.5,5745,5762,5752.2793,506105
2025-07-29,5725.5,5795,5703,5756,5746.2896,634249
