date,open,high,low,close,adj_close,volume
2025-03-03,1692.3,1728.6,1692.3,1708.6,1624.3387,7504969
2025-03-04,1695,1699,1670,1688.3,1605.0399,6759673
2025-03-05,1692.45,1732.95,1692.45,1711.5,1627.0958,8180782
2025-03-06,1715,1722.3,1691.1,1715.85,1631.2312,10610547
2025-03-07,1703.1,1705,1675.5,1686,1602.8533,8019331
2025-03-10,1686,1719,1676.2,1701.45,1617.5414,7558981
2025-03-11,1680,1680,1637.05,1661.6,1579.6566,12671234
2025-03-12,1636.9,1636.9,1563.8,1590.85,1512.3959,14870008
2025-03-13,1599.25,1606.05,1570.3,1579.85,1501.9381,7822888
2025-03-17,1545.15,1594,1545.15,1590.05,1511.6353,7526032
2025-03-18,1590.05,1590.05,1590.05,1590.05,1511.6353,0
2025-03-19,1603,1603,1572.8,1586.55,1508.3079,7387068
2025-03-20,1592,1631.9,1592,1615.55,1535.8777,7186750
2025-03-21,1577.95,1603.9,1563.65,1592.55,1514.012,10074677
2025-03-24,1597.95,1607.1,1572.7,1592.75,1514.2021,8857726
2025-03-25,1605,1636.15,1605,1628.45,1548.1415,9890140
2025-03-26,1626,1637.75,1595,1599.45,1520.5715,6651302
2025-03-27,1595.55,1619.95,1586,1603.55,1524.4695,9426573
2025-03-28,1590,1598.45,1560,1570.65,1493.192,6799047
2025-04-01,1539.25,1547.4,1517.85,1526.5,1451.2192,12680733
2025-04-02,1535.2,1555.65,1535.2,1550.15,1473.703,6193478
2025-04-03,1534.65,1534.65,1485.05,1496.5,1422.6987,10459504
2025-04-04,1460.5,1472,1448,1451.65,1380.0607,9590254
2025-04-07,1352,1405.9,1307,1396.75,1327.868,21715252
2025-04-08,1431,1456.5,1415,1428.8,1358.3375,12805001
2025-04-09,1405.05,1409.45,1381.9,1403.7,1334.4751,8546854
2025-04-11,1411.25,1438.8,1397.05,1409.45,1339.9417,12567440
2025-04-15,1445.6,1447.7,1409,1426,1355.6755,10178530
2025-04-16,1425,1427.5,1396.8,1413.1,1343.4116,12022740
2025-04-17,1398,1429.8,1378.3,1419.5,1349.4961,14264227
2025-04-21,1410,1471.8,1410,1451,1379.4426,15648970
2025-04-22,1440,1440,1419.3,1422.8,1352.6333,9399738
2025-04-23,1446,1487.8,1439.6,1474.9,1402.1639,11136642
2025-04-24,1469.9,1482.9,1461.5,1471.4,1398.8365,7114292
2025-04-25,1475.5,1501.7,1463.5,1480.2,1407.2025,8329979
