date,open,high,low,close,adj_close,volume
2025-03-03,114.7,115.35,110.72,114.56,106.4961,18881646
2025-03-04,113.1,118.45,111.91,118.04,109.7311,14145658
2025-03-05,118.04,122.58,117.75,122.25,113.6448,19577861
2025-03-06,124.6,126.88,123.95,125.84,116.9821,19384187
2025-03-07,125.75,126.3,123.7,124.84,116.0525,14763396
2025-03-10,124,125.44,121.1,121.59,113.0313,12727300
2025-03-11,121.19,125.25,120.34,124.82,116.0339,18090217
2025-03-12,125,127.8,124.18,125.29,116.4708,14079943
2025-03-13,125,126.47,124.33,125.67,116.8241,10882226
2025-03-17,125.43,126,123.15,124.11,115.3739,13126112
2025-03-18,124.11,124.11,124.11,124.11,115.3739,0
2025-03-19,125.31,127.9,125.31,127.75,118.7577,11273526
2025-03-20,128.4,131,127.42,129.21,120.1149,13947925
2025-03-21,129.26,133.45,128.75,131.51,122.253,42928510
2025-03-24,133,134.33,131.37,133.67,124.2609,13965745
2025-03-25,134,134.23,130.45,131.03,121.8068,12380949
2025-03-26,130.9,133.3,128.9,129.09,120.0033,16379725
2025-03-27,129.05,130.95,128.52,130.36,121.1839,13141045
2025-03-28,130,131.27,127.5,127.7,118.7112,15396398
2025-04-01,128,131.5,127.25,131.24,122.002,12740476
2025-04-02,130.82,131.5,128,131.31,122.0671,8531198
2025-04-03,130.1,133.2,129.88,131.06,121.8347,9909642
2025-04-04,132.91,134.25,128.88,130.14,120.9794,21497796
2025-04-07,122.45,129.61,122.35,128.09,119.0737,24739154
2025-04-08,129.48,131.72,128.2,130.98,121.7603,12634136
2025-04-09,132,132.5,128.78,131.62,122.3552,14769184
2025-04-11,132.5,132.6,131.06,131.83,122.5505,10020795
2025-04-15,133.4,133.4,132,132.87,123.5172,10142685
2025-04-16,132.99,134.15,132.31,133.83,124.4097,9200167
2025-04-17,133.5,134.8,132.9,134.3,124.8466,10404917
2025-04-21,135.17,139.7,134.31,138.68,128.9183,20249817
2025-04-22,139.15,139.43,137.2,138.31,128.5743,12648948
2025-04-23,138.95,139.18,135.77,137.65,127.9608,12689457
2025-04-24,137.65,139.33,137.31,138.39,128.6487,8177419
2025-04-25,138.4,139.5,132.82,134.65,125.172,14663542
2025-04-28,133.81,137.35,133.65,136.49,126.8824,10943944
2025-04-29,137.3,138.25,135.53,135.78,126.2224,15222917
2025-04-30,136.5,139.9,136.45,137.86,128.156,39902398
2025-05-02,139.79,144.09,138.11,142.98,132.9156,45858781
2025-05-05,145,149.74,144.75,148.56,138.1028,47549493
2025-05-06,149.3,149.8,143.63,144.08,133.9382,18018626
2025-05-07,140,145.14,140,144.49,134.3193,19316740
2025-05-08,144.54,146.39,139.5,140.99,131.0657,12047287
2025-05-09,138,140.85,137.61,139.99,130.1361,15348575
2025-05-12,144,144.45,141.71,142.35,132.33,13526883
2025-05-13,142.35,142.98,141,141.69,131.7164,9484801
2025-05-14,141.99,143.91,141.95,143.47,133.3711,9987794
2025-05-15,144,146,143.57,145,134.7934,10181275
2025-05-16,145,146.85,144.43,144.72,134.5331,14529013
2025-05-19,145,145.82,144.1,144.69,134.5052,6802870
2025-05-20,145,145.81,141.39,141.92,131.9302,11330045
2025-05-21,141.6,143.63,140.55,143.39,133.2968,8705960
2025-05-22,142.59,144.2,141.87,143.29,133.2038,7157328
2025-05-23,143.28,145.43,143,144.06,133.9196,9699995
2025-05-26,144.06,144.72,142.9,143.58,133.4734,5996548
2025-05-27,143.58,144.12,142.5,143.41,133.3154,4970656
2025-05-28,143.39,144.45,142.71,144.2,134.0497,6390053
2025-05-29,144.25,144.83,142.62,143.7,133.5849,7054326
2025-05-30,143.7,144.4,141.21,141.97,131.9767,28315951
2025-06-02,141.97,143.5,141.46,143.38,133.2874,7051525
2025-06-03,143.9,144,140.6,141.04,131.1122,7002799
2025-06-04,141,141.4,139.1,140.67,130.7682,11904779
2025-06-05,140.66,141.66,139.03,139.24,129.4389,9478214
2025-06-06,139.24,141.08,139.24,140.78,130.8705,5702365
2025-06-09,141,143.49,140.83,143.32,133.2317,9972191
2025-06-10,143.15,143.4,142,142.19,132.1812,7906157
2025-06-11,142.4,147.2,142.19,145.15,134.9328,28652440
2025-06-12,144.68,144.77,141.5,142.99,132.9249,30425949
2025-06-13,139,143.19,137.01,140.34,130.4614,23705826
2025-06-16,140,142.2,138.9,141.85,131.8652,15176810
2025-06-17,141.3,143.47,141.2,141.68,131.7071,9983651
2025-06-18,141.02,142.09,139.5,140.82,130.9076,9045315
2025-06-19,140.76,141.19,138.33,138.67,128.909,5943647
2025-06-20,138.29,139.16,137,138.65,128.8904,33690253
2025-06-23,137,140.17,136.4,139.92,130.071,14001242
2025-06-24,144.4,145.3,142.16,142.84,132.7855,25393037
2025-06-25,143.31,144,141.67,141.98,131.986,15297425
2025-06-26,142.1,146.95,142.01,146.28,135.9833,24194161
2025-06-27,146.28,148.3,146,147.22,136.8571,19189378
2025-06-30,147.26,149.5,146.42,146.96,136.6155,10645295
2025-07-01,146.51,148.2,146.19,147.14,136.7828,9899904
2025-07-02,148,148.95,147.02,147.91,137.4986,7881728
2025-07-03,147.99,148.75,147.5,147.87,137.4614,8006482
2025-07-04,149.7,151.99,147.86,151.62,140.9474,22612766
2025-07-07,152.02,154.9,151.81,153.75,142.9275,24354631
2025-07-08,154.8,154.97,152.83,153.82,142.9926,13876094
2025-07-09,153.46,153.73,150.09,150.25,139.6739,12440150
2025-07-10,150.75,152.65,150,152.33,141.6075,14545796
2025-07-11,155,155,150.26,150.65,140.0457,12767735
2025-07-14,150.65,151.6,149.62,150.1,139.5344,8021902
2025-07-15,150.55,151.9,150.54,151.4,140.7429,4853043
2025-07-16,151.2,152.68,150.63,152.04,141.3379,7218210
2025-07-17,152.37,152.47,150.62,150.96,140.3339,6727858
2025-07-18,150.51,151.61,148.6,150.06,139.4972,9017783
2025-07-21,149.52,151.2,149.07,151.07,140.4362,5030900
2025-07-22,151.3,152.44,150.65,151.98,141.2821,11381024
2025-07-23,152.01,152.6,150.72,152.35,141.6261,7597121
2025-07-24,152.02,152.75,150.71,151.22,140.5756,5879844
2025-07-25,151,151.74,146.58,146.96,136.6155,11646131
2025-07-28,146.96,148.64,146.7,147.56,137.1732,6023438
2025-07-29,146.5,148.2,146.5,147.94,137.5265,4240012
2025-07-30,147.5,150.19,146.25,149.04,138.549,9331773
2025-07-31,146.55,147.2,144.32,145.62,135.3698,11960546
2025-08-01,145.33,146.29,140.66,141.03,131.1029,8981850
2025-08-04,141.72,142.9,139.72,142.38,132.3578,8163596
2025-08-05,142.52,143,139.4,141.27,131.326,11034758
2025-08-06,142.49,143.28,141.71,142.27,132.2556,7574568
2025-08-07,141.01,143,140,141.67,131.6978,8365458
2025-08-08,139.99,142,139.31,139.91,132.8755,9551412
2025-08-11,141.6,142.95,139.35,141.41,134.3001,11260944
2025-08-12,141.11,143.85,140.86,142.65,135.4777,12858483
2025-08-13,142.65,143.4,141.7,142.43,135.2688,4990372
2025-08-14,143,143.16,139.86,140.13,133.0844,11453732
2025-08-18,142,142.6,139.25,140.31,133.2554,11766741
2025-08-19,140.4,142.13,138.8,142.01,134.8699,8913748
2025-08-20,142.01,142.7,141.21,141.44,134.3286,5531826
2025-08-21,141.65,142.9,141.28,141.44,134.3286,8746473
2025-08-22,141.4,141.8,139.45,139.95,132.9135,5874783
2025-08-25,139.95,140.37,139.19,139.96,132.923,8282860
2025-08-26,139.5,140.42,138.55,138.96,131.9733,10846493
2025-08-28,139,139.93,138.1,138.49,131.5269,8420916
2025-08-29,138.49,139.49,136.46,136.62,129.7509,10577763
2025-09-01,137,139.74,136.76,139.56,132.5431,6229505
2025-09-02,139.56,140.66,139.1,139.62,132.6001,3714758
