date,open,high,low,close,adj_close,volume
2025-03-03,112.99,115.86,108.04,111.13,108.3606,42918659
2025-03-04,111.2,115.35,110,114.59,111.7344,42337061
2025-03-05,115.1,118.33,114.66,117.73,114.7961,21555437
2025-03-06,119.51,121.38,118.8,120.59,117.5848,23206624
2025-03-07,120.99,124.99,119.9,123.42,120.3443,31222210
2025-03-10,124.1,125.42,118.45,119.75,116.7658,21456437
2025-03-11,118,120.6,116.57,119.3,116.327,17046285
2025-03-12,120.2,121.2,118.02,119.2,116.2295,13097183
2025-03-13,119.44,120,117,117.69,114.7571,11472966
2025-03-17,118.01,119.72,117.61,118.77,115.8102,13318439
2025-03-18,118.77,118.77,118.77,118.77,115.8102,0
2025-03-19,122.5,128.5,122.25,128.11,124.9174,28681078
2025-03-20,130.5,131.85,128,128.52,125.3172,28721000
2025-03-21,128,130.6,127,129.66,127.2207,18904126
2025-03-24,130.7,134.6,130.5,132.8,130.3017,25775174
2025-03-25,134.1,134.38,128.86,129.41,126.9754,24206199
2025-03-26,129.95,131.34,127.05,128.39,125.9746,23494814
2025-03-27,127.49,129.19,123.69,124.34,122.0008,25596858
2025-03-28,125.95,129.2,124,124.42,122.0793,22400674
2025-04-01,122.81,125.21,122.36,124.38,122.0401,17763188
2025-04-02,124.75,127.79,122.5,127.48,125.0817,15024892
2025-04-03,125.2,129.5,125.16,129.16,126.7301,16348518
2025-04-04,127.62,128.71,124.1,124.84,122.4914,15394108
2025-04-07,113,124.05,113,122.42,120.1169,23552525
2025-04-08,126.5,126.69,123.2,124.41,122.0695,12601581
2025-04-09,124.4,124.69,122.5,123.06,120.7449,9175006
2025-04-11,126,126.4,123.4,124.11,121.7751,9778310
2025-04-15,125.79,128.5,125,128.27,125.8569,14463246
2025-04-16,129,129.94,128.02,129.06,126.632,14424393
2025-04-17,129.99,131,128.16,129.48,127.0441,18564617
2025-04-21,130,132.1,128.58,131.43,128.9574,15830027
2025-04-22,132.15,133.5,130.51,132.31,129.8209,14637811
2025-04-23,133,135.11,129.23,134.36,131.8323,27531889
2025-04-24,135,137.66,133,133.42,130.91,28862676
2025-04-25,133.49,134.14,126.22,128.8,126.3769,30370205
2025-04-28,128,129.6,125.63,127.17,124.7776,27138997
2025-04-29,128.59,129.5,126.69,126.93,124.5421,14094746
2025-04-30,126.99,127.25,123.5,124.47,122.1284,11616287
2025-05-02,124.34,126.85,124,124.29,121.9518,11822797
2025-05-05,124.86,125.89,124.11,125.01,122.6582,10504976
2025-05-06,125.25,125.8,120.01,120.37,118.1055,14448874
2025-05-07,116.99,121.9,116.69,121.25,118.9689,16855633
2025-05-08,122.5,123.44,118,118.94,116.7024,10641245
2025-05-09,115.5,117.75,114.33,116.42,114.2298,18637874
2025-05-12,122.5,125.95,120.88,125.53,123.1684,20291533
2025-05-13,125.7,126.1,123.3,124.76,122.4129,14659708
2025-05-14,125,130.28,124.7,129.96,127.5151,30886094
2025-05-15,130.6,131.8,129.36,130.24,127.7898,23535264
2025-05-16,130.8,140.22,130,138.61,136.0023,85471529
2025-05-19,140,143.61,139.6,141.49,138.8282,56293569
2025-05-20,142,142.45,136.15,136.71,134.1381,28836535
2025-05-21,136.71,139.31,135.59,138.08,135.4823,19235116
2025-05-22,137,139,135.24,136.83,134.2558,14976845
2025-05-23,137,137.75,134.59,136.71,134.1381,15543948
2025-05-26,136.71,141,136.51,140.18,137.5428,26058857
2025-05-27,140.2,140.89,138.1,139.65,137.0228,17277004
2025-05-28,140.19,141.69,139.81,140.34,137.6998,15877254
2025-05-29,140.9,142.24,139.2,139.96,137.327,15888843
2025-05-30,140.1,141.4,137.85,138.95,136.336,13735089
2025-06-02,138.8,143.35,138.21,142.02,139.3482,26058034
2025-06-03,142.8,144.3,140.5,140.81,138.161,23097654
2025-06-04,140.81,146.79,139,144.95,142.2231,60460703
2025-06-05,147.4,148,144.14,145.27,142.5371,33141212
2025-06-06,145.4,147.5,143.9,146.41,143.6556,25330188
2025-06-09,147.25,148.95,146.78,146.96,144.1953,22597836
2025-06-10,147.7,147.81,145.02,145.23,142.4978,14830978
2025-06-11,145.9,147.68,144.47,145.45,142.7137,15754001
2025-06-12,145.54,146.19,140.11,140.47,137.8274,17973178
2025-06-13,136.01,139.71,136.01,138.33,135.7276,16264194
2025-06-16,137.35,140.29,135.56,139.94,137.3073,13765113
2025-06-17,140,140.68,137.5,137.83,135.237,8450765
2025-06-18,137.75,138.55,135.7,136.02,133.4611,9407593
2025-06-19,136,136.71,131.56,132.35,129.8601,13365251
2025-06-20,132.35,136.1,132.3,134.2,131.6753,19220459
2025-06-23,132.25,137.37,132.05,136.98,134.403,18533609
2025-06-24,138.2,140.15,138.03,138.62,136.0121,13635905
