date,open,high,low,close,adj_close,volume
2025-03-03,210,210.25,198.65,200.92,200.1385,51311993
2025-03-04,199.99,208.04,199.02,206.38,205.5772,50579885
2025-03-05,207,217.66,207,217.1,216.2555,36954756
2025-03-06,222,222.39,218.06,219.94,219.0845,24296337
2025-03-07,220,224.5,218.79,221.81,220.9472,27997558
2025-03-10,222.6,224.9,215.5,216.5,215.6579,19521402
2025-03-11,214.7,218.99,213.01,217.56,216.7137,20118890
2025-03-12,220,226.5,216.72,225.53,224.6527,28455086
2025-03-13,227.88,228.94,221.32,222.6,221.7341,25219084
2025-03-17,223.12,223.85,218.54,219.52,218.6661,22290255
2025-03-18,219.52,219.52,219.52,219.52,218.6661,0
2025-03-19,227.27,231.25,225.64,228.84,227.9499,21456932
2025-03-20,231,234.25,228.95,231.69,230.7888,24426400
2025-03-21,232,235.94,228.05,229.12,228.2288,46879564
2025-03-24,231.9,234.46,230.7,232.68,231.7749,26607361
2025-03-25,234.1,234.2,226.31,227.53,226.645,22492788
2025-03-26,228,228.9,222.01,222.67,221.8039,19372538
2025-03-27,222.17,228,221.33,225.78,224.9018,188868886
2025-03-28,227.18,232.3,226.11,227.51,226.625,30356334
2025-04-01,227,231.29,225.21,230.42,229.5237,18781790
2025-04-02,230.99,230.99,225.3,229.78,228.8862,16203186
2025-04-03,227,231.79,226.5,230.41,229.5138,11752612
2025-04-04,230.05,230.35,220.8,222.32,221.4552,20832533
2025-04-07,203.1,215,203.1,213.52,212.6895,25772065
2025-04-08,217,225.5,216.62,224.81,223.9355,25131280
2025-04-09,224,224,218.25,220.92,220.0607,19372735
2025-04-11,225.78,230.98,223.72,230.02,229.1253,24630876
2025-04-15,235.9,239.49,232.6,238.57,237.642,27663804
2025-04-16,239.05,242.75,237.26,242.28,241.3376,27720767
2025-04-17,242.94,248,238.3,246.47,245.5113,30422206
2025-04-21,250,250,244.5,246.38,245.4217,31786610
2025-04-22,245.5,251.34,243.7,250.56,249.5854,30235264
2025-04-23,252,258.55,251.39,258.14,257.1359,37568336
2025-04-24,258,259.8,256.5,258.78,257.7734,17152009
2025-04-25,258.78,261.62,249.1,253.05,252.0657,33348716
2025-04-28,252.39,259.7,252.3,257.9,256.8969,19380922
2025-04-29,258.1,259.75,255.6,257.63,256.6279,12494831
2025-04-30,256,263.3,255.2,260.42,259.407,32058337
2025-05-02,262.9,265.2,257.75,259.35,258.3412,16935190
2025-05-05,259.6,262.4,259.3,260.6,259.5863,10986246
2025-05-06,259.25,260.75,250.4,251.2,250.2229,18568703
2025-05-07,245.05,256.7,245.05,256.1,255.1039,19393399
2025-05-08,256.1,258.3,249.4,251.45,250.4719,14849940
2025-05-09,244.1,250,242,248.35,247.384,25011071
2025-05-12,258.95,263.5,257,262.9,261.8774,19437052
2025-05-13,263.2,268.95,261.5,267.4,266.3599,19305043
2025-05-14,268.8,269.95,265.2,267.5,266.4595,13255755
2025-05-15,268,274.6,265.5,273.7,272.6354,16201350
2025-05-16,274.1,277.95,273.05,277,275.9225,13449060
2025-05-19,277,279.35,275.75,277.05,275.9724,10202024
2025-05-20,277.1,278,270.85,271.45,270.3941,12885413
2025-05-21,271.5,275.5,270.35,274.35,273.2828,10476515
2025-05-22,274.45,277.35,271.4,274.55,273.4821,13207455
2025-05-23,274.95,283.65,274.55,281.75,280.6541,13548313
2025-05-26,282.75,284.7,281.35,281.75,280.6541,8653797
2025-05-27,280,292.9,279.1,291.4,290.2665,24400393
2025-05-28,296.05,299.25,288.8,290.35,289.2206,37169009
2025-05-29,291.75,292.05,285.5,287.85,286.7303,15854792
2025-05-30,288,291,285.6,286.65,285.535,17881681
2025-06-02,286.95,289.2,283.4,286.45,285.3358,12638716
2025-06-03,287.75,290.8,283.1,283.9,282.7957,9276084
2025-06-04,283.9,291.7,282.5,290.35,289.2206,13640678
2025-06-05,292,293,289.55,291.5,290.3661,11867068
2025-06-06,292,296.9,290.5,294,292.8564,15858719
2025-06-09,296,305.5,295.65,304.25,303.0666,26608267
2025-06-10,305.8,306.85,302.1,302.8,301.6222,15246190
2025-06-11,303.5,306.8,299.7,302.65,301.4728,17551031
2025-06-12,303.85,303.85,295,296,294.8486,16175003
2025-06-13,288,295.3,287.8,294.05,292.9062,16908691
2025-06-16,293.5,294.95,287.5,294.15,293.0058,16256316
2025-06-17,295,295.5,289.4,289.8,288.6727,8857573
2025-06-18,289,292.65,287.35,288.15,287.0291,8400088
2025-06-19,289.5,290.6,282.7,284.1,282.9949,13910925
2025-06-20,283.2,295,283,294.25,293.1054,21062467
2025-06-23,288.55,295.9,287.45,293.15,292.0097,13408538
2025-06-24,298,304.4,297.1,300.8,299.6299,24073049
2025-06-25,303.7,304.95,302,303.3,302.1202,11854474
2025-06-26,304.8,312.9,304.1,312.5,311.2845,37158992
2025-06-27,314.1,329.3,312.85,323.45,322.1919,60666211
2025-06-30,326.9,331.9,325.2,326.75,325.479,36746297
2025-07-01,328.2,331.9,327.1,329.6,328.318,20683383
2025-07-02,330.2,330.95,325.05,326.7,325.4293,13385187
2025-07-03,327.55,328.75,324.55,325.05,323.7856,11497044
2025-07-04,326,327.6,323.35,324.95,323.686,9623498
2025-07-07,324.95,329.7,323.05,328.05,326.774,13172854
2025-07-08,329,330.7,324.75,328.85,327.5709,13953335
2025-07-09,329,335.3,328.75,329.85,328.567,24522736
2025-07-10,330.5,333.4,329,331.65,330.36,13973005
