date,open,high,low,close,adj_close,volume
2025-03-03,959,981.55,953,976.05,967.8694,1744769
2025-03-04,960,978.1,959.95,974.1,965.9357,1077034
2025-03-05,975,1008,970.9,1002.7,994.296,2472192
2025-03-06,1013,1016.2,997.1,1011.1,1002.6256,2203409
2025-03-07,1011,1020.4,1005.55,1011.15,1002.6752,759943
2025-03-10,1011.15,1032.75,1010.25,1013.5,1005.0055,1855010
2025-03-11,1003.85,1021,1001.45,1018.65,1010.1124,1595868
2025-03-12,1024.7,1024.95,994.1,1010.4,1001.9315,1263600
2025-03-13,1014.9,1016.45,998.8,1001.2,992.8086,1218174
2025-03-17,1007.55,1015.45,1000.15,1005.7,997.2709,1522656
2025-03-18,1005.7,1005.7,1005.7,1005.7,997.2709,0
2025-03-19,1036,1047,1024,1033.35,1024.6891,2652155
2025-03-20,1038,1052.8,1027.2,1050.25,1041.4475,2301795
2025-03-21,1052,1062.55,1047.7,1058.7,1049.8267,2630144
2025-03-24,1063,1072,1056.5,1061.35,1052.4545,2267252
2025-03-25,1061.35,1074.9,1052,1061.7,1052.8015,1571677
2025-03-26,1068.05,1068.05,1052.2,1056.45,1047.5956,1254060
2025-03-27,1051.95,1069,1050,1059.75,1050.8679,2514499
2025-03-28,1059.75,1068.2,1053.95,1063.2,1054.2889,1674204
2025-04-01,1063,1070.45,1053.35,1056.25,1047.3972,1776263
2025-04-02,1058.1,1066.35,1046.25,1055.9,1047.0502,878958
2025-04-03,1045,1055.8,1041.55,1044.05,1035.2994,1607693
2025-04-04,1032.3,1038.95,997.85,1005.75,997.3204,3818643
2025-04-07,906,959,905.2,930.3,922.5028,4581682
2025-04-08,949.35,970.45,933.8,954.6,946.5992,1717533
2025-04-09,945.15,953.4,938.05,945.55,937.625,1773658
2025-04-11,972.45,997,968.35,990.25,981.9504,3641633
2025-04-15,1010,1015.7,1002.2,1008,999.5516,1287903
2025-04-16,1003,1015.1,992.1,1009.4,1000.9399,1281034
2025-04-17,996,1008.6,987.1,1007.2,998.7583,2074019
2025-04-21,1001,1043.8,1000.5,1034,1025.3336,1345056
2025-04-22,1060,1060.4,1037,1044.2,1035.4481,2153582
2025-04-23,1051,1053.9,1028.5,1039.2,1030.49,893969
2025-04-24,1035.5,1047.5,1029.5,1044.5,1035.7456,1242921
2025-04-25,1050,1056.9,1017.6,1028.4,1019.7807,2784217
2025-04-28,1021.4,1058.9,1019.2,1054.4,1045.5627,1485915
2025-04-29,1055,1061.6,1034.1,1035.6,1026.9202,1206750
2025-04-30,1030,1042.3,1021,1029.8,1021.1689,1755328
2025-05-02,1021.2,1037,948.3,967.5,959.3911,6209775
2025-05-05,959.8,972.4,952.7,955.5,947.4916,1646426
2025-05-06,960,971.9,955,967.5,959.3911,1462046
2025-05-07,957.9,975,957.9,966.1,958.0027,1014461
2025-05-08,962.5,969.5,949,953.2,945.2109,1646385
2025-05-09,935,959,935,957,948.9791,1481537
2025-05-12,973,1007.7,969.7,1005.2,996.7751,1335817
2025-05-13,1005.2,1010.9,988.1,989.9,981.6033,934177
2025-05-14,995.2,1012.1,987,989.3,981.0083,1650066
2025-05-15,993,1040.6,990,1038.3,1029.5977,5297654
2025-05-16,1043.4,1044.6,1020.3,1021.8,1013.236,1048380
2025-05-19,1033.9,1034,1016.7,1019.6,1011.0544,1434608
2025-05-20,1031,1034.5,1010.8,1012.7,1004.2122,1624336
2025-05-21,1016,1018.9,999.1,1000.9,992.5111,875245
2025-05-22,1002,1011.5,987.9,1005.6,997.1717,1283310
2025-05-23,1011,1022.5,1005.1,1008.5,1000.0474,1568154
2025-05-26,1009.2,1036,979.5,1032.3,1023.648,4716572
2025-05-27,1032,1033.1,1009,1013.7,1005.2039,1158374
2025-05-28,1014.9,1017.9,998.5,1001,992.6103,1790498
2025-05-29,1020.4,1023.7,998.2,1006.2,997.7667,3282246
2025-05-30,1003,1012.5,990.5,993.5,985.1732,1710817
2025-06-02,987,987,969.25,978.8,970.5963,1790184
2025-06-03,980.05,987.35,972.05,973.8,965.6382,1138571
2025-06-04,973,979.5,962.15,968.55,960.4323,2398032
