date,open,high,low,close,adj_close,volume
2025-03-03,381.11,384.73,379.04,382.92,381.8199,13038950
2025-03-04,380.23,383.2,379.35,381.56,380.4637,15860250
2025-03-05,380.62,390.73,379.08,386.62,385.5092,19058440
2025-03-06,388.8,388.99,381.97,384.34,383.2357,25965465
2025-03-07,383.4,388.12,382.01,387.08,385.9679,13901690
2025-03-10,386.5,388.01,383.27,384.35,383.2457,11142670
2025-03-11,384.6,388.8,380.89,387.04,385.928,16035260
2025-03-12,388,399.54,387.6,396.51,395.3708,33522470
2025-03-13,395.14,398.67,393.91,397.02,395.8793,24628970
2025-03-17,396.02,399.77,394.85,398.62,397.4747,15854645
2025-03-18,398.62,398.62,398.62,398.62,397.4747,0
2025-03-19,407.85,410.2,403.45,404.31,403.1484,26691440
2025-03-20,406.2,407.78,403.3,407.13,405.9603,13416530
2025-03-21,408,419.52,407,415.8,414.6053,94254040
2025-03-24,420,436.85,418.05,435.23,433.9796,42541755
2025-03-25,435.98,440.5,432,434,432.7531,36712165
2025-03-26,435,435.2,425.98,428.98,427.7475,15084580
2025-03-27,428.8,430.28,422.37,425.73,424.5069,47106120
2025-03-28,427.86,435.98,427.8,434.24,432.9924,18361265
2025-04-01,434.86,435.7,427.18,429.18,427.9469,18754695
2025-04-02,428.2,432.13,427.93,430.92,429.6819,10660960
2025-04-03,425.8,430.34,425.43,426.52,425.2946,8470190
2025-04-04,426.18,429.26,423.63,426.39,425.165,18942015
2025-04-07,403.74,416.72,400.16,407.57,406.399,35695245
2025-04-08,412.49,415.98,407.6,411.03,409.8491,20471695
2025-04-09,410.8,413,408.42,410.54,409.3605,19597890
2025-04-11,413,427.9,411.7,422.24,421.0269,27973445
2025-04-15,429,429.4,419.92,424.04,422.8217,28178320
2025-04-16,424,430.32,422.66,424.68,423.4598,14498895
2025-04-17,423,438.78,419.54,437.62,436.3627,26943160
2025-04-21,439,452.24,435.08,448.28,446.9921,24432490
2025-04-22,449.8,460.38,449.08,453.76,452.4563,33664915
2025-04-23,457,458,444,445.4,444.1203,17619395
2025-04-24,443.6,447.58,442.74,444.6,443.3226,20842685
2025-04-25,444,446.68,435.64,440.88,439.6133,10680015
2025-04-28,439.4,446.36,437.88,445.12,443.8411,12190890
2025-04-29,445.12,449.4,439.76,441,439.7329,15291325
2025-04-30,442.78,446.2,437.64,441.62,440.3512,23114585
2025-05-02,440.8,444.72,434.24,436.34,435.0863,9079030
2025-05-05,421.02,426.76,411.6,416.98,415.782,44108085
2025-05-06,417.2,418.28,413,414.8,413.6082,17025485
2025-05-07,412.74,420.36,410.9,418.98,417.7762,18697280
2025-05-08,419.8,427.74,418.98,422.52,421.3061,34624355
2025-05-09,415,424,415,420.62,419.4115,23271500
2025-05-12,426.8,432.72,425.22,429,427.7674,15109370
2025-05-13,427,429.22,420.22,423.12,421.9043,21539120
2025-05-14,422.2,423.98,416.8,418.48,417.2777,10687970
2025-05-15,417.02,422.4,413.08,421.28,420.0696,21311795
2025-05-16,419.98,422.98,418.02,421.64,420.4286,10289540
2025-05-19,420.4,424.8,420.08,422.24,421.0269,7528520
2025-05-20,422.96,423.58,416.94,418.02,416.819,19545490
2025-05-21,419,419.26,412,414.26,413.0698,10708700
2025-05-22,414.8,415.52,410.14,413.16,411.973,16446640
2025-05-23,413.16,421.86,413.16,420.16,418.9529,8254765
2025-05-26,418.02,422.4,417.02,417.86,416.6594,10201425
2025-05-27,418,419.8,412.24,415.48,414.2863,17299700
2025-05-28,415,416.08,412.68,414.86,413.6681,8173180
2025-05-29,415.46,419.2,411,416.32,415.1239,24936910
2025-05-30,416.32,418.04,413.1,414.94,413.7478,49038640
2025-06-02,413.4,415.16,410.24,412.72,411.5342,13505700
2025-06-03,414,415.16,406.84,408.9,407.7252,32319090
2025-06-04,409.42,411.7,408.16,409.26,408.0842,11655570
2025-06-05,410.96,411.28,406.84,407.98,406.8078,18626660
2025-06-06,408.78,416.98,406.76,414.68,413.4886,22121620
2025-06-09,422.2,428.48,418,427.64,426.4113,28895440
2025-06-10,429.34,434.58,427.64,430.22,428.9839,24578710
2025-06-11,429.8,432.14,426.6,429.06,427.8273,8910305
2025-06-12,429.06,429.76,424.44,425.36,424.1379,14890860
2025-06-13,414.4,424.4,414.4,421.48,420.269,22336370
2025-06-16,421.58,428.94,417.76,427.8,426.5709,14707980
