date,open,high,low,close,adj_close,volume
2025-03-03,3165.95,3227,3160,3197.3,3137.1152,1352460
2025-03-04,3171.05,3221,3167.8,3213,3152.5198,1442098
2025-03-05,3213,3245,3187.8501,3239.6499,3178.668,1945855
2025-03-06,3250.1001,3266.45,3215,3259.8999,3198.5366,1854837
2025-03-07,3259.8999,3289,3240.1001,3244.7,3183.623,930240
2025-03-10,3246,3246.3,3169.05,3177.7,3117.884,1777752
2025-03-11,3170.3,3204.3999,3161.1001,3195.45,3135.3,1274649
2025-03-12,3205,3221.95,3153.05,3193.6499,3133.5337,1360149
2025-03-13,3202.25,3233.1499,3178.05,3187.3,3127.3035,1414376
2025-03-17,3190,3240.05,3159,3173.45,3113.7141,2805790
2025-03-18,3173.45,3173.45,3173.45,3173.45,3113.7141,0
2025-03-19,3275,3326.6001,3268.5,3319.55,3257.064,1616312
2025-03-20,3335.25,3358.8999,3276.8999,3351.05,3287.9709,2434722
2025-03-21,3357,3455,3332.75,3415.95,3351.6494,3042073
2025-03-24,3449,3517,3446,3481.8501,3416.3091,1955564
2025-03-25,3505,3525,3435.3501,3469.6001,3404.2896,4235900
2025-03-26,3473,3496.8,3418.5,3444.8,3379.9565,2315715
2025-03-27,3460,3528,3451,3501.6001,3435.6873,3467864
2025-03-28,3509.8999,3514,3472.55,3492.3,3426.5623,1348143
2025-04-01,3480,3501.6001,3430,3436.8,3372.1069,1935147
2025-04-02,3433,3457.75,3408,3419.8999,3355.5249,1338839
2025-04-03,3400,3463,3393,3420.1499,3355.77,1200631
2025-04-04,3400,3403.8,3237.3,3260.1499,3198.7817,2366979
2025-04-07,3049.05,3090.6001,2965.3,3068.5,3010.7397,4953864
2025-04-08,3124.95,3193.8999,3092.7,3161.1001,3101.5967,2877816
2025-04-09,3158.8,3158.8,3048,3054.1499,2996.6597,4451381
2025-04-11,3114,3157,3100.1499,3115.95,3057.2964,3979116
2025-04-15,3180,3272,3176.1001,3257.6001,3196.2803,2161492
2025-04-16,3270,3276.8,3224.1001,3227.7,3166.9429,1578260
2025-04-17,3214.1001,3249.8999,3162.3999,3247.3,3186.1741,3209331
2025-04-21,3249.5,3290,3225.1001,3280.5,3218.749,1643003
2025-04-22,3280,3285,3248,3257.8,3196.4766,2060322
2025-04-23,3275.3999,3315,3266.7,3301,3238.863,2381699
2025-04-24,3307,3307,3280,3300.6001,3238.4707,1993448
2025-04-25,3310,3335.7,3230.1001,3272.1001,3210.5073,2004819
2025-04-28,3260,3350.8,3254.8,3327.3,3264.6682,1689485
2025-04-29,3335,3376.3999,3315,3322.3,3259.7622,1843861
2025-04-30,3324,3355,3303.3,3341,3278.1101,1930714
2025-05-02,3325,3374.8999,3325,3334.8999,3272.125,1411889
