date,open,high,low,close,adj_close,volume
2025-03-03,4667.8999,4853.6499,4631.0498,4834.2002,4709.0215,460970
2025-03-04,4714,4781,4640,4685,4563.6846,456566
2025-03-05,4669,4814.6499,4669,4773.5,4649.8931,437483
2025-03-06,4804.0498,4847,4783.4502,4823.1001,4698.209,331678
2025-03-07,4814.0498,4814.0498,4697.3501,4721.9502,4599.6782,324150
2025-03-10,4732.9502,4780,4662.7002,4670.9502,4549.9985,253711
2025-03-11,4600,4678,4522,4654.4502,4533.9258,241860
2025-03-12,4621,4669.1001,4466,4485.8999,4369.7402,582088
2025-03-13,4511,4578,4437.4502,4467.0498,4351.3779,483273
2025-03-17,4428.2002,4445,4239,4359.7998,4246.9048,1122866
2025-03-18,4359.7998,4359.7998,4359.7998,4359.7998,4246.9048,0
2025-03-19,4459,4459,4326,4365.4502,4252.4092,596998
2025-03-20,4433.6001,4515,4385.7002,4421.1499,4306.6665,867249
2025-03-21,4350,4532.7002,4259.7998,4520.25,4403.2002,748890
2025-03-24,4559,4643.3999,4504,4620.3999,4500.7573,465723
2025-03-25,4677.0498,4677.0498,4560.3501,4606.3999,4487.1196,646427
2025-03-26,4625,4658.9502,4581.2002,4619.75,4500.124,359284
2025-03-27,4587.0498,4679,4559.5498,4655.8999,4535.3379,390826
2025-03-28,4540.0498,4626.3999,4475,4491.3501,4375.0488,447846
2025-04-01,4474.6001,4483.4502,4375,4426.6001,4311.9761,230709
2025-04-02,4449.75,4508.9502,4396.6001,4499.8999,4383.3774,269265
2025-04-03,4391,4450,4303.5,4341.9502,4229.5181,505177
2025-04-04,4310,4346,4101,4136.25,4029.1445,661108
2025-04-07,3900,4100,3802,4057.1499,3952.0923,433019
2025-04-08,4170.4502,4237.4502,4062.8,4175.8501,4067.7188,390791
2025-04-09,4114.75,4171.6001,4024.75,4107.8501,4001.4797,564545
2025-04-11,4236.3501,4253.25,4167.0498,4240.7998,4130.9868,473127
2025-04-15,4326,4328,4240.7998,4317.6001,4205.7983,344488
2025-04-16,4308.1001,4329.5,4255,4276.2998,4165.5674,254885
2025-04-17,4150,4231.5,4040.1001,4191.8999,4083.353,783069
2025-04-21,4210,4350,4200,4297.3999,4186.1211,556193
2025-04-22,4300,4360,4248.1001,4320.3999,4208.5254,551413
2025-04-23,4400,4560,4399.8999,4536.7002,4419.2251,1156118
2025-04-24,4585,4589.7998,4446.2998,4533.7998,4416.3999,1019766
2025-04-25,4525.1001,4599.7998,4446.2998,4498.2998,4381.8188,589535
2025-04-28,4510,4529.8999,4412.2002,4486.7002,4370.5195,246396
2025-04-29,4495,4645,4495,4598.1001,4479.0347,446566
2025-04-30,4598,4644.3999,4557.1001,4586.5,4467.7349,299487
2025-05-02,4600,4715,4537.1001,4572.8999,4454.4873,417574
2025-05-05,4599.8999,4674,4590.1001,4621.2002,4501.5366,269019
2025-05-06,4607,4699,4521,4536.6001,4419.127,386507
2025-05-07,4500,4591.3999,4478.7998,4559.1001,4441.0449,203025
2025-05-08,4565,4672.7998,4548.5,4600.2002,4481.0806,551222
2025-05-09,4511.1001,4660.3999,4500.2998,4621.6001,4501.9263,223407
2025-05-12,4750,4977,4702.1001,4940.3999,4812.4712,719620
2025-05-13,4969,5039.2002,4905.2002,4919.5,4792.1123,526485
2025-05-14,4969.8999,5062.2998,4940,5034.2002,4903.8428,347597
2025-05-15,5040,5055,4955,5033.8999,4903.5498,348072
2025-05-16,5040,5088.7998,5022.5,5047.7998,4917.0898,191664
2025-05-19,5047.2998,5079.3999,4981.7998,5020.1001,4890.1074,215837
2025-05-20,5050,5130,4992.8999,5015.3999,4885.5288,456026
2025-05-21,5059,5074.3999,4983,5033.7998,4903.4521,236378
2025-05-22,5000.5,5098.7998,4970.2002,5023.2002,4893.1274,342893
2025-05-23,5000,5085,4982.8999,5045.7998,4959.5718,263133
2025-05-26,5054.5,5135.8999,5041.2002,5111.6001,5024.2476,232194
2025-05-27,5100,5117,5056,5107.7002,5020.4141,147941
2025-05-28,5135.1001,5157,5072,5099.2998,5012.1577,194327
2025-05-29,5149.8999,5276.7998,5115,5128.2002,5040.564,539696
2025-05-30,5130.2998,5159.7002,5046.8999,5068.8999,4982.2773,349175
2025-06-02,5056,5122,5001,5072.5,4985.8159,225717
2025-06-03,5097.5,5115.5,5020,5061,4974.5122,229510
2025-06-04,5085,5170.5,5043.5,5153,5064.9399,220305
2025-06-05,5185,5206.5,5123.5,5181.5,5092.9526,217932
2025-06-06,5200,5219,5158.5,5204,5115.0684,154159
2025-06-09,5210.5,5287,5210.5,5258,5168.146,132596
2025-06-10,5280,5445,5259.5,5385,5292.9756,428695
2025-06-11,5410,5419,5333,5394,5301.8218,196348
2025-06-12,5410,5499,5356.5,5415,5322.4624,339679
2025-06-13,5311,5488,5307,5429,5336.2236,209830
2025-06-16,5420,5498.5,5366,5449.5,5356.3735,176060
2025-06-17,5460,5554.5,5450,5514.5,5420.2622,349300
2025-06-18,5514.5,5543.5,5430,5450.5,5357.3564,181165
2025-06-19,5455,5455,5260,5368,5276.2656,377075
2025-06-20,5368,5434,5244.5,5376.5,5284.6206,442064
2025-06-23,5325,5391.5,5305,5327.5,5236.458,123073
2025-06-24,5395,5400,5324,5336.5,5245.3042,171186
2025-06-25,5360,5464.5,5341,5436,5343.104,345355
2025-06-26,5460,5460,5350.5,5373,5281.1802,275607
2025-06-27,5394.5,5425,5280,5293,5202.5474,275493
2025-06-30,5319.5,5325,5241,5317,5226.1372,137935
2025-07-01,5317,5388,5285.5,5304,5213.3599,242101
2025-07-02,5320,5382.5,5275.5,5304.5,5213.8511,201256
2025-07-03,5327,5339.5,5297.5,5324.5,5233.5093,149303
2025-07-04,5324.5,5350.5,5291.5,5316,5225.1543,154919
2025-07-07,5317,5375,5305.5,5350,5258.5737,218259
2025-07-08,5351,5414.5,5335.5,5369,5277.2485,199345
2025-07-09,5374.5,5389,5291.5,5329.5,5238.4238,248609
2025-07-10,5340,5348.5,5277,5320,5229.0859,164263
2025-07-11,5240,5277,5170.5,5206,5117.0342,372811
2025-07-14,5201,5206,5101.5,5158,5069.8545,181796
2025-07-15,5163,5273.5,5158.5,5250.5,5160.7739,152240
2025-07-16,5259.5,5338,5241.5,5327,5235.9663,210384
2025-07-17,5327,5335,5154,5194.5,5105.731,501952
2025-07-18,5239,5239,5070.5,5124,5036.436,1230478
2025-07-21,5125,5167,5117,5154,5065.9229,182552
2025-07-22,5162,5204.5,5142.5,5175.5,5087.0552,179391
2025-07-23,5200,5310,5158.5,5298,5207.4624,312770
2025-07-24,5302,5303.5,5190,5206,5117.0342,282828
2025-07-25,5190,5224,5070.5,5096,5008.9141,364335
2025-07-28,5090,5135,5028,5047,4960.7515,172801
2025-07-29,5045,5089,5006,5056.5,4970.0894,198271
2025-07-30,5057,5149,5045.5,5139.5,5051.6704,152345
2025-07-31,5070,5150,5067,5106,5018.7432,152446
2025-08-01,5092,5099.5,5007.5,5017.5,4931.7559,277363
2025-08-04,5014.5,5102.5,4939.5,5089,5002.0337,226983
2025-08-05,5100,5149.5,5045,5131.5,5043.8071,183181
2025-08-06,5125,5132,5022,5035.5,4949.4478,231816
2025-08-07,5011,5089.5,4959,5037.5,4951.4136,236366
2025-08-08,5031,5054.5,4992,5012,4926.3496,130871
2025-08-11,5012,5075,4987,5066.5,4979.9185,79531
2025-08-12,5066.5,5140,5046,5107,5019.7261,156885
2025-08-13,5130,5132,5055.5,5114.5,5027.0981,237765
2025-08-14,5150,5272,5100,5108,5020.709,493674
2025-08-18,5149,5149,5024.5,5089.5,5002.5249,285502
2025-08-19,5091.5,5122.5,5043.5,5111,5023.6577,89784
2025-08-20,5080,5240,5079.5,5180.5,5091.9697,330652
2025-08-21,5206,5253.5,5142.5,5235,5145.5386,192476
2025-08-22,5235,5257.5,5203,5224.5,5135.2178,94919
2025-08-25,5253,5350,5249,5293,5202.5474,230351
2025-08-26,5250,5305,5146,5165.5,5077.2266,239811
2025-08-28,5165.5,5189,5067.5,5123,5035.4531,318813
2025-08-29,5111,5149.5,5073,5133.5,5045.7729,204015
2025-09-01,5121,5215,5114.5,5197,5108.188,137689
2025-09-02,5190,5269.5,5168,5243.5,5153.8936,251752
2025-09-03,5230,5235,5138,5191,5102.2905,257165
2025-09-04,5235,5236,5171.5,5210,5120.9663,107889
2025-09-05,5197.5,5265,5069,5195.5,5106.7139,245302
2025-09-08,5202,5242,5072.5,5089,5002.0337,153438
2025-09-09,5104.5,5208,5104.5,5185.5,5096.8843,177812
2025-09-10,5210,5399,5179,5307,5216.3086,589857
2025-09-11,5335,5335,5215,5291.5,5201.0732,172477
2025-09-12,5306.5,5352.5,5291,5332.5,5241.3726,119090
2025-09-15,5340,5354,5295,5341.5,5250.2188,93202
2025-09-16,5355,5389,5325.5,5375.5,5283.6377,203709
2025-09-17,5375.5,5444,5373.5,5423,5330.3257,233186
2025-09-18,5455,5619,5451,5524.5,5430.0913,603028
2025-09-19,5524.5,5565,5477.5,5509.5,5415.3477,130106
2025-09-22,5355,5380,5191.5,5260,5170.1118,488338
2025-09-23,5280.5,5299,5216.5,5262.5,5172.5688,263293
2025-09-24,5264,5275,5194.5,5207,5118.0171,262080
2025-09-25,5185,5238,5185,5214,5124.8979,246653
2025-09-26,5190,5199,5042,5075,4988.2729,284891
2025-09-29,5100,5187.5,5010,5158,5069.8545,212172
2025-09-30,5125.5,5182,5084,5157.5,5069.3633,319322
2025-10-01,5121,5145,5020,5123,5035.4531,308270
2025-10-03,5123,5155,5094.5,5120,5032.5039,119918
2025-10-06,5125.5,5281,5121.5,5274,5183.8721,220778
2025-10-07,5375,5501,5255.5,5269,5178.9575,448771
2025-10-08,5295,5393.5,5266,5342.5,5251.2017,278405
2025-10-09,5368,5450,5324,5434,5341.1382,214355
2025-10-10,5450.5,5505.5,5380.5,5471.5,5377.9971,347012
2025-10-13,5450,5514,5414,5498,5404.0444,184814
2025-10-14,5560,5615,5457.5,5469,5375.5396,445186
2025-10-15,5499,5630,5499,5609.5,5513.6387,339385
2025-10-16,5630,5668,5590,5622.5,5526.417,226385
2025-10-17,5750,5752,5585.5,5605,5509.2158,956634
2025-10-20,5613.5,5699,5587,5596.5,5500.8608,207857
2025-10-21,5611,5672,5533.5,5561,5465.9678,34204
2025-10-23,5611,5676,5600,5617,5521.0107,463480
2025-10-24,5618,5662,5520.5,5546,5472.6587,182417
2025-10-27,5574,5658.5,5557.5,5640,5565.4155,159713
2025-10-28,5658,5658,5570,5596,5521.9976,179145
2025-10-29,5599,5676,5571,5674,5598.9658,189897
2025-10-30,5674,5710,5626,5699,5623.6353,217590
2025-10-31,5728,5750,5652.5,5684.5,5609.3271,219226
2025-11-03,5684.5,5728,5665,5704.5,5629.0625,251579
2025-11-04,5675.5,5719,5587,5620,5545.6802,165665
2025-11-06,5620,5681.5,5601,5652,5577.2568,315445
2025-11-07,5635,5638,5508.5,5567.5,5493.8745,129338
2025-11-10,5575,5695,5575,5643,5568.376,139341
2025-11-11,5665,5725,5612,5710.5,5634.9834,159819
2025-11-12,5750,5910,5729.5,5893.5,5815.5635,513138
2025-11-13,5900,5906.5,5833.5,5847,5769.6782,126590
2025-11-14,5825,5844.5,5765,5809,5732.1807,145287
2025-11-17,5826,5875,5796.5,5848.5,5771.1582,108410
2025-11-18,5848,5862.5,5749,5756,5679.8818,160191
2025-11-19,5791,6039,5789,5972,5893.0254,868072
2025-11-20,6000,6091,5959,6027,5947.2979,398886
2025-11-21,5999.5,6014,5909.5,5926,5847.6333,198141
2025-11-24,5930,6025,5905.5,5922,5843.6865,416887
2025-11-25,5850,5918,5805,5833,5755.8633,356220
2025-11-26,5833,5902,5832,5890,5812.1094,287745
2025-11-27,5917,6049,5862.5,6025.5,5945.8179,258165
2025-11-28,6031,6124,6010,6096.5,6015.8789,399436
2025-12-01,6122,6172,6100.5,6152.5,6071.1382,372204
2025-12-02,6140,6176,6091.5,6164,6082.4863,277406
2025-12-03,6164,6216.5,6120,6159,6077.5522,349340
2025-12-04,6185,6289.5,6159,6266,6183.1372,502306
2025-12-05,6266,6380,6240.5,6292,6208.7935,319657
2025-12-08,6335,6346.5,6205,6256,6173.2695,253030
2025-12-09,6225,6255.5,6160,6245.5,6162.9082,282890
2025-12-10,6231,6298,6195,6220.5,6138.2388,208454
2025-12-11,6224.5,6312,6215,6294.5,6211.2603,166721
2025-12-12,6314.5,6318,6250,6284.5,6201.3926,170630
2025-12-15,6271,6303.5,6233,6269.5,6186.5908,107413
2025-12-16,6240,6259,6181,6216,6133.7983,198232
2025-12-17,6217,6292.5,6212,6252.5,6169.8159,405919
2025-12-18,6280,6308,6182.5,6245,6162.415,318467
2025-12-19,6288,6290,6027,6197.5,6115.543,635441
2025-12-22,6205,6249.5,6183,6191.5,6109.6226,236460
2025-12-23,6197,6217,6126,6202.5,6120.4771,160279
2025-12-24,6202.5,6243.5,6134.5,6163,6081.4995,174322
2025-12-26,6160,6174.5,6020,6035.5,5955.6855,113668
2025-12-29,6020,6117,6019,6033.5,5953.7119,128969
2025-12-30,6015,6093.5,6003,6074,5993.6763,239568
2025-12-31,6052,6105.5,6036.5,6063.5,5983.3149,93136
2026-01-01,6063.5,6120,6040,6112,6031.1738,54661
2026-01-02,6130,6145,6052,6067,5986.769,134408
2026-01-05,6067.5,6150.5,6012.5,6059,5978.8745,334004
2026-01-06,6050,6083,5970,5982.5,5903.3862,361933
2026-01-07,5985,6124,5977.5,6102,6021.3062,292945
2026-01-08,6107,6134,6000.5,6018,5938.417,146676
2026-01-09,6001,6100,5999.5,6037,5957.1655,174207
2026-01-12,6000,6021,5901,6000.5,5921.1484,327804
2026-01-13,6039,6108.5,6003.5,6100.5,6019.8257,197592
2026-01-14,6105,6105,6014.5,6030.5,5950.7515,165031
2026-01-15,6030.5,6030.5,6030.5,6030.5,5950.7515,0
2026-01-16,6030.5,6370,6030.5,6308,6224.582,872154
2026-01-19,6300,6429.5,6266.5,6407,6322.2725,530829
2026-01-20,6245.5,6247.5,5911.5,5976.5,5897.4658,1490878
2026-01-21,5900.5,5949.5,5751.5,5844,5766.7178,726770
2026-01-22,5902.5,6041.5,5864,5947,5868.356,378212
2026-01-23,5960,6022,5854,5893.5,5815.5635,238727
2026-01-27,5894,5995,5841,5940.5,5861.9419,240005
2026-01-28,5960,6035,5934,6015.5,5935.9497,149076
2026-01-29,6015.5,6015.5,5902,5995,5915.7212,182049
2026-01-30,5966,5992.5,5889,5974.5,5895.4922,260551
2026-02-02,6068.5,6068.5,5929,5986,5906.8398,174587
2026-02-03,6200,6275.5,6016,6044,5964.0732,169450
2026-02-04,5800,5800,5545,5706.5,5631.0361,824065
2026-02-05,5700,5741,5619.5,5683.5,5608.3403,303053
2026-02-06,5650,5650,5500,5561.5,5487.9536,390513
2026-02-09,5561.5,5660.5,5561.5,5626.5,5552.0942,147369
2026-02-10,5641.5,5680,5586,5662,5587.1245,309623
2026-02-11,5685,5692,5490,5515.5,5442.562,268051
2026-02-12,5438.5,5438.5,5180,5211.5,5142.582,624232
2026-02-13,5004,5178.5,4988,5115.5,5047.8516,687029
2026-02-16,5100,5144,5057,5118.5,5050.812,216966
2026-02-17,5097,5234.5,5051,5164.5,5096.2036,316641
2026-02-18,5181.5,5195,4995,5054,4987.165,289565
2026-02-19,5061,5117.5,4921,4959.5,4893.9146,203502
2026-02-20,4945,4961.5,4862,4889.5,4824.8403,244127
2026-02-23,4849.5,4876,4765,4831.5,4767.6074,363966
2026-02-24,4778,4780,4465.5,4501,4441.478,883696
2026-02-25,4524,4661.5,4515.5,4559,4498.7109,370208
2026-02-26,4580,4655,4486.5,4504,4444.4385,270646
2026-02-27,4590,4649,4435,4462,4402.9937,464787
2026-03-02,4393.8999,4477,4356.5,4404.3999,4346.1553,171388
2026-03-04,4330.1001,4434,4325.2998,4349.2998,4291.7837,193103
2026-03-05,4385,4412,4260,4306.3999,4249.4512,193854
2026-03-06,4270,4388.2998,4262,4292,4235.2417,228424
2026-03-09,4250,4356,4195.5,4317.2002,4260.1089,253802
2026-03-10,4355,4369,4275.5,4323.1001,4265.9307,98559
2026-03-11,4330,4373.3999,4253.1001,4262.7002,4206.3296,186094
2026-03-12,4262.7002,4372.8999,4220,4323.6001,4266.4238,229386
2026-03-13,4299,4299,4197,4206.5,4150.8726,160275
2026-03-16,4214.8999,4274,4160.1001,4207.1001,4151.4648,220848
2026-03-17,4229,4229,4108.1001,4189.2002,4133.8013,203282
2026-03-18,4221.5,4372.8999,4214.7002,4298.7998,4241.9517,243300
2026-03-19,4279.8999,4279.8999,4181,4198.5,4142.978,107184
2026-03-20,4140,4389.3999,4048,4298.7998,4241.9517,1110895
2026-03-23,4236,4236,4071,4105.6001,4051.3069,569410
2026-03-24,4210,4240,4105.7002,4211.5,4155.8062,317949
2026-03-25,4220,4323.6001,4170,4292.8999,4236.1299,537105
2026-03-27,4272,4310.2998,4182.1001,4200.7002,4145.1494,432608
2026-03-30,4178.8999,4178.8999,4000,4013.8,3960.7207,532474
2026-04-01,4149.7002,4247.6001,4078.6001,4107,4052.6882,258855
2026-04-02,4080,4318.8999,4016.6001,4303.8999,4246.9844,696404
2026-04-06,4279.7998,4337.7998,4260.5,4307.3999,4250.438,296412
2026-04-07,4300,4455,4264.5,4442.5,4383.7515,566309
2026-04-08,4584.3999,4584.3999,4459.2998,4523,4463.187,424664
2026-04-09,4523,4583.1001,4425.5,4572,4511.5391,371733
2026-04-10,4567.2002,4567.2002,4415,4503.7002,4444.1426,420616
2026-04-13,4410,4496.5,4400,4466.6001,4407.5327,167374
2026-04-15,4516.8999,4674.3999,4501,4628.7002,4567.4893,573454
2026-04-16,4674,4771.8999,4651.7002,4730,4667.4497,510162
2026-04-17,4724.8999,4778.8999,4644.2002,4753.6001,4690.7378,339240
2026-04-20,4753.6001,4757.8999,4680.7002,4715.7998,4653.437,185410
2026-04-21,4714,4784,4671.1001,4757.8999,4694.9805,177126
2026-04-22,4687.8999,4703.7998,4551.2998,4604.2998,4543.4116,509542
2026-04-23,4604.2998,4632.3999,4500,4531.5,4471.5747,277104
2026-04-24,4440,4480.5,4240,4282.2998,4225.6699,951597
2026-04-27,4282.3999,4405.3999,4282.3999,4346,4288.5278,264949
2026-04-28,4346.2998,4435,4336.7002,4380.6001,4322.6704,260663
2026-04-29,4399,4407.3999,4313,4323.1001,4265.9307,203452
2026-04-30,4323.1001,4348.1001,4248,4269.6001,4213.1382,427566
2026-05-01,4269.6001,4269.6001,4269.6001,4269.6001,4213.1382,0
2026-05-04,4290.1001,4295.7002,4182,4202.7002,4147.123,224489
2026-05-05,4202.7002,4315,4192,4298.7998,4241.9517,284654
2026-05-06,4328,4397.2002,4264.6001,4316,4258.9243,238322
2026-05-07,4350,4356.2002,4235,4250,4193.7974,324600
2026-05-08,4254.5,4374.3999,4239.2002,4349.7998,4292.2773,287392
2026-05-11,4361.2002,4404,4320,4352.2002,4294.646,204369
2026-05-12,4341.1001,4341.1001,4131.7998,4143.7998,4089.0015,582726
2026-05-13,4145.1001,4171,4071.6001,4086.3999,4032.3606,325724
2026-05-14,4100,4100,3907.3,3920.2,3868.3584,760707
2026-05-15,3925,4038.8999,3925,3968.3999,3915.9211,609107
2026-05-18,3968.3999,4094.5,3947.3999,4074.6001,4020.7168,446765
2026-05-19,4107,4284,4107,4254.7998,4198.5337,471956
2026-05-20,4254.7998,4259.3999,4122.2002,4143,4088.2122,628120
2026-05-21,4177.8999,4177.8999,4100.2002,4129.7002,4075.0884,193777
2026-05-22,4135,4139.2002,4000,4007.8,3954.8,499528
2026-05-25,4000,4008.8999,3901,3991.6001,3991.6001,541005
2026-05-26,4003,4050,3946.2,3970.3999,3970.3999,333239
2026-05-27,3979.8999,4023,3961.5,3988.6001,3988.6001,193654
2026-05-28,3988.6001,3988.6001,3988.6001,3988.6001,3988.6001,0
2026-05-29,4019.8999,4149.3999,4011.6001,4061.6001,4061.6001,1338486
2026-06-01,4081.8,4273.3999,4081.8,4196.1001,4196.1001,642808
