date,open,high,low,close,adj_close,volume
2025-03-03,2613.8,2695.95,2595,2611.8999,2564.1555,4340806
2025-03-04,2561,2627.3,2550,2613.3501,2565.5791,1984876
2025-03-05,2661.95,2736.8999,2642.6499,2726.6001,2676.7588,3665710
2025-03-06,2748,2766.8501,2695,2742.3999,2692.27,3706264
2025-03-07,2721.3,2765.95,2708.1001,2727.8501,2677.9863,1886774
2025-03-10,2695,2734.6499,2665.1001,2702.6001,2653.1978,2520931
2025-03-11,2684.75,2685,2613.1499,2645.6001,2597.2397,3616140
2025-03-12,2645.6001,2678,2636.1001,2653.3,2604.7988,3447155
2025-03-13,2677.1001,2686.3501,2618.3,2643.5,2595.178,2446428
2025-03-17,2635,2727.05,2635,2705.1499,2655.7009,2527623
2025-03-18,2705.1499,2705.1499,2705.1499,2705.1499,2655.7009,0
2025-03-19,2795,2831.8999,2779.55,2789.1001,2738.1165,2438912
2025-03-20,2803.75,2847,2801,2828.1001,2776.4036,2354374
2025-03-21,2839.1001,2893,2781.25,2801.8501,2750.6335,3824316
2025-03-24,2815.3,2822.1499,2709.3999,2774.7,2723.9795,5395134
2025-03-25,2774.7,2802.45,2725.05,2736,2685.9873,3576766
2025-03-26,2751.3,2795,2737.05,2742.25,2692.123,3111504
2025-03-27,2735,2751,2695.55,2733,2683.0417,4325599
2025-03-28,2735.8,2739.7,2635,2665.8,2617.0703,6074446
2025-04-01,2652.8,2728,2623.1499,2637.8999,2589.6802,3300417
2025-04-02,2631.1001,2660,2625.3,2637.55,2589.3367,2243574
2025-04-03,2607.75,2652.3999,2600.25,2611.45,2563.7139,2361203
2025-04-04,2614.95,2631.5,2557.05,2596.55,2549.0862,3598415
2025-04-07,2425,2524.6499,2425,2491.25,2445.7109,3937471
2025-04-08,2510,2550,2454,2523.6499,2477.5188,4253527
2025-04-09,2540,2571.95,2515.95,2523.1001,2476.979,3347213
2025-04-11,2549,2604,2532.05,2580.3501,2533.1824,3600209
2025-04-15,2606,2690,2606,2646,2597.6323,3287861
2025-04-16,2660,2665,2618.3,2634.6001,2586.4407,3070954
2025-04-17,2632,2682.8,2602.3999,2679.3999,2630.4216,2638979
2025-04-21,2699.8999,2774,2665.8999,2764,2713.4751,3120955
2025-04-22,2765,2822,2756,2817.1001,2765.6047,3193757
2025-04-23,2830,2923,2826,2917.8,2864.4639,3906215
2025-04-24,2917.8,2928,2865,2901.3999,2848.3635,2488496
2025-04-25,2901.3999,2939.6001,2831.1001,2864.2,2811.8435,2299310
2025-04-28,2918.8999,2945,2882.3,2930.6001,2877.03,1864672
2025-04-29,2950,2969.5,2901.8,2909.6001,2856.4138,2051228
2025-04-30,2908.8,2948.8999,2887,2928.8,2875.2629,2689753
2025-05-02,2950,3000,2910.2,2917.2,2863.8748,2868096
2025-05-05,2948.8999,3044,2937.7,3021.5,2966.2681,4049197
2025-05-06,3150.6001,3159.7,3056,3068.3999,3012.3108,5683215
2025-05-07,3021.8999,3125,3021.8999,3119.8999,3062.8694,2942902
2025-05-08,3127.3999,3137,3008.5,3033.1001,2977.6565,3323894
2025-05-09,2961.6001,3057.1001,2955,2982.1001,2927.5886,2308852
2025-05-12,3044.7,3112.2,3033.7,3104.7,3047.9473,2166730
2025-05-13,3050,3111,3035,3053.8,2997.978,2681662
2025-05-14,3037.5,3110,3018,3101.8,3045.1006,2236302
2025-05-15,3085,3170.7,3073,3144.3,3086.8235,3590003
2025-05-16,3135,3149.5,3115,3135.6001,3078.2827,2269659
2025-05-19,3115,3157,3103.6001,3128,3070.8215,2011149
2025-05-20,3128.2,3135.3,3049.1001,3063.5,3007.5005,2667772
2025-05-21,3063,3132,3048.1001,3090.7,3034.2031,1395136
2025-05-22,3076.6001,3089.8,2980.5,3006.3,2951.3462,3870830
2025-05-23,3020,3030.8,2984.2,3012.7,2957.6292,1828093
2025-05-26,3038,3101,3027.7,3080.2,3023.8953,2164190
2025-05-27,3080.2,3085,3014.6001,3039.8,2984.2339,2599143
2025-05-28,3039.7,3044.8,2993,2997.8,2943.0015,1491995
2025-05-29,2999,3028.8999,2987.2,3009,2953.9966,2093429
2025-05-30,3005,3017.3999,2957,2976.8,2922.3855,3700191
2025-06-02,2976.8,3038.5,2962.3,3025.8999,2970.5879,2967741
2025-06-03,3042,3064.8,3027,3046.5,2990.8113,3204094
2025-06-04,3045.1001,3087,3040.1001,3053.3999,2997.585,1584653
2025-06-05,3078,3095,2994.8,3041.6001,2986.001,3504632
2025-06-06,3041.6001,3112.8999,3027,3106.5,3049.7144,2028071
2025-06-09,3130,3141,3078,3087.3999,3030.9636,1364639
2025-06-10,3102,3106.8999,3059.8,3067.5,3011.4275,1787253
2025-06-11,3085,3124,3076,3080.7,3024.3862,1749787
2025-06-12,3088,3094,3007,3019.2,2964.0103,2278398
2025-06-13,2932,3018.5,2932,3006,2951.0515,2003184
2025-06-16,3001,3045,2988.1001,3023.6001,2968.3301,1673726
2025-06-17,3043,3043,2994,3007.2,2952.2295,1455355
2025-06-18,3000,3074.8999,2986.6001,3041.1001,2985.51,2161043
2025-06-19,3038,3106.8999,3034.2,3094.8,3038.2283,2482920
2025-06-20,3100,3203,3090.3,3184.3999,3126.1904,8315834
2025-06-23,3163.6001,3184.3999,3122.7,3135,3077.6936,1731432
2025-06-24,3155.1001,3216.6001,3136.8,3150.1001,3092.5176,2834887
2025-06-25,3180,3225.5,3160.5,3215.5,3156.7219,2078771
2025-06-26,3225.8999,3238,3183.5,3215.8,3157.0166,2907261
2025-06-27,3205,3241.5,3187.1001,3203.3,3144.7449,5098406
2025-06-30,3205.3999,3219.8,3161,3183.2,3125.0125,2083572
2025-07-01,3188,3218,3168.2,3176.1001,3118.0422,1407074
2025-07-02,3168,3202.7,3153.7,3165.2,3107.3413,1559309
2025-07-03,3165.2,3221,3164.8,3174.3999,3116.3733,2102806
2025-07-04,3161.1001,3177,3134.1001,3162.5,3129.634,968006
2025-07-07,3162.5,3173,3152.1001,3160.2,3127.3579,853459
2025-07-08,3150,3168,3123,3157.8999,3125.0818,1513129
2025-07-09,3145,3189,3141,3176.3,3143.2908,1245661
2025-07-10,3172.1001,3192.6001,3137.6001,3162.3999,3129.5352,1701384
2025-07-11,3158,3162.3999,3062.3999,3073.2,3041.2622,3041614
2025-07-14,3072.8,3104.8,3053.6001,3092.1001,3059.9658,2958843
2025-07-15,3086.1001,3148.3,3082.8999,3128.6001,3096.0864,2826720
2025-07-16,3128.6001,3210,3082.3999,3196.5,3163.2808,2892812
2025-07-17,3186.3,3238,3171,3195,3161.7964,3267180
2025-07-18,3208,3252,3176.7,3192.3999,3159.2234,2040381
2025-07-21,3177,3253.6001,3152.8,3246.7,3212.959,2436535
2025-07-22,3246.7,3271.8999,3210.5,3257.2,3223.3499,1854072
2025-07-23,3260,3303,3248,3268.8,3234.8296,2159800
2025-07-24,3255,3286.5,3243.7,3260.8999,3227.0115,1469406
2025-07-25,3256,3259,3214,3246.3999,3212.6621,1475856
2025-07-28,3246.3999,3256.8999,3199.2,3209.8,3176.4426,1939520
2025-07-29,3203,3225.8999,3186.6001,3199.3999,3166.1506,1824673
