date,open,high,low,close,adj_close,volume
2025-03-03,11886,12059.4502,11757.75,11775.5996,11533.6787,186884
2025-03-04,11690,11724.25,11591,11616.25,11377.6025,255726
2025-03-05,11605,11830,11568.3496,11617.3496,11378.6797,349730
2025-03-06,11701,11729.5,11480,11666.4004,11426.7236,315309
2025-03-07,11650,11742.2998,11601,11664.1504,11424.5195,259055
2025-03-10,11600,11697.9004,11533.6504,11586.0498,11348.0234,153894
2025-03-11,11579.5,11692,11510,11646.9502,11407.6729,245822
2025-03-12,11620.7998,11723.9502,11522,11640.0996,11400.9629,249361
2025-03-13,11634.7998,11685,11489.75,11513.7998,11277.2578,260736
2025-03-17,11513.7998,11752.9502,11456.3496,11553.7002,11316.3379,275569
2025-03-18,11553.7002,11553.7002,11553.7002,11553.7002,11316.3379,0
2025-03-19,11700,11714.4502,11547,11615.5498,11376.918,476555
2025-03-20,11699.9004,11765,11588,11730.2002,11489.2119,379421
2025-03-21,11780,11921.7002,11705.7998,11732.7998,11491.7588,560565
2025-03-24,11779.9502,11990,11742.0498,11922.25,11677.3174,359033
2025-03-25,11951.4004,12075.25,11800,11868.9004,11625.0635,514283
2025-03-26,11807,11868.9004,11710,11734.2998,11493.2275,478517
2025-03-27,11773.1504,11898,11638,11721.9502,11481.1318,645787
2025-03-28,11699.0498,11745.9502,11400.0996,11522.1504,11285.4365,541795
2025-04-01,11480,11545.7998,11290,11481.0996,11245.2285,498244
2025-04-02,11481.0996,11732,11410.0498,11716.0996,11475.4014,452994
2025-04-03,11630.5,11802.9502,11611.0498,11688.0996,11447.9766,326624
2025-04-04,11600,11630,11330,11482,11246.1113,355785
2025-04-07,11105.5996,11358.5,11059.4502,11329.75,11096.9883,602353
2025-04-08,11530,11550.3496,11290.0498,11458.9004,11223.4854,629968
2025-04-09,11460.0996,11538.7002,11425,11457.4004,11222.0176,255114
2025-04-11,11480.3496,11678.75,11480,11599.0498,11360.7568,231420
2025-04-15,11790,11940,11680,11855,11611.4482,458593
2025-04-16,11768,11768,11615,11664,11424.3721,470494
2025-04-17,11664,11728,11525,11695,11454.7354,302146
2025-04-21,11695,11769,11588,11745,11503.708,318493
2025-04-22,11770,11788,11615,11734,11492.9336,516753
2025-04-23,11799,11971,11729,11907,11662.3799,493839
2025-04-24,11940,12040,11858,11894,11649.6465,387863
