date,open,high,low,close,adj_close,volume
2025-03-03,961,988.3,945.1,973.8,970.952,2695279
2025-03-04,961.5,1005.05,940.05,988.45,985.5591,2637232
2025-03-05,966.5,1024.55,966.5,1021.9,1018.9114,3569080
2025-03-06,1022,1023.45,996.15,999.9,996.9757,2676754
2025-03-07,1004.9,1012.7,977.15,980.75,977.8817,1323765
2025-03-10,980,980.5,955,964.3,961.4798,2613900
2025-03-11,957.55,987.85,956.6,983.3,980.4243,1479746
2025-03-12,994.8,995,960,989.75,986.8554,2239455
2025-03-13,994.65,1009.7,979.05,990.7,987.8026,1963406
2025-03-17,995.2,1003.25,980.35,997.9,994.9816,1751252
2025-03-18,997.9,997.9,997.9,997.9,994.9816,0
2025-03-19,1025.15,1091.45,1025,1087.45,1084.2697,2753959
2025-03-20,1098.35,1138.85,1082.05,1135.85,1132.5281,4225204
2025-03-21,1126.05,1189.5,1119.75,1170.25,1166.8275,5814033
2025-03-24,1174.65,1180,1144,1146.25,1142.8977,2773097
2025-03-25,1157.6,1177.6,1149.45,1172.75,1169.3201,2312993
2025-03-26,1148.7,1174.95,1118.7,1122.55,1119.267,1809235
2025-03-27,1113,1139.3,1110.7,1129.4,1126.097,2435413
2025-03-28,1131.4,1164.65,1090.55,1096.95,1093.7418,1990409
2025-04-01,1106,1123.15,1079.4,1083.6,1080.4309,1308510
2025-04-02,1094.1,1099.15,1079.7,1094.75,1091.5483,873303
2025-04-03,1094.85,1124.3,1094.5,1121.3,1118.0206,1442279
2025-04-04,1129.65,1149.9,1115.05,1137.65,1134.3229,3280000
2025-04-07,1085.2,1114.9,1065.05,1075.5,1072.3546,3917172
2025-04-08,1116.2,1116.2,1067.25,1073.45,1070.3105,3121751
2025-04-09,1095,1127.9,1072.9,1123.15,1119.8652,2739663
2025-04-11,1090,1120.65,1083.35,1089.3,1086.1143,3025861
2025-04-15,1092.5,1100,1060.4,1074.1,1070.9586,4024878
2025-04-16,1084,1088,1067,1077.5,1074.3488,1947807
2025-04-17,1074,1088.4,1063,1084.4,1081.2286,2992562
2025-04-21,1095,1095,1066.5,1073,1069.8618,2070163
2025-04-22,1079.9,1137.9,1068.8,1128.7,1125.3989,3872495
2025-04-23,1144.4,1149.9,1110.1,1129.6,1126.2964,1944908
2025-04-24,1136.9,1136.9,1097.7,1108.4,1105.1584,1802546
2025-04-25,1121,1125,1059.1,1067.4,1064.2783,2532226
2025-04-28,1068,1103.6,1066.2,1099.8,1096.5835,2000264
2025-04-29,1110,1119.1,1100.7,1107.4,1104.1614,1483430
2025-04-30,1124.9,1124.9,1088.6,1098.2,1094.9882,2112594
2025-05-02,1086.3,1126,1082,1087,1083.8209,1083528
2025-05-05,1109,1139.9,1100.1,1131.7,1128.3901,2847994
2025-05-06,1139.9,1171,1133.5,1156,1152.6193,5109749
2025-05-07,1123,1168,1123,1152,1148.6309,1389882
2025-05-08,1160,1160,1101,1111.8,1108.5485,1621270
2025-05-09,1091.3,1130.9,1090,1127.7,1124.4019,2242389
2025-05-12,1143,1167.8,1131,1159.9,1156.5078,2466795
2025-05-13,1159.9,1178.2,1152.1,1172,1168.5724,1325278
2025-05-14,1149,1183,1149,1176.6,1173.1589,1476973
2025-05-15,1176.5,1204,1174.9,1186.5,1183.03,3798282
2025-05-16,1195.7,1196.9,1158.6,1167.1,1163.6866,932452
2025-05-19,1174.8,1191.9,1168.3,1188,1184.5255,2197092
2025-05-20,1183,1190,1136.1,1164.7,1161.2936,3803892
2025-05-21,1171.9,1178.2,1130.6,1142.1,1138.7598,2080995
2025-05-22,1144.8,1154,1118.3,1148.2,1144.8419,1302948
2025-05-23,1140.1,1180.8,1139.5,1177.1,1173.6573,1221229
2025-05-26,1170,1191.9,1170,1174.1,1170.6663,1047297
2025-05-27,1184,1187.8,1153.1,1159.4,1156.0093,1530237
2025-05-28,1157.5,1171.3,1142.1,1149,1145.6396,1271583
2025-05-29,1149,1154.7,1124.4,1135.2,1131.8799,1437093
2025-05-30,1138,1146.2,1121.1,1125.2,1121.9092,3302191
2025-06-02,1129.5,1159.6,1122.4,1151.6,1148.2319,1633598
2025-06-03,1164,1169.9,1136.6,1138.9,1135.5692,1298389
2025-06-04,1137,1154.2,1135,1148.6,1145.2407,1300977
2025-06-05,1153.2,1154.6,1134,1137.4,1134.0736,1294519
2025-06-06,1142.8,1169.2,1127,1168.2,1164.7833,1026507
2025-06-09,1177,1196.8,1161.1,1194.6,1191.1062,1363561
2025-06-10,1198.7,1203.9,1175.2,1182.5,1179.0416,959783
2025-06-11,1185,1201.8,1182.8,1187.1,1183.6282,1692374
2025-06-12,1191.6,1218.7,1185,1202.2,1198.684,3523948
2025-06-13,1196.4,1239.5,1178.3,1232.8,1229.1946,2935076
2025-06-16,1245.2,1250,1220.4,1246.8,1243.1536,1884937
2025-06-17,1254.3,1256.2,1220.9,1226.8,1223.2122,1940493
2025-06-18,1229.8,1229.9,1179.6,1181.7,1178.2439,1800017
2025-06-19,1186,1190,1152.7,1163,1159.5988,1791898
2025-06-20,1162.9,1220.6,1155.6,1213.8,1210.2502,2991004
2025-06-23,1202.1,1208.9,1185.5,1190.2,1186.7191,1344872
2025-06-24,1209,1211.9,1183.1,1198.3,1194.7955,1627319
2025-06-25,1191.5,1242.9,1190,1239,1235.3765,2283980
2025-06-26,1250,1275,1241.7,1266.5,1262.796,4025154
2025-06-27,1270,1296.8,1255.1,1279.3,1275.5586,9937898
2025-06-30,1284.5,1296.8,1271.1,1276,1272.2683,1890046
2025-07-01,1285,1307.9,1271.6,1279.7,1275.9574,2067169
2025-07-02,1269.2,1299,1254.3,1284.8,1281.0425,1534237
2025-07-03,1279,1308.6,1279,1301.4,1297.594,2615624
2025-07-04,1306.8,1314.3,1286,1298.2,1295.897,1062360
2025-07-07,1303.1,1305,1289.4,1299.6,1297.2944,639489
2025-07-08,1303.9,1310.8,1287.1,1295.7,1293.4014,1351691
2025-07-09,1291,1300.8,1245,1247.4,1245.1871,1996494
2025-07-10,1240,1255,1229,1251.6,1249.3796,1822565
2025-07-11,1249.7,1251.5,1215.5,1219.2,1217.0371,2348913
2025-07-14,1230,1263.2,1220,1249.6,1247.3832,1968679
2025-07-15,1256,1263.6,1240.8,1261.1,1258.8628,824627
2025-07-16,1262.5,1278,1256.4,1266.2,1263.9537,1352972
2025-07-17,1276,1276,1238.8,1243.6,1241.3938,1238628
2025-07-18,1241.5,1249.1,1213.1,1215.7,1213.5433,2382955
2025-07-21,1217.4,1226.5,1201,1218.2,1216.0388,1633631
2025-07-22,1229.8,1229.8,1207.5,1218.8,1216.6379,1896694
2025-07-23,1209.9,1258,1209.9,1255.4,1253.173,1364458
2025-07-24,1261.6,1288.8,1258.8,1267.4,1265.1516,2393751
2025-07-25,1261.2,1284.6,1255,1280.5,1278.2284,3090257
2025-07-28,1275.2,1282.9,1229,1257.4,1255.1694,2930792
