date,open,high,low,close,adj_close,volume
2025-03-03,2148,2177.8,2100,2153.1499,2133.5688,2645210
2025-03-04,2125.55,2272,2123.1499,2162.5,2142.834,4105980
2025-03-05,2170,2255,2151.05,2246.7,2226.2678,2916402
2025-03-06,2275,2299.8501,2234,2242.3999,2222.0073,1774308
2025-03-07,2242.8999,2352.95,2223.7,2338.2,2316.936,4654555
2025-03-10,2344.7,2364.55,2286.8999,2302.7,2281.7585,1718810
2025-03-11,2265,2276,2222,2255.95,2235.4341,1811862
2025-03-12,2274,2296.25,2232.3999,2255.8999,2235.3843,1317140
2025-03-13,2267.05,2340,2235.8999,2316,2294.938,2934181
2025-03-17,2320,2348,2281.1001,2322.05,2300.9329,2382011
2025-03-18,2322.05,2322.05,2322.05,2322.05,2300.9329,0
2025-03-19,2385,2648,2375,2625.25,2601.3752,12696711
2025-03-20,2670.3501,2762.8999,2551.8,2633.1001,2609.1538,8617711
2025-03-21,2642,2651.1001,2576.8501,2591.3999,2567.8333,3471761
2025-03-24,2614.75,2711.6499,2605.5,2654.8,2630.6567,5284512
2025-03-25,2681.1499,2689,2588.3999,2614.5,2590.7234,2354469
2025-03-26,2620.05,2722,2601,2643.1499,2619.1128,6876106
2025-03-27,2642,2719,2625.3,2695.3501,2670.8379,4414954
2025-03-28,2724,2752,2633.7,2643.8,2619.7568,3032671
2025-04-01,2634,2685,2570,2578.55,2555.1001,2040072
2025-04-02,2585,2610,2520.3,2603.95,2580.269,1779301
2025-04-03,2569.95,2753.45,2554.3501,2737.55,2712.6543,4664581
2025-04-04,2575,2594.3,2537,2542.2,2519.0808,4808454
2025-04-07,2221.05,2373.6499,2200,2317.3,2296.2261,4104683
2025-04-08,2410,2447.55,2342,2358.7,2337.2493,3423754
2025-04-09,2365,2397,2288,2371.2,2349.6357,2496433
2025-04-11,2443.75,2473,2403,2432.55,2410.4282,2224661
2025-04-15,2490,2697.7,2473,2661.3,2637.0977,7673596
2025-04-16,2664.7,2744,2620.8,2731.8999,2710.1106,5288471
2025-04-17,2731.8999,2814.8,2695,2710.6001,2688.9805,4150958
2025-04-21,2727.5,2805,2710.3,2764.6001,2742.55,3303967
2025-04-22,2780,2820,2750,2755.3999,2733.4233,2232292
2025-04-23,2780,2829,2713.2,2765.8999,2743.8391,2256385
