date,open,high,low,close,adj_close,volume
2025-03-03,79.5533,80.2067,77.2733,79.6067,78.7385,27788080
2025-03-04,78.3667,80.1467,77.22,78.8467,77.9868,28319941
2025-03-05,79,82.82,78.1333,82.6267,81.7255,15541101
2025-03-06,85.2,87.3867,83.2867,85.2467,84.3169,40741189
2025-03-07,85.2467,87.0133,84.3533,85.1933,84.2642,18841185
2025-03-10,85.32,86.0067,83.6667,83.8667,82.952,14067241
2025-03-11,82.6667,83.9933,82.0867,83.04,82.1344,31065579
2025-03-12,83.3333,83.9067,81.6867,83.6533,82.741,13818637
2025-03-13,84.2667,84.3267,80.84,81.1733,80.288,20251365
2025-03-17,80,82,79.62,80.66,79.7803,18117784
2025-03-18,80.66,80.66,80.66,80.66,79.7803,0
2025-03-19,84,86.1867,83.3333,86.0067,85.0687,14779144
2025-03-20,86.3333,86.6667,84.8733,85.8467,84.9104,10843546
2025-03-21,86.66,88.5333,86.18,87.56,86.605,28235211
2025-03-24,88.1333,90,87.8667,89.3333,88.3591,13819324
2025-03-25,90.6667,90.9333,87.1933,87.64,86.6842,18107763
2025-03-26,88.7667,90.6,88.4,89.9533,88.9723,28123465
2025-03-27,87,88.5867,83.1533,87.94,86.9809,55633498
2025-03-28,89.8667,91.4533,87.0267,87.3067,86.6831,28719250
2025-04-01,87.3067,88.5533,86.0667,87.4133,86.789,14986759
2025-04-02,86.6667,88.36,86.0733,88.1467,87.5171,11112421
2025-04-03,86.3333,87.0933,85.1533,85.96,85.346,29815504
2025-04-04,85.6667,85.7,78.5933,79.2867,78.7203,62319645
2025-04-07,73.34,76.64,71.5,76.2533,75.7087,45359316
2025-04-08,80.9933,80.9933,75.3333,76.6867,76.1389,37537851
2025-04-09,76.7,77.1867,74.6733,75.34,74.8019,22199550
2025-04-11,79.32,80,76.9667,78.82,78.257,34635463
2025-04-15,85.3333,86.7,83.3333,85.0867,84.4789,80473206
2025-04-16,85.3333,86.3933,84.62,85.56,84.9489,21142170
2025-04-17,85.6,86.6667,84.5733,86.4467,85.8292,14369247
2025-04-21,87.3333,88.6267,85.9267,88.3733,87.7421,15849453
2025-04-22,88.6667,90.1667,87.6,88.8667,88.2319,23254356
2025-04-23,89.9333,91.1133,88.96,90.4867,89.8403,24652246
2025-04-24,90.9333,92.2267,90.1133,90.7933,90.1448,24761502
2025-04-25,90.38,91.0733,88.02,89.14,88.5033,38228610
2025-04-28,88.6733,90.76,88.3333,89.9933,89.3505,19022104
2025-04-29,91.8067,92.9867,89.9067,90.72,90.072,35097037
2025-04-30,90.3333,90.3333,87.8467,88.8467,88.2121,28209172
2025-05-02,88.58,89.8667,87.6,88.0867,87.4575,13176181
2025-05-05,88.3667,92.9933,88.3667,92.6067,91.9452,18358515
2025-05-06,93.2,93.6,89.4667,90.3133,89.6683,15873267
2025-05-07,87.3333,95.2933,87.08,94.9733,94.295,41575503
2025-05-08,96,98.2,93.34,94.3133,93.6397,58000560
2025-05-09,91.3333,95.2933,90.9467,91.8933,91.237,32624419
2025-05-12,95.6667,97.3333,92.7333,96.7067,96.0159,39048681
2025-05-13,96.3667,96.8267,94.4067,94.9667,94.2883,14950111
2025-05-14,95.3333,95.8733,93.2067,94.06,93.3881,13084842
2025-05-15,94.4,96.3933,94.12,95.7933,95.1091,15295747
2025-05-16,96.1267,98.2333,95.6733,98.0267,97.3265,15832765
2025-05-19,98.5,99.9933,97.8067,98.4267,97.7236,18345486
2025-05-20,99.2533,99.2667,97.0533,97.2867,96.5918,19353394
2025-05-21,97.7333,98.9867,97.1,98.8267,98.1208,12889834
2025-05-22,98,99.2667,96.8333,98.8,98.0943,15487942
2025-05-23,98.6733,99.2533,97.2067,98.82,98.1141,20196588
2025-05-26,98.8333,101.0533,98.82,99.9933,99.2791,18707139
2025-05-27,101.5,102.2067,98.0467,98.8867,98.1803,39306147
2025-05-28,99.38,99.8267,98.2333,99.1333,98.4252,20803096
2025-05-29,100.6667,102.4533,98.0267,101.3933,100.6691,52550901
2025-05-30,103.3333,105.7733,101.7,102.08,101.3509,77430208
2025-06-02,102.6,102.8333,100.3333,100.6267,99.9079,24675474
2025-06-03,100.5333,101.7733,99.94,100.2733,99.5571,14172043
2025-06-04,100.2733,102.6333,100.1133,101.8067,101.0795,20919648
2025-06-05,102.6667,104.6,102.2,103.7533,103.0122,20085477
2025-06-06,103.8933,105.6467,103.1533,104.9933,104.2434,14573961
2025-06-09,105.4667,107.5667,105.4333,107.3333,106.5667,21832009
2025-06-10,107.8933,108.1667,105.6667,105.8867,105.1303,16479480
2025-06-11,106,106.7,104.4733,106.38,105.6201,13470111
2025-06-12,106.2733,106.3,103,103.4933,102.7541,13840854
2025-06-13,100,102.84,100,102.6733,101.94,9716179
2025-06-16,102.3133,102.9133,100.32,102.12,101.3906,15588451
2025-06-17,102.12,102.3133,100.2533,100.5333,99.8152,16860490
2025-06-18,100.1333,101.7867,99.4333,99.8733,99.16,9407610
2025-06-19,99.1,101.3867,98.2667,98.4933,97.7898,15789631
2025-06-20,98,100.8,97.5133,100.1333,99.4181,28915708
2025-06-23,98.3333,99.2667,96.7867,98.7,98.2239,21541980
2025-06-24,100.64,103.0533,100.0667,100.9667,100.4796,20919358
2025-06-25,101.34,103.4,100.9067,102.24,101.7468,18785613
2025-06-26,102.7467,103.1867,101.3333,102.9267,102.4302,15513201
2025-06-27,103.42,104.3267,102.2733,102.7533,102.2577,31792290
2025-06-30,103.4667,103.6333,101.7,103.22,102.7221,9059988
2025-07-01,103.2267,103.4533,101.3267,101.4333,100.944,8339743
2025-07-02,101.4,102.3267,100.7,101.9467,101.4549,10867662
2025-07-03,102.4533,104.1333,102.2467,102.8533,102.3572,14066409
2025-07-04,102.8533,103.22,101.7467,102.6,102.1051,5751045
2025-07-07,102.3333,103.9867,102.0467,103.4933,102.9941,13209805
2025-07-08,103.4933,103.8067,101.3333,102.6933,102.198,15747742
2025-07-09,102.6933,103.8733,102.3333,103.28,102.7818,11630878
2025-07-10,104,104,101.96,102.3533,101.8596,15224410
2025-07-11,102.2667,102.9933,100,100.5,100.0152,9892551
2025-07-14,101.2,102.48,100.5333,101.4933,101.0038,18965572
2025-07-15,102.6267,105.9467,102.24,104.0067,103.505,24891183
2025-07-16,104,104.2467,102.2933,102.7867,102.2908,9407277
2025-07-17,102.6867,103.6333,102.44,102.58,102.0852,7232913
2025-07-18,102.64,103.59,100.8,100.97,100.4829,12755135
2025-07-21,101,101.51,99.9,100.81,100.3237,12592541
2025-07-22,101,101.27,97.1,97.24,96.7709,13022343
2025-07-23,97.7,99.1,96.98,98.83,98.3533,16250471
2025-07-24,99.11,103.75,99.1,103.05,102.5529,34498069
2025-07-25,103.28,103.47,100,100.34,99.856,11999734
2025-07-28,100.65,102.32,100.65,101.88,101.3885,16642565
2025-07-29,101.88,102.69,101,102.59,102.0951,5756095
2025-07-30,102.69,102.8,98.45,98.92,98.4428,16070296
2025-07-31,96.89,98.5,95.55,97.17,96.7013,17246210
2025-08-01,97.17,97.99,95.31,95.54,95.0791,6424969
2025-08-04,95.55,98.5,95.06,98.3,97.8258,9078395
2025-08-05,98.5,99.08,96.46,97.38,96.9103,9072134
2025-08-06,97.6,97.8,94.77,95.35,94.8901,11149228
2025-08-07,94.49,94.76,92.56,94.12,93.666,24236301
2025-08-08,94.12,94.54,91,91.45,91.0089,9884650
2025-08-11,91.51,91.83,89.7,90.77,90.3321,19734988
2025-08-12,91.31,91.75,90.1,90.27,89.8346,7712576
2025-08-13,91,94.59,89.86,93.39,92.9395,27152026
2025-08-14,93,93.89,91.62,93.1,92.6509,14771758
2025-08-18,93.8,95.77,93.15,94.08,93.6262,14834715
2025-08-19,94.1,99.85,93.9,99.4,98.9205,30083383
2025-08-20,99.69,99.69,97.68,97.97,97.4974,14042238
2025-08-21,98.5,98.89,97.49,97.9,97.4277,10323617
2025-08-22,97.9,98.21,95,95.16,94.701,9583759
2025-08-25,96,96.3,94.4,94.97,94.5119,10376097
2025-08-26,94.7,94.7,92.51,92.96,92.5116,14380291
2025-08-28,93,93.3,91.95,92.11,91.6657,13098197
2025-08-29,92.2,95.07,91.1,92.75,92.3026,28080321
2025-09-01,94.4,96.95,93.42,96.74,96.2733,30257885
2025-09-02,96.74,97.4,95.22,96.47,96.0047,12452715
2025-09-03,96.37,96.89,95.25,96.53,96.0644,12129613
2025-09-04,98.4,98.4,94.12,94.32,93.865,14039109
2025-09-05,94.8,96.1,93.49,94.6,94.1437,19637004
2025-09-08,96.93,99.33,95.09,98.57,98.0945,56299081
2025-09-09,99.1,99.5,97.25,98.82,98.3433,22643077
2025-09-10,99,102.2,98.91,100.6,100.1147,39207033
2025-09-11,100.91,101.95,100.2,100.67,100.1844,19218566
2025-09-12,100.7,105.3,100.57,104.69,104.185,46300257
2025-09-15,105.76,108.07,105.31,107.81,107.2899,44585391
2025-09-16,108.5,110.9,107.22,109.89,109.3599,42750129
2025-09-17,110.5,111.9,108.87,109.34,108.8126,23963434
2025-09-18,109.87,110.08,108.06,108.98,108.4543,16247845
2025-09-19,108.98,110.18,108.56,109.08,108.5538,13983683
2025-09-22,109.08,110.23,108.55,109.95,109.4196,16627782
2025-09-23,109.95,112.38,109.37,112.08,111.5394,33790140
2025-09-24,112.5,112.6,107.5,107.96,107.4392,24814885
2025-09-25,107.75,108.7,105.05,105.38,104.8717,14787443
2025-09-26,105,106.01,103.26,105.66,105.1503,24534407
2025-09-29,106,107.3,105.46,106.88,106.3644,26556235
2025-09-30,106.69,107.16,104.54,105.65,105.1404,22843513
2025-10-01,105.6,106.61,105.12,106,105.4887,7448493
2025-10-03,105.99,107.11,105.56,106.67,106.1554,8086392
2025-10-06,107,107.4,105.95,106.22,105.7076,7260072
2025-10-07,105.9,106.75,103.54,104.12,103.6178,18966822
2025-10-08,104.7,104.95,101.22,101.64,101.1497,11890467
2025-10-09,101.28,103.75,101.01,103.44,102.941,13623431
2025-10-10,103.11,104.9,102.82,104.1,103.5978,9724654
2025-10-13,103,104.5,102.03,104.1,103.5978,16216577
2025-10-14,104,105.34,102.8,105.05,104.5433,24973101
2025-10-15,105,105.9,103.9,104.78,104.2746,13717505
2025-10-16,104.9,108.55,104.69,107.27,106.7525,18610741
2025-10-17,106.69,106.87,103.83,104.7,104.1949,14290399
2025-10-20,104.7,106.03,104.66,105.77,105.2598,5352437
2025-10-21,106.61,106.61,105,105.37,104.8617,1768861
2025-10-23,106.9,109.65,106.41,107.31,106.7924,30104528
2025-10-24,107.31,107.47,104.93,106.25,105.7375,11030911
2025-10-27,106.75,107.27,106.1,106.93,106.4142,8676084
2025-10-28,106.93,107.72,106.11,106.98,106.464,7582607
2025-10-29,107,108.25,105.15,107.73,107.2103,12702765
2025-10-30,108.8,108.8,106.16,106.88,106.3644,9808066
2025-10-31,106.91,107.7,105.17,105.39,104.8816,5215003
2025-11-03,105.4,106.1,103.82,105.57,105.0608,9823455
