date,open,high,low,close,adj_close,volume
2025-03-03,2132.3501,2160.7,2114.45,2146.3,2102.5725,292700
2025-03-04,2143.25,2158.75,2118.8999,2151.75,2107.9114,618729
2025-03-05,2151.75,2164.95,2107.1001,2125.8999,2082.5879,521020
2025-03-06,2144.8,2186.1499,2132.25,2176.8501,2132.5002,810783
2025-03-07,2165.25,2185.5,2150.25,2179.45,2135.0471,472598
2025-03-10,2169.45,2229.5,2168.1001,2184.6001,2140.0923,602812
2025-03-11,2174.3999,2196.8,2154.8501,2184.6001,2140.0923,369344
2025-03-12,2205,2217,2182.3,2209,2163.9951,400262
2025-03-13,2204.95,2204.95,2155.55,2196.3501,2151.6028,448206
2025-03-17,2232,2308,2232,2290.2,2243.5408,1684308
2025-03-18,2290.2,2290.2,2290.2,2290.2,2243.5408,0
2025-03-19,2335,2424,2312.5,2416.45,2367.2188,1242059
2025-03-20,2425.3501,2435.3999,2368,2374.75,2326.3682,1048487
2025-03-21,2395,2400,2341.8999,2356.6001,2308.5881,917706
2025-03-24,2375,2386,2346.6001,2352.55,2304.6206,503852
2025-03-25,2388.1001,2388.1001,2313,2345.45,2297.665,463040
2025-03-26,2355.3999,2367.2,2299.95,2313.55,2266.4153,329877
2025-03-27,2313.5,2357.8999,2299,2337.8999,2290.269,1195890
2025-03-28,2360,2400.95,2332.05,2382.8999,2334.3521,972236
2025-04-01,2382.8999,2389.75,2326.45,2338.8,2291.1506,525365
2025-04-02,2338.8,2356.25,2309,2342.8,2295.0691,541167
2025-04-03,2325,2393.7,2310.25,2370.25,2321.96,737548
2025-04-04,2367,2374.25,2335.5,2348.3,2300.4573,308590
2025-04-07,2150,2307.8501,2150,2254.3,2208.3723,679275
2025-04-08,2314.05,2323.95,2246.2,2292.6499,2245.9409,881984
2025-04-09,2307.55,2307.55,2011.25,2139.95,2096.3521,5887072
2025-04-11,2099.1499,2103.8,1965,2017,1975.9067,3912506
2025-04-15,2045,2060,2005.5,2051,2009.2141,1955402
2025-04-16,2060,2090,2042.1,2080.7,2038.3091,947851
2025-04-17,2081,2136,2080.8999,2111.6001,2068.5796,1289031
2025-04-21,2134.8999,2211,2134.8999,2203.6001,2158.7051,1434482
2025-04-22,2240,2304,2227,2272.7,2226.3975,1302934
2025-04-23,2280,2286.8999,2174.3,2191.3999,2146.7537,1113969
2025-04-24,2208.8999,2222.7,2145,2150.5,2106.687,809887
2025-04-25,2150,2166.8,2076,2093.2,2075.6494,704651
2025-04-28,2094,2138,2055.8,2133.3999,2115.5122,667666
2025-04-29,2133.5,2162.5,2121.8,2152.3,2134.2539,479766
2025-04-30,2155,2189.8,2147.3,2169.8999,2151.7063,455012
2025-05-02,2169.1001,2177.8999,2126.6001,2169.3999,2151.2104,642076
2025-05-05,2181.3,2222.2,2172,2203.6001,2185.1238,351108
2025-05-06,2221.3999,2255.3999,2212.2,2248.2,2229.3496,723267
2025-05-07,2225,2340.6001,2221.7,2308.3999,2289.0449,1555943
2025-05-08,2306.1001,2315.5,2203.1001,2221.8999,2203.2703,695573
2025-05-09,2145,2236.3,2145,2229.6001,2210.9058,434822
2025-05-12,2264.8999,2299,2235.1001,2256.3999,2237.481,428237
2025-05-13,2256.3999,2266.2,2200,2216.5,2197.9155,1064119
2025-05-14,2224.5,2269.5,2211.3999,2259.8999,2240.9517,381840
2025-05-15,2275,2275,2085,2104.1001,2086.458,5206760
2025-05-16,2125,2126.5,2080.6001,2104.8,2087.1521,1618006
2025-05-19,2095,2103,2083.5,2085.1001,2067.6174,882488
2025-05-20,2090,2094,2027,2030.7,2013.6733,1077938
2025-05-21,2031.7,2092.6001,2028.1,2089.6001,2072.0796,839425
2025-05-22,2094,2112,2059,2096.5,2078.9216,854820
2025-05-23,2097,2108,2080,2090,2072.4763,252058
2025-05-26,2088.8999,2115,2083,2095,2077.4343,386078
2025-05-27,2096,2108,2059,2062.6001,2045.306,460653
2025-05-28,2068.8999,2106,2060,2092.3999,2074.856,603063
2025-05-29,2094,2101.7,2058.5,2065.2,2047.8842,436101
2025-05-30,2073,2243,2068,2215.3999,2196.8247,4946342
2025-06-02,2208,2229.5,2189.3999,2222.3,2203.667,550551
2025-06-03,2215,2250,2211,2234.3999,2215.6653,523617
2025-06-04,2234.3,2289.8999,2222.8,2272.3,2253.2478,773777
2025-06-05,2272.3,2307.8,2267.6001,2294.6001,2275.3608,323620
2025-06-06,2303.8999,2470,2283,2446.2,2425.6897,2308405
2025-06-09,2475,2548,2461.1001,2539.8999,2518.604,1858820
2025-06-10,2535,2572.8999,2525,2553.6001,2532.1892,747211
2025-06-11,2555.1001,2565,2522.5,2538.6001,2517.3149,397673
2025-06-12,2538.6001,2598,2530.1001,2555,2533.5774,761780
2025-06-13,2510.6001,2606,2502.3999,2598.7,2576.9109,1003551
2025-06-16,2603,2645.2,2597,2633.3,2611.2209,904097
2025-06-17,2620,2654.8,2592.6001,2645.7,2623.5168,817018
2025-06-18,2618,2652.1001,2618,2634.3999,2612.3115,356587
2025-06-19,2631,2669.8999,2625.5,2637.1001,2614.989,842436
2025-06-20,2630,2639,2581,2606.3999,2584.5464,635147
2025-06-23,2585,2633.5,2576,2601.7,2579.8857,412498
2025-06-24,2632,2634.6001,2530.5,2566,2544.4851,797919
2025-06-25,2580,2590,2534.1001,2574,2552.418,434487
2025-06-26,2574,2593.7,2543.2,2583.2,2561.5408,479575
2025-06-27,2578,2589.2,2516,2570.7,2549.1458,1837904
2025-06-30,2570.7,2657,2565.7,2623.8999,2601.8997,618395
2025-07-01,2625,2648.5,2587.1001,2641.8999,2619.7488,459021
2025-07-02,2645,2660,2605.1001,2625.3999,2603.387,357095
2025-07-03,2623,2658,2617,2635.1001,2613.0059,383639
2025-07-04,2640,2670,2616.1001,2662.8,2640.4736,284105
2025-07-07,2662.8,2691.6001,2645.8,2660.6001,2638.292,489509
2025-07-08,2660,2671.8999,2628.3999,2649.8,2627.5825,464677
2025-07-09,2660,2661.8999,2625,2645.6001,2623.4177,402766
2025-07-10,2651,2660.8,2620.2,2644.8,2622.6245,231200
2025-07-11,2648.8999,2656.5,2588.2,2640.6001,2618.4597,391105
2025-07-14,2663.8999,2682.3999,2614.2,2665.3999,2643.0515,393965
2025-07-15,2660,2677.1001,2638.6001,2655.5,2633.2346,309635
2025-07-16,2655.1001,2655.1001,2632.7,2650.2,2627.979,245451
2025-07-17,2653,2664,2627.2,2660,2637.697,220480
