date,open,high,low,close,adj_close,volume
2025-03-03,311.3,317.8,307.7,314.4,303.0424,9779703
2025-03-04,311.3,314.9,308,313.75,302.4159,8734999
2025-03-05,313.55,327.3,313.5,326.2,314.4161,10493615
2025-03-06,329,338.8,323.2,337.9,325.6934,26294903
2025-03-07,335.85,338.75,328.7,329.55,317.6451,8992315
2025-03-10,329.45,334.95,326.3,329.4,317.5005,11383132
2025-03-11,327,333.25,323.7,330.3,318.368,10299324
2025-03-12,331,334.8,326.4,330.15,318.2234,6984859
2025-03-13,332,334.55,328.45,331.9,319.9102,8965150
2025-03-17,332.95,334.5,330.5,331.65,319.6692,4353561
2025-03-18,331.65,331.65,331.65,331.65,319.6692,0
2025-03-19,339,343.9,336.35,341.3,328.9706,30582397
2025-03-20,344.7,344.7,340.3,341.75,329.4044,15002119
2025-03-21,342,353.85,341.75,351.3,338.6094,36406837
2025-03-24,357,368,353.65,366.95,353.694,24588471
2025-03-25,369,371.45,364.15,366.95,353.694,23189083
2025-03-26,366.95,369,353.3,354.65,341.8383,18668095
2025-03-27,353.9,364.45,351,360.65,347.6216,37930538
2025-03-28,362,364.3,356.45,357.6,344.6818,11327077
2025-04-01,352.35,362.9,350.85,352.15,339.4287,18736320
2025-04-02,352.15,353.45,347.05,351.75,339.0431,13593404
2025-04-03,351.75,361.35,351.75,358.9,345.9348,10317410
2025-04-04,358.85,358.85,348.55,350.4,337.7419,10872963
2025-04-07,328,351.4,324,349.8,337.1636,18025165
2025-04-08,356.85,358.25,350,352.95,340.1998,17506712
2025-04-09,354,354.8,348.2,349.35,336.7299,7462119
2025-04-11,351,361.5,351,360.1,347.0915,11246077
2025-04-15,367,368.45,361.55,362.5,349.4048,17497327
2025-04-16,362.5,363,357.9,359.3,346.3203,11541484
2025-04-17,359.25,365.45,357.25,364,350.8506,12288196
2025-04-21,365.8,368.2,361.8,364.55,351.3807,7375594
2025-04-22,367.05,367.05,359.7,360.25,347.2361,12077119
2025-04-23,362.95,364.25,357.9,363.8,350.6578,9719205
2025-04-24,363.75,366.45,361.6,363.2,350.0795,7491123
2025-04-25,363.2,365.8,351.1,356.45,343.5733,9785640
2025-04-28,353.7,362.9,353.7,361.5,348.4409,5315840
2025-04-29,364,364.35,354.1,356.95,344.0553,9472828
2025-04-30,357,361,352,354.55,341.7419,16739088
2025-05-02,354.55,358,347.6,348.7,336.1033,8221620
2025-05-05,351,352,345.55,348.6,336.0069,9492646
2025-05-06,349,349.5,340,341.8,329.4525,8904223
2025-05-07,338,343.7,337,342.05,329.6935,8465490
2025-05-08,341.05,343.1,338.4,340,327.7176,14286109
2025-05-09,334.2,338.75,330.6,334.75,322.6573,11322011
2025-05-12,340.4,349.2,338.1,348.55,335.9587,7978210
2025-05-13,348.6,349.8,340.5,341.5,329.1635,14738980
2025-05-14,342.45,343.85,337.75,338.55,326.32,22485535
2025-05-15,339.5,343.75,332.65,341.95,329.5971,43307763
2025-05-16,343,347.6,342,343.1,330.7056,6920351
2025-05-19,343.1,347.7,342.4,345.15,332.6815,6218209
2025-05-20,346.9,349.7,341.55,342.6,330.2237,9986143
2025-05-21,342.55,347.4,339.85,346.15,333.6454,5930972
2025-05-22,346.15,347,338.25,341.4,329.067,8717514
2025-05-23,342,344.95,340.15,344.6,332.1514,4045937
2025-05-26,351,351.2,342.55,343.5,331.0912,16655082
2025-05-27,344,344.5,336.8,338.55,326.32,24937330
2025-05-28,338.6,340.7,337.1,340.05,327.7657,10985957
2025-05-29,341,342.25,338.05,339.35,327.0911,15884093
2025-05-30,337.5,340.75,332.85,333.9,321.838,19143010
2025-06-02,333.9,334.8,330.3,332.55,320.5367,29479727
2025-06-03,333,334.75,327,328.25,316.3921,14081719
2025-06-04,329,329.95,324.85,329.25,317.3559,15654279
2025-06-05,329.2,331.6,327.6,328.65,316.7776,16270360
2025-06-06,329.65,333.5,329.05,332.85,320.8259,11402511
2025-06-09,333.9,337.55,332.75,337.1,324.9224,19416373
2025-06-10,338.8,340.9,336.8,339.2,326.9465,12061248
2025-06-11,341,342.6,337.45,338.1,325.8862,10807496
2025-06-12,338.15,341.65,332.65,333.7,321.6452,11881618
2025-06-13,326.8,332.9,326.6,331.95,319.9584,11711773
2025-06-16,332,334.65,330.6,333.7,321.6452,8065112
2025-06-17,334,336.9,333.1,335.2,323.091,6796992
2025-06-18,335.2,335.9,330.75,332.4,320.3921,17835507
2025-06-19,332.4,333.15,328.55,330.05,318.127,11610604
2025-06-20,330,336,329.7,335.2,323.091,16592862
2025-06-23,333.7,335.7,330.35,332.6,320.5849,8277787
2025-06-24,331,331.7,321.35,329.95,318.0306,100814893
2025-06-25,331.5,333.7,329.4,330.85,318.8982,17963666
2025-06-26,332.4,337.8,331.3,337.15,324.9706,13754087
2025-06-27,338.95,341.3,334.45,338.3,326.079,50845169
2025-06-30,335.75,337.25,333.65,334.9,322.8018,11858890
2025-07-01,335.25,335.25,332.15,332.6,320.5849,8903292
2025-07-02,332.65,335.65,331.3,333.75,321.6934,11326880
2025-07-03,334.6,336.35,331,334.6,322.5127,15786429
2025-07-04,335.7,336,332.25,335.5,323.3802,5899185
2025-07-07,335.5,339,333.75,337.45,325.2597,9454556
2025-07-08,338.2,343.9,337,343.2,330.802,12092302
2025-07-09,343.25,345.6,342.8,344,331.5731,9079872
2025-07-10,344,345,341.2,341.45,329.1152,6426072
2025-07-11,340.5,344,339.5,342.7,330.3201,17234194
2025-07-14,343.05,345,339.95,342.1,329.7418,11516965
2025-07-15,343.15,344.1,340.95,342,329.6454,8450777
2025-07-16,342,343.8,340.8,342.45,330.0791,6001484
2025-07-17,344.2,344.5,342,342.65,330.2719,7562006
2025-07-18,343,343.9,340.65,342.1,329.7418,6370338
2025-07-21,342.1,342.8,339.3,341.55,329.2116,4463318
2025-07-22,341.55,342.6,340.05,340.85,328.5369,4728372
2025-07-23,341.8,344,340.95,343.05,330.6574,5058422
2025-07-24,343.6,343.6,336.5,338.9,326.6573,9098453
2025-07-25,338.9,339.9,332.55,333.2,321.1632,7790739
2025-07-28,333.45,336.6,330.35,332.95,320.9223,4605823
2025-07-29,332,335.5,328.5,334.6,322.5127,7551356
2025-07-30,335,342.3,332.5,338.8,326.5609,12537358
2025-07-31,336.05,340.1,333,334.25,322.1753,8935384
2025-08-01,333,334.75,330.2,330.9,318.9464,7107542
