date,open,high,low,close,adj_close,volume
2025-03-03,367.6,382,363.5,379.7,353.7339,11923586
2025-03-04,374.8,386.9,371.5,383.3,357.0877,9721898
2025-03-05,381.5,398,381.5,395.75,368.6863,10048929
2025-03-06,405,408.8,400.1,405.75,378.0025,7589546
2025-03-07,404.5,408,398,401.1,373.6705,8363854
2025-03-10,400.5,407,393,394.25,367.289,7710492
2025-03-11,388,401.65,384.7,399.4,372.0868,5838218
2025-03-12,402,403.85,388.9,396.1,369.0125,6139396
2025-03-13,397.05,399,387.8,388.35,361.7924,7418570
2025-03-17,388.35,396.35,386.35,389.7,363.0501,6963936
2025-03-18,389.7,389.7,389.7,389.7,363.0501,0
2025-03-19,400.95,405.8,398.7,403.9,379.6891,6805771
2025-03-20,406,410.95,398.1,402.35,378.2321,5519039
2025-03-21,401,410.95,400,407.8,383.3553,7418546
2025-03-24,411.7,428.4,411.1,425.5,399.9944,11643524
2025-03-25,430,432.85,417,419.25,394.119,7814328
2025-03-26,422,423.4,408.65,410.5,385.8935,5336807
2025-03-27,410,423.25,409.1,421,395.7641,7153843
2025-03-28,420.95,428.45,412.6,414.25,389.4187,8470283
2025-04-01,410,417.7,401.7,404.7,380.4412,6298784
2025-04-02,408,416.45,398.9,415.85,390.9228,6384707
2025-04-03,410,424.35,410,421.35,396.0931,5378877
2025-04-04,421,422.65,403.45,406.85,382.4623,6089301
2025-04-07,374,396.7,371.9,395.05,371.3696,11041175
2025-04-08,400,413.3,395.1,398.55,374.6598,12900567
2025-04-09,399.9,399.9,389,393.85,370.2415,6339983
2025-04-11,401,405.35,398.1,400.75,376.728,5867624
2025-04-15,411.2,427,407.7,425.55,400.0413,9433755
2025-04-16,426,430.4,420.5,423.8,398.3962,5962450
2025-04-17,423,426.5,417,423.7,398.3023,6171410
2025-04-21,425,438.9,424.1,436.25,410.0999,7625622
2025-04-22,436.25,444.1,430.55,438.15,411.886,8222555
2025-04-23,439.7,441,423.5,433.1,407.1388,7558664
2025-04-24,432.55,436.45,428.45,434.2,408.1729,6093751
2025-04-25,434,436.7,410.75,415.05,390.1707,8782826
2025-04-28,415.05,425.6,412.3,419.55,394.401,6646961
2025-04-29,420.65,427.9,412.9,413.5,388.7137,5520460
2025-04-30,413.5,415.15,405,407.4,382.9793,5430500
2025-05-02,407,416.5,403.7,404.7,380.4412,5838633
2025-05-05,410.2,413.75,407,410.4,385.7995,3849153
2025-05-06,410.4,411.9,393.4,395.4,371.6986,5473528
2025-05-07,393.4,405.7,392.2,404.3,380.0651,5827411
2025-05-08,405.5,409.6,387,390.3,366.9043,8406346
2025-05-09,387.4,391.65,381.1,385.9,362.7681,8952332
2025-05-12,401,415,400,413.95,389.1367,6534063
2025-05-13,412,416.3,409.05,412.35,387.6326,5902455
2025-05-14,413.25,419.75,403.15,405.5,381.1932,12063302
2025-05-15,405.3,408.95,401.55,407.1,382.6973,9174908
2025-05-16,408,423.2,407.5,417.75,392.709,13040115
2025-05-19,419,424.5,418,419.2,394.072,6144525
2025-05-20,420.2,422.5,405.05,406.25,381.8983,7787229
2025-05-21,407,420.95,401.75,412.7,387.9616,16780984
2025-05-22,413,413.8,403,406.6,382.2272,11486658
2025-05-23,407.1,409.7,402.5,405.8,381.4752,6801449
2025-05-26,408,414.55,407.2,412.5,387.7737,4774997
2025-05-27,412.35,414.6,408.3,413.1,388.3376,5189625
2025-05-28,413.1,417.75,410.3,411.75,387.0686,3574669
2025-05-29,414,415.05,408.5,413.5,388.7137,3763771
2025-05-30,412,415.9,404.5,405.95,381.6162,10039873
2025-06-02,406,411.7,404.1,409.35,384.8125,4041431
2025-06-03,410,415.7,405,407.25,382.8383,4671387
2025-06-04,408,409.9,402.25,404.8,380.5352,4366667
2025-06-05,407,411.85,406.5,407.9,383.4494,3695619
2025-06-06,407.9,421.5,404.2,418.4,393.32,11031104
2025-06-09,422.9,432.6,421.3,431,405.1646,9586201
2025-06-10,434.55,434.55,427.7,431.45,405.5877,4964863
2025-06-11,431.45,436.2,425.45,428.65,402.9555,4662364
2025-06-12,427,429.2,413.75,415.75,390.8288,7636464
2025-06-13,401,408.05,401,406.45,383.9796,7340189
2025-06-16,406.65,408.25,397.2,406.55,384.0741,4875821
2025-06-17,406.55,411.55,402.2,403.1,380.8148,4437622
2025-06-18,403,406,394.2,397.05,375.0992,4637176
2025-06-19,395.3,398.85,388.6,390.35,368.7697,5562987
2025-06-20,398.5,415,397.35,409.05,386.4359,40786410
2025-06-23,404.3,414.2,403.5,410.9,388.1836,5128511
2025-06-24,417,420.8,412.9,413.7,390.8288,5682297
2025-06-25,417.95,417.95,410.55,412.9,390.073,5208380
2025-06-26,415,421,413.6,420.25,397.0167,4936949
2025-06-27,424,427.8,419.35,421.55,398.2448,5893639
2025-06-30,424.4,429.9,422.3,427.4,403.7714,8309295
2025-07-01,429.65,429.65,418.15,423.65,400.2287,5986456
2025-07-02,423,425.15,416.5,418.4,395.269,5958682
2025-07-03,419.5,422.45,414.85,415.45,392.4821,4471741
2025-07-04,415.7,419.65,412.2,413.25,390.4036,4544818
2025-07-07,413.65,414.7,409.75,411.5,388.7504,3269596
2025-07-08,411.5,420.95,411.05,419.8,396.5916,4918959
2025-07-09,420,421.8,415.3,417.75,394.6549,3945567
2025-07-10,425.75,432.45,422.3,429.45,405.7081,26178377
2025-07-11,431.8,438.35,427.7,430.95,407.1252,14700458
2025-07-14,429.85,432,421.1,425.2,401.693,4986863
2025-07-15,425.2,430.45,423.7,425.1,401.5986,3974226
2025-07-16,425,426.9,421.65,423.75,400.3232,3701435
2025-07-17,423.75,424.85,420.25,424.1,400.6538,4052726
2025-07-18,424.1,426.85,418.1,420.45,397.2056,5218834
2025-07-21,419.05,420.6,414.25,419.8,396.5916,4051980
2025-07-22,420.2,423.7,414.15,414.7,391.7735,3407343
2025-07-23,416.75,420,411.3,419.15,395.9775,3652329
2025-07-24,419.15,423.35,416.25,422.15,398.8117,2781973
2025-07-25,422.15,423.4,413.7,415.1,392.1514,4213376
2025-07-28,414.85,417,404.4,405.15,382.7515,3493261
2025-07-29,403,411.5,401.35,410.6,387.9002,4343591
2025-07-30,410.7,414.2,408.6,411.9,389.1283,2147122
