date,open,high,low,close,adj_close,volume
2025-03-03,1328.95,1348.45,1311.1,1340.65,1321.9932,650858
2025-03-04,1336,1354.15,1321.225,1349.325,1330.5474,698790
2025-03-05,1346.3,1369.05,1338.7,1346.475,1327.7371,1466732
2025-03-06,1353.575,1376,1353.575,1369.025,1349.9733,1148818
2025-03-07,1366.5,1382.875,1362.6,1375.6,1356.4568,869066
2025-03-10,1375.6,1393.325,1360,1366.25,1347.2368,622806
2025-03-11,1348.675,1369.375,1348.675,1361.15,1342.2079,809256
2025-03-12,1366.5,1380.975,1358.325,1374.65,1355.52,711330
2025-03-13,1375.2,1381.625,1360.45,1364.95,1345.955,698834
2025-03-17,1374.675,1380.95,1363.425,1374.45,1355.3226,313582
2025-03-18,1374.45,1374.45,1374.45,1374.45,1355.3226,0
2025-03-19,1375,1379.5,1363.375,1365.925,1346.9164,484702
2025-03-20,1372,1386.925,1362.975,1379.55,1360.3519,629482
2025-03-21,1381.6,1417.55,1381.25,1412.75,1393.0898,1400382
2025-03-24,1420,1423.4,1399.225,1411,1391.364,621916
2025-03-25,1412.4,1431.675,1403,1411.525,1391.8818,656850
2025-03-26,1414.875,1462,1405.025,1422.7,1402.9012,1257594
2025-03-27,1410.325,1437.5,1396.475,1433.25,1413.3044,863174
2025-03-28,1435.225,1442,1419.2,1424.65,1404.8241,480582
2025-04-01,1424.65,1437.475,1410.5,1413.275,1393.6074,254152
2025-04-02,1414.5,1433,1407.8,1425.475,1405.6376,420010
2025-04-03,1410.525,1433.925,1410.525,1430.75,1410.8394,358204
2025-04-04,1432.5,1452,1425.75,1446,1425.8771,892998
2025-04-07,1406.5,1430.5,1393.95,1424.375,1404.553,745674
2025-04-08,1425,1473.5,1425,1465.475,1445.0811,1124760
2025-04-09,1465.475,1486.85,1456.675,1469.9,1449.4445,673890
2025-04-11,1497.5,1497.5,1459.5,1476.3,1455.7554,477280
2025-04-15,1495,1498.5,1471.5,1495.8,1474.9841,690116
2025-04-16,1495.5,1515.5,1489.6,1513.25,1492.1912,355040
2025-04-17,1513.25,1526.65,1504.05,1517.15,1496.037,569676
2025-04-21,1517.15,1526,1498.05,1509.65,1488.6412,506584
2025-04-22,1509.65,1532.4,1509.65,1514.4,1493.3252,453234
2025-04-23,1515,1536,1511.4,1533.45,1512.11,439056
2025-04-24,1533.45,1544.3,1521.7,1538.2,1516.7939,600064
2025-04-25,1532.5,1547.4,1492.5,1505.6,1484.6476,478964
2025-04-28,1495.75,1525.7,1495.75,1521.4,1500.2278,596422
2025-04-29,1520.4,1534.15,1496.3,1502.5,1481.5908,508120
2025-04-30,1503.45,1521.85,1494.15,1516.95,1495.8397,972970
2025-05-02,1503,1518.1,1495,1499,1478.1395,414198
2025-05-05,1500.5,1539.05,1500.3,1517.25,1496.1355,429738
2025-05-06,1513.5,1522.2,1489.95,1502.3,1481.3937,283260
2025-05-07,1477,1495.65,1475.8,1487.65,1466.9475,498920
2025-05-08,1493.95,1497,1470.05,1478.75,1458.1714,746278
2025-05-09,1467.5,1516.15,1466,1490,1469.2646,967480
2025-05-12,1520,1542.75,1512.5,1538.25,1516.8433,731304
