date,open,high,low,close,adj_close,volume
2025-03-03,365.05,380.55,360.1,377.8,349.9153,12981608
2025-03-04,373.5,391.55,366,386.9,358.3437,11737034
2025-03-05,386,404,385.1,402.2,372.5145,9788815
2025-03-06,409,418.1,408,413.15,382.6563,11770195
2025-03-07,412.1,415,403.6,406.2,376.2192,7026343
2025-03-10,406.2,413.2,392.55,394.2,365.1049,7602276
2025-03-11,388.9,405,384,402.6,372.8849,7841686
2025-03-12,404.15,406.25,394,402.2,372.5145,5810339
2025-03-13,404.3,411.8,402.05,406.65,376.636,7901302
2025-03-17,411,414.9,407.05,412.9,382.4247,5584100
2025-03-18,412.9,412.9,412.9,412.9,382.4247,0
2025-03-19,425,430.8,421.5,429.5,397.7995,8219861
2025-03-20,433.8,436.8,424.5,429.05,397.3826,5413493
2025-03-21,429.5,435.85,424.6,428.95,397.29,9605751
2025-03-24,433,447.25,432.1,444.45,411.646,10013355
2025-03-25,449,450,440,442.75,410.0715,15383870
2025-03-26,439.25,443.25,424.1,425.6,397.4188,10098135
2025-03-27,425.6,439.9,423.7,433.4,404.7023,8843621
2025-03-28,433.9,440,427,429.2,400.7804,4744923
2025-04-01,425.85,432.35,415.05,416.9,389.2948,5586002
2025-04-02,419.95,425.6,409.5,424.55,396.4382,7091444
2025-04-03,419,431.55,417,425.45,397.2786,7494342
2025-04-04,424.95,425,401.1,403.4,376.6888,9757931
2025-04-07,367.95,387,366.55,384.35,358.9001,20170600
2025-04-08,390,402.35,389.75,395.85,369.6386,8299658
2025-04-09,395.7,397,384.5,389.45,363.6624,6447517
2025-04-11,404.95,405.7,396.45,402.25,375.6149,9084693
2025-04-15,411,424.75,407.45,423.3,395.271,7317427
2025-04-16,423.6,426.5,420.15,424.8,396.6717,5841975
2025-04-17,424,431.4,421.2,428.6,400.2201,6325350
2025-04-21,432,444.35,427.6,442.6,413.2931,8148218
2025-04-22,444.4,446,436.7,440.4,411.2387,4790660
2025-04-23,440.15,448,429.45,440.8,411.6122,6888145
2025-04-24,438.5,444.9,437,439.95,410.8186,6904893
2025-04-25,440,443.2,419.15,422.2,394.2439,8944833
2025-04-28,424.5,434.2,421.9,433.05,404.3754,4586239
2025-04-29,433.8,441.3,428.1,430.4,401.9009,4863017
