date,open,high,low,close,adj_close,volume
2025-03-03,1432.55,1452.15,1405.1,1408.5,1403.8727,1056418
2025-03-04,1392.2,1415,1390,1393.1,1388.5234,977231
2025-03-05,1391.15,1424,1379.85,1420.7,1416.0327,1118219
2025-03-06,1417.1,1426.4,1395,1421.3,1416.6307,1606815
2025-03-07,1421.35,1446.2,1406.55,1411.6,1409.6404,901496
2025-03-10,1419,1427.75,1404.35,1419.45,1417.4795,1092967
2025-03-11,1403,1424.4,1397.45,1417.25,1415.2826,691907
2025-03-12,1425,1425,1404.5,1409,1407.0441,734156
2025-03-13,1411.7,1413.95,1382.65,1385.55,1383.6266,911321
2025-03-17,1392,1441.3,1392,1434.25,1432.259,1352197
2025-03-18,1434.25,1434.25,1434.25,1434.25,1432.259,0
2025-03-19,1457.95,1488.9,1455,1484.9,1482.8387,917293
2025-03-20,1492,1506.3,1488.5,1498.35,1496.27,798992
2025-03-21,1500,1553.3,1493.45,1546.4,1544.2533,1977397
2025-03-24,1550,1584,1541.7,1569.8,1567.6208,1229003
2025-03-25,1577.65,1583.9,1551.3,1557.2,1555.0382,1241287
2025-03-26,1564.3,1570.3,1533.45,1541.3,1539.1604,1106876
2025-03-27,1541.4,1552.1,1529.65,1544.9,1542.7554,1405775
2025-03-28,1544.9,1564.5,1534.75,1547.85,1545.7013,1120169
2025-04-01,1537.75,1566.4,1535.35,1545.25,1543.1049,937836
2025-04-02,1543,1563.15,1542.3,1559.85,1557.6846,1876774
2025-04-03,1546,1558.9,1540,1542.25,1540.109,373548
2025-04-04,1536.35,1546.9,1501.1,1512.6,1510.5002,826558
2025-04-07,1450,1485.5,1430.55,1460.8,1458.7722,916977
2025-04-08,1490,1498.05,1458.05,1488,1485.9343,2142568
2025-04-09,1488,1499.9,1475,1481.65,1479.5933,1047950
2025-04-11,1539,1539,1500.05,1521.9,1519.7874,1134200
2025-04-15,1555.5,1574.1,1525,1562.6,1560.4308,1363406
2025-04-16,1548.5,1576.8,1548.5,1565.4,1563.2269,784495
2025-04-17,1558,1615,1549.4,1608.2,1605.9674,1500299
2025-04-21,1618,1630.7,1595.3,1628.5,1626.2394,1016066
2025-04-22,1627.8,1639.9,1612.8,1619,1616.7526,1102055
2025-04-23,1625,1625,1601,1615.5,1613.2573,1136215
2025-04-24,1612.9,1636.6,1603,1608.2,1605.9674,857476
2025-04-25,1723.5,1762,1651.1,1695.1,1692.7468,10321746
2025-04-28,1690,1755,1681.4,1736.1,1733.6899,2100813
2025-04-29,1733.9,1764.9,1721,1730.1,1727.6982,2049847
2025-04-30,1722,1772.5,1718.5,1765.8,1763.3488,2031563
2025-05-02,1761,1777.1,1747.6,1762.2,1759.7537,902461
2025-05-05,1773,1787.6,1766.9,1769.9,1767.4431,947983
2025-05-06,1770,1797.8,1717.2,1726,1723.604,1295777
2025-05-07,1714,1756.5,1712.3,1744.5,1742.0782,753313
2025-05-08,1741.3,1744,1721.1,1731.5,1729.0963,1107891
2025-05-09,1706,1728.7,1693.1,1699.8,1697.4404,1076900
2025-05-12,1725,1756.9,1720,1751.5,1749.0686,728808
2025-05-13,1742.7,1756,1732.3,1740,1737.5846,478541
2025-05-14,1741,1760,1737.4,1755.2,1752.7634,603108
2025-05-15,1757.7,1788.4,1737.1,1784.6,1782.1226,1318425
2025-05-16,1790,1790.9,1767.9,1773.4,1770.9382,696146
2025-05-19,1773.1,1781.2,1764.4,1770,1767.5428,288530
2025-05-20,1778.8,1778.8,1753.3,1757.8,1755.3599,529693
2025-05-21,1756.9,1777.9,1751.2,1763.9,1761.4514,521050
2025-05-22,1766.3,1768.7,1741.2,1759.3,1756.8578,1103303
2025-05-23,1765,1806,1759.8,1798.7,1796.203,1067774
2025-05-26,1806,1810.1,1790.1,1801.6,1799.099,633624
2025-05-27,1801.6,1809.6,1794,1803.3,1800.7968,1219984
2025-05-28,1810.6,1814.5,1802.1,1807.4,1804.891,763018
2025-05-29,1807.6,1830,1801.4,1825,1822.4666,1189803
2025-05-30,1825,1833.9,1804.9,1812.2,1809.6843,1364259
2025-06-02,1812.2,1829,1795.6,1802.5,1799.9978,1238769
2025-06-03,1809.8,1814,1770.1,1775.3,1772.8356,1576208
2025-06-04,1775,1779.1,1762.3,1775.9,1773.4347,918721
2025-06-05,1782,1791,1765,1774.8,1772.3363,912222
2025-06-06,1774.8,1783.5,1751.3,1780.6,1778.1282,1589674
2025-06-09,1789.6,1799,1759.1,1790.8,1788.3141,1221496
2025-06-10,1790.9,1796.6,1772,1785.5,1783.0214,1400311
2025-06-11,1785.5,1800.9,1774,1799.3,1796.8022,1089930
2025-06-12,1799.9,1812.3,1760,1766,1763.5485,984693
2025-06-13,1720,1766.5,1720,1755.2,1752.7634,1774169
2025-06-16,1762,1800,1751.9,1797.8,1795.3043,728053
2025-06-17,1796.1,1806.7,1785.4,1800.2,1797.7009,557790
2025-06-18,1800,1805,1791.3,1797.2,1794.7051,349531
2025-06-19,1795,1804.9,1781,1789.4,1786.916,537885
2025-06-20,1787.1,1821,1779.1,1810.9,1808.3861,1669329
2025-06-23,1810,1826.2,1798.6,1818.6,1816.0754,627282
2025-06-24,1832.2,1850.9,1828,1843,1840.4415,876488
2025-06-25,1843,1855,1825,1842.7,1840.142,990856
2025-06-26,1850,1866.4,1842.7,1860.8,1858.2169,1147822
2025-06-27,1848,1862.9,1815.3,1850.6,1848.031,6763121
2025-06-30,1846,1855.1,1826.1,1838.3,1835.7482,1362010
2025-07-01,1831,1865.3,1827.3,1862.5,1859.9146,667136
2025-07-02,1865,1875,1852.1,1856.8,1854.2224,1072946
2025-07-03,1850,1861.8,1803,1810.2,1807.687,916863
2025-07-04,1806,1812.1,1783.1,1799.7,1797.2017,685665
2025-07-07,1799.7,1811.8,1792.2,1808.3,1805.7898,376143
