date,open,high,low,close,adj_close,volume
2025-03-03,690.15,697.4,680,695.3,669.5449,10598479
2025-03-04,693,718.45,692.1,716.05,689.5262,14386214
2025-03-05,717.55,731.3,717,730.35,703.2966,10409805
2025-03-06,736,736.75,727,732.05,704.9336,10928847
2025-03-07,732.05,734.85,728,732.75,705.6077,7246729
2025-03-10,732.75,738.5,726.6,728.9,701.9003,7400109
2025-03-11,724.9,734.05,722.7,729.85,702.8151,5538789
2025-03-12,730.6,737,719.05,723.05,696.267,5547762
2025-03-13,725.9,731.45,724.5,727.85,700.8892,5908337
2025-03-17,728.9,731.25,722.3,723.15,696.3633,5149563
2025-03-18,723.15,723.15,723.15,723.15,696.3633,0
2025-03-19,739.6,749.3,739.1,745.1,717.5002,7604850
2025-03-20,748,752.7,744.2,749.55,721.7853,6963197
2025-03-21,749.95,755.6,747,753.2,725.3002,9577327
2025-03-24,758,782.95,755.1,780.8,751.8778,12095064
2025-03-25,783.9,786,769.2,772.85,744.2223,15190143
2025-03-26,772,776.05,761.45,764,735.7001,7711852
2025-03-27,763.8,775.8,760.5,772.3,743.6927,15648616
2025-03-28,772.1,778.6,767,771.5,742.9224,7628185
2025-04-01,766.8,782.75,763.2,771.7,743.1149,7011125
2025-04-02,772.3,777,764.3,775.95,747.2075,5458436
2025-04-03,770,784.7,769.95,779.2,750.3371,7956680
2025-04-04,779.1,782.9,765,767.45,739.0224,8231194
2025-04-07,730,753.7,730,746.9,719.2336,14923235
2025-04-08,760,774,758.15,768.6,740.1297,12911288
2025-04-09,767,767.95,741,742.2,714.7076,11319387
2025-04-11,759,759.7,746,753.85,725.9261,9360327
2025-04-15,770,770.7,757.1,763.5,735.2186,7859090
2025-04-16,763.5,774.75,760.5,771.75,743.1631,12536694
2025-04-17,772,801,767.15,797.45,767.9111,27034818
2025-04-21,803,824.35,801.4,816.7,786.448,16398507
2025-04-22,821.15,835.5,814,822.4,791.937,25117557
2025-04-23,826,831,810.1,813.45,783.3184,12104382
2025-04-24,812.75,819,811.15,813.4,783.2703,12713521
2025-04-25,815,819,787,798.65,769.0667,13131038
2025-04-28,798.65,822.8,797.4,817.35,787.074,11317611
2025-04-29,820,829,809,812.55,782.4517,11283059
2025-04-30,811.5,811.5,784.5,788.65,759.4371,25635764
2025-05-02,790.35,803.4,789,796.7,767.1888,14720184
2025-05-05,782,799,782,790,760.7371,23986447
2025-05-06,793.95,799.15,771.1,774.1,745.426,18869468
2025-05-07,765.3,782.4,764.55,776.1,747.3519,15586266
2025-05-08,779,786.5,764,769,740.515,14491673
2025-05-09,756.5,781.7,755.5,779.25,750.3853,13578216
2025-05-12,799,803.9,793,801.65,771.9555,15096824
2025-05-13,798.6,807.65,797.2,801.75,772.0518,13909596
2025-05-14,805.75,807.5,796.3,800.7,771.0407,9281719
2025-05-15,804.45,809.45,794.5,807.75,777.8296,17058854
2025-05-16,804,804,791,792.1,778.0751,14733924
2025-05-19,792.1,801.4,792.1,795,780.9238,10666184
2025-05-20,798.15,799.4,783.8,785.65,771.7394,11324667
2025-05-21,787,791,779.1,787.1,773.1636,8206040
2025-05-22,788,788.2,780.3,785.25,771.3464,7355826
2025-05-23,787.9,794.95,786.2,790.5,776.5035,5534158
2025-05-26,792,797.55,789.2,794.4,780.3345,4965466
2025-05-27,794.4,801.35,790.05,793.7,779.6469,11995043
2025-05-28,794.5,798.9,792.65,796.55,782.4464,6873519
2025-05-29,799,800.4,791.35,797.35,783.2322,14034127
2025-05-30,798,814.5,792.6,812.3,797.9175,22037314
2025-06-02,812.85,822.55,809.2,813.65,799.2436,26891575
2025-06-03,816.2,818.4,805.15,809.8,795.4617,14247597
2025-06-04,817,817,805.25,806.5,792.2202,9607927
2025-06-05,808.7,811.7,802.85,806,791.729,13595507
2025-06-06,806.65,816.45,803.1,813.05,798.6542,17163935
2025-06-09,817.4,824.5,815.7,820.05,805.5303,12793040
2025-06-10,821,822.05,814.6,817.05,802.5834,6560513
2025-06-11,817,820.6,813.05,815.05,800.6188,7197825
2025-06-12,816,816.5,801.2,805.95,791.6799,13448521
2025-06-13,786.25,796.3,786.25,792.35,778.3207,11377117
2025-06-16,792.5,795.4,786.15,792.5,778.4681,8085001
2025-06-17,794,798.85,790.55,792.3,778.2716,7753156
2025-06-18,792.5,795.5,788.35,791.9,777.8787,5710169
2025-06-19,792.35,793.25,781.7,785.1,771.199,11824333
2025-06-20,787.5,799.45,786.1,796.15,782.0535,11367669
2025-06-23,790,794.95,788.5,790.2,776.2088,5549253
2025-06-24,799,806.65,793.65,795.4,781.3167,11402190
2025-06-25,799.5,803.8,796.1,800.05,785.8843,6528324
2025-06-26,802,803.35,791.4,797.05,782.9375,24704402
2025-06-27,805,809.45,802.65,805.4,791.1396,19375990
2025-06-30,809,821,807.05,820.35,805.825,19652607
2025-07-01,820,824.9,813.25,820.3,805.7758,11456405
2025-07-02,821,824.05,809,812.9,798.5069,6661200
2025-07-03,813.5,814.5,805.8,807.1,792.8095,7020403
2025-07-04,808.75,813.85,804.1,811.85,797.4754,4319538
2025-07-07,811.2,812.65,805.15,806.85,792.564,4461783
2025-07-08,807.9,813.55,805.35,812.65,798.2613,5935770
2025-07-09,810,812.45,809,810.95,796.5914,4099112
2025-07-10,811.3,815.5,806.9,808,793.6936,12178137
2025-07-11,807.55,812.55,804.55,808.65,794.3322,6202372
2025-07-14,809.8,815.5,808,808.85,794.5286,6938635
2025-07-15,811,821,810.5,816.45,801.994,9297645
2025-07-16,816,834.2,815.3,831.7,816.974,16458920
2025-07-17,838.4,842.5,826.35,829,814.3218,23073718
2025-07-18,832,832.65,820.25,823.35,808.7718,15387801
2025-07-21,823,827.35,817.95,824.2,809.6068,8852594
2025-07-22,827.5,828.05,814,815,800.5697,7851163
2025-07-23,812.5,825.2,811.5,820.65,806.1197,15470390
2025-07-24,820,821.95,810.65,815.7,801.2573,10118309
2025-07-25,815,819.2,805.5,806.55,792.2693,6734439
2025-07-28,806.55,808.95,796,797.15,783.0358,7734158
2025-07-29,796.2,800,793.1,799.2,785.0494,7833759
