date,open,high,low,close,adj_close,volume
2025-03-03,27284,27808.6504,27270,27678.9004,27475.4805,39731
2025-03-04,27362.5,27625.0996,27151.0508,27363.3496,27162.25,74924
2025-03-05,27440,28231.0996,27159.5,28155.4492,27948.5273,30701
2025-03-06,28200,28548,27974.6504,28061.75,27855.5156,22246
2025-03-07,28061.75,28477,27900.0508,27985.1992,27779.5293,15712
2025-03-10,27985.1992,28351,27780.9004,27883.6504,27678.7266,15735
2025-03-11,27581.4492,28190.9004,27581.4492,27937,27731.6836,13576
2025-03-12,28100,28200,27251.0508,27531,27328.668,30641
2025-03-13,27737.5508,27737.5508,27400,27495.1504,27293.0801,17124
2025-03-17,27495.1504,28031.5996,27373.3496,27734.5996,27530.7715,54828
2025-03-18,27734.5996,27734.5996,27734.5996,27734.5996,27530.7715,0
2025-03-19,27850,28691.0996,27755,28527.8496,28318.1914,35602
2025-03-20,28744,28799.9004,28177.6504,28628.8496,28418.4492,25300
2025-03-21,28799,29320,28642.0996,28987.4004,28774.3652,63982
2025-03-24,29050,29644.5996,28931,29442.6504,29226.2676,20004
2025-03-25,29700,30175,29447.9004,29544.0508,29326.9238,79264
2025-03-26,29555.0996,30032.9004,29451,29931.0996,29711.1289,24799
2025-03-27,29931.0996,30498,29731.0996,30146.4492,29924.8945,71437
2025-03-28,30700,31237.9492,30438.5508,30502.9492,30278.7754,58593
2025-04-01,30546.1504,30609.4492,30057.1504,30246.4004,30024.1113,19571
2025-04-02,30498.8008,30499,30037.0508,30273.4004,30050.9121,52150
2025-04-03,30000,31139.9492,29900.0508,30902,30674.8945,26224
2025-04-04,30902,31000,30513.5,30694.5,30468.918,14821
2025-04-07,29600.3008,30247.9004,29390,29751.5508,29532.8984,54086
2025-04-08,30247,30594.9492,30165.8008,30433.1992,30209.5371,42775
2025-04-09,30409.0508,30638.0508,30128.9492,30370.25,30147.0508,39073
2025-04-11,30638,30709.9492,29755,30107.9492,29886.6797,32572
2025-04-15,31000,31245,30155,31125,30896.2539,39498
2025-04-16,31000,31290,30590,30800,30573.6426,25525
2025-04-17,30795,31090,30525,31000,30772.1719,36538
2025-04-21,31000,31415,30720,31155,30926.0352,28359
2025-04-22,31290,31385,30800,30910,30682.834,45981
2025-04-23,30910,31135,30280,30365,30141.8418,27170
2025-04-24,30535,30850,30260,30705,30479.3418,55566
2025-04-25,30990,30990,29955,30540,30315.5547,26946
2025-04-28,30540,30830,30330,30400,30176.582,22491
2025-04-29,30780,30780,29690,30025,29804.3398,25432
2025-04-30,30190,30430,29540,29710,29491.6523,22258
2025-05-02,29710,29825,28980,29280,29064.8145,17300
2025-05-05,29340,29625,29335,29470,29253.418,14607
2025-05-06,29620,29925,29370,29485,29268.3066,28266
2025-05-07,29035,29620,29035,29570,29352.6816,11379
2025-05-08,29695,29750,29100,29410,29193.8574,44201
2025-05-09,29075,29580,28720,29230,29015.1816,24760
2025-05-12,29610,30240,29610,30135,29913.5313,13032
2025-05-13,30210,30445,29650,30145,29923.457,39445
2025-05-14,30295,30910,30110,30620,30394.9648,98120
2025-05-15,30990,31835,30895,31400,31169.2324,172193
2025-05-16,31400,31720,31005,31615,31382.6523,34222
