date,open,high,low,close,adj_close,volume
2025-03-03,2717.7783,2853.4045,2680.2397,2839.1404,2825.2571,810733
2025-03-04,2782.1135,2916.918,2782.1135,2895.0227,2880.8662,992217
2025-03-05,2895.0227,3012.4519,2895.0227,2985.3328,2970.7346,1248047
2025-03-06,3020.1123,3092.46,2985.3621,3029.0935,3014.2813,1446016
2025-03-07,3029.5044,3036.9885,2961.7646,2997.2781,2982.6216,1000990
2025-03-10,2997.2781,3018.5273,2905.6475,2920.0583,2905.7793,566630
2025-03-11,2876.2976,2925.8696,2848.1216,2900.9807,2886.7949,889506
2025-03-12,2928.7751,2940.3391,2823.7903,2879.6729,2865.5913,416828
2025-03-13,2905.0605,2986.2424,2871.3667,2892.6748,2878.5298,696251
2025-03-17,2920.3225,2931.769,2869.5764,2897.6936,2883.5239,435109
2025-03-18,2897.6936,2897.6936,2897.6936,2897.6936,2883.5239,0
2025-03-19,3010.1333,3083.0681,2989.5591,3066.7788,3051.7825,855208
2025-03-20,3087.6172,3092.783,3000.1543,3048.9341,3034.0249,548075
2025-03-21,3052.9255,3116.9673,3037.6636,3052.7788,3037.8508,1256241
2025-03-24,3090.5522,3137.3069,3055.3323,3066.0156,3051.0229,600664
2025-03-25,3081.7473,3102.1162,2998.3933,3004.9092,2990.2153,399335
2025-03-26,3111.0972,3240.2371,3052.9844,3180.51,3164.9575,4736380
2025-03-27,3181.5371,3193.2771,3111.0972,3119.4033,3104.1497,1078586
2025-03-28,3135.7512,3138.6863,3041.9487,3096.6277,3081.4854,1201834
2025-04-01,3075.8772,3143.3823,3052.3972,3069.978,3054.9658,562131
2025-04-02,3070.0073,3111.6843,3018.3513,3101.0303,3085.8665,634342
2025-04-03,3052.9844,3125.1853,3052.9844,3080.8962,3065.8308,677222
2025-04-04,3103.7305,3103.7305,2847.564,2892.8215,2878.6758,1869669
2025-04-07,2450,3087,2450,2812.45,2798.6973,2716014
2025-04-08,2938.3501,3031,2750,2763.45,2749.9368,2603929
2025-04-09,2789,2791.95,2667.8,2715.8501,2702.5696,866126
2025-04-11,2813,2813,2710.05,2727.8,2714.4612,784039
