date,open,high,low,close,adj_close,volume
2025-03-03,8841.2998,9029.9502,8649.9004,8977.7998,8967.1309,130495
2025-03-04,8879,9140,8759.7002,9038.4004,9027.6602,138848
2025-03-05,9053,9291.0996,9053,9238.3496,9227.3711,114123
2025-03-06,9370,9410,9240,9386.8496,9375.6943,110566
2025-03-07,9329.9502,9525,9315.5498,9486.5,9475.2266,95337
2025-03-10,9480.0996,10008,9445.0498,9837.0996,9825.4102,329667
2025-03-11,9800,9864.9004,9576,9765.2998,9753.6953,116288
2025-03-12,9800,9910,9615,9781.0996,9769.4766,59512
2025-03-13,9859.3496,10238.7002,9781.0996,10097.1504,10085.1523,252649
2025-03-17,10125.2998,10199.7002,10025.0498,10088.6504,10076.6621,65188
2025-03-18,10088.6504,10088.6504,10088.6504,10088.6504,10076.6621,0
2025-03-19,10100,10330,10033.75,10310.7998,10298.5469,144527
2025-03-20,10325,10446.4004,10221.1504,10424.4502,10412.0625,92377
2025-03-21,10489,10698.8496,10372,10650.6504,10637.9941,171161
2025-03-24,10699.0498,10920,10650.7002,10870.2998,10857.3818,89375
2025-03-25,11015,11015,10719.2998,10772.7002,10759.8984,69035
2025-03-26,10750,11067,10721.0498,10981.4004,10968.3506,105515
2025-03-27,10955.0498,11190,10851,10935.0996,10922.1055,153789
2025-03-28,10950,11285,10949.9502,11244,11230.6387,116147
2025-04-01,11330.5996,11419.7998,11090.3496,11131.5996,11118.3711,74995
2025-04-02,11131.5996,11221.5996,11050.0996,11194.9502,11181.6475,55759
2025-04-03,11190.0498,11341,11177,11293.5996,11280.1787,46220
2025-04-04,11215.0498,11329.75,10913.2002,10987.0996,10974.043,55500
2025-04-07,10283,10807.9502,9888.4004,10645.25,10632.5996,139771
2025-04-08,10879.9004,10999,10608,10930.75,10917.7598,79486
2025-04-09,10930,10991.75,10802.2002,10873.5498,10860.6279,38765
2025-04-11,11091,11411,11091,11317.0498,11303.6016,91401
2025-04-15,11517,11985,11469,11945,11930.8047,104614
2025-04-16,12000,12175,11934,12128,12113.5869,91692
2025-04-17,12128,12349,12051,12233,12218.4629,90971
2025-04-21,12270,12522,12270,12475,12460.1758,60960
2025-04-22,12601,12898,12529,12834,12818.749,86725
2025-04-23,12973,13155,12888,13084,13068.4512,139212
2025-04-24,13148,13287,12980,13247,13231.2578,92083
2025-04-25,13254,13300,12641,12757,12741.8398,107402
2025-04-28,12757,13174,12716,13123,13107.4053,108764
2025-04-29,13190,13664,13150,13452,13436.0146,202435
2025-04-30,13461,13548,13075,13172,13156.3467,94250
2025-05-02,13150,13325,12977,13069,13053.4688,67344
2025-05-05,13101,13224,12900,13191,13175.3252,56819
2025-05-06,13240,13627,13106,13188,13172.3281,115661
2025-05-07,13100,13350,13001,13295,13279.2012,74022
