date,open,high,low,close,adj_close,volume
2025-03-03,1585.3,1607.4,1582.2,1585.1,1565.5996,1425492
2025-03-04,1585,1590,1556,1566.5,1547.2284,1717135
2025-03-05,1564.6,1586.3,1553.05,1582.45,1562.9821,2428171
2025-03-06,1598.25,1617.9,1572.55,1614,1594.144,2458676
2025-03-07,1624,1628.75,1605.65,1609.3,1589.502,980890
2025-03-10,1621.95,1641.45,1602.75,1611.5,1591.6747,1600589
2025-03-11,1616.1,1663.6,1605.35,1655.3,1634.9359,3325416
2025-03-12,1662,1680.25,1658.05,1676.85,1656.2208,2389362
2025-03-13,1672,1687.15,1663.45,1683.45,1662.7397,1666929
2025-03-17,1694.05,1720.15,1688.35,1704.3,1683.3333,2588408
2025-03-18,1704.3,1704.3,1704.3,1704.3,1683.3333,0
2025-03-19,1747.8,1748,1726.3,1732.35,1711.0381,2167448
2025-03-20,1735.65,1757.15,1722.9,1750.25,1728.7179,1602232
2025-03-21,1759,1792.8,1750.25,1784.5,1762.5465,2483162
2025-03-24,1794.5,1820,1777.6,1784.8,1762.8428,1182084
2025-03-25,1784.8,1795.95,1758.5,1764.75,1743.0394,1471028
2025-03-26,1767.95,1770.8,1746.1,1758.95,1737.3108,1762361
2025-03-27,1751,1752.3,1720,1731.45,1710.149,3279881
2025-03-28,1731.45,1741.35,1705.2,1734.7,1713.3591,1956781
2025-04-01,1731,1733.95,1681.6,1698.35,1677.4564,4142445
2025-04-02,1695,1718.45,1685.9,1713.65,1692.5681,3369489
2025-04-03,1755,1812.7,1750,1770,1748.2249,5715573
2025-04-04,1778.85,1778.85,1658.05,1709.35,1688.3209,5345276
2025-04-07,1620.1,1692,1620.1,1666.35,1645.85,5715334
2025-04-08,1645,1709.85,1645,1688.35,1667.5793,2807382
2025-04-09,1650,1679.75,1640,1652.2,1631.874,3481864
2025-04-11,1710,1737,1682.1,1687.55,1666.7892,3801939
2025-04-15,1720,1724.5,1696.8,1705,1684.0245,1993085
2025-04-16,1691.1,1702.7,1682.1,1693.1,1672.271,2205374
2025-04-17,1695,1758,1687.4,1751.5,1729.9524,2683908
2025-04-21,1761,1761,1731.3,1744.9,1723.4337,1539511
2025-04-22,1751,1755,1734.5,1747.4,1725.9031,961907
2025-04-23,1754.2,1791.3,1742.1,1788.8,1766.7937,1471029
2025-04-24,1790,1807.9,1773.9,1803.9,1781.7079,2101177
2025-04-25,1806,1815.5,1764.2,1787.4,1765.4109,2036801
2025-04-28,1787.4,1846,1781.2,1841.6,1818.9441,3216482
2025-04-29,1845,1846,1797,1805.5,1783.2882,2886160
2025-04-30,1810,1838.9,1803.3,1832.3,1809.7585,2667314
2025-05-02,1832.3,1851.2,1813.8,1824.6,1802.1532,1885257
2025-05-05,1827.8,1843.3,1821.4,1836.6,1814.0055,1219830
2025-05-06,1820,1827.9,1799,1819.1,1796.7207,1414772
2025-05-07,1817.9,1826.4,1778.7,1781.3,1759.3859,2015237
2025-05-08,1781.3,1788.9,1755,1767.2,1745.4592,2647871
2025-05-09,1751.9,1766.3,1731.7,1744.8,1723.335,1148956
2025-05-12,1695.7,1712.4,1623.6,1686.2,1665.4558,9221075
2025-05-13,1711,1748.5,1691.3,1700,1679.0861,6988329
2025-05-14,1702,1711.4,1692.1,1708.2,1687.1851,1639324
2025-05-15,1701.1,1744.4,1684.1,1740.1,1718.6926,3880385
2025-05-16,1740,1741.6,1719,1734.9,1713.5568,1448249
2025-05-19,1745,1765,1726.6,1730.2,1708.9146,2074023
2025-05-20,1743.8,1748,1703.3,1707.8,1686.7902,2706777
2025-05-21,1716.4,1758.7,1707.8,1731.8,1710.4949,2754306
2025-05-22,1734.2,1740,1707.2,1718.7,1697.5559,2670554
2025-05-23,1658,1689.5,1636.6,1683.6,1662.8877,8339783
2025-05-26,1693.1,1702.4,1667,1676.1,1655.48,2282131
2025-05-27,1676.1,1692,1661.1,1683.4,1662.6903,2800622
2025-05-28,1683.4,1686.9,1663,1666.4,1645.8994,2657712
2025-05-29,1675,1703.3,1670.4,1699.8,1678.8885,2377583
2025-05-30,1702,1713.6,1669.1,1677.6,1656.9615,3640641
2025-06-02,1679,1683.5,1660.5,1674.6,1653.9984,1819538
2025-06-03,1695,1695,1657.6,1667.5,1646.9858,2556920
2025-06-04,1656,1669,1649,1664.9,1644.418,1700482
2025-06-05,1662,1694.3,1662,1683.1,1662.3939,2037073
2025-06-06,1685,1689,1669,1679.2,1658.5419,2500047
2025-06-09,1679.9,1698.8,1673.3,1694.4,1673.5549,2589656
2025-06-10,1701.8,1706.9,1677.7,1688.8,1668.0239,2369135
2025-06-11,1694.8,1695,1679.3,1690.6,1669.8016,1999978
2025-06-12,1694.9,1727.5,1681.1,1687.4,1666.641,3588365
2025-06-13,1666.8,1700,1661.1,1687.8,1667.0363,2404272
2025-06-16,1665,1689.8,1655.7,1685.3,1664.5669,2249326
2025-06-17,1680,1681.7,1641.1,1650.2,1629.8986,5408285
2025-06-18,1645,1661.3,1638.5,1648,1627.7257,1455885
2025-06-19,1648.1,1655.3,1636,1647.6,1627.3307,1696525
2025-06-20,1647.6,1670,1645.6,1665.1,1644.6154,2567882
2025-06-23,1663.2,1667,1647.2,1662.5,1642.0475,840643
2025-06-24,1670.5,1686.4,1658.8,1661.7,1641.2572,2066326
2025-06-25,1661.7,1678.8,1658.1,1669.6,1649.0601,1372945
2025-06-26,1674.8,1678.9,1650.4,1669.8,1649.2576,2102627
2025-06-27,1670.2,1695.7,1668.2,1687.6,1666.8386,5313904
2025-06-30,1696,1704.5,1671.6,1675.7,1655.085,2160184
2025-07-01,1675.7,1684.3,1657.5,1667.2,1646.6895,3298070
2025-07-02,1656,1682,1656,1677.5,1656.8628,1611046
2025-07-03,1677.5,1692.8,1674.5,1679.7,1659.0358,1553777
2025-07-04,1686.7,1686.7,1671.6,1676.3,1655.6777,1264399
2025-07-07,1674.7,1682.4,1663,1679.9,1664.6953,1550620
2025-07-08,1680,1682,1649.1,1672.5,1657.3623,1860328
2025-07-09,1660,1680.8,1647,1669.4,1654.2903,2178705
2025-07-10,1662,1670.6,1647.2,1662.5,1647.4528,1741718
2025-07-11,1665.8,1679.9,1662.2,1672,1656.8668,1298302
2025-07-14,1680.4,1696.9,1675.5,1682.6,1667.3708,1309704
2025-07-15,1705,1730.9,1687.9,1727.5,1711.8645,3332578
2025-07-16,1730,1731.3,1698,1701,1685.6044,2285143
2025-07-17,1704,1717,1696,1703.4,1687.9825,1461039
2025-07-18,1709,1709.4,1686.7,1693.6,1678.2712,1253929
2025-07-21,1681.1,1701.4,1677.5,1692.3,1676.9832,2390289
2025-07-22,1686.1,1693.1,1672.8,1678,1662.8125,1244491
2025-07-23,1678.5,1689.6,1671.4,1682.5,1667.2719,1229173
2025-07-24,1682.5,1696,1680.1,1692,1676.6858,1079045
2025-07-25,1690,1702,1682.2,1699,1683.6223,1088592
2025-07-28,1702.1,1710.1,1693.9,1702.2,1686.7935,2168507
2025-07-29,1698,1718,1697.1,1710.5,1695.0183,1325544
2025-07-30,1720,1740.5,1712.1,1733.8,1718.1074,2318723
2025-07-31,1715.5,1748,1694,1706.7,1691.2526,3233087
2025-08-01,1690,1695,1608,1629.7,1614.9496,8774548
2025-08-04,1629.8,1647.4,1613.6,1641.6,1626.7418,1898762
2025-08-05,1640.9,1644.6,1620.1,1632.1,1617.3279,1622897
2025-08-06,1629.7,1629.7,1591,1595.2,1580.7618,2376257
2025-08-07,1581,1605.4,1571,1598.4,1583.933,3435674
2025-08-08,1590,1602,1580.9,1586.9,1572.5371,1654424
2025-08-11,1586.9,1660,1584.2,1608.4,1593.8424,1140902
2025-08-12,1611.7,1636.7,1610.1,1622.2,1607.5175,1679088
2025-08-13,1624.2,1643.5,1617.3,1639.8,1624.9583,1313668
2025-08-14,1639.8,1651.1,1632.2,1641.4,1626.5438,1738094
2025-08-18,1649.6,1649.6,1625.4,1632.7,1617.9225,3080173
2025-08-19,1632.8,1638,1619.1,1626.6,1611.8777,2656391
2025-08-20,1634,1636.5,1616,1633.1,1618.3188,1831706
2025-08-21,1630.8,1652.5,1623.9,1640.2,1625.3545,1727099
2025-08-22,1642,1651.4,1635.1,1641.8,1626.9402,2098310
2025-08-25,1649.2,1660.5,1634,1656.7,1641.7052,1904984
2025-08-26,1645,1647.4,1596.2,1600.3,1585.8158,4502371
2025-08-28,1593.1,1600,1567.6,1585.7,1571.3478,4993739
2025-08-29,1581,1601.7,1575.8,1594.5,1580.0682,3176534
2025-09-01,1599,1600.2,1556.2,1563.3,1549.1506,9366820
2025-09-02,1566,1570.3,1558,1565.2,1551.0333,2855840
2025-09-03,1562.1,1581.1,1558.3,1578.7,1564.4111,2091370
2025-09-04,1597,1597,1561,1582.3,1567.9786,2298657
2025-09-05,1582.4,1599.3,1575.5,1593.6,1579.1763,1814479
2025-09-08,1597.6,1604.5,1578.2,1581,1566.6904,1369139
2025-09-09,1580,1597,1577.5,1591.7,1577.2936,1709406
2025-09-10,1592.1,1601.6,1582.4,1593.4,1578.9783,2408379
2025-09-11,1592.5,1617,1591,1609.7,1595.1306,1762484
2025-09-12,1610,1622.5,1603.1,1616.6,1601.9683,1878894
2025-09-15,1616.6,1617.1,1595.4,1602,1587.5002,2005917
2025-09-16,1602.5,1615,1600,1610.5,1595.9233,1480567
2025-09-17,1612.6,1622.1,1607.4,1620.2,1605.5356,2128406
2025-09-18,1635.1,1651.3,1627.7,1648.6,1633.6786,1832386
2025-09-19,1648.6,1668.1,1643.1,1656,1641.0116,3191406
2025-09-22,1650,1657.9,1635.3,1644,1629.1202,1785320
2025-09-23,1643.2,1644,1625.1,1631.2,1616.436,1967731
2025-09-24,1630,1635.9,1625,1627.1,1612.3732,1131058
2025-09-25,1627.9,1642.8,1622.7,1627.4,1612.6705,2762750
2025-09-26,1585,1602.9,1548,1586.7,1572.3387,7256759
2025-09-29,1581,1618.9,1580,1589.3,1574.9153,4180922
2025-09-30,1589.1,1604.3,1586,1594.3,1579.8701,2257443
2025-10-01,1611.9,1651.5,1611.9,1636.2,1621.3907,3109095
2025-10-03,1600,1645.5,1600,1631.2,1616.436,4041865
2025-10-06,1630,1659.7,1620,1654.7,1639.7233,1756916
2025-10-07,1649.4,1663,1647,1653.1,1638.1378,2174852
2025-10-08,1645,1655,1629,1631.6,1616.8325,1846507
2025-10-09,1645,1662.3,1632.4,1658.5,1643.489,2197566
2025-10-10,1655,1676.6,1649,1670.9,1655.7767,1454056
2025-10-13,1662.5,1675,1655.8,1668.4,1653.2994,1375179
2025-10-14,1667.6,1669.9,1646.2,1654.4,1639.426,2108287
2025-10-15,1652.5,1668.7,1650.1,1655.1,1640.1196,2088737
2025-10-16,1654,1662.9,1643.2,1659,1643.9845,2895957
2025-10-17,1658.2,1692,1656.7,1679.1,1663.9025,1594147
2025-10-20,1684.9,1696.9,1682.8,1688.6,1673.3165,1647622
2025-10-21,1690,1696,1684,1690.5,1675.1993,74296
2025-10-23,1705,1712,1682.2,1689.9,1674.6047,2687094
2025-10-24,1690,1701.9,1686,1699,1683.6223,994307
2025-10-27,1701,1708.5,1690,1693.6,1678.2712,2067904
2025-10-28,1692,1702.7,1679.2,1687,1671.731,2440939
2025-10-29,1690,1722,1687.3,1715.9,1700.3694,1016738
2025-10-30,1715.8,1716.9,1680.1,1703.4,1687.9825,1986233
2025-10-31,1700,1705,1686.8,1690.7,1675.3975,1560918
2025-11-03,1688.2,1712.8,1681.2,1706.4,1690.9554,1099955
2025-11-04,1707,1711.2,1682.2,1690,1674.7039,1597993
2025-11-06,1699,1723.9,1667,1685.9,1670.641,3389867
2025-11-07,1694,1710,1683.1,1691.4,1676.0912,1512908
2025-11-10,1697.5,1703.1,1685.8,1697.8,1682.4333,1235665
2025-11-11,1701.6,1719,1695,1716.1,1700.5676,1315353
2025-11-12,1721.4,1744.1,1710.2,1732.1,1716.4229,1833097
2025-11-13,1734.5,1747.8,1725.4,1737.4,1721.6749,1727602
