date,open,high,low,close,adj_close,volume
2025-03-03,963.7,970,948.4,953.9,938.9373,1323481
2025-03-04,945.1,957.85,943.15,954.55,939.5771,1916433
2025-03-05,948.5,965.95,948,956.8,941.7918,2773457
2025-03-06,964,965,943.05,958.15,943.1207,2421530
2025-03-07,957,967.4,950.15,962.05,946.9594,945675
2025-03-10,960,969.3,953,957.3,942.2839,1660207
2025-03-11,956,962.4,930.1,959.85,944.7939,2748541
2025-03-12,951.65,961.75,943.35,945.45,930.6198,1619168
2025-03-13,950,955,940.15,946.1,931.2596,907521
2025-03-17,946.1,956.5,934.6,940.45,925.6983,993027
2025-03-18,940.45,940.45,940.45,940.45,925.6983,0
2025-03-19,947.5,959.85,945.25,949.85,934.9508,1650477
2025-03-20,953.1,967.7,950.25,965.85,950.6998,2403031
2025-03-21,968,972.15,956.6,961.2,946.1228,3155551
2025-03-24,965.25,976.15,956.5,970.45,955.2277,1475967
2025-03-25,979,979.9,959,970.7,955.4738,1569597
2025-03-26,975,976.3,956.95,959.65,944.5971,1399118
2025-03-27,963,980.4,952.5,973.55,958.2791,2585170
2025-03-28,975.5,1015,975,1001.9,986.1844,2313101
2025-04-01,1003,1014.55,989.25,992.25,976.6858,1045548
2025-04-02,1018,1073.15,1015,1062.7,1046.0306,8717812
2025-04-03,1049.9,1075.25,1048.1,1071,1054.2004,1595000
2025-04-04,1065.45,1095.55,1062.9,1087.85,1070.7861,4089261
2025-04-07,1019,1077.7,1019,1047.35,1030.9214,3200820
2025-04-08,1056,1073.5,1044.75,1069.75,1052.9701,1444712
2025-04-09,1062,1092.95,1060.05,1089.75,1072.6564,2274161
2025-04-11,1125,1126,1093.75,1097.9,1080.6785,1888677
2025-04-15,1108.3,1111,1094.1,1103.4,1086.0923,1023355
2025-04-16,1094.1,1108.9,1086.8,1105.9,1088.553,679360
2025-04-17,1104,1133.8,1094.5,1120.2,1102.6288,1541674
2025-04-21,1120.2,1129.5,1102.4,1121,1103.4163,692767
2025-04-22,1121.7,1149,1118.2,1136.7,1118.8699,1231830
2025-04-23,1143,1156.6,1132.6,1150.1,1132.0597,1760325
2025-04-24,1151,1168.9,1098.3,1161.3,1143.0841,5766752
