date,open,high,low,close,adj_close,volume
2025-03-03,137,139.05,134.31,138.57,132.676,31154401
2025-03-04,136.15,140.94,135.81,139.34,133.4132,28634645
2025-03-05,139,146.49,139,146.1,139.8857,62109377
2025-03-06,146.79,152.2,146.2,150.44,144.0411,79121467
2025-03-07,149.74,152.45,149.27,151.56,145.1134,81821791
2025-03-10,151.56,154.24,150.41,151.05,144.6251,54450331
2025-03-11,148.1,151.7,148,150.75,144.3379,35916900
2025-03-12,151,152.28,147.7,150.3,143.907,26377549
2025-03-13,152,153.56,150.02,150.88,144.4624,48286431
2025-03-17,151.99,152.64,150.9,151.81,145.3528,35879780
2025-03-18,151.81,151.81,151.81,151.81,145.3528,0
2025-03-19,156.8,159.2,156.5,158.6,151.854,66161413
2025-03-20,160,160.1,156.65,159.04,152.2753,39889517
2025-03-21,159.03,159.75,156.82,157.28,150.5901,49184821
2025-03-24,158,159,157.11,158.42,151.6816,30905773
2025-03-25,159,159,156.05,156.73,150.0635,28467187
2025-03-26,156.2,157.54,155.01,155.81,149.1827,23182869
2025-03-27,154.8,156.1,154.2,155.42,148.8092,25909068
2025-03-28,155.38,156.91,153.37,154.24,147.6794,24589315
2025-04-01,152.07,155.34,152.07,153.12,146.6071,29142122
2025-04-02,154,156.25,152.27,154.69,148.1103,24977582
2025-04-03,153,155.97,152.6,153.62,147.0858,15117526
2025-04-04,152.62,152.99,140,140.39,134.4185,80846143
2025-04-07,128,130.35,125.33,129.48,123.9726,121806340
2025-04-08,134.89,136.2,128.02,130.28,124.7386,68999181
2025-04-09,130,130,125.3,127.18,121.7704,73399980
2025-04-11,134.67,134.7,130.49,133.42,127.745,73706472
2025-04-15,135.6,137,134.84,136.41,130.6078,38967608
2025-04-16,136.41,137.6,134.62,136.97,131.144,42684087
2025-04-17,134.4,137.96,133.7,137.14,131.3068,62282856
2025-04-21,137.65,140.3,137.05,139.18,133.26,26503486
2025-04-22,142,142.84,137.7,138.16,132.2834,58429662
2025-04-23,139.39,141.5,137.32,141.16,135.1558,37851304
2025-04-24,140.7,141.88,140.28,141.52,135.5005,23061444
2025-04-25,142,143.45,138.02,138.85,132.944,37764696
2025-04-28,138.54,142.6,138.38,142.07,136.0271,26971589
2025-04-29,142.07,143.3,140.92,141.5,135.4813,25758449
2025-04-30,141.45,141.56,138,140.08,134.1217,29205042
2025-05-02,140,143.1,139.45,141.4,135.3856,29588258
2025-05-05,141.57,142.7,141.2,142.08,136.0367,17213477
2025-05-06,142.08,145.4,141.54,144.44,138.2963,42658262
2025-05-07,142.2,146.95,142.2,146,139.7899,34674594
2025-05-08,146,146.66,142.85,143.67,137.559,29687927
2025-05-09,140.99,143.27,140.51,142.78,136.7069,21875453
2025-05-12,145.61,151.95,144.5,151.63,145.1805,47087413
2025-05-13,152,152.99,149.01,149.43,143.074,54389876
2025-05-14,151,157.15,151,155.31,148.7039,60002060
2025-05-15,155.5,157.84,154.3,157.35,150.6572,57066105
2025-05-16,157.35,158.15,157,157.55,150.8487,22884754
2025-05-19,158,158.14,156.13,157.57,150.8678,21839582
2025-05-20,158.35,162.1,158,158.69,151.9402,58061639
2025-05-21,159.45,161.85,158.53,161.64,154.7647,36044599
2025-05-22,160.98,163.6,160.36,161.29,154.4296,60715453
2025-05-23,161.6,163.53,161.5,162.97,156.0381,29483665
2025-05-26,163.1,165.55,162.05,162.51,155.5977,25581584
2025-05-27,162.51,163.9,160.62,161.66,154.7838,23296776
2025-05-28,162.4,162.69,160.65,161.24,154.3817,13044476
2025-05-29,162.19,163.95,161.5,163.12,156.1817,26455081
2025-05-30,163.11,163.89,160.51,161.02,154.1711,32739340
2025-06-02,159,160.12,157.3,159.04,152.2753,31365564
2025-06-03,159.04,160.65,157.17,157.35,150.6572,28398746
2025-06-04,157.5,158.98,156.81,158.18,151.4518,16660138
2025-06-05,158.86,159.09,157.05,157.97,151.2508,23708504
2025-06-06,155.7,157.88,154.25,157.49,154.3078,25804151
2025-06-09,157.69,158.2,156.82,157.32,154.1412,15315437
2025-06-10,158,159.3,155.5,155.68,152.5343,22764080
2025-06-11,156.45,157.53,155.31,156.41,153.2496,17605668
2025-06-12,156,156.26,151.85,152.89,149.8007,27846151
2025-06-13,149.8,152.5,149.8,152.13,149.056,24277592
2025-06-16,152.01,154.5,150.84,154.17,151.0548,16188193
2025-06-17,153.81,154.89,152.35,152.6,149.5166,16740382
2025-06-18,152.2,153.2,150.8,152.11,149.0365,14860746
2025-06-19,152,152.45,150.5,151,147.9489,20145922
2025-06-20,150.75,153.17,150.63,151.97,148.8993,29944714
2025-06-23,150.5,153.3,150.48,152.43,149.35,17096676
2025-06-24,153.8,156.97,153.64,154.79,151.6623,25403324
2025-06-25,155.9,156.9,155.51,156.39,153.23,18240433
2025-06-26,156.87,161.1,156.45,160.54,157.2961,40650557
2025-06-27,161,163.3,160.7,161.45,158.1877,31989509
2025-06-30,160.99,162.2,159.5,159.76,156.5319,15842285
2025-07-01,160.01,160.44,157.73,160.06,156.8258,17823415
2025-07-02,160.06,166.15,159.83,165.88,162.5282,63315210
2025-07-03,166,168.78,165.21,165.91,162.5576,60571824
2025-07-04,165.91,166.49,162,163.01,159.7162,22938753
2025-07-07,163,163.35,160.05,162.4,159.1185,17469909
2025-07-08,162.45,162.9,161.6,161.97,158.6972,11398248
2025-07-09,161.95,161.95,157.51,159,155.7872,29839077
2025-07-10,160,161.55,159.28,160.66,157.4137,17566887
2025-07-11,160.64,161.62,159.32,159.84,156.6103,20689511
2025-07-14,159.84,161.12,159.3,160.44,157.1981,15152964
2025-07-15,160.26,160.85,157.95,159,155.7872,17993051
2025-07-16,159,159.27,157,157.33,154.151,14591157
2025-07-17,157.5,160.7,157.12,159.9,156.669,21733241
2025-07-18,160.1,162.75,160.1,162.37,159.0891,30728478
2025-07-21,162.5,165.6,162.49,163.02,159.726,29812899
2025-07-22,163.3,164.41,162.73,163.04,159.7456,13615524
2025-07-23,163.25,164.14,161.88,162.77,159.4811,14287149
2025-07-24,163,164.75,162.81,163.48,160.1767,14377270
2025-07-25,163.5,163.59,161.05,161.43,158.1681,12443495
2025-07-28,161.23,162.29,159.09,159.68,156.4535,19296285
2025-07-29,158.2,162.45,158.2,161.69,158.4229,15262937
2025-07-30,161.69,162.79,161.05,161.36,158.0995,16083106
2025-07-31,161,162.13,156.56,157.94,154.7487,26213891
2025-08-01,157.93,157.93,152.51,153.01,149.9183,23927359
2025-08-04,153.5,159.92,153.5,159.56,156.3359,30064719
2025-08-05,159.56,160.14,158.28,159.62,156.3947,14441034
2025-08-06,159.62,159.8,157.8,158.66,155.4541,13438851
2025-08-07,157.15,160,156.26,159.67,156.4437,23159540
2025-08-08,159.5,159.95,157.01,157.95,154.7584,11951173
2025-08-11,157.95,160,157.15,158.52,155.3169,14325736
2025-08-12,158.52,161.65,158.5,160.16,156.9238,20056598
2025-08-13,160.96,162.4,159.9,160.18,156.9434,18079396
2025-08-14,160.02,160.6,154.83,155.3,152.162,47256126
2025-08-18,158,159,156,157.96,154.7682,61022494
2025-08-19,158.5,159.46,156.76,159.23,156.0126,21224239
2025-08-20,158.2,162.76,158.03,161.92,158.6482,28520245
2025-08-21,161.92,162.54,161.19,161.51,158.2465,17282594
2025-08-22,161.25,161.28,158.1,158.55,155.3463,16063984
