date,open,high,low,close,adj_close,volume
2025-03-03,3485,3523.25,3476.1499,3493.05,3313.0327,4990439
2025-03-04,3474,3551,3464.3,3532.05,3350.0229,2797737
2025-03-05,3520.8501,3600.3501,3520.8501,3547.05,3364.2498,2501894
2025-03-06,3557,3609.45,3536.1001,3601.6001,3415.9885,2786513
2025-03-07,3600,3625,3574.3999,3611.2,3425.0935,2051315
2025-03-10,3606.5,3622.1001,3582.6001,3589.6499,3404.6541,1004626
2025-03-11,3558,3588.75,3537.6499,3575.3,3391.0439,1995450
2025-03-12,3565,3569.25,3486.8501,3506.2,3325.5046,3174167
2025-03-13,3502.3,3524.3,3484.1001,3511.05,3330.1047,1693004
2025-03-17,3489,3530.45,3477.3501,3497.7,3317.4429,2690906
2025-03-18,3497.7,3497.7,3497.7,3497.7,3317.4429,0
2025-03-19,3547,3547,3462.75,3497.1001,3316.874,3051244
2025-03-20,3512,3578.95,3512,3563.1499,3379.52,2845192
2025-03-21,3475,3616.25,3465,3578.1001,3393.6995,4161925
2025-03-24,3600,3649.75,3566.6001,3628.95,3441.929,1834751
2025-03-25,3645,3710,3638,3657.75,3469.2449,3135390
2025-03-26,3647.75,3680.5,3625.8501,3635.8,3448.4258,1734499
2025-03-27,3614.8501,3663,3610.5,3651.2,3463.032,2528474
2025-03-28,3651,3660.95,3591.8999,3606.1499,3420.304,2051919
2025-04-01,3572.7,3584,3525,3550.8,3367.8064,2618493
2025-04-02,3544,3564.1001,3530.05,3543.95,3361.3091,1764313
2025-04-03,3491,3502,3396.1499,3403.1499,3227.7656,4537821
2025-04-04,3362.6001,3399.6499,3295.5,3299.3999,3129.3623,5317367
2025-04-07,3100,3291.3999,3056.05,3274.05,3105.3188,6623955
2025-04-08,3302.05,3349,3255.3,3292.95,3123.2449,5557558
2025-04-09,3260.55,3270,3212.05,3246.6001,3079.2837,2990265
2025-04-11,3289.55,3298.95,3206,3231.5,3064.9617,7108961
2025-04-15,3314.3999,3314.3999,3238.6001,3248.2,3080.801,3512160
2025-04-16,3248.2,3278.1001,3229,3273.8,3105.0818,2384391
2025-04-17,3245.5,3303.6001,3218,3298.8999,3128.8884,2932346
2025-04-21,3290.1001,3354,3284.1001,3321.6001,3150.4185,2432946
2025-04-22,3322.6001,3333.8999,3295,3314.3999,3143.5891,2710498
2025-04-23,3365,3420.8999,3337.3,3413,3237.1084,3543923
2025-04-24,3401.1001,3412.5,3387.7,3401.6001,3226.2959,2252175
2025-04-25,3420,3477.8,3405,3448,3270.3042,2742991
2025-04-28,3435,3457.8,3405,3443.5,3266.0361,1593296
2025-04-29,3455,3495,3430.3999,3472.5,3293.5415,1578332
2025-04-30,3472,3509.8999,3366,3453.7,3275.7104,2809332
2025-05-02,3472,3491.5,3420,3431,3254.1804,1721761
2025-05-05,3450,3504.5,3446.3999,3454.3,3276.2795,1284443
2025-05-06,3460,3473,3437,3460,3281.686,1324763
2025-05-07,3420.6001,3459.5,3420.6001,3445.1001,3267.5537,1477128
2025-05-08,3448,3477,3428.7,3448.8999,3271.158,2543591
2025-05-09,3399,3446.2,3398.1001,3440.3,3263.0012,2531757
2025-05-12,3505,3630.5,3502.2,3620.3999,3433.8193,2228678
2025-05-13,3620.3999,3623,3510.5,3515,3333.8516,3062887
2025-05-14,3521,3561,3508.6001,3548.7,3365.8145,2119499
2025-05-15,3564,3600,3514.1001,3579.8999,3395.4065,3548330
2025-05-16,3593.8999,3593.8999,3546.1001,3561.3,3377.7651,1666727
2025-05-19,3550,3550,3503.7,3518.8,3337.4558,2537377
2025-05-20,3531.8,3558,3494,3498.3,3318.0125,2038374
